R1128TS147_3.pdb     -2591.103511 kBT
R1128TS489_5.pdb     -2632.325024 kBT
R1128TS248_1.pdb     -3830.906511 kBT
R1128TS131_3.pdb     -1541.199613 kBT
R1128TS470_5.pdb     -2632.325024 kBT
R1128TS054_2.pdb     -3503.788720 kBT
R1128TS392_1.pdb     -2738.857157 kBT
R1128TS029_4.pdb     -1835.284806 kBT
R1128TS285_1.pdb     -2200.283317 kBT
R1128TS392_3.pdb     -2378.008307 kBT
R1128TS229_5.pdb     -3462.630394 kBT
R1128TS029_3.pdb     -1966.697424 kBT
R1128TS439_5.pdb     -3266.012515 kBT
R1128TS147_4.pdb     -2661.892025 kBT
R1128TS125_5.pdb     -2856.686674 kBT
R1128TS229_4.pdb     -3266.012515 kBT
R1128TS238_2.pdb     -3274.492441 kBT
R1128TS470_2.pdb     -2569.231609 kBT
R1128TS227_3.pdb     -2661.973674 kBT
R1128TS235_1.pdb     -2723.821605 kBT
R1128TS076_1.pdb     -3271.737804 kBT
R1128TS185_5.pdb     -2581.285622 kBT
R1128TS076_3.pdb     -3344.009195 kBT
R1128TS232_3.pdb     -3813.981643 kBT
R1128TS110_2.pdb     -3672.299790 kBT
R1128TS119_5.pdb     -2910.728976 kBT
R1128TS081_1.pdb     -3102.299683 kBT
R1128TS489_4.pdb     -2480.125613 kBT
R1128TS235_3.pdb     -2809.771635 kBT
R1128TS035_5.pdb     -2156.986039 kBT
R1128TS227_1.pdb     -2725.717300 kBT
R1128TS439_4.pdb     -3300.137624 kBT
R1128TS035_4.pdb     -2307.661134 kBT
R1128TS434_5.pdb     -2711.398624 kBT
R1128TS489_2.pdb     -2569.231609 kBT
R1128TS128_1.pdb     -2723.753676 kBT
R1128TS227_4.pdb     -2628.742112 kBT
R1128TS232_2.pdb     -3720.727406 kBT
R1128TS029_1.pdb     -1954.013502 kBT
R1128TS232_1.pdb     -3756.747535 kBT
R1128TS185_1.pdb     -2676.755782 kBT
R1128TS229_2.pdb     -3440.035774 kBT
R1128TS110_1.pdb     -3676.118660 kBT
R1128TS434_1.pdb     -2766.621697 kBT
R1128TS287_1.pdb     -2197.904673 kBT
R1128TS416_3.pdb     -2694.043893 kBT
R1128TS147_1.pdb     -2699.526411 kBT
R1128TS245_1.pdb     -2313.544836 kBT
R1128TS119_2.pdb     -2818.796257 kBT
R1128TS416_2.pdb     -3339.104221 kBT
R1128TS239_2.pdb     -3247.656659 kBT
R1128TS227_2.pdb     -2717.763363 kBT
R1128TS131_4.pdb     -1505.680518 kBT
R1128TS239_5.pdb     -2092.142835 kBT
R1128TS239_4.pdb     -3462.630394 kBT
R1128TS248_2.pdb     -3566.472067 kBT
R1128TS185_2.pdb     -2629.498092 kBT
R1128TS245_2.pdb     -2445.498752 kBT
R1128TS229_1.pdb     -2198.909019 kBT
R1128TS287_3.pdb     -1601.771720 kBT
R1128TS125_2.pdb     -3339.104221 kBT
R1128TS054_5.pdb     -3428.079879 kBT
R1128TS125_1.pdb     -3300.137624 kBT
R1128TS416_5.pdb     -2394.347930 kBT
R1128TS054_3.pdb     -2596.770712 kBT
