1q96C_M470.pdb     -102.398765 kBT
1q96C_M315.pdb     -118.665551 kBT
1q96C_M217.pdb     -82.495452 kBT
1q96C_M327.pdb     -109.824065 kBT
1q96C_M211.pdb     -100.493072 kBT
1q96C_M325.pdb     -109.090089 kBT
1q96C_M296.pdb     -129.749710 kBT
1q96C_M81.pdb     -134.130154 kBT
1q96C_M351.pdb     -102.557582 kBT
1q96C_M153.pdb     -102.747567 kBT
1q96C_M20.pdb     -128.303038 kBT
1q96C_M431.pdb     -81.436179 kBT
1q96C_M88.pdb     -130.644680 kBT
1q96C_M379.pdb     -90.673817 kBT
1q96C_M398.pdb     -96.634010 kBT
1q96C_M156.pdb     -94.568775 kBT
1q96C_M354.pdb     -94.029924 kBT
1q96C_M438.pdb     -103.371007 kBT
1q96C_M25.pdb     -132.146550 kBT
1q96C_M292.pdb     -87.526008 kBT
1q96C_M274.pdb     -107.173420 kBT
1q96C_M189.pdb     -103.909725 kBT
1q96C_M255.pdb     -121.965737 kBT
1q96C_M168.pdb     -98.422503 kBT
1q96C_M196.pdb     -99.591444 kBT
1q96C_M170.pdb     -92.737618 kBT
1q96C_M141.pdb     -117.378644 kBT
1q96C_M303.pdb     -65.887856 kBT
1q96C_M234.pdb     -103.522257 kBT
1q96C_M240.pdb     -130.547038 kBT
1q96C_M46.pdb     -129.344265 kBT
1q96C_M377.pdb     -111.923502 kBT
1q96C_M406.pdb     -108.021113 kBT
1q96C_M258.pdb     -101.521751 kBT
1q96C_M338.pdb     -93.312432 kBT
1q96C_M224.pdb     -107.416766 kBT
1q96C_M120.pdb     -117.129391 kBT
1q96C_M401.pdb     -105.788120 kBT
1q96C_M312.pdb     -120.212387 kBT
1q96C_M93.pdb     -98.045507 kBT
1q96C_M336.pdb     -77.178656 kBT
1q96C_M226.pdb     -108.135247 kBT
1q96C_M331.pdb     -104.857141 kBT
1q96C_M185.pdb     -124.008637 kBT
1q96C_M422.pdb     -118.854257 kBT
1q96C_M192.pdb     -135.894491 kBT
1q96C_M410.pdb     -105.781609 kBT
1q96C_M24.pdb     -161.948734 kBT
1q96C_M254.pdb     -97.000617 kBT
1q96C_M491.pdb     -96.862857 kBT
1q96C_M66.pdb     -116.825060 kBT
1q96C_M214.pdb     -102.412379 kBT
1q96C_M288.pdb     -105.942146 kBT
1q96C_M198.pdb     -105.436159 kBT
1q96C_M126.pdb     -128.048653 kBT
1q96C.pdb     -156.553698 kBT
1q96C_M144.pdb     -103.970299 kBT
1q96C_M76.pdb     -129.401306 kBT
1q96C_M61.pdb     -122.022718 kBT
1q96C_M253.pdb     -99.956733 kBT
1q96C_M299.pdb     -106.210614 kBT
1q96C_M446.pdb     -88.492309 kBT
1q96C_M430.pdb     -97.145373 kBT
1q96C_M256.pdb     -114.234767 kBT
1q96C_M231.pdb     -111.557576 kBT
1q96C_M324.pdb     -93.668240 kBT
1q96C_M474.pdb     -116.835890 kBT
1q96C_M345.pdb     -119.183399 kBT
1q96C_M89.pdb     -112.147442 kBT
1q96C_M343.pdb     -124.524323 kBT
1q96C_M352.pdb     -127.284208 kBT
1q96C_M167.pdb     -106.466148 kBT
1q96C_M134.pdb     -118.994835 kBT
1q96C_M22.pdb     -141.832507 kBT
1q96C_M209.pdb     -98.741022 kBT
1q96C_M443.pdb     -110.769667 kBT
1q96C_M94.pdb     -134.915185 kBT
1q96C_M308.pdb     -80.641203 kBT
1q96C_M57.pdb     -123.626749 kBT
1q96C_M219.pdb     -127.497992 kBT
1q96C_M162.pdb     -122.509521 kBT
1q96C_M428.pdb     -124.455804 kBT
1q96C_M298.pdb     -93.216284 kBT
1q96C_M266.pdb     -72.328355 kBT
1q96C_M133.pdb     -108.642985 kBT
1q96C_M104.pdb     -116.626225 kBT
1q96C_M243.pdb     -117.202928 kBT
1q96C_M33.pdb     -142.247892 kBT
1q96C_M4.pdb     -152.471548 kBT
1q96C_M460.pdb     -96.974961 kBT
