R1126TS029_3.pdb     -1983.300582 kBT
R1126TS227_3.pdb     -1756.048269 kBT
R1126TS110_3.pdb     -1757.424667 kBT
R1126TS076_4.pdb     -2238.023705 kBT
R1126TS392_1.pdb     -2081.084643 kBT
R1126TS128_3.pdb     -2079.381775 kBT
R1126TS054_1.pdb     -2282.820483 kBT
R1126TS110_1.pdb     -1653.478452 kBT
R1126TS238_3.pdb     686.559048 kBT
R1126TS131_4.pdb     -908.552240 kBT
R1126TS416_4.pdb     -1427.191365 kBT
R1126TS235_4.pdb     -1917.686146 kBT
R1126TS444_1.pdb     -1715.053079 kBT
R1126TS119_5.pdb     -2128.442600 kBT
R1126TS229_3.pdb     -2089.854732 kBT
R1126TS245_5.pdb     -1585.918122 kBT
R1126TS054_5.pdb     -2145.215101 kBT
R1126TS227_2.pdb     -1654.528673 kBT
R1126TS125_3.pdb     -2156.837295 kBT
R1126TS248_1.pdb     -1559.180713 kBT
R1126TS076_1.pdb     -1885.579764 kBT
R1126TS147_5.pdb     -1599.040984 kBT
R1126TS076_5.pdb     -2089.854732 kBT
R1126TS232_3.pdb     -2707.978843 kBT
R1126TS110_2.pdb     -1472.709628 kBT
R1126TS128_1.pdb     -1816.013309 kBT
R1126TS035_3.pdb     -1520.713894 kBT
R1126TS245_4.pdb     -1524.715743 kBT
R1126TS128_4.pdb     -1959.551611 kBT
R1126TS416_1.pdb     -1681.124683 kBT
R1126TS434_1.pdb     -1771.923620 kBT
R1126TS147_1.pdb     -1626.280179 kBT
R1126TS147_4.pdb     -1707.386223 kBT
R1126TS119_1.pdb     -2264.480275 kBT
R1126TS131_1.pdb     -1028.712025 kBT
R1126TS128_2.pdb     -2109.847023 kBT
R1126TS125_4.pdb     -1965.457737 kBT
R1126TS287_4.pdb     -1292.160538 kBT
R1126TS110_5.pdb     -1771.598279 kBT
R1126TS235_2.pdb     -1890.206158 kBT
R1126TS444_2.pdb     -2381.235755 kBT
R1126TS035_2.pdb     -1566.154693 kBT
R1126TS232_4.pdb     -2721.882122 kBT
R1126TS490_5.pdb     -1627.569181 kBT
R1126TS054_2.pdb     -2147.007485 kBT
R1126TS229_4.pdb     -2121.524064 kBT
R1126TS235_3.pdb     -1668.486272 kBT
R1126TS434_4.pdb     -1736.741316 kBT
R1126TS490_2.pdb     -1566.154693 kBT
R1126TS439_2.pdb     -2381.235755 kBT
R1126TS128_5.pdb     -1826.239965 kBT
R1126TS239_5.pdb     -1484.073287 kBT
R1126TS434_2.pdb     -1667.154409 kBT
R1126TS439_3.pdb     -2089.854732 kBT
R1126TS434_5.pdb     -1772.134492 kBT
R1126TS248_5.pdb     -1627.569181 kBT
R1126TS081_3.pdb     -2252.638633 kBT
R1126TS439_5.pdb     -1396.964025 kBT
R1126TS489_5.pdb     -1764.534282 kBT
R1126TS235_5.pdb     -2181.140937 kBT
R1126TS232_2.pdb     -2718.693197 kBT
R1126TS147_3.pdb     -1661.777513 kBT
R1126TS076_2.pdb     -2315.781245 kBT
R1126TS227_1.pdb     -1708.589880 kBT
R1126TS229_5.pdb     -1396.964025 kBT
R1126TS029_1.pdb     -1886.075303 kBT
R1126TS110_4.pdb     -1806.416954 kBT
R1126TS125_5.pdb     -2058.613230 kBT
R1126TS232_1.pdb     -2740.259334 kBT
R1126TS081_2.pdb     -2255.846763 kBT
R1126TS444_3.pdb     -1667.292339 kBT
R1126TS131_3.pdb     -956.427740 kBT
R1126TS131_2.pdb     -1003.195451 kBT
R1126TS444_5.pdb     -1547.854387 kBT
R1126TS489_2.pdb     -1651.553966 kBT
R1126TS235_1.pdb     -1455.626914 kBT
R1126TS131_5.pdb     -960.084735 kBT
R1126TS444_4.pdb     -2315.781245 kBT
R1126TS119_2.pdb     -2240.673051 kBT
R1126TS239_4.pdb     -2238.023705 kBT
R1126TS470_1.pdb     -1456.851812 kBT
R1126TS185_3.pdb     -2553.630184 kBT
R1126TS489_1.pdb     -1715.053079 kBT
R1126TS392_2.pdb     -1939.472002 kBT
R1126TS147_2.pdb     -1755.792808 kBT
R1126TS416_2.pdb     -1455.556956 kBT
R1126TS227_4.pdb     -1732.853432 kBT
R1126TS245_2.pdb     -1547.854387 kBT
R1126TS177_1.pdb     -1631.194135 kBT
R1126TS029_2.pdb     -1661.237572 kBT
R1126TS229_1.pdb     -2238.023705 kBT
R1126TS392_3.pdb     -2180.806328 kBT
R1126TS076_3.pdb     -2238.023705 kBT
