R1149TS029_1.pdb     -7815.894942 kBT
R1149TS029_2.pdb     -7007.793099 kBT
R1149TS029_3.pdb     -7583.924143 kBT
R1149TS029_4.pdb     -7794.628571 kBT
R1149TS035_1.pdb     -13914.582110 kBT
R1149TS035_2.pdb     -15218.544786 kBT
R1149TS035_3.pdb     -14546.674994 kBT
R1149TS035_4.pdb     -14188.851321 kBT
R1149TS035_5.pdb     -15099.108527 kBT
R1149TS054_1.pdb     -14101.653423 kBT
R1149TS054_2.pdb     -14014.623007 kBT
R1149TS054_3.pdb     -10626.663055 kBT
R1149TS054_4.pdb     -11882.072286 kBT
R1149TS054_5.pdb     -10491.859633 kBT
R1149TS076_1.pdb     -13088.673025 kBT
R1149TS076_2.pdb     -12502.720018 kBT
R1149TS076_3.pdb     -12896.411694 kBT
R1149TS076_4.pdb     -13855.022291 kBT
R1149TS076_5.pdb     -13422.012712 kBT
R1149TS081_1.pdb     -12046.579686 kBT
R1149TS081_2.pdb     -11416.478451 kBT
R1149TS081_3.pdb     -12649.018517 kBT
R1149TS081_4.pdb     -11317.842811 kBT
R1149TS081_5.pdb     -10886.870592 kBT
R1149TS091_1.pdb     372.948136 kBT
R1149TS091_2.pdb     -167.749582 kBT
R1149TS091_3.pdb     -181.839011 kBT
R1149TS091_4.pdb     296.372659 kBT
R1149TS091_5.pdb     2026.199585 kBT
R1149TS097_1.pdb     -4179.685795 kBT
R1149TS097_2.pdb     -3817.209735 kBT
R1149TS110_1.pdb     -13073.401660 kBT
R1149TS110_2.pdb     -11520.953649 kBT
R1149TS110_3.pdb     -10409.188820 kBT
R1149TS110_4.pdb     -10872.803599 kBT
R1149TS119_1.pdb     -12729.233302 kBT
R1149TS119_2.pdb     -12923.471087 kBT
R1149TS119_3.pdb     -13270.157510 kBT
R1149TS119_4.pdb     -12610.760331 kBT
R1149TS119_5.pdb     -14176.033093 kBT
R1149TS125_1.pdb     -12908.080601 kBT
R1149TS125_2.pdb     -13355.543464 kBT
R1149TS125_3.pdb     -13162.589134 kBT
R1149TS125_4.pdb     -10194.498043 kBT
R1149TS125_5.pdb     -10584.516352 kBT
R1149TS128_1.pdb     -6595.549988 kBT
R1149TS128_2.pdb     -13271.457244 kBT
R1149TS128_3.pdb     -12184.578572 kBT
R1149TS128_4.pdb     -12797.565280 kBT
R1149TS128_5.pdb     -12175.018558 kBT
R1149TS131_1.pdb     -1376.060118 kBT
R1149TS131_2.pdb     -4315.931445 kBT
R1149TS131_3.pdb     -4771.255729 kBT
R1149TS131_4.pdb     -2411.860604 kBT
R1149TS131_5.pdb     -2538.036268 kBT
R1149TS147_1.pdb     -12020.073156 kBT
R1149TS147_2.pdb     -11560.825260 kBT
R1149TS147_3.pdb     -10989.675649 kBT
R1149TS147_4.pdb     -11499.493570 kBT
R1149TS147_5.pdb     -12034.510166 kBT
R1149TS177_1.pdb     -12126.640122 kBT
R1149TS185_1.pdb     -9029.327656 kBT
R1149TS185_2.pdb     -9794.045198 kBT
R1149TS185_3.pdb     -9602.869246 kBT
R1149TS185_4.pdb     -8781.897087 kBT
R1149TS185_5.pdb     -9282.938033 kBT
R1149TS227_1.pdb     -12302.613760 kBT
R1149TS227_2.pdb     -11148.896782 kBT
R1149TS227_3.pdb     -11703.037080 kBT
R1149TS227_4.pdb     -12524.212952 kBT
R1149TS227_5.pdb     -11546.244321 kBT
R1149TS229_1.pdb     -10761.519170 kBT
R1149TS229_2.pdb     -9285.642456 kBT
R1149TS229_3.pdb     -11454.852327 kBT
R1149TS229_4.pdb     -8983.464328 kBT
R1149TS229_5.pdb     -9599.479384 kBT
R1149TS232_1.pdb     -14856.622661 kBT
R1149TS232_2.pdb     -15234.528989 kBT
R1149TS232_3.pdb     -15270.245604 kBT
R1149TS232_4.pdb     -16339.781728 kBT
R1149TS232_5.pdb     -15540.885903 kBT
R1149TS235_1.pdb     -10760.172746 kBT
R1149TS235_2.pdb     -10759.597704 kBT
R1149TS235_3.pdb     -10520.807569 kBT
R1149TS235_4.pdb     -10643.517820 kBT
R1149TS235_5.pdb     -11225.910087 kBT
R1149TS238_1.pdb     -13376.064778 kBT
R1149TS238_2.pdb     -6742.003176 kBT
R1149TS239_1.pdb     -9765.179807 kBT
R1149TS239_2.pdb     -9043.422855 kBT
R1149TS239_3.pdb     -9595.639549 kBT
R1149TS239_4.pdb     -11791.942935 kBT
R1149TS239_5.pdb     -10452.486850 kBT
R1149TS245_1.pdb     -4788.542670 kBT
R1149TS245_2.pdb     -5666.807382 kBT
R1149TS245_3.pdb     -5331.805711 kBT
R1149TS245_4.pdb     -6544.825521 kBT
R1149TS245_5.pdb     -3579.864026 kBT
R1149TS248_1.pdb     -15341.527016 kBT
R1149TS248_2.pdb     -15748.399399 kBT
R1149TS248_3.pdb     -15706.715134 kBT
R1149TS248_4.pdb     -15807.193382 kBT
R1149TS248_5.pdb     -14718.959650 kBT
R1149TS287_1.pdb     -12651.914488 kBT
R1149TS287_2.pdb     -14488.981703 kBT
R1149TS287_3.pdb     -14881.031907 kBT
R1149TS287_4.pdb     -15006.486046 kBT
R1149TS287_5.pdb     -14612.390320 kBT
R1149TS385_1.pdb     -4702.006454 kBT
R1149TS385_2.pdb     -5693.528130 kBT
