1jbrD_M190.pdb     -122.161224 kBT
1jbrD_M285.pdb     -116.928261 kBT
1jbrD_M378.pdb     -73.796901 kBT
1jbrD_M456.pdb     -97.486625 kBT
1jbrD_M310.pdb     -119.569006 kBT
1jbrD_M360.pdb     -101.205718 kBT
1jbrD_M136.pdb     -117.490390 kBT
1jbrD_M112.pdb     -106.776323 kBT
1jbrD_M133.pdb     -125.379467 kBT
1jbrD_M280.pdb     -106.619762 kBT
1jbrD_M13.pdb     -152.430744 kBT
1jbrD_M348.pdb     -97.468669 kBT
1jbrD_M253.pdb     -100.043689 kBT
1jbrD_M227.pdb     -94.963510 kBT
1jbrD_M17.pdb     -163.548154 kBT
1jbrD_M139.pdb     -129.124494 kBT
1jbrD_M458.pdb     -92.775952 kBT
1jbrD_M330.pdb     -101.636543 kBT
1jbrD_M465.pdb     -107.328980 kBT
1jbrD_M28.pdb     -163.567354 kBT
1jbrD_M455.pdb     -97.858592 kBT
1jbrD_M174.pdb     -113.317354 kBT
1jbrD_M170.pdb     -131.289080 kBT
1jbrD_M402.pdb     -112.635735 kBT
1jbrD_M122.pdb     -111.404660 kBT
1jbrD_M371.pdb     -94.568001 kBT
1jbrD_M387.pdb     -115.616255 kBT
1jbrD_M203.pdb     -125.931881 kBT
1jbrD_M180.pdb     -108.149710 kBT
1jbrD_M22.pdb     -143.738922 kBT
1jbrD_M316.pdb     -93.953760 kBT
1jbrD_M467.pdb     -104.071620 kBT
1jbrD_M311.pdb     -107.814621 kBT
1jbrD_M419.pdb     -90.693046 kBT
1jbrD_M317.pdb     -102.346385 kBT
1jbrD_M110.pdb     -106.304522 kBT
1jbrD_M300.pdb     -110.436578 kBT
1jbrD_M2.pdb     -136.289242 kBT
1jbrD_M373.pdb     -115.029763 kBT
1jbrD_M157.pdb     -95.791658 kBT
1jbrD_M270.pdb     -92.371325 kBT
1jbrD_M167.pdb     -106.403347 kBT
1jbrD_M412.pdb     -84.715382 kBT
1jbrD_M320.pdb     -105.069378 kBT
1jbrD_M121.pdb     -129.169492 kBT
1jbrD_M80.pdb     -98.185378 kBT
1jbrD_M359.pdb     -103.862656 kBT
1jbrD_M243.pdb     -104.224353 kBT
1jbrD_M206.pdb     -129.871874 kBT
1jbrD_M241.pdb     -82.440289 kBT
1jbrD_M188.pdb     -93.209920 kBT
1jbrD_M395.pdb     -117.696398 kBT
1jbrD_M420.pdb     -106.897556 kBT
1jbrD_M64.pdb     -102.797812 kBT
1jbrD_M256.pdb     -102.894095 kBT
1jbrD_M483.pdb     -82.689988 kBT
1jbrD_M26.pdb     -163.196134 kBT
1jbrD_M217.pdb     -114.018946 kBT
1jbrD_M364.pdb     -117.567703 kBT
