1ooaD_M413.pdb     -50.946343 kBT
1ooaD_M478.pdb     -60.482848 kBT
1ooaD_M362.pdb     -63.306020 kBT
1ooaD_M30.pdb     -88.737960 kBT
1ooaD_M320.pdb     -35.064803 kBT
1ooaD_M249.pdb     -50.966014 kBT
1ooaD_M437.pdb     -57.280429 kBT
1ooaD_M380.pdb     -34.335935 kBT
1ooaD_M169.pdb     -66.971971 kBT
1ooaD_M370.pdb     -59.080635 kBT
1ooaD_M71.pdb     -79.856344 kBT
1ooaD_M61.pdb     -67.346656 kBT
1ooaD_M312.pdb     -55.409055 kBT
1ooaD_M212.pdb     -35.177387 kBT
1ooaD_M319.pdb     -49.612040 kBT
1ooaD_M6.pdb     -105.279357 kBT
1ooaD_M121.pdb     -62.874637 kBT
1ooaD_M218.pdb     -61.353882 kBT
1ooaD_M52.pdb     -69.906819 kBT
1ooaD_M83.pdb     -89.720563 kBT
1ooaD_M200.pdb     -38.770354 kBT
1ooaD_M450.pdb     -49.832910 kBT
1ooaD_M311.pdb     -59.616628 kBT
1ooaD_M51.pdb     -68.348362 kBT
1ooaD_M340.pdb     -57.969859 kBT
1ooaD_M136.pdb     -38.873716 kBT
1ooaD_M46.pdb     -73.272025 kBT
1ooaD_M308.pdb     -50.782496 kBT
1ooaD_M473.pdb     -60.316235 kBT
1ooaD_M119.pdb     -70.939252 kBT
1ooaD_M271.pdb     -66.934086 kBT
1ooaD_M92.pdb     -76.086442 kBT
1ooaD_M54.pdb     -56.130789 kBT
1ooaD_M38.pdb     -79.013888 kBT
1ooaD_M165.pdb     -41.771974 kBT
1ooaD_M185.pdb     -55.660037 kBT
1ooaD_M395.pdb     -77.410239 kBT
1ooaD_M440.pdb     -46.558297 kBT
1ooaD_M144.pdb     -52.312944 kBT
1ooaD_M433.pdb     -64.457444 kBT
1ooaD_M287.pdb     -37.112090 kBT
1ooaD_M397.pdb     -28.093891 kBT
1ooaD_M272.pdb     -31.138485 kBT
1ooaD_M29.pdb     -84.757677 kBT
1ooaD_M252.pdb     -46.058878 kBT
1ooaD_M356.pdb     -79.531422 kBT
1ooaD_M367.pdb     -62.963005 kBT
1ooaD_M187.pdb     -69.483193 kBT
1ooaD_M409.pdb     -56.353715 kBT
1ooaD_M197.pdb     -49.866953 kBT
1ooaD_M408.pdb     -54.087912 kBT
1ooaD_M60.pdb     -76.423798 kBT
1ooaD_M143.pdb     -41.595414 kBT
1ooaD_M246.pdb     -38.997079 kBT
1ooaD_M486.pdb     -67.775819 kBT
1ooaD_M167.pdb     -50.392969 kBT
1ooaD_M459.pdb     -62.613105 kBT
1ooaD_M225.pdb     -53.475800 kBT
1ooaD_M461.pdb     -28.158469 kBT
1ooaD_M281.pdb     -56.603206 kBT
1ooaD_M374.pdb     -75.532807 kBT
1ooaD_M155.pdb     -72.121175 kBT
1ooaD_M239.pdb     -51.201478 kBT
1ooaD_M98.pdb     -94.876367 kBT
1ooaD_M456.pdb     -47.096821 kBT
1ooaD_M170.pdb     -58.290419 kBT
1ooaD_M483.pdb     -67.744033 kBT
1ooaD_M404.pdb     -39.504009 kBT
1ooaD_M190.pdb     -57.602404 kBT
1ooaD_M184.pdb     -46.074929 kBT
1ooaD_M498.pdb     -41.568447 kBT
1ooaD_M422.pdb     -67.126951 kBT
1ooaD_M208.pdb     -55.250919 kBT
1ooaD_M159.pdb     -67.528703 kBT
1ooaD_M115.pdb     -54.363135 kBT
1ooaD_M265.pdb     -61.924299 kBT
1ooaD_M394.pdb     -49.056620 kBT
1ooaD_M154.pdb     -41.163439 kBT
1ooaD_M466.pdb     -64.536495 kBT
1ooaD_M297.pdb     -64.481141 kBT
1ooaD_M195.pdb     -78.436534 kBT
1ooaD_M475.pdb     -61.254297 kBT
1ooaD_M343.pdb     -31.068110 kBT
1ooaD_M388.pdb     -42.563254 kBT
1ooaD_M59.pdb     -71.225065 kBT
1ooaD_M432.pdb     -69.783874 kBT
1ooaD_M214.pdb     -53.840852 kBT
1ooaD_M183.pdb     -49.839673 kBT
1ooaD_M31.pdb     -44.197319 kBT
1ooaD_M211.pdb     -78.123199 kBT
1ooaD_M267.pdb     -48.615134 kBT
1ooaD_M278.pdb     -68.594412 kBT
1ooaD_M268.pdb     -66.578649 kBT
1ooaD_M378.pdb     -72.075305 kBT
1ooaD_M234.pdb     -64.009694 kBT
1ooaD_M189.pdb     -41.377822 kBT
1ooaD_M84.pdb     -84.599543 kBT
1ooaD_M484.pdb     -57.025012 kBT
1ooaD_M161.pdb     -59.683878 kBT
1ooaD_M201.pdb     -60.772636 kBT
1ooaD_M347.pdb     -67.597698 kBT
1ooaD_M419.pdb     -40.286405 kBT
1ooaD_M111.pdb     -71.218921 kBT
1ooaD_M174.pdb     -53.076849 kBT
1ooaD_M39.pdb     -98.182210 kBT
1ooaD_M10.pdb     -106.341425 kBT
1ooaD_M492.pdb     -85.131503 kBT
1ooaD_M158.pdb     -77.326978 kBT
1ooaD_M85.pdb     -58.586734 kBT
1ooaD_M352.pdb     -51.211553 kBT
1ooaD_M288.pdb     -50.530534 kBT
1ooaD_M299.pdb     -48.062003 kBT
1ooaD_M233.pdb     -28.931709 kBT
1ooaD_M302.pdb     -46.839520 kBT
1ooaD_M224.pdb     -44.926728 kBT
1ooaD_M258.pdb     -46.173551 kBT
1ooaD_M351.pdb     -50.448476 kBT
1ooaD_M441.pdb     -50.624672 kBT
1ooaD_M3.pdb     -106.798298 kBT
1ooaD_M235.pdb     -34.119519 kBT
1ooaD_M349.pdb     -30.306967 kBT
1ooaD_M342.pdb     -65.569207 kBT
1ooaD_M139.pdb     -53.635449 kBT
1ooaD_M116.pdb     -48.948320 kBT
1ooaD_M381.pdb     -37.780217 kBT
1ooaD_M431.pdb     -34.413386 kBT
1ooaD_M257.pdb     -45.968796 kBT
1ooaD_M290.pdb     -43.512254 kBT
1ooaD_M149.pdb     -41.836982 kBT
1ooaD_M58.pdb     -71.739674 kBT
1ooaD_M493.pdb     -56.246265 kBT
1ooaD_M113.pdb     -68.666826 kBT
1ooaD_M240.pdb     -41.792382 kBT
1ooaD_M315.pdb     -75.943620 kBT
1ooaD_M45.pdb     -92.753152 kBT
1ooaD_M304.pdb     -35.686870 kBT
1ooaD_M110.pdb     -55.327125 kBT
1ooaD_M191.pdb     -52.192080 kBT
1ooaD_M341.pdb     -44.755508 kBT
1ooaD_M222.pdb     -45.433726 kBT
1ooaD_M449.pdb     -42.708939 kBT
1ooaD_M172.pdb     -57.270655 kBT
1ooaD_M325.pdb     -57.488003 kBT
1ooaD_M241.pdb     -29.227768 kBT
1ooaD_M259.pdb     -36.352524 kBT
1ooaD_M147.pdb     -52.762831 kBT
1ooaD_M223.pdb     -51.602669 kBT
1ooaD_M292.pdb     -64.711905 kBT
1ooaD_M447.pdb     -21.959796 kBT
1ooaD_M18.pdb     -98.298411 kBT
1ooaD_M70.pdb     -88.715658 kBT
1ooaD_M385.pdb     -80.170285 kBT
1ooaD_M125.pdb     -51.455459 kBT
1ooaD_M424.pdb     -61.860626 kBT
1ooaD_M251.pdb     -79.556647 kBT
1ooaD_M1.pdb     -110.558600 kBT
1ooaD_M421.pdb     -61.986236 kBT
1ooaD_M411.pdb     -28.372393 kBT
1ooaD_M176.pdb     -71.108701 kBT
1ooaD_M109.pdb     -54.914126 kBT
1ooaD_M130.pdb     -66.888740 kBT
1ooaD_M66.pdb     -75.426674 kBT
1ooaD_M321.pdb     -42.187220 kBT
1ooaD_M499.pdb     -35.844445 kBT
1ooaD_M250.pdb     -47.499406 kBT
1ooaD_M262.pdb     -55.198868 kBT
1ooaD_M313.pdb     -40.399485 kBT
1ooaD_M179.pdb     -74.500337 kBT
1ooaD_M22.pdb     -104.316788 kBT
1ooaD_M479.pdb     -39.320490 kBT
1ooaD_M415.pdb     -70.370523 kBT
1ooaD_M132.pdb     -47.269502 kBT
