2drbB_M335.pdb     -122.424085 kBT
2drbB_M88.pdb     -131.767005 kBT
2drbB_M301.pdb     -135.893037 kBT
2drbB_M311.pdb     -127.508435 kBT
2drbB_M9.pdb     -167.158151 kBT
2drbB_M140.pdb     -153.951841 kBT
2drbB_M460.pdb     -106.024785 kBT
2drbB_M77.pdb     -162.674267 kBT
2drbB_M474.pdb     -130.971282 kBT
2drbB_M312.pdb     -124.540901 kBT
2drbB_M375.pdb     -113.917522 kBT
2drbB_M97.pdb     -142.937201 kBT
2drbB_M80.pdb     -126.718275 kBT
2drbB_M76.pdb     -155.027520 kBT
2drbB_M93.pdb     -119.757154 kBT
2drbB_M261.pdb     -125.556375 kBT
2drbB_M124.pdb     -122.349482 kBT
2drbB_M181.pdb     -134.108274 kBT
2drbB_M457.pdb     -114.713122 kBT
2drbB_M230.pdb     -153.902965 kBT
2drbB_M306.pdb     -122.749947 kBT
2drbB_M114.pdb     -153.491299 kBT
2drbB_M153.pdb     -128.467912 kBT
2drbB_M260.pdb     -115.582758 kBT
2drbB_M352.pdb     -129.584979 kBT
2drbB_M157.pdb     -158.830679 kBT
2drbB_M319.pdb     -135.915467 kBT
2drbB_M156.pdb     -140.388115 kBT
2drbB_M496.pdb     -121.778535 kBT
2drbB_M426.pdb     -125.682048 kBT
2drbB_M442.pdb     -116.978342 kBT
2drbB_M423.pdb     -100.929856 kBT
2drbB_M393.pdb     -94.421321 kBT
2drbB_M294.pdb     -105.624139 kBT
2drbB_M463.pdb     -122.973374 kBT
2drbB_M296.pdb     -128.848277 kBT
2drbB_M445.pdb     -96.123813 kBT
2drbB_M238.pdb     -136.671299 kBT
2drbB_M482.pdb     -133.175237 kBT
2drbB_M96.pdb     -151.241070 kBT
2drbB_M125.pdb     -161.116154 kBT
2drbB_M417.pdb     -130.475240 kBT
2drbB_M490.pdb     -95.883535 kBT
2drbB_M14.pdb     -167.472165 kBT
2drbB_M214.pdb     -141.678240 kBT
2drbB_M83.pdb     -144.346776 kBT
2drbB_M387.pdb     -112.235410 kBT
2drbB_M368.pdb     -117.027070 kBT
2drbB_M196.pdb     -137.449869 kBT
2drbB_M169.pdb     -141.616301 kBT
2drbB_M329.pdb     -126.090046 kBT
2drbB_M396.pdb     -134.430777 kBT
2drbB_M461.pdb     -99.982084 kBT
2drbB_M486.pdb     -99.204720 kBT
2drbB_M346.pdb     -127.088848 kBT
2drbB_M403.pdb     -94.135689 kBT
2drbB_M215.pdb     -117.009402 kBT
2drbB_M206.pdb     -132.727902 kBT
2drbB_M251.pdb     -142.587362 kBT
2drbB_M111.pdb     -136.474855 kBT
2drbB_M427.pdb     -139.103417 kBT
2drbB_M163.pdb     -151.072158 kBT
2drbB_M44.pdb     -149.707176 kBT
2drbB_M362.pdb     -127.540483 kBT
2drbB_M81.pdb     -150.369566 kBT
2drbB_M185.pdb     -142.534388 kBT
2drbB_M282.pdb     -106.265167 kBT
2drbB_M16.pdb     -169.930366 kBT
2drbB_M469.pdb     -121.595157 kBT
2drbB_M162.pdb     -148.208684 kBT
2drbB_M190.pdb     -128.618961 kBT
2drbB_M408.pdb     -122.278966 kBT
2drbB_M458.pdb     -109.324927 kBT
2drbB_M236.pdb     -123.484522 kBT
2drbB_M313.pdb     -98.268253 kBT
2drbB_M204.pdb     -148.907069 kBT
2drbB_M63.pdb     -163.825074 kBT
2drbB_M406.pdb     -138.131917 kBT
2drbB_M255.pdb     -129.074196 kBT
2drbB_M73.pdb     -136.899862 kBT
2drbB_M345.pdb     -119.106224 kBT
2drbB_M307.pdb     -100.310799 kBT
2drbB_M200.pdb     -113.217147 kBT
2drbB_M361.pdb     -121.079714 kBT
2drbB_M479.pdb     -102.355611 kBT
2drbB_M478.pdb     -135.028064 kBT
2drbB_M401.pdb     -111.002452 kBT
2drbB_M383.pdb     -112.567754 kBT
2drbB_M123.pdb     -148.624426 kBT
2drbB_M132.pdb     -127.016342 kBT
2drbB_M210.pdb     -126.010200 kBT
2drbB_M323.pdb     -147.625078 kBT
2drbB_M46.pdb     -144.955293 kBT
2drbB_M128.pdb     -148.219210 kBT
2drbB_M295.pdb     -133.201278 kBT
2drbB_M70.pdb     -146.352855 kBT
2drbB_M245.pdb     -138.970289 kBT
2drbB_M366.pdb     -122.871227 kBT
2drbB_M219.pdb     -150.032323 kBT
2drbB_M135.pdb     -140.143381 kBT
2drbB_M331.pdb     -103.464815 kBT
2drbB_M314.pdb     -143.819170 kBT
2drbB_M136.pdb     -152.990617 kBT
2drbB_M324.pdb     -118.501081 kBT
2drbB_M497.pdb     -115.631260 kBT
2drbB_M65.pdb     -134.951436 kBT
2drbB.pdb     -182.666395 kBT
2drbB_M166.pdb     -159.874810 kBT
2drbB_M26.pdb     -154.278440 kBT
2drbB_M60.pdb     -147.577492 kBT
2drbB_M212.pdb     -114.892816 kBT
2drbB_M267.pdb     -130.461400 kBT
2drbB_M17.pdb     -164.480832 kBT
2drbB_M338.pdb     -138.400481 kBT
2drbB_M27.pdb     -160.838641 kBT
2drbB_M82.pdb     -161.288084 kBT
2drbB_M59.pdb     -148.972148 kBT
2drbB_M246.pdb     -136.068890 kBT
2drbB_M257.pdb     -113.703819 kBT
2drbB_M122.pdb     -164.796538 kBT
2drbB_M228.pdb     -120.118507 kBT
2drbB_M276.pdb     -145.107751 kBT
2drbB_M421.pdb     -115.633322 kBT
2drbB_M270.pdb     -108.961753 kBT
2drbB_M115.pdb     -152.619988 kBT
2drbB_M342.pdb     -125.873753 kBT
2drbB_M172.pdb     -144.799614 kBT
2drbB_M217.pdb     -130.135848 kBT
2drbB_M263.pdb     -134.243584 kBT
2drbB_M279.pdb     -103.724654 kBT
2drbB_M109.pdb     -163.329280 kBT
2drbB_M197.pdb     -150.927169 kBT
2drbB_M177.pdb     -145.826587 kBT
2drbB_M179.pdb     -152.013963 kBT
2drbB_M39.pdb     -163.271323 kBT
2drbB_M470.pdb     -140.386281 kBT
2drbB_M189.pdb     -119.932856 kBT
2drbB_M348.pdb     -127.270544 kBT
2drbB_M244.pdb     -136.427275 kBT
2drbB_M411.pdb     -113.675028 kBT
2drbB_M188.pdb     -133.074334 kBT
2drbB_M199.pdb     -138.752054 kBT
2drbB_M363.pdb     -109.923448 kBT
2drbB_M218.pdb     -134.321162 kBT
2drbB_M397.pdb     -130.928389 kBT
2drbB_M13.pdb     -161.911597 kBT
2drbB_M92.pdb     -122.084355 kBT
2drbB_M353.pdb     -128.410258 kBT
2drbB_M465.pdb     -119.185537 kBT
2drbB_M237.pdb     -138.440131 kBT
2drbB_M49.pdb     -164.479389 kBT
2drbB_M339.pdb     -118.159743 kBT
2drbB_M399.pdb     -107.636688 kBT
2drbB_M100.pdb     -123.848776 kBT
2drbB_M262.pdb     -140.975626 kBT
2drbB_M120.pdb     -128.743957 kBT
2drbB_M247.pdb     -141.090262 kBT
2drbB_M205.pdb     -133.510820 kBT
2drbB_M108.pdb     -157.727692 kBT
2drbB_M194.pdb     -148.876833 kBT
2drbB_M89.pdb     -138.789306 kBT
2drbB_M498.pdb     -114.559977 kBT
2drbB_M91.pdb     -148.871099 kBT
2drbB_M182.pdb     -141.914777 kBT
2drbB_M284.pdb     -116.694185 kBT
2drbB_M252.pdb     -146.939084 kBT
2drbB_M84.pdb     -148.156464 kBT
2drbB_M321.pdb     -125.444000 kBT
2drbB_M358.pdb     -107.479159 kBT
2drbB_M372.pdb     -117.632238 kBT
2drbB_M159.pdb     -147.348564 kBT
2drbB_M167.pdb     -163.531253 kBT
2drbB_M462.pdb     -101.449946 kBT
2drbB_M413.pdb     -98.257784 kBT
2drbB_M53.pdb     -123.935697 kBT
2drbB_M281.pdb     -119.199483 kBT
2drbB_M79.pdb     -168.070273 kBT
2drbB_M290.pdb     -134.452358 kBT
2drbB_M52.pdb     -135.477345 kBT
2drbB_M493.pdb     -110.659677 kBT
2drbB_M226.pdb     -137.181345 kBT
2drbB_M488.pdb     -106.622656 kBT
2drbB_M420.pdb     -161.047755 kBT
2drbB_M2.pdb     -186.942994 kBT
2drbB_M173.pdb     -159.518741 kBT
2drbB_M480.pdb     -127.234448 kBT
2drbB_M414.pdb     -131.085545 kBT
2drbB_M483.pdb     -126.741342 kBT
2drbB_M340.pdb     -112.331997 kBT
2drbB_M90.pdb     -135.222018 kBT
2drbB_M85.pdb     -138.580649 kBT
2drbB_M464.pdb     -131.356388 kBT
2drbB_M208.pdb     -133.064242 kBT
2drbB_M446.pdb     -75.669817 kBT
2drbB_M487.pdb     -122.791104 kBT
2drbB_M61.pdb     -146.333198 kBT
2drbB_M68.pdb     -119.687910 kBT
2drbB_M471.pdb     -116.482200 kBT
2drbB_M174.pdb     -164.775823 kBT
2drbB_M475.pdb     -130.386446 kBT
2drbB_M45.pdb     -140.328915 kBT
2drbB_M104.pdb     -142.962075 kBT
2drbB_M5.pdb     -173.433009 kBT
2drbB_M43.pdb     -160.219730 kBT
2drbB_M298.pdb     -146.001538 kBT
2drbB_M360.pdb     -126.010416 kBT
2drbB_M42.pdb     -151.199285 kBT
2drbB_M183.pdb     -149.945181 kBT
2drbB_M118.pdb     -142.562901 kBT
2drbB_M449.pdb     -127.583469 kBT
2drbB_M441.pdb     -100.688310 kBT
2drbB_M302.pdb     -133.039348 kBT
2drbB_M116.pdb     -152.205138 kBT
2drbB_M239.pdb     -145.853831 kBT
2drbB_M227.pdb     -115.871848 kBT
2drbB_M308.pdb     -115.691720 kBT
2drbB_M289.pdb     -138.873867 kBT
2drbB_M333.pdb     -133.730820 kBT
2drbB_M499.pdb     -104.666995 kBT
2drbB_M24.pdb     -155.286182 kBT
2drbB_M300.pdb     -123.059590 kBT
2drbB_M131.pdb     -133.575534 kBT
2drbB_M448.pdb     -109.299326 kBT
2drbB_M231.pdb     -121.367797 kBT
2drbB_M429.pdb     -94.856036 kBT
2drbB_M175.pdb     -164.161131 kBT
2drbB_M161.pdb     -140.159832 kBT
2drbB_M240.pdb     -134.066370 kBT
2drbB_M56.pdb     -167.126157 kBT
2drbB_M273.pdb     -149.502298 kBT
2drbB_M341.pdb     -136.934538 kBT
2drbB_M25.pdb     -168.758454 kBT
2drbB_M425.pdb     -104.826655 kBT
2drbB_M264.pdb     -131.707032 kBT
2drbB_M371.pdb     -104.863724 kBT
2drbB_M202.pdb     -143.030404 kBT
2drbB_M454.pdb     -134.451246 kBT
2drbB_M481.pdb     -134.198307 kBT
2drbB_M147.pdb     -156.832034 kBT
2drbB_M459.pdb     -128.528976 kBT
2drbB_M443.pdb     -130.721801 kBT
2drbB_M431.pdb     -109.388501 kBT
2drbB_M492.pdb     -91.580231 kBT
2drbB_M15.pdb     -162.867365 kBT
2drbB_M349.pdb     -123.593219 kBT
2drbB_M180.pdb     -131.974497 kBT
2drbB_M256.pdb     -130.656569 kBT
2drbB_M379.pdb     -131.455981 kBT
2drbB_M412.pdb     -137.198080 kBT
2drbB_M495.pdb     -87.730419 kBT
2drbB_M139.pdb     -140.090926 kBT
2drbB_M243.pdb     -110.572686 kBT
2drbB_M477.pdb     -107.459322 kBT
2drbB_M317.pdb     -136.084891 kBT
2drbB_M155.pdb     -133.004414 kBT
2drbB_M121.pdb     -134.242693 kBT
2drbB_M356.pdb     -111.028223 kBT
2drbB_M430.pdb     -126.397728 kBT
2drbB_M220.pdb     -123.428804 kBT
2drbB_M385.pdb     -109.934932 kBT
2drbB_M327.pdb     -145.863239 kBT
2drbB_M447.pdb     -105.135865 kBT
2drbB_M34.pdb     -165.836627 kBT
2drbB_M143.pdb     -130.649526 kBT
2drbB_M432.pdb     -111.805561 kBT
2drbB_M225.pdb     -127.023028 kBT
2drbB_M303.pdb     -136.999864 kBT
2drbB_M222.pdb     -120.335092 kBT
2drbB_M57.pdb     -148.498953 kBT
2drbB_M41.pdb     -142.514743 kBT
2drbB_M117.pdb     -162.385701 kBT
2drbB_M235.pdb     -123.499650 kBT
2drbB_M241.pdb     -134.688127 kBT
2drbB_M232.pdb     -110.900425 kBT
2drbB_M416.pdb     -111.821312 kBT
2drbB_M233.pdb     -126.816650 kBT
2drbB_M224.pdb     -124.287850 kBT
2drbB_M402.pdb     -92.851343 kBT
2drbB_M332.pdb     -114.193381 kBT
2drbB_M357.pdb     -105.348702 kBT
2drbB_M105.pdb     -147.743506 kBT
2drbB_M229.pdb     -107.548273 kBT
2drbB_M378.pdb     -125.566502 kBT
2drbB_M21.pdb     -168.622347 kBT
2drbB_M192.pdb     -139.315512 kBT
2drbB_M265.pdb     -109.916299 kBT
2drbB_M216.pdb     -133.093139 kBT
2drbB_M11.pdb     -181.911372 kBT
2drbB_M310.pdb     -125.433556 kBT
2drbB_M476.pdb     -124.554303 kBT
2drbB_M299.pdb     -119.201755 kBT
2drbB_M221.pdb     -142.613635 kBT
2drbB_M376.pdb     -126.329794 kBT
2drbB_M439.pdb     -107.649348 kBT
2drbB_M146.pdb     -145.739292 kBT
2drbB_M213.pdb     -127.287974 kBT
2drbB_M364.pdb     -133.589055 kBT
2drbB_M269.pdb     -132.992313 kBT
2drbB_M130.pdb     -149.694620 kBT
2drbB_M280.pdb     -123.961100 kBT
2drbB_M315.pdb     -124.430980 kBT
2drbB_M71.pdb     -129.927660 kBT
2drbB_M40.pdb     -145.765135 kBT
2drbB_M160.pdb     -126.999738 kBT
2drbB_M103.pdb     -146.638588 kBT
2drbB_M171.pdb     -135.481945 kBT
2drbB_M374.pdb     -142.389828 kBT
2drbB_M149.pdb     -137.306553 kBT
2drbB_M54.pdb     -151.352986 kBT
2drbB_M444.pdb     -141.114951 kBT
2drbB_M23.pdb     -161.718690 kBT
2drbB_M440.pdb     -114.926119 kBT
2drbB_M107.pdb     -133.531742 kBT
2drbB_M409.pdb     -110.350938 kBT
2drbB_M304.pdb     -116.632242 kBT
2drbB_M473.pdb     -105.954725 kBT
2drbB_M436.pdb     -133.004639 kBT
2drbB_M191.pdb     -131.486017 kBT
2drbB_M152.pdb     -128.740094 kBT
2drbB_M422.pdb     -122.023906 kBT
2drbB_M287.pdb     -151.357090 kBT
2drbB_M343.pdb     -124.474723 kBT
2drbB_M381.pdb     -142.826285 kBT
2drbB_M249.pdb     -133.578089 kBT
2drbB_M455.pdb     -119.350215 kBT
2drbB_M291.pdb     -150.030410 kBT
2drbB_M452.pdb     -114.181734 kBT
2drbB_M318.pdb     -139.435862 kBT
2drbB_M407.pdb     -137.856991 kBT
2drbB_M184.pdb     -149.748918 kBT
2drbB_M491.pdb     -115.811674 kBT
2drbB_M466.pdb     -109.338683 kBT
2drbB_M268.pdb     -136.981498 kBT
2drbB_M274.pdb     -118.722764 kBT
2drbB_M50.pdb     -145.039180 kBT
2drbB_M285.pdb     -143.905134 kBT
2drbB_M297.pdb     -134.108453 kBT
2drbB_M126.pdb     -112.763439 kBT
2drbB_M286.pdb     -105.725926 kBT
2drbB_M31.pdb     -148.578097 kBT
2drbB_M405.pdb     -142.595553 kBT
2drbB_M86.pdb     -149.080872 kBT
2drbB_M150.pdb     -148.898038 kBT
2drbB_M344.pdb     -137.064693 kBT
2drbB_M309.pdb     -143.844288 kBT
2drbB_M278.pdb     -124.675427 kBT
