6tnaA_M335.pdb     -666.756254 kBT
6tnaA_M419.pdb     -689.116104 kBT
6tnaA_M20.pdb     -929.161743 kBT
6tnaA_M321.pdb     -749.858267 kBT
6tnaA_M27.pdb     -909.905151 kBT
6tnaA_M147.pdb     -769.336235 kBT
6tnaA_M34.pdb     -890.927648 kBT
6tnaA_M187.pdb     -769.476883 kBT
6tnaA_M87.pdb     -856.402668 kBT
6tnaA_M322.pdb     -718.749693 kBT
6tnaA_M74.pdb     -887.546569 kBT
6tnaA_M73.pdb     -820.362964 kBT
6tnaA_M245.pdb     -719.738790 kBT
6tnaA_M495.pdb     -592.486019 kBT
6tnaA_M336.pdb     -645.828738 kBT
6tnaA_M278.pdb     -691.778584 kBT
6tnaA_M479.pdb     -700.887636 kBT
6tnaA_M458.pdb     -692.634677 kBT
6tnaA_M56.pdb     -821.227828 kBT
6tnaA_M384.pdb     -651.941504 kBT
6tnaA_M499.pdb     -639.338484 kBT
6tnaA_M114.pdb     -851.385572 kBT
6tnaA_M494.pdb     -677.798041 kBT
6tnaA_M189.pdb     -749.337442 kBT
6tnaA_M143.pdb     -741.550056 kBT
6tnaA_M454.pdb     -663.441143 kBT
6tnaA_M274.pdb     -789.552799 kBT
6tnaA_M156.pdb     -761.677022 kBT
6tnaA_M352.pdb     -741.203665 kBT
6tnaA_M15.pdb     -949.984936 kBT
6tnaA_M365.pdb     -690.411890 kBT
6tnaA_M400.pdb     -670.611384 kBT
6tnaA_M444.pdb     -694.560680 kBT
6tnaA_M216.pdb     -721.995989 kBT
6tnaA_M225.pdb     -854.098864 kBT
6tnaA_M354.pdb     -744.731413 kBT
6tnaA_M461.pdb     -651.325170 kBT
6tnaA_M224.pdb     -740.215784 kBT
6tnaA_M382.pdb     -651.481111 kBT
6tnaA_M248.pdb     -762.417895 kBT
6tnaA_M97.pdb     -824.592916 kBT
6tnaA_M92.pdb     -836.184922 kBT
6tnaA_M89.pdb     -849.229386 kBT
6tnaA_M484.pdb     -619.371697 kBT
6tnaA_M271.pdb     -738.006767 kBT
6tnaA_M473.pdb     -674.987766 kBT
6tnaA_M477.pdb     -632.654989 kBT
6tnaA_M391.pdb     -651.713549 kBT
6tnaA_M183.pdb     -705.697193 kBT
6tnaA_M334.pdb     -747.846473 kBT
6tnaA_M168.pdb     -743.475668 kBT
6tnaA_M207.pdb     -709.132228 kBT
6tnaA_M270.pdb     -724.204399 kBT
6tnaA_M197.pdb     -753.551508 kBT
6tnaA_M38.pdb     -886.367832 kBT
6tnaA_M453.pdb     -670.454519 kBT
6tnaA_M98.pdb     -773.914835 kBT
