2dlcY_M295.pdb     -197.321486 kBT
2dlcY_M389.pdb     -173.244442 kBT
2dlcY_M461.pdb     -183.245097 kBT
2dlcY_M335.pdb     -168.778204 kBT
2dlcY_M174.pdb     -207.620690 kBT
2dlcY_M243.pdb     -171.397961 kBT
2dlcY_M307.pdb     -180.796570 kBT
2dlcY_M395.pdb     -174.861718 kBT
2dlcY_M314.pdb     -172.483001 kBT
2dlcY_M215.pdb     -186.848716 kBT
2dlcY_M109.pdb     -191.810599 kBT
2dlcY_M216.pdb     -178.474431 kBT
2dlcY_M372.pdb     -169.808578 kBT
2dlcY_M133.pdb     -184.643208 kBT
2dlcY_M231.pdb     -187.234048 kBT
2dlcY_M218.pdb     -171.048445 kBT
2dlcY_M439.pdb     -191.347099 kBT
2dlcY_M87.pdb     -188.651144 kBT
2dlcY_M140.pdb     -202.762219 kBT
2dlcY_M208.pdb     -206.201582 kBT
2dlcY_M79.pdb     -202.034413 kBT
2dlcY_M384.pdb     -179.392086 kBT
2dlcY_M278.pdb     -165.793945 kBT
2dlcY_M339.pdb     -166.335712 kBT
2dlcY_M408.pdb     -168.192039 kBT
2dlcY_M86.pdb     -201.163345 kBT
2dlcY_M446.pdb     -164.962927 kBT
2dlcY_M190.pdb     -187.592454 kBT
2dlcY_M106.pdb     -209.882298 kBT
2dlcY_M177.pdb     -212.930682 kBT
2dlcY_M301.pdb     -170.582063 kBT
2dlcY_M412.pdb     -170.952597 kBT
2dlcY_M77.pdb     -206.039787 kBT
2dlcY_M374.pdb     -148.078934 kBT
2dlcY_M424.pdb     -170.804150 kBT
2dlcY_M38.pdb     -203.687702 kBT
2dlcY_M96.pdb     -194.252567 kBT
2dlcY_M386.pdb     -177.870158 kBT
2dlcY_M117.pdb     -198.893115 kBT
2dlcY_M137.pdb     -191.412417 kBT
2dlcY_M431.pdb     -175.859101 kBT
2dlcY_M341.pdb     -179.267730 kBT
2dlcY_M360.pdb     -177.903874 kBT
2dlcY_M254.pdb     -190.457000 kBT
2dlcY_M293.pdb     -171.269474 kBT
2dlcY_M214.pdb     -183.239634 kBT
2dlcY_M429.pdb     -160.996855 kBT
2dlcY_M184.pdb     -188.456680 kBT
2dlcY_M440.pdb     -150.235863 kBT
2dlcY_M145.pdb     -201.256539 kBT
2dlcY_M248.pdb     -179.198329 kBT
2dlcY_M198.pdb     -190.125604 kBT
2dlcY_M449.pdb     -171.497833 kBT
2dlcY_M290.pdb     -169.856526 kBT
2dlcY_M11.pdb     -238.716987 kBT
2dlcY_M405.pdb     -179.718888 kBT
2dlcY_M347.pdb     -192.929932 kBT
2dlcY_M71.pdb     -198.920795 kBT
2dlcY_M179.pdb     -172.604287 kBT
2dlcY_M292.pdb     -182.411274 kBT
2dlcY_M437.pdb     -171.899494 kBT
2dlcY_M351.pdb     -168.493743 kBT
2dlcY_M167.pdb     -194.541314 kBT
2dlcY_M222.pdb     -196.750817 kBT
2dlcY_M29.pdb     -207.909751 kBT
2dlcY_M7.pdb     -228.599233 kBT
2dlcY_M99.pdb     -192.434494 kBT
2dlcY_M321.pdb     -176.522949 kBT
2dlcY_M477.pdb     -173.851589 kBT
2dlcY_M83.pdb     -210.505798 kBT
