1mjiD_M86.pdb     -155.151199 kBT
1mjiD_M239.pdb     -131.956725 kBT
1mjiD_M285.pdb     -140.413365 kBT
1mjiD_M85.pdb     -153.987361 kBT
1mjiD_M28.pdb     -155.544957 kBT
1mjiD_M300.pdb     -142.892303 kBT
1mjiD_M349.pdb     -142.066195 kBT
1mjiD_M212.pdb     -142.607915 kBT
1mjiD_M390.pdb     -138.773442 kBT
1mjiD_M335.pdb     -129.597102 kBT
1mjiD_M127.pdb     -137.172875 kBT
1mjiD_M486.pdb     -161.356622 kBT
1mjiD_M474.pdb     -144.949993 kBT
1mjiD_M16.pdb     -164.722234 kBT
1mjiD_M468.pdb     -126.128925 kBT
1mjiD_M355.pdb     -143.893014 kBT
1mjiD_M25.pdb     -150.476986 kBT
1mjiD_M284.pdb     -139.297893 kBT
1mjiD_M481.pdb     -142.826736 kBT
1mjiD_M176.pdb     -146.162781 kBT
1mjiD_M393.pdb     -130.106906 kBT
1mjiD_M361.pdb     -144.452174 kBT
1mjiD_M242.pdb     -149.342436 kBT
1mjiD_M122.pdb     -152.495918 kBT
1mjiD_M331.pdb     -142.161400 kBT
1mjiD_M416.pdb     -144.354953 kBT
1mjiD_M135.pdb     -147.398240 kBT
1mjiD_M171.pdb     -133.550194 kBT
1mjiD_M164.pdb     -136.130289 kBT
1mjiD_M309.pdb     -145.871034 kBT
1mjiD_M283.pdb     -151.263882 kBT
1mjiD_M121.pdb     -140.539948 kBT
1mjiD_M356.pdb     -144.569475 kBT
1mjiD_M286.pdb     -136.931678 kBT
1mjiD_M245.pdb     -149.546933 kBT
1mjiD_M179.pdb     -158.140594 kBT
1mjiD_M412.pdb     -133.311213 kBT
1mjiD_M74.pdb     -150.896076 kBT
1mjiD_M396.pdb     -138.515147 kBT
1mjiD_M364.pdb     -159.569739 kBT
1mjiD_M441.pdb     -158.964097 kBT
1mjiD_M376.pdb     -133.653631 kBT
1mjiD_M153.pdb     -144.618612 kBT
1mjiD_M229.pdb     -134.797810 kBT
1mjiD_M58.pdb     -151.525758 kBT
1mjiD_M12.pdb     -163.088474 kBT
1mjiD_M453.pdb     -146.962424 kBT
1mjiD_M34.pdb     -159.382019 kBT
