2bs1S_M159.pdb     -146.717423 kBT
2bs1S_M2.pdb     -179.442828 kBT
2bs1S_M481.pdb     -133.105380 kBT
2bs1S_M427.pdb     -137.084667 kBT
2bs1S_M426.pdb     -138.057804 kBT
2bs1S_M60.pdb     -158.283423 kBT
2bs1S_M437.pdb     -127.473155 kBT
2bs1S_M391.pdb     -140.179109 kBT
2bs1S_M406.pdb     -113.272011 kBT
2bs1S_M254.pdb     -90.128035 kBT
2bs1S_M219.pdb     -124.772227 kBT
2bs1S_M253.pdb     -120.472620 kBT
2bs1S_M359.pdb     -124.809448 kBT
2bs1S_M239.pdb     -133.180817 kBT
2bs1S_M407.pdb     -123.446527 kBT
2bs1S_M440.pdb     -110.356440 kBT
2bs1S_M316.pdb     -108.663899 kBT
2bs1S_M66.pdb     -163.076014 kBT
2bs1S_M377.pdb     -142.624096 kBT
2bs1S_M396.pdb     -107.644465 kBT
2bs1S_M436.pdb     -104.230492 kBT
2bs1S_M262.pdb     -112.086203 kBT
2bs1S_M480.pdb     -121.440557 kBT
2bs1S_M274.pdb     -143.830646 kBT
2bs1S_M346.pdb     -128.542424 kBT
2bs1S_M10.pdb     -174.562291 kBT
2bs1S_M445.pdb     -127.858369 kBT
2bs1S_M100.pdb     -138.539656 kBT
2bs1S_M145.pdb     -149.245267 kBT
2bs1S_M51.pdb     -170.349603 kBT
2bs1S_M329.pdb     -116.298959 kBT
2bs1S_M412.pdb     -108.175639 kBT
2bs1S_M248.pdb     -95.963524 kBT
2bs1S_M296.pdb     -115.189296 kBT
2bs1S_M306.pdb     -114.588203 kBT
2bs1S_M35.pdb     -175.538073 kBT
2bs1S_M229.pdb     -138.859516 kBT
2bs1S_M204.pdb     -133.364117 kBT
2bs1S_M123.pdb     -148.478703 kBT
2bs1S_M61.pdb     -162.277245 kBT
2bs1S_M112.pdb     -113.636168 kBT
2bs1S_M150.pdb     -112.708970 kBT
2bs1S_M288.pdb     -136.666873 kBT
2bs1S_M454.pdb     -113.725714 kBT
2bs1S_M317.pdb     -129.726098 kBT
2bs1S_M95.pdb     -150.087379 kBT
2bs1S_M294.pdb     -121.905081 kBT
2bs1S_M271.pdb     -126.604148 kBT
2bs1S_M323.pdb     -141.109749 kBT
2bs1S_M119.pdb     -128.448121 kBT
2bs1S_M388.pdb     -138.099522 kBT
2bs1S_M126.pdb     -148.965486 kBT
2bs1S_M495.pdb     -117.231859 kBT
2bs1S_M338.pdb     -139.692002 kBT
2bs1S_M193.pdb     -151.599375 kBT
2bs1S_M220.pdb     -145.055390 kBT
2bs1S_M75.pdb     -167.323920 kBT
2bs1S_M102.pdb     -130.933090 kBT
2bs1S_M259.pdb     -161.982936 kBT
2bs1S_M170.pdb     -132.347237 kBT
2bs1S_M397.pdb     -108.249054 kBT
2bs1S_M8.pdb     -183.646594 kBT
2bs1S_M209.pdb     -118.514420 kBT
2bs1S_M190.pdb     -136.049099 kBT
2bs1S_M55.pdb     -165.834430 kBT
2bs1S_M213.pdb     -158.061355 kBT
2bs1S_M422.pdb     -137.935372 kBT
2bs1S_M242.pdb     -143.743708 kBT
2bs1S_M241.pdb     -121.478021 kBT
2bs1S_M343.pdb     -139.155480 kBT
2bs1S_M336.pdb     -134.858207 kBT
2bs1S_M319.pdb     -129.350707 kBT
2bs1S_M120.pdb     -136.735735 kBT
2bs1S_M71.pdb     -158.084858 kBT
2bs1S_M43.pdb     -180.668393 kBT
2bs1S_M483.pdb     -129.583453 kBT
2bs1S_M410.pdb     -122.739075 kBT
2bs1S_M475.pdb     -123.929586 kBT
2bs1S_M214.pdb     -129.985977 kBT
2bs1S_M63.pdb     -176.212212 kBT
2bs1S_M125.pdb     -162.317951 kBT
2bs1S_M44.pdb     -171.081259 kBT
2bs1S_M84.pdb     -161.300185 kBT
2bs1S_M33.pdb     -189.717940 kBT
2bs1S_M240.pdb     -115.867161 kBT
2bs1S_M11.pdb     -186.596630 kBT
2bs1S_M433.pdb     -87.053343 kBT
2bs1S_M17.pdb     -180.878839 kBT
2bs1S_M188.pdb     -152.576459 kBT
2bs1S_M298.pdb     -151.734849 kBT
2bs1S_M392.pdb     -107.170510 kBT
2bs1S_M357.pdb     -155.559028 kBT
2bs1S_M69.pdb     -158.414567 kBT
2bs1S_M6.pdb     -177.689209 kBT
2bs1S_M167.pdb     -136.050716 kBT
2bs1S_M138.pdb     -149.758186 kBT
2bs1S_M212.pdb     -135.730002 kBT
2bs1S_M448.pdb     -121.709713 kBT
2bs1S_M185.pdb     -152.807090 kBT
2bs1S_M147.pdb     -136.365479 kBT
2bs1S_M442.pdb     -115.644437 kBT
2bs1S_M369.pdb     -115.595626 kBT
2bs1S_M463.pdb     -131.633458 kBT
2bs1S_M34.pdb     -174.839401 kBT
2bs1S_M151.pdb     -130.618922 kBT
2bs1S_M373.pdb     -136.626484 kBT
2bs1S_M461.pdb     -111.055906 kBT
2bs1S_M222.pdb     -109.441115 kBT
2bs1S_M26.pdb     -152.503202 kBT
2bs1S_M127.pdb     -145.202648 kBT
2bs1S_M500.pdb     -130.151977 kBT
2bs1S_M46.pdb     -165.576233 kBT
2bs1S_M295.pdb     -140.985817 kBT
2bs1S_M326.pdb     -112.587616 kBT
2bs1S_M143.pdb     -106.449436 kBT
2bs1S_M197.pdb     -129.969302 kBT
2bs1S_M249.pdb     -140.718266 kBT
2bs1S_M135.pdb     -157.287886 kBT
2bs1S_M109.pdb     -145.405684 kBT
2bs1S_M365.pdb     -136.685006 kBT
2bs1S_M246.pdb     -124.967525 kBT
2bs1S_M321.pdb     -126.342345 kBT
2bs1S_M9.pdb     -181.629020 kBT
2bs1S_M180.pdb     -130.522650 kBT
2bs1S_M384.pdb     -120.849662 kBT
2bs1S_M223.pdb     -135.889106 kBT
2bs1S_M110.pdb     -133.541159 kBT
2bs1S_M379.pdb     -99.538217 kBT
2bs1S_M414.pdb     -119.209142 kBT
2bs1S_M285.pdb     -137.883919 kBT
2bs1S_M202.pdb     -140.730830 kBT
2bs1S_M491.pdb     -114.619497 kBT
2bs1S_M277.pdb     -122.451772 kBT
2bs1S_M470.pdb     -140.626494 kBT
2bs1S_M192.pdb     -105.908519 kBT
2bs1S_M15.pdb     -173.462027 kBT
2bs1S_M320.pdb     -109.193082 kBT
2bs1S_M25.pdb     -180.337603 kBT
2bs1S_M496.pdb     -141.242278 kBT
2bs1S_M178.pdb     -131.563901 kBT
2bs1S_M169.pdb     -138.511665 kBT
2bs1S_M290.pdb     -142.459746 kBT
2bs1S_M186.pdb     -120.477472 kBT
2bs1S_M289.pdb     -140.709305 kBT
2bs1S_M216.pdb     -141.552543 kBT
2bs1S_M201.pdb     -140.467194 kBT
2bs1S_M238.pdb     -144.773488 kBT
2bs1S_M173.pdb     -141.411252 kBT
2bs1S_M255.pdb     -128.090020 kBT
2bs1S_M304.pdb     -122.100198 kBT
2bs1S_M12.pdb     -183.617600 kBT
2bs1S_M421.pdb     -126.208708 kBT
2bs1S_M438.pdb     -134.019561 kBT
2bs1S_M94.pdb     -146.013945 kBT
2bs1S_M7.pdb     -171.296872 kBT
2bs1S_M181.pdb     -129.662079 kBT
2bs1S_M93.pdb     -133.014751 kBT
2bs1S_M302.pdb     -124.235737 kBT
2bs1S_M350.pdb     -113.307013 kBT
2bs1S_M265.pdb     -151.596374 kBT
2bs1S_M362.pdb     -119.278440 kBT
2bs1S_M258.pdb     -131.484227 kBT
2bs1S_M14.pdb     -154.550858 kBT
2bs1S_M272.pdb     -116.141527 kBT
2bs1S_M114.pdb     -146.160148 kBT
2bs1S_M452.pdb     -111.332623 kBT
2bs1S_M372.pdb     -119.901993 kBT
2bs1S_M73.pdb     -141.955975 kBT
2bs1S_M450.pdb     -149.681740 kBT
2bs1S_M163.pdb     -120.364550 kBT
2bs1S_M327.pdb     -114.685386 kBT
2bs1S_M221.pdb     -124.902610 kBT
2bs1S_M476.pdb     -102.328566 kBT
2bs1S_M331.pdb     -118.111987 kBT
2bs1S_M85.pdb     -159.947219 kBT
2bs1S_M149.pdb     -137.425361 kBT
2bs1S_M268.pdb     -132.188307 kBT
2bs1S_M363.pdb     -117.767205 kBT
2bs1S_M282.pdb     -124.636798 kBT
2bs1S_M484.pdb     -111.567720 kBT
2bs1S_M284.pdb     -131.647900 kBT
2bs1S_M293.pdb     -136.402997 kBT
2bs1S_M32.pdb     -197.627180 kBT
2bs1S_M162.pdb     -142.585285 kBT
2bs1S_M88.pdb     -156.096783 kBT
2bs1S_M117.pdb     -108.083395 kBT
2bs1S_M160.pdb     -132.415815 kBT
