1fg0A_M208.pdb     -938.631836 kBT
1fg0A_M44.pdb     -1018.548374 kBT
1fg0A_M255.pdb     -903.112441 kBT
1fg0A_M131.pdb     -966.908022 kBT
1fg0A_M397.pdb     -852.311674 kBT
1fg0A_M438.pdb     -896.827083 kBT
1fg0A_M337.pdb     -915.293199 kBT
1fg0A_M52.pdb     -978.905862 kBT
1fg0A_M168.pdb     -891.806888 kBT
1fg0A_M268.pdb     -870.689247 kBT
1fg0A_M380.pdb     -957.791696 kBT
1fg0A_M450.pdb     -901.538881 kBT
1fg0A_M189.pdb     -917.547330 kBT
1fg0A_M167.pdb     -908.066732 kBT
1fg0A_M413.pdb     -933.875857 kBT
1fg0A_M183.pdb     -969.479298 kBT
1fg0A_M279.pdb     -975.929245 kBT
1fg0A_M139.pdb     -896.887722 kBT
1fg0A_M117.pdb     -965.878702 kBT
1fg0A_M257.pdb     -909.969257 kBT
1fg0A_M209.pdb     -921.058644 kBT
1fg0A_M192.pdb     -927.388676 kBT
1fg0A_M426.pdb     -928.018646 kBT
1fg0A_M98.pdb     -973.399181 kBT
1fg0A_M492.pdb     -897.804122 kBT
1fg0A_M138.pdb     -894.505275 kBT
1fg0A_M261.pdb     -901.515838 kBT
1fg0A_M245.pdb     -861.294972 kBT
1fg0A_M425.pdb     -930.260875 kBT
1fg0A_M126.pdb     -951.912053 kBT
1fg0A_M4.pdb     -1075.166237 kBT
1fg0A_M50.pdb     -964.417566 kBT
1fg0A_M187.pdb     -942.127987 kBT
1fg0A_M326.pdb     -990.956053 kBT
1fg0A_M434.pdb     -920.289560 kBT
1fg0A_M410.pdb     -916.614056 kBT
1fg0A_M104.pdb     -938.697561 kBT
1fg0A_M8.pdb     -1077.261557 kBT
1fg0A_M227.pdb     -903.390356 kBT
1fg0A_M113.pdb     -939.670594 kBT
1fg0A_M359.pdb     -950.590409 kBT
1fg0A_M463.pdb     -886.849651 kBT
1fg0A_M115.pdb     -949.757295 kBT
1fg0A_M282.pdb     -959.910150 kBT
1fg0A_M343.pdb     -895.064370 kBT
1fg0A_M216.pdb     -887.272876 kBT
1fg0A_M444.pdb     -847.806741 kBT
1fg0A_M156.pdb     -1016.204616 kBT
1fg0A_M61.pdb     -960.571994 kBT
1fg0A_M236.pdb     -925.208113 kBT
1fg0A_M69.pdb     -1060.023988 kBT
1fg0A_M375.pdb     -998.009885 kBT
1fg0A_M242.pdb     -980.282063 kBT
1fg0A_M31.pdb     -1015.151525 kBT
1fg0A_M162.pdb     -902.828736 kBT
1fg0A_M461.pdb     -884.334323 kBT
1fg0A_M355.pdb     -981.479729 kBT
1fg0A_M13.pdb     -1038.990561 kBT
1fg0A_M194.pdb     -896.629805 kBT
1fg0A_M34.pdb     -1021.165509 kBT
1fg0A_M226.pdb     -878.268112 kBT
1fg0A_M190.pdb     -920.194304 kBT
1fg0A_M408.pdb     -891.119509 kBT
1fg0A_M198.pdb     -923.123219 kBT
1fg0A_M471.pdb     -922.067696 kBT
1fg0A_M7.pdb     -1071.428853 kBT
1fg0A_M224.pdb     -942.095424 kBT
1fg0A_M1.pdb     -1067.924681 kBT
1fg0A_M373.pdb     -943.600873 kBT
1fg0A_M145.pdb     -911.681041 kBT
1fg0A_M348.pdb     -872.854091 kBT
1fg0A_M281.pdb     -868.869567 kBT
1fg0A_M12.pdb     -1081.461909 kBT
1fg0A_M377.pdb     -932.666263 kBT
