1jbrD_M190.pdb     -229.702854 kBT
1jbrD_M285.pdb     -222.595195 kBT
1jbrD_M378.pdb     -164.648855 kBT
1jbrD_M456.pdb     -186.851412 kBT
1jbrD_M310.pdb     -215.219524 kBT
1jbrD_M360.pdb     -193.869465 kBT
1jbrD_M136.pdb     -237.911108 kBT
1jbrD_M112.pdb     -223.234781 kBT
1jbrD_M133.pdb     -221.956127 kBT
1jbrD_M280.pdb     -223.190195 kBT
1jbrD_M13.pdb     -309.558296 kBT
1jbrD_M348.pdb     -179.873614 kBT
1jbrD_M253.pdb     -196.067201 kBT
1jbrD_M227.pdb     -182.629040 kBT
1jbrD_M17.pdb     -295.490247 kBT
1jbrD_M139.pdb     -226.583387 kBT
1jbrD_M458.pdb     -177.216047 kBT
1jbrD_M330.pdb     -185.682222 kBT
1jbrD_M465.pdb     -211.821495 kBT
1jbrD_M28.pdb     -297.633969 kBT
1jbrD_M455.pdb     -181.358932 kBT
1jbrD_M174.pdb     -216.025033 kBT
1jbrD_M170.pdb     -235.768358 kBT
1jbrD_M402.pdb     -215.814379 kBT
1jbrD_M122.pdb     -224.414388 kBT
1jbrD_M371.pdb     -179.451536 kBT
1jbrD_M387.pdb     -181.549053 kBT
1jbrD_M203.pdb     -204.478400 kBT
1jbrD_M180.pdb     -203.132799 kBT
1jbrD_M22.pdb     -294.000192 kBT
1jbrD_M316.pdb     -154.592316 kBT
1jbrD_M467.pdb     -207.726900 kBT
1jbrD_M311.pdb     -215.330697 kBT
1jbrD_M419.pdb     -192.104185 kBT
1jbrD_M317.pdb     -191.771137 kBT
1jbrD_M110.pdb     -221.074940 kBT
1jbrD_M300.pdb     -181.231854 kBT
1jbrD_M2.pdb     -299.890833 kBT
1jbrD_M373.pdb     -203.422295 kBT
1jbrD_M157.pdb     -213.283383 kBT
1jbrD_M270.pdb     -173.827579 kBT
1jbrD_M167.pdb     -218.575081 kBT
1jbrD_M412.pdb     -186.241698 kBT
1jbrD_M320.pdb     -186.257760 kBT
1jbrD_M121.pdb     -224.721912 kBT
1jbrD_M80.pdb     -208.112531 kBT
1jbrD_M359.pdb     -184.532830 kBT
1jbrD_M243.pdb     -172.469158 kBT
1jbrD_M206.pdb     -199.906863 kBT
1jbrD_M241.pdb     -191.141239 kBT
1jbrD_M188.pdb     -218.385876 kBT
1jbrD_M395.pdb     -179.333184 kBT
1jbrD_M420.pdb     -165.249916 kBT
1jbrD_M64.pdb     -194.047735 kBT
1jbrD_M256.pdb     -204.169186 kBT
1jbrD_M483.pdb     -192.712697 kBT
1jbrD_M26.pdb     -267.888744 kBT
1jbrD_M217.pdb     -243.326342 kBT
1jbrD_M364.pdb     -210.658163 kBT
1jbrD_M83.pdb     -222.927745 kBT
1jbrD_M220.pdb     -217.707630 kBT
1jbrD_M9.pdb     -302.965096 kBT
1jbrD_M470.pdb     -196.796985 kBT
1jbrD_M3.pdb     -313.532478 kBT
1jbrD_M235.pdb     -185.392876 kBT
1jbrD_M350.pdb     -170.942709 kBT
1jbrD_M271.pdb     -210.271667 kBT
1jbrD_M199.pdb     -222.370964 kBT
1jbrD_M153.pdb     -203.827840 kBT
1jbrD_M329.pdb     -163.703736 kBT
1jbrD_M198.pdb     -213.994035 kBT
1jbrD_M58.pdb     -282.168660 kBT
1jbrD_M494.pdb     -169.137421 kBT
1jbrD_M189.pdb     -209.648227 kBT
1jbrD_M499.pdb     -181.676715 kBT
1jbrD_M138.pdb     -232.072407 kBT
1jbrD_M322.pdb     -187.737175 kBT
1jbrD_M21.pdb     -294.998222 kBT
1jbrD_M146.pdb     -202.488562 kBT
1jbrD_M492.pdb     -188.142930 kBT
1jbrD_M216.pdb     -167.054277 kBT
1jbrD_M481.pdb     -165.948800 kBT
1jbrD_M264.pdb     -185.820410 kBT
1jbrD_M246.pdb     -167.787365 kBT
1jbrD_M449.pdb     -204.208591 kBT
1jbrD_M229.pdb     -161.275949 kBT
1jbrD_M252.pdb     -179.073919 kBT
1jbrD_M478.pdb     -193.687679 kBT
1jbrD_M166.pdb     -197.215713 kBT
1jbrD_M208.pdb     -180.924256 kBT
1jbrD_M234.pdb     -229.113755 kBT
1jbrD_M265.pdb     -175.676608 kBT
1jbrD_M129.pdb     -220.724321 kBT
1jbrD_M72.pdb     -217.371520 kBT
1jbrD_M192.pdb     -226.821758 kBT
1jbrD_M377.pdb     -182.401208 kBT
1jbrD_M116.pdb     -196.896038 kBT
1jbrD_M47.pdb     -248.578092 kBT
1jbrD_M165.pdb     -207.510655 kBT
1jbrD_M100.pdb     -227.897828 kBT
1jbrD_M339.pdb     -194.518044 kBT
1jbrD_M193.pdb     -145.805691 kBT
1jbrD_M105.pdb     -239.040976 kBT
1jbrD_M318.pdb     -191.659524 kBT
1jbrD_M173.pdb     -226.344417 kBT
1jbrD_M42.pdb     -258.600851 kBT
1jbrD_M250.pdb     -201.784958 kBT
1jbrD_M144.pdb     -222.524249 kBT
1jbrD_M207.pdb     -169.633490 kBT
1jbrD_M464.pdb     -191.878335 kBT
1jbrD_M154.pdb     -209.095228 kBT
1jbrD_M281.pdb     -223.616222 kBT
1jbrD_M433.pdb     -179.551283 kBT
1jbrD_M400.pdb     -223.542481 kBT
1jbrD_M238.pdb     -208.413797 kBT
1jbrD_M485.pdb     -183.611864 kBT
1jbrD_M244.pdb     -212.369205 kBT
1jbrD_M254.pdb     -207.897196 kBT
1jbrD_M68.pdb     -260.292130 kBT
1jbrD_M443.pdb     -176.004508 kBT
1jbrD_M119.pdb     -245.021685 kBT
1jbrD_M107.pdb     -243.885580 kBT
1jbrD_M99.pdb     -243.185755 kBT
1jbrD_M488.pdb     -155.097844 kBT
1jbrD_M194.pdb     -205.247888 kBT
1jbrD_M331.pdb     -171.095627 kBT
1jbrD_M288.pdb     -171.946139 kBT
1jbrD_M332.pdb     -191.457443 kBT
1jbrD_M237.pdb     -204.033081 kBT
1jbrD_M36.pdb     -247.675336 kBT
1jbrD_M466.pdb     -195.000886 kBT
1jbrD_M181.pdb     -234.134774 kBT
1jbrD_M104.pdb     -245.708931 kBT
1jbrD_M374.pdb     -153.636958 kBT
1jbrD_M482.pdb     -206.611331 kBT
1jbrD_M202.pdb     -176.350906 kBT
1jbrD_M398.pdb     -199.699343 kBT
1jbrD_M79.pdb     -227.765269 kBT
1jbrD_M459.pdb     -214.256104 kBT
1jbrD_M389.pdb     -158.258674 kBT
1jbrD_M5.pdb     -312.918529 kBT
1jbrD_M247.pdb     -175.879321 kBT
1jbrD_M132.pdb     -227.324993 kBT
1jbrD_M304.pdb     -177.092273 kBT
1jbrD_M59.pdb     -255.897285 kBT
1jbrD_M101.pdb     -186.136322 kBT
1jbrD_M308.pdb     -183.329154 kBT
1jbrD_M223.pdb     -183.631427 kBT
1jbrD_M43.pdb     -216.005098 kBT
1jbrD_M23.pdb     -299.143480 kBT
1jbrD_M204.pdb     -188.583167 kBT
1jbrD_M149.pdb     -238.630503 kBT
1jbrD_M128.pdb     -214.131022 kBT
1jbrD_M120.pdb     -207.976580 kBT
1jbrD_M472.pdb     -166.390360 kBT
1jbrD_M299.pdb     -180.280816 kBT
1jbrD_M393.pdb     -194.735694 kBT
1jbrD_M405.pdb     -189.261031 kBT
1jbrD_M155.pdb     -212.329319 kBT
1jbrD_M239.pdb     -219.081203 kBT
1jbrD_M162.pdb     -179.918689 kBT
1jbrD_M363.pdb     -189.733245 kBT
1jbrD_M91.pdb     -179.431349 kBT
1jbrD_M460.pdb     -166.610678 kBT
1jbrD_M479.pdb     -225.049184 kBT
1jbrD_M324.pdb     -185.451695 kBT
1jbrD_M414.pdb     -210.557729 kBT
1jbrD_M147.pdb     -238.964886 kBT
1jbrD_M211.pdb     -238.374605 kBT
1jbrD_M168.pdb     -213.829367 kBT
1jbrD_M171.pdb     -225.156801 kBT
1jbrD_M312.pdb     -236.446576 kBT
1jbrD_M233.pdb     -199.985323 kBT
1jbrD_M267.pdb     -211.502595 kBT
1jbrD_M445.pdb     -186.212974 kBT
1jbrD_M422.pdb     -146.371400 kBT
1jbrD_M169.pdb     -191.761076 kBT
