2anrB_M23.pdb     -113.713929 kBT
2anrB_M261.pdb     -96.651030 kBT
2anrB_M494.pdb     -98.040684 kBT
2anrB_M189.pdb     -123.381291 kBT
2anrB_M65.pdb     -107.069927 kBT
2anrB_M299.pdb     -99.467138 kBT
2anrB_M485.pdb     -101.387913 kBT
2anrB_M72.pdb     -103.464416 kBT
2anrB_M286.pdb     -114.261010 kBT
2anrB_M477.pdb     -96.436887 kBT
2anrB_M6.pdb     -124.014201 kBT
2anrB_M317.pdb     -90.890869 kBT
2anrB_M218.pdb     -111.434052 kBT
2anrB_M206.pdb     -82.848644 kBT
2anrB_M128.pdb     -103.683481 kBT
2anrB_M13.pdb     -116.993829 kBT
2anrB_M244.pdb     -102.852714 kBT
2anrB_M361.pdb     -102.148927 kBT
2anrB_M401.pdb     -101.694995 kBT
2anrB_M66.pdb     -103.707060 kBT
2anrB_M251.pdb     -99.798104 kBT
2anrB_M163.pdb     -95.770750 kBT
2anrB_M137.pdb     -94.168813 kBT
2anrB_M422.pdb     -90.024129 kBT
2anrB_M297.pdb     -100.855468 kBT
2anrB_M182.pdb     -100.697435 kBT
2anrB_M202.pdb     -107.442093 kBT
2anrB_M230.pdb     -108.229361 kBT
2anrB_M288.pdb     -101.498476 kBT
2anrB_M335.pdb     -104.932292 kBT
2anrB_M415.pdb     -86.835910 kBT
2anrB_M302.pdb     -107.062795 kBT
2anrB_M466.pdb     -100.817254 kBT
2anrB_M35.pdb     -118.381534 kBT
2anrB_M25.pdb     -118.205172 kBT
2anrB_M342.pdb     -94.377013 kBT
2anrB_M83.pdb     -103.232972 kBT
2anrB_M419.pdb     -95.136692 kBT
2anrB_M106.pdb     -117.520189 kBT
2anrB_M383.pdb     -109.491278 kBT
2anrB_M269.pdb     -99.553489 kBT
2anrB_M318.pdb     -107.514930 kBT
2anrB_M458.pdb     -92.893043 kBT
2anrB_M141.pdb     -102.254795 kBT
2anrB_M388.pdb     -104.149721 kBT
2anrB_M491.pdb     -95.697159 kBT
2anrB_M131.pdb     -100.542944 kBT
2anrB_M49.pdb     -116.313877 kBT
2anrB_M51.pdb     -110.576793 kBT
2anrB_M475.pdb     -107.003305 kBT
2anrB_M112.pdb     -106.704809 kBT
2anrB_M394.pdb     -101.695542 kBT
2anrB_M479.pdb     -91.605955 kBT
2anrB_M214.pdb     -106.623700 kBT
2anrB_M47.pdb     -105.290338 kBT
2anrB_M68.pdb     -106.967600 kBT
2anrB_M217.pdb     -110.122101 kBT
2anrB_M277.pdb     -109.681307 kBT
2anrB_M310.pdb     -106.712779 kBT
2anrB_M323.pdb     -105.140780 kBT
2anrB_M402.pdb     -92.728889 kBT
