1s03B_M257.pdb     -277.632620 kBT
1s03B_M382.pdb     -289.926006 kBT
1s03B_M172.pdb     -308.565581 kBT
1s03B_M480.pdb     -273.209851 kBT
1s03B_M28.pdb     -405.122709 kBT
1s03B_M161.pdb     -306.042989 kBT
1s03B_M18.pdb     -387.964206 kBT
1s03B_M281.pdb     -293.629136 kBT
1s03B_M305.pdb     -291.931412 kBT
1s03B_M275.pdb     -297.255150 kBT
1s03B_M23.pdb     -395.052111 kBT
1s03B_M440.pdb     -265.352554 kBT
1s03B_M32.pdb     -412.813963 kBT
1s03B_M1.pdb     -404.540292 kBT
1s03B_M443.pdb     -262.499040 kBT
1s03B_M107.pdb     -342.682886 kBT
1s03B_M254.pdb     -288.623338 kBT
1s03B_M49.pdb     -377.145122 kBT
1s03B_M428.pdb     -283.433706 kBT
1s03B_M157.pdb     -299.763639 kBT
1s03B_M316.pdb     -291.669440 kBT
1s03B_M400.pdb     -213.093865 kBT
1s03B_M308.pdb     -275.098144 kBT
1s03B_M12.pdb     -402.203451 kBT
1s03B_M500.pdb     -271.831590 kBT
1s03B_M294.pdb     -287.000407 kBT
1s03B_M460.pdb     -231.694509 kBT
1s03B_M180.pdb     -342.696638 kBT
1s03B_M64.pdb     -363.372394 kBT
1s03B_M358.pdb     -289.769489 kBT
1s03B_M301.pdb     -263.372591 kBT
1s03B_M218.pdb     -322.625461 kBT
1s03B_M177.pdb     -303.226990 kBT
1s03B_M100.pdb     -334.535644 kBT
1s03B_M113.pdb     -366.685823 kBT
1s03B_M438.pdb     -258.336925 kBT
1s03B_M244.pdb     -306.496818 kBT
1s03B_M112.pdb     -341.419726 kBT
1s03B_M273.pdb     -308.578791 kBT
1s03B_M190.pdb     -332.513688 kBT
1s03B_M117.pdb     -313.721539 kBT
1s03B_M89.pdb     -346.338933 kBT
1s03B_M14.pdb     -395.723980 kBT
1s03B_M437.pdb     -284.619105 kBT
1s03B_M116.pdb     -340.467756 kBT
1s03B_M105.pdb     -327.182456 kBT
1s03B_M52.pdb     -353.580152 kBT
1s03B_M353.pdb     -262.615227 kBT
1s03B_M277.pdb     -261.123932 kBT
1s03B_M404.pdb     -283.149323 kBT
1s03B_M486.pdb     -274.488679 kBT
1s03B_M315.pdb     -288.364551 kBT
1s03B_M149.pdb     -286.216452 kBT
1s03B_M7.pdb     -406.280181 kBT
1s03B_M33.pdb     -356.488095 kBT
1s03B_M208.pdb     -333.454832 kBT
1s03B_M484.pdb     -272.638863 kBT
1s03B_M343.pdb     -266.307142 kBT
1s03B.pdb     -408.492665 kBT
1s03B_M493.pdb     -286.008867 kBT
1s03B_M101.pdb     -367.807541 kBT
1s03B_M188.pdb     -296.563279 kBT
1s03B_M474.pdb     -260.672877 kBT
1s03B_M317.pdb     -317.839051 kBT
1s03B_M476.pdb     -242.814510 kBT
1s03B_M228.pdb     -316.939064 kBT
1s03B_M134.pdb     -308.056638 kBT
1s03B_M334.pdb     -278.228247 kBT
1s03B_M231.pdb     -313.748571 kBT
1s03B_M339.pdb     -273.617714 kBT
1s03B_M268.pdb     -296.295638 kBT
1s03B_M8.pdb     -400.402890 kBT
1s03B_M237.pdb     -278.092315 kBT
1s03B_M201.pdb     -307.095698 kBT
1s03B_M197.pdb     -308.246864 kBT
1s03B_M448.pdb     -242.567906 kBT
1s03B_M140.pdb     -311.455281 kBT
1s03B_M74.pdb     -355.962494 kBT
1s03B_M127.pdb     -346.586514 kBT
1s03B_M396.pdb     -246.854021 kBT
1s03B_M336.pdb     -325.730078 kBT
1s03B_M371.pdb     -244.104071 kBT
1s03B_M148.pdb     -330.458124 kBT
1s03B_M386.pdb     -280.773761 kBT
1s03B_M455.pdb     -241.555213 kBT
1s03B_M287.pdb     -268.362892 kBT
1s03B_M132.pdb     -286.282760 kBT
1s03B_M25.pdb     -397.320077 kBT
1s03B_M278.pdb     -323.602969 kBT
1s03B_M137.pdb     -328.907845 kBT
1s03B_M81.pdb     -359.952434 kBT
1s03B_M430.pdb     -278.888602 kBT
1s03B_M311.pdb     -271.365544 kBT
1s03B_M335.pdb     -300.732210 kBT
1s03B_M66.pdb     -355.707218 kBT
1s03B_M260.pdb     -266.227344 kBT
1s03B_M360.pdb     -253.561695 kBT
1s03B_M264.pdb     -269.523414 kBT
1s03B_M256.pdb     -314.888475 kBT
1s03B_M363.pdb     -291.721295 kBT
1s03B_M220.pdb     -304.573308 kBT
1s03B_M27.pdb     -384.502912 kBT
1s03B_M272.pdb     -268.688886 kBT
1s03B_M224.pdb     -249.281231 kBT
1s03B_M263.pdb     -307.821552 kBT
1s03B_M477.pdb     -242.044103 kBT
1s03B_M54.pdb     -361.344545 kBT
1s03B_M209.pdb     -300.228645 kBT
1s03B_M403.pdb     -291.742812 kBT
1s03B_M136.pdb     -327.406931 kBT
1s03B_M200.pdb     -321.174849 kBT
1s03B_M452.pdb     -231.239487 kBT
1s03B_M26.pdb     -374.813490 kBT
1s03B_M462.pdb     -235.523140 kBT
1s03B_M380.pdb     -277.248223 kBT
1s03B_M249.pdb     -320.688004 kBT
1s03B_M361.pdb     -283.380148 kBT
1s03B_M415.pdb     -249.064293 kBT
1s03B_M394.pdb     -277.456714 kBT
1s03B_M221.pdb     -326.093636 kBT
1s03B_M97.pdb     -292.978044 kBT
1s03B_M391.pdb     -248.033894 kBT
1s03B_M99.pdb     -318.133222 kBT
1s03B_M302.pdb     -295.402552 kBT
1s03B_M195.pdb     -297.267567 kBT
1s03B_M128.pdb     -328.356910 kBT
1s03B_M492.pdb     -290.331727 kBT
1s03B_M393.pdb     -256.463104 kBT
1s03B_M422.pdb     -272.321059 kBT
1s03B_M250.pdb     -345.834148 kBT
1s03B_M255.pdb     -300.203182 kBT
1s03B_M444.pdb     -293.375319 kBT
1s03B_M88.pdb     -376.887600 kBT
1s03B_M216.pdb     -313.295843 kBT
1s03B_M115.pdb     -321.658128 kBT
1s03B_M104.pdb     -336.028044 kBT
1s03B_M283.pdb     -301.077622 kBT
1s03B_M304.pdb     -253.975505 kBT
1s03B_M479.pdb     -284.106721 kBT
1s03B_M147.pdb     -334.665746 kBT
1s03B_M31.pdb     -387.736638 kBT
1s03B_M84.pdb     -376.331195 kBT
1s03B_M138.pdb     -333.103084 kBT
1s03B_M408.pdb     -247.991171 kBT
1s03B_M154.pdb     -314.061019 kBT
1s03B_M411.pdb     -304.765618 kBT
1s03B_M169.pdb     -294.075538 kBT
1s03B_M118.pdb     -350.991691 kBT
1s03B_M185.pdb     -310.410173 kBT
1s03B_M4.pdb     -386.155541 kBT
1s03B_M318.pdb     -326.976590 kBT
1s03B_M37.pdb     -400.635515 kBT
1s03B_M295.pdb     -289.037835 kBT
1s03B_M83.pdb     -326.996187 kBT
1s03B_M207.pdb     -298.435694 kBT
1s03B_M362.pdb     -261.665989 kBT
1s03B_M497.pdb     -262.929989 kBT
1s03B_M69.pdb     -352.843610 kBT
1s03B_M2.pdb     -411.751409 kBT
