1ooaD_M413.pdb     -61.706361 kBT
1ooaD_M478.pdb     -79.841898 kBT
1ooaD_M362.pdb     -72.729782 kBT
1ooaD_M30.pdb     -92.740899 kBT
1ooaD_M320.pdb     -85.196269 kBT
1ooaD_M249.pdb     -82.129506 kBT
1ooaD_M437.pdb     -74.146098 kBT
1ooaD_M380.pdb     -85.232883 kBT
1ooaD_M169.pdb     -88.875017 kBT
1ooaD_M370.pdb     -80.674355 kBT
1ooaD_M71.pdb     -91.343394 kBT
1ooaD_M61.pdb     -82.633240 kBT
1ooaD_M312.pdb     -79.426792 kBT
1ooaD_M212.pdb     -63.963813 kBT
1ooaD_M319.pdb     -80.090311 kBT
1ooaD_M6.pdb     -96.983539 kBT
1ooaD_M121.pdb     -87.657491 kBT
1ooaD_M218.pdb     -87.125867 kBT
1ooaD_M52.pdb     -93.844834 kBT
1ooaD_M83.pdb     -81.348794 kBT
1ooaD_M200.pdb     -86.568439 kBT
1ooaD_M450.pdb     -74.422135 kBT
1ooaD_M311.pdb     -85.201014 kBT
1ooaD_M51.pdb     -91.156839 kBT
1ooaD_M340.pdb     -75.792750 kBT
1ooaD_M136.pdb     -68.528338 kBT
1ooaD_M46.pdb     -88.155987 kBT
1ooaD_M308.pdb     -79.231255 kBT
1ooaD_M473.pdb     -79.875058 kBT
1ooaD_M119.pdb     -89.035743 kBT
1ooaD_M271.pdb     -76.378926 kBT
1ooaD_M92.pdb     -78.583757 kBT
1ooaD_M54.pdb     -83.467647 kBT
1ooaD_M38.pdb     -96.824888 kBT
1ooaD_M165.pdb     -88.797813 kBT
1ooaD_M185.pdb     -72.311924 kBT
1ooaD_M395.pdb     -72.937404 kBT
1ooaD_M440.pdb     -73.906851 kBT
1ooaD_M144.pdb     -70.599067 kBT
1ooaD_M433.pdb     -83.784758 kBT
1ooaD_M287.pdb     -78.566002 kBT
1ooaD_M397.pdb     -69.850423 kBT
1ooaD_M272.pdb     -66.856345 kBT
1ooaD_M29.pdb     -103.040616 kBT
1ooaD_M252.pdb     -82.172430 kBT
1ooaD_M356.pdb     -81.263841 kBT
1ooaD_M367.pdb     -76.521906 kBT
1ooaD_M187.pdb     -59.015808 kBT
1ooaD_M409.pdb     -70.077222 kBT
1ooaD_M197.pdb     -73.941313 kBT
1ooaD_M408.pdb     -58.520304 kBT
1ooaD_M60.pdb     -87.213073 kBT
1ooaD_M143.pdb     -81.340482 kBT
1ooaD_M246.pdb     -86.347770 kBT
1ooaD_M486.pdb     -75.537664 kBT
1ooaD_M167.pdb     -87.604008 kBT
1ooaD_M459.pdb     -70.896885 kBT
1ooaD_M225.pdb     -80.828571 kBT
1ooaD_M461.pdb     -63.938579 kBT
1ooaD_M281.pdb     -83.056179 kBT
1ooaD_M374.pdb     -72.078179 kBT
1ooaD_M155.pdb     -86.412875 kBT
