2oiuQ_M351.pdb     -388.659427 kBT
2oiuQ_M207.pdb     -383.703039 kBT
2oiuQ_M326.pdb     -380.054382 kBT
2oiuQ_M365.pdb     -407.660090 kBT
2oiuQ_M62.pdb     -443.785377 kBT
2oiuQ_M123.pdb     -437.091892 kBT
2oiuQ_M5.pdb     -624.705845 kBT
2oiuQ_M269.pdb     -401.235351 kBT
2oiuQ_M340.pdb     -455.080132 kBT
2oiuQ_M132.pdb     -475.135792 kBT
2oiuQ_M314.pdb     -402.845788 kBT
2oiuQ_M91.pdb     -464.328558 kBT
2oiuQ_M356.pdb     -339.750509 kBT
2oiuQ_M187.pdb     -458.359391 kBT
2oiuQ_M99.pdb     -492.553942 kBT
2oiuQ_M140.pdb     -446.185087 kBT
2oiuQ_M411.pdb     -376.230168 kBT
2oiuQ_M434.pdb     -378.117612 kBT
2oiuQ_M86.pdb     -469.511085 kBT
2oiuQ_M419.pdb     -391.553282 kBT
2oiuQ_M58.pdb     -507.827123 kBT
2oiuQ_M290.pdb     -369.722104 kBT
2oiuQ_M458.pdb     -353.412387 kBT
2oiuQ_M14.pdb     -625.229554 kBT
2oiuQ_M155.pdb     -458.653583 kBT
2oiuQ_M184.pdb     -463.702538 kBT
2oiuQ_M258.pdb     -421.600536 kBT
2oiuQ_M346.pdb     -371.573423 kBT
2oiuQ_M149.pdb     -465.534509 kBT
2oiuQ_M172.pdb     -422.492031 kBT
2oiuQ_M480.pdb     -365.869293 kBT
2oiuQ_M451.pdb     -398.686132 kBT
2oiuQ_M8.pdb     -621.045705 kBT
2oiuQ_M481.pdb     -391.701061 kBT
2oiuQ_M302.pdb     -417.197606 kBT
2oiuQ_M489.pdb     -394.621035 kBT
2oiuQ_M280.pdb     -403.082671 kBT
2oiuQ_M362.pdb     -385.307227 kBT
2oiuQ_M78.pdb     -442.675031 kBT
2oiuQ_M335.pdb     -393.094216 kBT
2oiuQ_M122.pdb     -437.937866 kBT
2oiuQ_M328.pdb     -392.316371 kBT
2oiuQ_M85.pdb     -480.772603 kBT
2oiuQ_M165.pdb     -412.780920 kBT
2oiuQ_M192.pdb     -414.988404 kBT
2oiuQ_M338.pdb     -402.203000 kBT
2oiuQ_M53.pdb     -508.695803 kBT
2oiuQ_M373.pdb     -416.226948 kBT
2oiuQ_M231.pdb     -424.978930 kBT
2oiuQ_M440.pdb     -354.050522 kBT
2oiuQ_M138.pdb     -502.287078 kBT
2oiuQ_M364.pdb     -374.279773 kBT
2oiuQ_M92.pdb     -508.207736 kBT
2oiuQ_M379.pdb     -366.783965 kBT
2oiuQ_M447.pdb     -374.739462 kBT
2oiuQ_M490.pdb     -399.649990 kBT
2oiuQ_M177.pdb     -406.554836 kBT
2oiuQ_M88.pdb     -469.141927 kBT
2oiuQ_M456.pdb     -372.473205 kBT
2oiuQ_M380.pdb     -367.638145 kBT
2oiuQ_M64.pdb     -481.960276 kBT
