1serT_M203.pdb     -239.073055 kBT
1serT_M463.pdb     -181.126582 kBT
1serT_M17.pdb     -295.285753 kBT
1serT_M314.pdb     -224.278128 kBT
1serT_M214.pdb     -225.897649 kBT
1serT_M161.pdb     -172.574659 kBT
1serT_M237.pdb     -233.038969 kBT
1serT_M93.pdb     -231.132605 kBT
1serT_M438.pdb     -165.040442 kBT
1serT_M465.pdb     -190.959500 kBT
1serT_M482.pdb     -175.584256 kBT
1serT_M258.pdb     -196.708631 kBT
1serT_M132.pdb     -254.441913 kBT
1serT_M156.pdb     -185.537555 kBT
1serT_M24.pdb     -285.332488 kBT
1serT_M37.pdb     -266.308611 kBT
1serT_M338.pdb     -205.864828 kBT
1serT_M342.pdb     -185.503532 kBT
1serT_M123.pdb     -238.140265 kBT
1serT_M78.pdb     -276.996098 kBT
1serT_M9.pdb     -302.792054 kBT
1serT_M10.pdb     -302.838839 kBT
1serT_M261.pdb     -223.234387 kBT
1serT_M52.pdb     -287.220851 kBT
1serT_M355.pdb     -226.284460 kBT
1serT_M478.pdb     -207.005558 kBT
1serT_M289.pdb     -219.590519 kBT
1serT_M419.pdb     -211.765276 kBT
1serT_M325.pdb     -201.313903 kBT
1serT_M224.pdb     -242.949010 kBT
1serT_M26.pdb     -292.562043 kBT
1serT_M303.pdb     -190.148769 kBT
1serT_M251.pdb     -203.516925 kBT
1serT_M405.pdb     -199.159189 kBT
1serT_M170.pdb     -228.376518 kBT
1serT_M56.pdb     -250.829375 kBT
1serT_M62.pdb     -264.547616 kBT
1serT_M127.pdb     -248.915218 kBT
1serT_M70.pdb     -251.583167 kBT
1serT_M380.pdb     -209.557250 kBT
1serT_M139.pdb     -238.087027 kBT
1serT_M246.pdb     -206.690475 kBT
1serT_M22.pdb     -282.336768 kBT
1serT_M38.pdb     -235.354661 kBT
1serT_M125.pdb     -259.800556 kBT
1serT_M191.pdb     -244.936468 kBT
1serT_M279.pdb     -200.326777 kBT
1serT_M442.pdb     -235.105835 kBT
1serT_M50.pdb     -219.371294 kBT
1serT_M42.pdb     -262.657839 kBT
1serT_M175.pdb     -246.464114 kBT
1serT_M204.pdb     -214.193370 kBT
1serT_M242.pdb     -191.124033 kBT
1serT_M396.pdb     -171.167888 kBT
1serT_M420.pdb     -236.121741 kBT
1serT_M85.pdb     -248.026817 kBT
1serT_M366.pdb     -237.318418 kBT
1serT_M245.pdb     -222.262488 kBT
1serT_M121.pdb     -233.192085 kBT
1serT_M228.pdb     -229.532990 kBT
1serT_M371.pdb     -222.474326 kBT
1serT_M16.pdb     -292.512182 kBT
1serT_M88.pdb     -262.861229 kBT
1serT_M113.pdb     -243.559855 kBT
1serT_M333.pdb     -184.912155 kBT
1serT_M20.pdb     -248.958212 kBT
1serT_M460.pdb     -159.516314 kBT
1serT_M327.pdb     -207.717870 kBT
1serT_M211.pdb     -218.095153 kBT
1serT_M493.pdb     -217.967515 kBT
1serT_M434.pdb     -192.057900 kBT
1serT_M480.pdb     -205.293167 kBT
1serT_M185.pdb     -245.551475 kBT
1serT_M365.pdb     -246.395859 kBT
1serT_M367.pdb     -250.480726 kBT
1serT_M489.pdb     -248.683574 kBT
1serT_M54.pdb     -262.274775 kBT
1serT_M2.pdb     -319.721470 kBT
1serT_M469.pdb     -190.459241 kBT
1serT_M392.pdb     -168.447994 kBT
1serT_M102.pdb     -207.374601 kBT
1serT_M413.pdb     -221.277082 kBT
1serT_M154.pdb     -221.100166 kBT
1serT_M110.pdb     -232.754223 kBT
1serT_M153.pdb     -239.403639 kBT
1serT_M305.pdb     -204.447027 kBT
1serT_M232.pdb     -220.928196 kBT
1serT_M336.pdb     -232.345042 kBT
1serT_M144.pdb     -260.651112 kBT
1serT_M409.pdb     -178.702589 kBT
1serT_M25.pdb     -283.497486 kBT
1serT_M205.pdb     -236.475769 kBT
1serT_M96.pdb     -226.464724 kBT
1serT_M209.pdb     -253.310683 kBT
1serT_M466.pdb     -198.334957 kBT
1serT_M449.pdb     -163.892384 kBT
1serT_M268.pdb     -208.077137 kBT
1serT_M387.pdb     -256.029012 kBT
1serT_M354.pdb     -165.769592 kBT
1serT_M86.pdb     -241.844275 kBT
1serT_M18.pdb     -307.591513 kBT
1serT_M115.pdb     -200.941107 kBT
1serT_M457.pdb     -218.533597 kBT
1serT_M394.pdb     -196.258484 kBT
1serT_M51.pdb     -253.918867 kBT
1serT_M84.pdb     -214.318002 kBT
1serT_M111.pdb     -229.028726 kBT
1serT_M329.pdb     -204.581304 kBT
1serT_M430.pdb     -219.312454 kBT
1serT_M91.pdb     -253.193439 kBT
1serT_M239.pdb     -238.061992 kBT
1serT_M293.pdb     -198.667438 kBT
1serT_M168.pdb     -238.173021 kBT
1serT_M445.pdb     -178.008128 kBT
1serT_M117.pdb     -250.462526 kBT
1serT_M485.pdb     -205.231989 kBT
1serT_M395.pdb     -232.316928 kBT
1serT_M206.pdb     -196.004434 kBT
1serT_M464.pdb     -186.922612 kBT
1serT_M118.pdb     -218.607581 kBT
1serT_M312.pdb     -223.812121 kBT
1serT_M491.pdb     -212.369761 kBT
1serT_M316.pdb     -204.868846 kBT
1serT_M75.pdb     -260.239960 kBT
1serT_M194.pdb     -231.002960 kBT
1serT_M349.pdb     -170.229892 kBT
1serT_M418.pdb     -244.693256 kBT
1serT_M106.pdb     -259.422309 kBT
1serT_M328.pdb     -204.252694 kBT
1serT_M458.pdb     -203.981769 kBT
1serT_M40.pdb     -264.719185 kBT
1serT_M321.pdb     -240.592776 kBT
1serT_M358.pdb     -235.570670 kBT
1serT_M362.pdb     -231.251988 kBT
1serT_M432.pdb     -195.866190 kBT
1serT_M376.pdb     -182.340300 kBT
