2qbzX_M431.pdb     -544.086133 kBT
2qbzX_M290.pdb     -498.928154 kBT
2qbzX_M184.pdb     -519.727885 kBT
2qbzX_M169.pdb     -525.712099 kBT
2qbzX_M272.pdb     -566.523386 kBT
2qbzX_M318.pdb     -520.932617 kBT
2qbzX_M67.pdb     -546.654751 kBT
2qbzX_M434.pdb     -517.000795 kBT
2qbzX_M493.pdb     -523.642827 kBT
2qbzX_M437.pdb     -522.798481 kBT
2qbzX_M212.pdb     -569.217340 kBT
2qbzX_M172.pdb     -510.347359 kBT
2qbzX_M423.pdb     -469.698341 kBT
2qbzX_M356.pdb     -517.977374 kBT
2qbzX_M395.pdb     -484.102313 kBT
2qbzX_M287.pdb     -517.690592 kBT
2qbzX_M137.pdb     -560.769194 kBT
2qbzX_M8.pdb     -603.225141 kBT
2qbzX_M283.pdb     -534.362999 kBT
2qbzX_M65.pdb     -584.879179 kBT
2qbzX_M462.pdb     -507.478860 kBT
2qbzX_M254.pdb     -518.854593 kBT
2qbzX_M103.pdb     -567.442254 kBT
2qbzX_M78.pdb     -539.012112 kBT
2qbzX_M485.pdb     -516.306049 kBT
2qbzX_M185.pdb     -545.528842 kBT
2qbzX_M345.pdb     -512.395514 kBT
2qbzX_M53.pdb     -562.016753 kBT
2qbzX_M188.pdb     -532.792091 kBT
2qbzX_M419.pdb     -517.320130 kBT
2qbzX_M394.pdb     -499.419883 kBT
2qbzX_M352.pdb     -513.489706 kBT
2qbzX_M348.pdb     -539.251650 kBT
2qbzX_M349.pdb     -503.341777 kBT
2qbzX_M34.pdb     -570.878211 kBT
2qbzX_M51.pdb     -561.158816 kBT
2qbzX_M242.pdb     -530.336558 kBT
2qbzX_M16.pdb     -565.968857 kBT
2qbzX_M354.pdb     -553.540844 kBT
2qbzX_M13.pdb     -593.743357 kBT
2qbzX_M378.pdb     -542.579583 kBT
2qbzX_M418.pdb     -497.503593 kBT
2qbzX_M152.pdb     -527.672061 kBT
2qbzX_M415.pdb     -505.780221 kBT
2qbzX_M389.pdb     -506.376393 kBT
2qbzX_M385.pdb     -535.522063 kBT
2qbzX_M120.pdb     -546.608531 kBT
2qbzX_M177.pdb     -547.120355 kBT
2qbzX_M470.pdb     -496.544460 kBT
2qbzX_M73.pdb     -602.816894 kBT
2qbzX_M292.pdb     -531.376528 kBT
2qbzX_M301.pdb     -532.962290 kBT
2qbzX_M412.pdb     -492.752720 kBT
2qbzX_M397.pdb     -514.591300 kBT
2qbzX_M426.pdb     -534.988301 kBT
2qbzX_M162.pdb     -523.282439 kBT
2qbzX_M334.pdb     -524.832791 kBT
2qbzX_M163.pdb     -520.059382 kBT
2qbzX_M40.pdb     -576.035365 kBT
2qbzX_M377.pdb     -465.430200 kBT
2qbzX_M106.pdb     -558.199533 kBT
2qbzX_M468.pdb     -522.301595 kBT
2qbzX_M364.pdb     -532.364644 kBT
2qbzX_M119.pdb     -545.823233 kBT
2qbzX_M331.pdb     -520.339771 kBT
2qbzX_M339.pdb     -530.056022 kBT
2qbzX_M230.pdb     -533.237787 kBT
2qbzX_M18.pdb     -591.282691 kBT
2qbzX_M70.pdb     -574.902852 kBT
2qbzX_M229.pdb     -541.546138 kBT
2qbzX_M379.pdb     -541.100987 kBT
2qbzX_M118.pdb     -566.627823 kBT
2qbzX_M105.pdb     -581.100703 kBT
2qbzX_M316.pdb     -499.574812 kBT
2qbzX_M296.pdb     -528.012974 kBT
2qbzX_M367.pdb     -536.301526 kBT
2qbzX_M420.pdb     -529.776578 kBT
2qbzX_M86.pdb     -561.488525 kBT
2qbzX_M387.pdb     -470.835727 kBT
2qbzX_M58.pdb     -591.999094 kBT
2qbzX_M214.pdb     -509.651061 kBT
2qbzX_M444.pdb     -515.577250 kBT
2qbzX_M347.pdb     -506.451887 kBT
2qbzX_M445.pdb     -503.631079 kBT
2qbzX_M243.pdb     -531.235709 kBT
2qbzX_M499.pdb     -486.903782 kBT
2qbzX_M260.pdb     -523.416433 kBT
2qbzX_M17.pdb     -616.709937 kBT
2qbzX_M145.pdb     -561.819623 kBT
2qbzX_M325.pdb     -506.135108 kBT
2qbzX_M72.pdb     -539.680421 kBT
2qbzX_M82.pdb     -576.159670 kBT
