1mjiD_M86.pdb     -245.162616 kBT
1mjiD_M239.pdb     -180.582740 kBT
1mjiD_M285.pdb     -214.136459 kBT
1mjiD_M85.pdb     -250.861198 kBT
1mjiD_M28.pdb     -251.850477 kBT
1mjiD_M300.pdb     -211.231196 kBT
1mjiD_M349.pdb     -226.075082 kBT
1mjiD_M212.pdb     -234.238507 kBT
1mjiD_M390.pdb     -182.257996 kBT
1mjiD_M335.pdb     -194.511146 kBT
1mjiD_M127.pdb     -192.099246 kBT
1mjiD_M486.pdb     -225.338620 kBT
1mjiD_M474.pdb     -194.437108 kBT
1mjiD_M16.pdb     -248.510254 kBT
1mjiD_M468.pdb     -191.825567 kBT
1mjiD_M355.pdb     -206.173465 kBT
1mjiD_M25.pdb     -244.214174 kBT
1mjiD_M284.pdb     -208.345733 kBT
1mjiD_M481.pdb     -166.614293 kBT
1mjiD_M176.pdb     -217.628940 kBT
1mjiD_M393.pdb     -194.012743 kBT
1mjiD_M361.pdb     -215.685088 kBT
1mjiD_M242.pdb     -264.633311 kBT
1mjiD_M122.pdb     -223.614131 kBT
1mjiD_M331.pdb     -250.257361 kBT
1mjiD_M416.pdb     -201.037579 kBT
1mjiD_M135.pdb     -189.713656 kBT
1mjiD_M171.pdb     -235.445157 kBT
1mjiD_M164.pdb     -230.529391 kBT
1mjiD_M309.pdb     -183.172279 kBT
1mjiD_M283.pdb     -222.742985 kBT
1mjiD_M121.pdb     -196.377493 kBT
1mjiD_M356.pdb     -196.741073 kBT
1mjiD_M286.pdb     -196.043646 kBT
1mjiD_M245.pdb     -187.420996 kBT
1mjiD_M179.pdb     -232.985259 kBT
1mjiD_M412.pdb     -198.143187 kBT
1mjiD_M74.pdb     -253.252600 kBT
1mjiD_M396.pdb     -197.537811 kBT
1mjiD_M364.pdb     -221.008500 kBT
1mjiD_M441.pdb     -226.990076 kBT
1mjiD_M376.pdb     -168.951096 kBT
1mjiD_M153.pdb     -196.052927 kBT
1mjiD_M229.pdb     -178.090619 kBT
1mjiD_M58.pdb     -230.851271 kBT
1mjiD_M12.pdb     -259.932379 kBT
1mjiD_M453.pdb     -183.440944 kBT
1mjiD_M34.pdb     -270.649857 kBT
1mjiD_M208.pdb     -180.545915 kBT
1mjiD_M436.pdb     -214.671808 kBT
1mjiD_M155.pdb     -209.788762 kBT
1mjiD_M457.pdb     -181.630649 kBT
1mjiD_M24.pdb     -261.062801 kBT
1mjiD_M352.pdb     -195.855956 kBT
1mjiD_M13.pdb     -259.014223 kBT
1mjiD_M348.pdb     -177.222369 kBT
1mjiD_M163.pdb     -233.051656 kBT
1mjiD_M483.pdb     -175.037597 kBT
1mjiD_M29.pdb     -245.517229 kBT
1mjiD_M448.pdb     -196.027895 kBT
1mjiD_M23.pdb     -256.431059 kBT
1mjiD_M82.pdb     -230.331287 kBT
1mjiD_M398.pdb     -182.879050 kBT
1mjiD_M458.pdb     -162.861469 kBT
1mjiD_M109.pdb     -228.827355 kBT
1mjiD_M338.pdb     -151.880905 kBT
1mjiD_M9.pdb     -265.963863 kBT
1mjiD_M17.pdb     -240.220391 kBT
1mjiD_M189.pdb     -192.574940 kBT
1mjiD_M337.pdb     -187.894169 kBT
1mjiD_M297.pdb     -203.521686 kBT
1mjiD_M258.pdb     -195.339047 kBT
1mjiD_M214.pdb     -216.707813 kBT
1mjiD_M365.pdb     -146.985077 kBT
1mjiD_M52.pdb     -236.311125 kBT
1mjiD_M220.pdb     -223.112078 kBT
1mjiD_M419.pdb     -201.748600 kBT
1mjiD_M414.pdb     -202.044420 kBT
1mjiD_M138.pdb     -199.930334 kBT
1mjiD_M425.pdb     -154.161154 kBT
1mjiD_M473.pdb     -180.603687 kBT
1mjiD_M114.pdb     -222.698746 kBT
1mjiD_M172.pdb     -186.476292 kBT
1mjiD_M95.pdb     -242.265200 kBT
1mjiD_M144.pdb     -201.035043 kBT
1mjiD_M407.pdb     -190.827577 kBT
1mjiD_M75.pdb     -221.139197 kBT
1mjiD_M235.pdb     -221.390554 kBT
1mjiD_M273.pdb     -221.931908 kBT
1mjiD_M20.pdb     -258.158384 kBT
1mjiD_M472.pdb     -210.177377 kBT
1mjiD_M449.pdb     -176.604496 kBT
1mjiD_M218.pdb     -223.218596 kBT
1mjiD_M313.pdb     -180.875560 kBT
1mjiD_M63.pdb     -225.094709 kBT
1mjiD_M161.pdb     -195.273549 kBT
1mjiD_M131.pdb     -217.606206 kBT
1mjiD_M108.pdb     -219.384979 kBT
1mjiD_M8.pdb     -252.952302 kBT
1mjiD_M96.pdb     -212.931598 kBT
1mjiD_M311.pdb     -225.064003 kBT
1mjiD_M369.pdb     -189.529864 kBT
1mjiD_M496.pdb     -188.406878 kBT
1mjiD_M217.pdb     -187.172603 kBT
1mjiD_M232.pdb     -193.350970 kBT
1mjiD_M50.pdb     -243.171917 kBT
1mjiD_M417.pdb     -176.393413 kBT
1mjiD_M83.pdb     -225.235224 kBT
1mjiD_M31.pdb     -265.369439 kBT
1mjiD_M495.pdb     -174.648758 kBT
1mjiD_M260.pdb     -208.348332 kBT
1mjiD_M71.pdb     -248.237947 kBT
1mjiD_M168.pdb     -200.275008 kBT
1mjiD_M54.pdb     -223.385938 kBT
1mjiD_M329.pdb     -192.230891 kBT
1mjiD_M413.pdb     -159.691422 kBT
1mjiD_M166.pdb     -249.814634 kBT
1mjiD_M156.pdb     -250.722916 kBT
1mjiD_M279.pdb     -188.479259 kBT
1mjiD_M465.pdb     -215.846915 kBT
1mjiD_M318.pdb     -198.797891 kBT
1mjiD_M222.pdb     -252.023492 kBT
1mjiD_M394.pdb     -186.734306 kBT
1mjiD_M437.pdb     -181.915302 kBT
1mjiD_M103.pdb     -227.743171 kBT
1mjiD_M10.pdb     -262.332578 kBT
1mjiD_M3.pdb     -263.799881 kBT
1mjiD_M92.pdb     -258.421202 kBT
1mjiD_M362.pdb     -203.183448 kBT
1mjiD_M120.pdb     -232.392741 kBT
1mjiD_M280.pdb     -230.103463 kBT
1mjiD_M421.pdb     -188.673605 kBT
1mjiD_M140.pdb     -216.972879 kBT
1mjiD_M151.pdb     -253.261095 kBT
1mjiD_M467.pdb     -181.584791 kBT
1mjiD_M73.pdb     -201.004615 kBT
1mjiD_M27.pdb     -240.546714 kBT
1mjiD_M128.pdb     -212.897220 kBT
1mjiD_M72.pdb     -258.588349 kBT
1mjiD_M225.pdb     -212.799491 kBT
1mjiD_M281.pdb     -189.876358 kBT
1mjiD_M143.pdb     -206.945479 kBT
1mjiD_M43.pdb     -260.635311 kBT
1mjiD_M201.pdb     -212.160934 kBT
1mjiD_M470.pdb     -202.424640 kBT
1mjiD_M336.pdb     -188.938901 kBT
1mjiD_M35.pdb     -246.363094 kBT
1mjiD_M184.pdb     -196.232374 kBT
1mjiD_M39.pdb     -241.917564 kBT
1mjiD_M107.pdb     -224.063885 kBT
1mjiD_M404.pdb     -199.766980 kBT
1mjiD_M84.pdb     -211.675130 kBT
1mjiD_M129.pdb     -188.897264 kBT
1mjiD_M192.pdb     -227.915591 kBT
1mjiD_M306.pdb     -200.488972 kBT
1mjiD_M230.pdb     -179.839686 kBT
1mjiD_M249.pdb     -207.095811 kBT
1mjiD_M373.pdb     -189.057326 kBT
1mjiD_M89.pdb     -209.312756 kBT
1mjiD_M19.pdb     -256.328794 kBT
1mjiD_M223.pdb     -196.330557 kBT
1mjiD_M367.pdb     -202.506840 kBT
1mjiD_M415.pdb     -236.810267 kBT
1mjiD_M182.pdb     -231.589128 kBT
1mjiD_M238.pdb     -192.096013 kBT
1mjiD_M210.pdb     -199.180458 kBT
1mjiD_M104.pdb     -219.020224 kBT
1mjiD_M125.pdb     -195.494996 kBT
1mjiD_M439.pdb     -170.707895 kBT
1mjiD_M408.pdb     -182.947766 kBT
1mjiD_M206.pdb     -227.995294 kBT
1mjiD_M316.pdb     -188.633308 kBT
1mjiD_M165.pdb     -201.742131 kBT
1mjiD_M422.pdb     -176.978749 kBT
1mjiD_M303.pdb     -173.995462 kBT
1mjiD_M446.pdb     -193.943938 kBT
1mjiD_M190.pdb     -237.805992 kBT
1mjiD_M18.pdb     -261.175198 kBT
1mjiD_M228.pdb     -197.591072 kBT
1mjiD_M475.pdb     -188.880789 kBT
1mjiD_M315.pdb     -194.476852 kBT
1mjiD_M372.pdb     -222.429392 kBT
1mjiD_M174.pdb     -202.618498 kBT
1mjiD_M141.pdb     -213.896395 kBT
1mjiD_M430.pdb     -193.679569 kBT
1mjiD_M444.pdb     -177.143090 kBT
1mjiD_M387.pdb     -185.475203 kBT
1mjiD_M382.pdb     -209.014908 kBT
1mjiD_M124.pdb     -184.136311 kBT
1mjiD_M46.pdb     -235.708811 kBT
1mjiD_M391.pdb     -224.047211 kBT
1mjiD_M499.pdb     -154.562857 kBT
1mjiD_M381.pdb     -199.603465 kBT
1mjiD_M207.pdb     -243.116018 kBT
1mjiD_M478.pdb     -184.640966 kBT
1mjiD_M30.pdb     -228.642107 kBT
1mjiD_M226.pdb     -183.422280 kBT
1mjiD_M440.pdb     -174.574049 kBT
1mjiD_M256.pdb     -196.147305 kBT
1mjiD_M11.pdb     -264.856638 kBT
1mjiD_M443.pdb     -218.994471 kBT
1mjiD_M442.pdb     -201.312162 kBT
1mjiD_M22.pdb     -282.106702 kBT
1mjiD_M429.pdb     -202.569465 kBT
1mjiD_M76.pdb     -221.888424 kBT
1mjiD_M359.pdb     -197.486664 kBT
1mjiD_M451.pdb     -208.489229 kBT
1mjiD_M110.pdb     -230.851732 kBT
1mjiD_M99.pdb     -243.730473 kBT
1mjiD_M269.pdb     -208.018319 kBT
1mjiD_M177.pdb     -244.299292 kBT
1mjiD_M278.pdb     -225.857113 kBT
1mjiD_M15.pdb     -256.169893 kBT
1mjiD_M41.pdb     -211.299694 kBT
1mjiD_M259.pdb     -203.397122 kBT
1mjiD_M461.pdb     -195.175552 kBT
1mjiD_M44.pdb     -250.240331 kBT
1mjiD_M388.pdb     -186.515365 kBT
1mjiD_M196.pdb     -235.779662 kBT
1mjiD_M193.pdb     -230.222163 kBT
1mjiD_M88.pdb     -233.869756 kBT
1mjiD_M40.pdb     -261.653885 kBT
1mjiD_M266.pdb     -202.100229 kBT
1mjiD_M183.pdb     -224.564317 kBT
1mjiD_M106.pdb     -245.618298 kBT
1mjiD_M366.pdb     -206.638393 kBT
1mjiD_M243.pdb     -197.224706 kBT
1mjiD_M485.pdb     -189.880261 kBT
1mjiD_M308.pdb     -193.557207 kBT
1mjiD_M403.pdb     -186.800257 kBT
1mjiD_M484.pdb     -194.331647 kBT
1mjiD_M424.pdb     -186.852758 kBT
1mjiD_M343.pdb     -190.073408 kBT
1mjiD_M493.pdb     -192.441816 kBT
1mjiD_M146.pdb     -198.086524 kBT
1mjiD_M248.pdb     -199.319854 kBT
1mjiD_M56.pdb     -224.936952 kBT
1mjiD_M374.pdb     -231.258176 kBT
1mjiD_M312.pdb     -184.627550 kBT
1mjiD_M342.pdb     -169.278709 kBT
1mjiD_M200.pdb     -198.669078 kBT
1mjiD_M145.pdb     -216.430287 kBT
1mjiD_M270.pdb     -207.563081 kBT
1mjiD_M118.pdb     -206.036425 kBT
1mjiD_M147.pdb     -213.049050 kBT
1mjiD_M149.pdb     -213.224692 kBT
1mjiD_M36.pdb     -248.102824 kBT
1mjiD_M91.pdb     -212.893272 kBT
1mjiD_M400.pdb     -231.527161 kBT
1mjiD_M401.pdb     -245.498567 kBT
1mjiD_M244.pdb     -201.021622 kBT
1mjiD_M489.pdb     -201.419354 kBT
