1rlgD_M374.pdb     -100.527904 kBT
1rlgD_M304.pdb     -50.322784 kBT
1rlgD_M275.pdb     -33.013217 kBT
1rlgD_M134.pdb     -64.569710 kBT
1rlgD.pdb     -118.668230 kBT
1rlgD_M126.pdb     -87.206616 kBT
1rlgD_M397.pdb     -82.154600 kBT
1rlgD_M495.pdb     -57.378374 kBT
1rlgD_M173.pdb     -78.268348 kBT
1rlgD_M204.pdb     -71.946383 kBT
1rlgD_M96.pdb     -69.947131 kBT
1rlgD_M365.pdb     -96.641074 kBT
1rlgD_M112.pdb     -76.184895 kBT
1rlgD_M407.pdb     -81.159942 kBT
1rlgD_M219.pdb     -80.604018 kBT
1rlgD_M190.pdb     -84.505580 kBT
1rlgD_M494.pdb     -73.270920 kBT
1rlgD_M427.pdb     -92.015723 kBT
1rlgD_M162.pdb     -67.357986 kBT
1rlgD_M121.pdb     -107.045766 kBT
1rlgD_M62.pdb     -91.108206 kBT
1rlgD_M246.pdb     -72.875601 kBT
1rlgD_M496.pdb     -75.592914 kBT
1rlgD_M203.pdb     -95.005204 kBT
1rlgD_M36.pdb     -101.528172 kBT
1rlgD_M37.pdb     -84.733586 kBT
1rlgD_M25.pdb     -85.812975 kBT
1rlgD_M43.pdb     -102.345295 kBT
1rlgD_M184.pdb     -74.166729 kBT
1rlgD_M466.pdb     -81.090949 kBT
1rlgD_M14.pdb     -93.266130 kBT
1rlgD_M235.pdb     -76.675211 kBT
1rlgD_M485.pdb     -63.059329 kBT
1rlgD_M200.pdb     -75.169821 kBT
1rlgD_M416.pdb     -67.539812 kBT
1rlgD_M3.pdb     -104.348502 kBT
1rlgD_M231.pdb     -88.311290 kBT
1rlgD_M320.pdb     -62.144303 kBT
1rlgD_M157.pdb     -87.573832 kBT
1rlgD_M136.pdb     -76.817078 kBT
1rlgD_M221.pdb     -72.614401 kBT
1rlgD_M73.pdb     -91.757374 kBT
1rlgD_M484.pdb     -89.187625 kBT
1rlgD_M414.pdb     -75.419005 kBT
1rlgD_M34.pdb     -84.587014 kBT
1rlgD_M439.pdb     -69.406921 kBT
1rlgD_M240.pdb     -60.631740 kBT
1rlgD_M472.pdb     -93.365100 kBT
1rlgD_M327.pdb     -62.402155 kBT
1rlgD_M467.pdb     -72.380884 kBT
1rlgD_M106.pdb     -89.408049 kBT
1rlgD_M152.pdb     -98.122934 kBT
1rlgD_M290.pdb     -85.607147 kBT
1rlgD_M131.pdb     -82.959972 kBT
1rlgD_M74.pdb     -64.001858 kBT
1rlgD_M420.pdb     -86.329945 kBT
1rlgD_M292.pdb     -82.902765 kBT
1rlgD_M383.pdb     -91.880597 kBT
1rlgD_M105.pdb     -91.106197 kBT
1rlgD_M151.pdb     -103.377350 kBT
1rlgD_M206.pdb     -78.488657 kBT
1rlgD_M148.pdb     -81.146638 kBT
1rlgD_M273.pdb     -69.772315 kBT
1rlgD_M211.pdb     -92.054933 kBT
1rlgD_M68.pdb     -99.114445 kBT
1rlgD_M440.pdb     -83.927241 kBT
1rlgD_M33.pdb     -75.564609 kBT
1rlgD_M347.pdb     -55.780007 kBT
1rlgD_M202.pdb     -95.726078 kBT
1rlgD_M161.pdb     -80.638018 kBT
1rlgD_M67.pdb     -74.247056 kBT
1rlgD_M338.pdb     -102.873878 kBT
1rlgD_M75.pdb     -87.766523 kBT
1rlgD_M22.pdb     -98.281349 kBT
1rlgD_M49.pdb     -70.805430 kBT
1rlgD_M223.pdb     -70.038342 kBT
1rlgD_M182.pdb     -91.634760 kBT
1rlgD_M98.pdb     -99.801685 kBT
1rlgD_M21.pdb     -96.925031 kBT
1rlgD_M23.pdb     -88.698231 kBT
1rlgD_M481.pdb     -64.894561 kBT
1rlgD_M425.pdb     -82.880065 kBT
1rlgD_M232.pdb     -71.398684 kBT
1rlgD_M382.pdb     -90.307036 kBT
1rlgD_M181.pdb     -77.419508 kBT
1rlgD_M276.pdb     -104.957624 kBT
1rlgD_M122.pdb     -88.039783 kBT
1rlgD_M257.pdb     -98.647195 kBT
1rlgD_M178.pdb     -73.698805 kBT
1rlgD_M255.pdb     -78.214187 kBT
1rlgD_M185.pdb     -66.111296 kBT
1rlgD_M379.pdb     -83.076855 kBT
1rlgD_M375.pdb     -85.851587 kBT
1rlgD_M482.pdb     -40.348784 kBT
1rlgD_M32.pdb     -87.849652 kBT
1rlgD_M306.pdb     -79.068409 kBT
1rlgD_M340.pdb     -89.755096 kBT
1rlgD_M478.pdb     -71.088369 kBT
1rlgD_M270.pdb     -71.065467 kBT
1rlgD_M396.pdb     -66.428085 kBT
1rlgD_M153.pdb     -92.222905 kBT
1rlgD_M433.pdb     -65.073418 kBT
1rlgD_M179.pdb     -98.084020 kBT
1rlgD_M187.pdb     -78.744703 kBT
1rlgD_M195.pdb     -46.126735 kBT
1rlgD_M463.pdb     -96.246957 kBT
1rlgD_M318.pdb     -78.242210 kBT
1rlgD_M341.pdb     -72.736415 kBT
1rlgD_M294.pdb     -50.101968 kBT
1rlgD_M54.pdb     -72.755523 kBT
1rlgD_M418.pdb     -83.535071 kBT
1rlgD_M339.pdb     -77.348341 kBT
1rlgD_M329.pdb     -72.723808 kBT
1rlgD_M237.pdb     -92.958251 kBT
1rlgD_M326.pdb     -69.921753 kBT
1rlgD_M215.pdb     -83.344620 kBT
1rlgD_M316.pdb     -86.520482 kBT
1rlgD_M410.pdb     -66.863684 kBT
1rlgD_M448.pdb     -73.459768 kBT
1rlgD_M325.pdb     -87.165101 kBT
1rlgD_M80.pdb     -85.352981 kBT
1rlgD_M487.pdb     -60.544227 kBT
1rlgD_M127.pdb     -85.625144 kBT
1rlgD_M118.pdb     -84.209454 kBT
1rlgD_M334.pdb     -61.428540 kBT
1rlgD_M266.pdb     -52.537791 kBT
1rlgD_M26.pdb     -99.463963 kBT
1rlgD_M498.pdb     -76.622096 kBT
1rlgD_M267.pdb     -87.710720 kBT
