1y39D_M52.pdb     -1047.009926 kBT
1y39D_M449.pdb     -896.387329 kBT
1y39D_M163.pdb     -974.329169 kBT
1y39D_M143.pdb     -1008.369381 kBT
1y39D_M495.pdb     -920.977129 kBT
1y39D_M300.pdb     -1023.818219 kBT
1y39D_M29.pdb     -1121.231679 kBT
1y39D_M121.pdb     -954.972747 kBT
1y39D_M236.pdb     -983.001756 kBT
1y39D_M262.pdb     -906.716865 kBT
1y39D_M56.pdb     -979.970935 kBT
1y39D_M378.pdb     -920.807510 kBT
1y39D_M470.pdb     -848.643582 kBT
1y39D_M44.pdb     -1047.830431 kBT
1y39D_M296.pdb     -950.226713 kBT
1y39D_M293.pdb     -966.391150 kBT
1y39D_M385.pdb     -945.944688 kBT
1y39D_M165.pdb     -988.371435 kBT
1y39D_M254.pdb     -938.663983 kBT
1y39D_M21.pdb     -1071.081535 kBT
1y39D_M273.pdb     -886.787352 kBT
1y39D_M330.pdb     -918.658617 kBT
1y39D_M286.pdb     -956.372012 kBT
1y39D_M11.pdb     -1080.725126 kBT
1y39D_M43.pdb     -1039.399489 kBT
1y39D_M119.pdb     -943.848873 kBT
1y39D_M272.pdb     -1000.585913 kBT
1y39D_M399.pdb     -903.350106 kBT
1y39D_M42.pdb     -1097.239697 kBT
1y39D_M14.pdb     -1081.920461 kBT
1y39D_M260.pdb     -957.401397 kBT
1y39D_M367.pdb     -913.810365 kBT
1y39D_M298.pdb     -963.309147 kBT
1y39D_M111.pdb     -1037.403406 kBT
1y39D_M39.pdb     -1039.920732 kBT
1y39D_M282.pdb     -915.693922 kBT
1y39D_M361.pdb     -912.762691 kBT
1y39D_M499.pdb     -882.614638 kBT
1y39D_M157.pdb     -1006.134605 kBT
1y39D_M457.pdb     -900.761149 kBT
1y39D_M425.pdb     -902.982664 kBT
1y39D_M213.pdb     -976.017618 kBT
1y39D_M94.pdb     -973.115763 kBT
1y39D_M210.pdb     -954.065203 kBT
1y39D_M344.pdb     -945.329447 kBT
