6tnaA_M335.pdb     -219.854041 kBT
6tnaA_M419.pdb     -198.751710 kBT
6tnaA_M20.pdb     -247.420651 kBT
6tnaA_M321.pdb     -206.957618 kBT
6tnaA_M27.pdb     -230.910574 kBT
6tnaA_M147.pdb     -208.792856 kBT
6tnaA_M34.pdb     -217.808194 kBT
6tnaA_M187.pdb     -216.794538 kBT
6tnaA_M87.pdb     -212.351966 kBT
6tnaA_M322.pdb     -210.261250 kBT
6tnaA_M74.pdb     -226.534355 kBT
6tnaA_M73.pdb     -219.189584 kBT
6tnaA_M245.pdb     -206.737349 kBT
6tnaA_M495.pdb     -194.691779 kBT
6tnaA_M336.pdb     -192.870896 kBT
6tnaA_M278.pdb     -212.442601 kBT
6tnaA_M479.pdb     -198.051392 kBT
6tnaA_M458.pdb     -199.590549 kBT
6tnaA_M56.pdb     -218.450701 kBT
6tnaA_M384.pdb     -186.750888 kBT
6tnaA_M499.pdb     -189.943803 kBT
6tnaA_M114.pdb     -225.139194 kBT
6tnaA_M494.pdb     -206.145763 kBT
6tnaA_M189.pdb     -207.720335 kBT
6tnaA_M143.pdb     -205.201496 kBT
6tnaA_M454.pdb     -207.601724 kBT
6tnaA_M274.pdb     -227.028476 kBT
6tnaA_M156.pdb     -209.994741 kBT
6tnaA_M352.pdb     -215.655759 kBT
6tnaA_M15.pdb     -243.334874 kBT
6tnaA_M365.pdb     -215.666629 kBT
6tnaA_M400.pdb     -201.078156 kBT
6tnaA_M444.pdb     -179.072936 kBT
6tnaA_M216.pdb     -203.501444 kBT
6tnaA_M225.pdb     -225.940734 kBT
6tnaA_M354.pdb     -195.615296 kBT
6tnaA_M461.pdb     -214.394269 kBT
6tnaA_M224.pdb     -213.076017 kBT
6tnaA_M382.pdb     -220.621765 kBT
6tnaA_M248.pdb     -212.361478 kBT
6tnaA_M97.pdb     -214.099758 kBT
6tnaA_M92.pdb     -227.024843 kBT
6tnaA_M89.pdb     -220.926330 kBT
6tnaA_M484.pdb     -203.414118 kBT
6tnaA_M271.pdb     -200.854133 kBT
6tnaA_M473.pdb     -186.803196 kBT
6tnaA_M477.pdb     -179.765007 kBT
6tnaA_M391.pdb     -210.085086 kBT
6tnaA_M183.pdb     -204.763895 kBT
6tnaA_M334.pdb     -214.972612 kBT
6tnaA_M168.pdb     -211.139871 kBT
6tnaA_M207.pdb     -210.596261 kBT
6tnaA_M270.pdb     -204.366405 kBT
6tnaA_M197.pdb     -200.266526 kBT
6tnaA_M38.pdb     -229.124635 kBT
6tnaA_M453.pdb     -184.269211 kBT
6tnaA_M98.pdb     -217.904229 kBT
6tnaA_M246.pdb     -211.488287 kBT
6tnaA_M414.pdb     -205.012593 kBT
6tnaA_M108.pdb     -210.949622 kBT
6tnaA_M265.pdb     -209.341399 kBT
6tnaA_M235.pdb     -218.727082 kBT
6tnaA_M75.pdb     -218.303446 kBT
6tnaA_M171.pdb     -213.886211 kBT
6tnaA_M72.pdb     -221.524933 kBT
6tnaA_M375.pdb     -190.805243 kBT
6tnaA_M141.pdb     -211.519347 kBT
6tnaA_M59.pdb     -206.613507 kBT
6tnaA_M328.pdb     -192.301496 kBT
6tnaA_M433.pdb     -192.182450 kBT
6tnaA_M126.pdb     -216.738316 kBT
6tnaA_M261.pdb     -203.727891 kBT
6tnaA_M258.pdb     -206.188126 kBT
6tnaA_M210.pdb     -191.887270 kBT
6tnaA_M333.pdb     -224.012733 kBT
6tnaA_M324.pdb     -202.260828 kBT
6tnaA_M188.pdb     -209.257724 kBT
6tnaA_M91.pdb     -223.061855 kBT
6tnaA_M345.pdb     -195.823487 kBT
6tnaA_M223.pdb     -200.671395 kBT
6tnaA_M311.pdb     -217.251159 kBT
6tnaA_M445.pdb     -209.973443 kBT
6tnaA_M86.pdb     -217.795381 kBT
