R1136TS416_5.pdb     -1204.140336 kBT
R1136TS054_5.pdb     -1200.516343 kBT
R1136TS227_2.pdb     -888.179912 kBT
R1136TS035_5.pdb     -822.359126 kBT
R1136TS029_4.pdb     -1007.607782 kBT
R1136TS248_4.pdb     -816.711781 kBT
R1136TS287_4.pdb     -956.915877 kBT
R1136TS239_1.pdb     -1302.331653 kBT
R1136TS081_3.pdb     -1204.153549 kBT
R1136TS232_5.pdb     -1387.956732 kBT
R1136TS392_1.pdb     -1175.744161 kBT
R1136TS287_2.pdb     -996.430989 kBT
R1136TS444_1.pdb     -1272.752445 kBT
R1136TS035_4.pdb     -918.705358 kBT
R1136TS119_5.pdb     -1332.152727 kBT
R1136TS131_5.pdb     -420.771490 kBT
R1136TS248_5.pdb     -814.020762 kBT
R1136TS245_3.pdb     -1017.226489 kBT
R1136TS131_2.pdb     -396.291866 kBT
R1136TS434_1.pdb     -869.302080 kBT
R1136TS287_3.pdb     -969.624563 kBT
R1136TS076_4.pdb     -1219.016621 kBT
R1136TS347_5.pdb     -1392.499502 kBT
R1136TS076_2.pdb     -1290.837675 kBT
R1136TS097_3.pdb     -448.786113 kBT
R1136TS110_2.pdb     -1209.882483 kBT
R1136TS238_1.pdb     -562.596366 kBT
R1136TS076_5.pdb     -1272.752445 kBT
R1136TS489_3.pdb     -1113.891595 kBT
R1136TS238_2.pdb     -937.127056 kBT
R1136TS235_2.pdb     -1195.999225 kBT
R1136TS229_3.pdb     -1313.683929 kBT
R1136TS287_5.pdb     -970.893104 kBT
R1136TS035_3.pdb     -796.264562 kBT
R1136TS245_1.pdb     -1046.178546 kBT
R1136TS245_2.pdb     -988.270105 kBT
R1136TS287_1.pdb     -1010.398927 kBT
R1136TS444_4.pdb     -1350.631537 kBT
R1136TS444_5.pdb     -1017.226489 kBT
R1136TS054_3.pdb     -1220.386210 kBT
R1136TS416_1.pdb     -1302.331653 kBT
R1136TS416_3.pdb     -1335.356833 kBT
R1136TS239_2.pdb     -1271.671833 kBT
R1136TS229_5.pdb     -1243.926819 kBT
R1136TS239_5.pdb     -1350.631537 kBT
R1136TS325_5.pdb     -1392.499502 kBT
R1136TS110_3.pdb     -1208.367526 kBT
R1136TS235_4.pdb     -719.297894 kBT
R1136TS119_1.pdb     -1265.587164 kBT
R1136TS392_3.pdb     -1186.715160 kBT
R1136TS097_2.pdb     -448.786113 kBT
R1136TS147_3.pdb     -945.175987 kBT
R1136TS248_2.pdb     -818.519091 kBT
R1136TS110_1.pdb     -1229.428699 kBT
R1136TS147_4.pdb     -930.340843 kBT
R1136TS416_2.pdb     -1233.800784 kBT
R1136TS227_3.pdb     -871.386953 kBT
R1136TS470_3.pdb     -1113.891595 kBT
R1136TS347_2.pdb     -1392.499502 kBT
R1136TS081_1.pdb     -1213.517026 kBT
R1136TS489_4.pdb     -1338.683057 kBT
R1136TS470_5.pdb     -1331.091933 kBT
R1136TS232_2.pdb     -1389.155713 kBT
R1136TS456_4.pdb     -1392.499502 kBT
R1136TS325_1.pdb     -1392.499502 kBT
R1136TS232_4.pdb     -1406.917374 kBT
R1136TS147_5.pdb     -955.245893 kBT
R1136TS128_3.pdb     -1123.438540 kBT
R1136TS110_4.pdb     -1066.888715 kBT
R1136TS489_2.pdb     -1485.517807 kBT
R1136TS434_3.pdb     -987.194706 kBT
R1136TS456_3.pdb     -1392.499502 kBT
R1136TS081_4.pdb     -1229.983025 kBT
R1136TS029_5.pdb     -1109.701679 kBT
R1136TS227_1.pdb     -863.266910 kBT
R1136TS456_2.pdb     -1392.499502 kBT
R1136TS325_2.pdb     -1392.499502 kBT
R1136TS235_1.pdb     -1157.945332 kBT
R1136TS470_1.pdb     -1320.685667 kBT
R1136TS128_1.pdb     -1186.578822 kBT
R1136TS434_5.pdb     -918.329007 kBT
R1136TS456_1.pdb     -1392.499502 kBT
R1136TS439_3.pdb     -1313.683929 kBT
R1136TS439_2.pdb     -1289.044640 kBT
R1136TS239_4.pdb     -1313.683929 kBT
R1136TS347_3.pdb     -1392.499502 kBT
R1136TS131_1.pdb     -447.055832 kBT
R1136TS125_2.pdb     -1233.800784 kBT
R1136TS238_3.pdb     -457.718109 kBT
R1136TS232_3.pdb     -1394.734644 kBT
R1136TS229_4.pdb     -1328.486963 kBT
R1136TS081_2.pdb     -1191.170458 kBT
R1136TS239_3.pdb     -1335.356833 kBT
R1136TS054_2.pdb     -1272.854210 kBT
R1136TS489_5.pdb     -1331.091933 kBT
