R1126TS029_3.pdb     -1116.319871 kBT
R1126TS227_3.pdb     -926.006481 kBT
R1126TS110_3.pdb     -959.427105 kBT
R1126TS076_4.pdb     -1249.958102 kBT
R1126TS392_1.pdb     -1127.823908 kBT
R1126TS128_3.pdb     -1085.428978 kBT
R1126TS054_1.pdb     -1293.892912 kBT
R1126TS110_1.pdb     -963.726551 kBT
R1126TS238_3.pdb     -859.496144 kBT
R1126TS131_4.pdb     -370.795558 kBT
R1126TS416_4.pdb     -783.055112 kBT
R1126TS235_4.pdb     -973.858408 kBT
R1126TS444_1.pdb     -1275.059220 kBT
R1126TS119_5.pdb     -1214.305983 kBT
R1126TS229_3.pdb     -1168.137277 kBT
R1126TS245_5.pdb     -960.522323 kBT
R1126TS054_5.pdb     -1225.524221 kBT
R1126TS227_2.pdb     -852.465901 kBT
R1126TS125_3.pdb     -1207.776394 kBT
R1126TS248_1.pdb     -893.302237 kBT
R1126TS076_1.pdb     -1115.468283 kBT
R1126TS147_5.pdb     -828.577509 kBT
R1126TS076_5.pdb     -1168.137277 kBT
R1126TS232_3.pdb     -1363.215891 kBT
R1126TS110_2.pdb     -829.929480 kBT
R1126TS128_1.pdb     -962.789888 kBT
R1126TS035_3.pdb     -938.137586 kBT
R1126TS245_4.pdb     -932.415018 kBT
R1126TS128_4.pdb     -1029.156999 kBT
R1126TS416_1.pdb     -911.511810 kBT
R1126TS434_1.pdb     -921.910263 kBT
R1126TS147_1.pdb     -869.952804 kBT
R1126TS147_4.pdb     -853.827664 kBT
R1126TS119_1.pdb     -1257.195078 kBT
R1126TS131_1.pdb     -380.317033 kBT
R1126TS128_2.pdb     -1121.447165 kBT
R1126TS125_4.pdb     -1043.475337 kBT
R1126TS287_4.pdb     -679.410127 kBT
R1126TS110_5.pdb     -949.884150 kBT
R1126TS235_2.pdb     -806.788065 kBT
R1126TS444_2.pdb     -1281.765362 kBT
R1126TS035_2.pdb     -916.606682 kBT
R1126TS232_4.pdb     -1355.859073 kBT
R1126TS490_5.pdb     -945.918839 kBT
R1126TS054_2.pdb     -1224.586709 kBT
R1126TS229_4.pdb     -1193.842420 kBT
R1126TS235_3.pdb     -784.017237 kBT
R1126TS434_4.pdb     -874.641680 kBT
R1126TS490_2.pdb     -916.606682 kBT
R1126TS439_2.pdb     -1281.765362 kBT
R1126TS128_5.pdb     -958.344806 kBT
R1126TS239_5.pdb     -859.812014 kBT
R1126TS434_2.pdb     -846.076563 kBT
R1126TS439_3.pdb     -1168.137277 kBT
R1126TS434_5.pdb     -881.560955 kBT
R1126TS248_5.pdb     -945.918839 kBT
R1126TS081_3.pdb     -1151.887275 kBT
R1126TS439_5.pdb     -820.603161 kBT
R1126TS489_5.pdb     -1316.726647 kBT
R1126TS235_5.pdb     -1126.828143 kBT
R1126TS232_2.pdb     -1375.924935 kBT
R1126TS147_3.pdb     -866.175469 kBT
R1126TS076_2.pdb     -1291.679408 kBT
R1126TS227_1.pdb     -869.063398 kBT
R1126TS229_5.pdb     -820.603161 kBT
R1126TS029_1.pdb     -1060.479926 kBT
R1126TS110_4.pdb     -1010.995977 kBT
R1126TS125_5.pdb     -1065.011124 kBT
R1126TS232_1.pdb     -1383.124272 kBT
R1126TS081_2.pdb     -1174.013068 kBT
R1126TS444_3.pdb     -967.467986 kBT
R1126TS131_3.pdb     -385.723868 kBT
R1126TS131_2.pdb     -408.970139 kBT
R1126TS444_5.pdb     -920.855920 kBT
R1126TS489_2.pdb     -1259.990791 kBT
R1126TS235_1.pdb     -662.343000 kBT
R1126TS131_5.pdb     -383.338272 kBT
R1126TS444_4.pdb     -1291.679408 kBT
R1126TS119_2.pdb     -1250.903384 kBT
R1126TS239_4.pdb     -1249.958102 kBT
R1126TS470_1.pdb     -1165.835008 kBT
R1126TS185_3.pdb     -1405.195589 kBT
R1126TS489_1.pdb     -1275.059220 kBT
R1126TS392_2.pdb     -1125.842759 kBT
R1126TS147_2.pdb     -902.392702 kBT
R1126TS416_2.pdb     -831.240491 kBT
R1126TS227_4.pdb     -887.213999 kBT
R1126TS245_2.pdb     -920.855920 kBT
R1126TS177_1.pdb     -1185.189630 kBT
R1126TS029_2.pdb     -991.286624 kBT
R1126TS229_1.pdb     -1249.958102 kBT
R1126TS392_3.pdb     -1145.456485 kBT
R1126TS076_3.pdb     -1249.958102 kBT
R1126TS238_1.pdb     229.798274 kBT
R1126TS248_4.pdb     -1021.277636 kBT
R1126TS470_2.pdb     -1259.990791 kBT
R1126TS287_5.pdb     -752.169920 kBT
R1126TS054_3.pdb     -1090.420124 kBT
R1126TS239_1.pdb     -1291.679408 kBT
R1126TS035_5.pdb     -945.918839 kBT
R1126TS287_3.pdb     -667.101255 kBT
R1126TS035_1.pdb     -893.302237 kBT
R1126TS054_4.pdb     -1015.338781 kBT
R1126TS490_4.pdb     -1021.277636 kBT
R1126TS119_3.pdb     -1170.559279 kBT
R1126TS489_4.pdb     -1130.836815 kBT
R1126TS489_3.pdb     -1115.327754 kBT
