2anrB_M23.pdb     -201.677582 kBT
2anrB_M261.pdb     -126.747289 kBT
2anrB_M494.pdb     -128.332311 kBT
2anrB_M189.pdb     -182.796715 kBT
2anrB_M65.pdb     -183.244283 kBT
2anrB_M299.pdb     -137.438802 kBT
2anrB_M485.pdb     -139.936872 kBT
2anrB_M72.pdb     -181.683900 kBT
2anrB_M286.pdb     -186.168669 kBT
2anrB_M477.pdb     -124.662928 kBT
2anrB_M6.pdb     -226.164806 kBT
2anrB_M317.pdb     -138.520709 kBT
2anrB_M218.pdb     -167.323731 kBT
2anrB_M206.pdb     -119.282753 kBT
2anrB_M128.pdb     -164.581092 kBT
2anrB_M13.pdb     -200.975100 kBT
2anrB_M244.pdb     -118.272898 kBT
2anrB_M361.pdb     -142.109415 kBT
2anrB_M401.pdb     -125.224464 kBT
2anrB_M66.pdb     -182.250357 kBT
2anrB_M251.pdb     -104.911894 kBT
2anrB_M163.pdb     -151.282194 kBT
2anrB_M137.pdb     -147.114913 kBT
2anrB_M422.pdb     -136.074431 kBT
2anrB_M297.pdb     -138.129837 kBT
2anrB_M182.pdb     -156.358021 kBT
2anrB_M202.pdb     -161.702027 kBT
2anrB_M230.pdb     -148.928271 kBT
2anrB_M288.pdb     -136.693487 kBT
2anrB_M335.pdb     -168.944840 kBT
2anrB_M415.pdb     -140.739692 kBT
2anrB_M302.pdb     -175.927220 kBT
2anrB_M466.pdb     -142.807115 kBT
2anrB_M35.pdb     -206.382496 kBT
2anrB_M25.pdb     -195.432074 kBT
2anrB_M342.pdb     -139.606026 kBT
2anrB_M83.pdb     -162.614874 kBT
2anrB_M419.pdb     -152.570899 kBT
2anrB_M106.pdb     -177.307144 kBT
2anrB_M383.pdb     -140.704835 kBT
2anrB_M269.pdb     -130.232880 kBT
2anrB_M318.pdb     -154.324063 kBT
2anrB_M458.pdb     -107.462942 kBT
2anrB_M141.pdb     -141.282514 kBT
2anrB_M388.pdb     -152.924536 kBT
2anrB_M491.pdb     -132.810528 kBT
2anrB_M131.pdb     -178.374874 kBT
2anrB_M49.pdb     -196.050857 kBT
2anrB_M51.pdb     -184.895940 kBT
2anrB_M475.pdb     -147.520665 kBT
2anrB_M112.pdb     -174.808253 kBT
2anrB_M394.pdb     -141.637559 kBT
2anrB_M479.pdb     -126.158527 kBT
2anrB_M214.pdb     -178.072842 kBT
2anrB_M47.pdb     -186.948870 kBT
2anrB_M68.pdb     -179.278252 kBT
2anrB_M217.pdb     -172.243824 kBT
2anrB_M277.pdb     -140.969158 kBT
2anrB_M310.pdb     -171.419863 kBT
2anrB_M323.pdb     -150.698730 kBT
2anrB_M402.pdb     -144.102412 kBT
2anrB_M334.pdb     -155.834796 kBT
2anrB_M188.pdb     -165.373350 kBT
2anrB.pdb     -248.723663 kBT
2anrB_M255.pdb     -147.351242 kBT
2anrB_M435.pdb     -163.495903 kBT
2anrB_M344.pdb     -149.071211 kBT
2anrB_M122.pdb     -181.321788 kBT
2anrB_M211.pdb     -186.464452 kBT
2anrB_M408.pdb     -137.215847 kBT
2anrB_M233.pdb     -125.984888 kBT
2anrB_M452.pdb     -133.001313 kBT
2anrB_M430.pdb     -121.392996 kBT
2anrB_M115.pdb     -168.956561 kBT
2anrB_M327.pdb     -149.842591 kBT
2anrB_M17.pdb     -217.802269 kBT
2anrB_M116.pdb     -172.371013 kBT
2anrB_M316.pdb     -134.472839 kBT
2anrB_M366.pdb     -140.617302 kBT
2anrB_M411.pdb     -130.521122 kBT
2anrB_M420.pdb     -141.827509 kBT
2anrB_M3.pdb     -232.421388 kBT
2anrB_M198.pdb     -163.627053 kBT
2anrB_M368.pdb     -139.752798 kBT
2anrB_M62.pdb     -184.090611 kBT
2anrB_M282.pdb     -160.008316 kBT
2anrB_M460.pdb     -175.669064 kBT
2anrB_M208.pdb     -167.833543 kBT
2anrB_M412.pdb     -128.371383 kBT
2anrB_M473.pdb     -126.142573 kBT
2anrB_M369.pdb     -153.424279 kBT
2anrB_M370.pdb     -163.817130 kBT
2anrB_M423.pdb     -88.183888 kBT
2anrB_M268.pdb     -132.057966 kBT
2anrB_M271.pdb     -162.800645 kBT
2anrB_M349.pdb     -106.233591 kBT
2anrB_M305.pdb     -139.925027 kBT
2anrB_M121.pdb     -166.761139 kBT
2anrB_M94.pdb     -152.748700 kBT
2anrB_M26.pdb     -188.491805 kBT
2anrB_M226.pdb     -144.002317 kBT
2anrB_M295.pdb     -189.794585 kBT
2anrB_M234.pdb     -132.771962 kBT
2anrB_M294.pdb     -108.767404 kBT
2anrB_M326.pdb     -142.646281 kBT
2anrB_M392.pdb     -156.506654 kBT
2anrB_M139.pdb     -184.633592 kBT
2anrB_M167.pdb     -164.851628 kBT
2anrB_M117.pdb     -159.993964 kBT
2anrB_M2.pdb     -217.706321 kBT
2anrB_M172.pdb     -190.931889 kBT
2anrB_M414.pdb     -150.477672 kBT
2anrB_M362.pdb     -162.028131 kBT
2anrB_M397.pdb     -121.749865 kBT
2anrB_M338.pdb     -126.804402 kBT
2anrB_M79.pdb     -157.029192 kBT
2anrB_M207.pdb     -139.462878 kBT
2anrB_M498.pdb     -131.095954 kBT
2anrB_M71.pdb     -152.301315 kBT
2anrB_M395.pdb     -128.704609 kBT
2anrB_M129.pdb     -159.582353 kBT
2anrB_M373.pdb     -142.160920 kBT
2anrB_M372.pdb     -169.735938 kBT
2anrB_M249.pdb     -127.356611 kBT
2anrB_M29.pdb     -193.939714 kBT
2anrB_M464.pdb     -142.111343 kBT
2anrB_M123.pdb     -189.538518 kBT
2anrB_M171.pdb     -158.028288 kBT
2anrB_M350.pdb     -149.033269 kBT
2anrB_M403.pdb     -160.765093 kBT
2anrB_M306.pdb     -146.169454 kBT
2anrB_M197.pdb     -143.622074 kBT
2anrB_M19.pdb     -217.592353 kBT
2anrB_M311.pdb     -123.724784 kBT
2anrB_M308.pdb     -127.317544 kBT
2anrB_M257.pdb     -138.720428 kBT
2anrB_M354.pdb     -132.071455 kBT
2anrB_M91.pdb     -167.286864 kBT
2anrB_M379.pdb     -138.867714 kBT
2anrB_M96.pdb     -173.603613 kBT
2anrB_M387.pdb     -159.186792 kBT
2anrB_M438.pdb     -155.937382 kBT
2anrB_M492.pdb     -140.542227 kBT
2anrB_M441.pdb     -105.777536 kBT
2anrB_M425.pdb     -130.026333 kBT
2anrB_M164.pdb     -156.880806 kBT
2anrB_M353.pdb     -141.816427 kBT
2anrB_M14.pdb     -225.196797 kBT
2anrB_M314.pdb     -150.645016 kBT
2anrB_M321.pdb     -112.756124 kBT
2anrB_M178.pdb     -151.484138 kBT
2anrB_M228.pdb     -186.913218 kBT
2anrB_M293.pdb     -144.147849 kBT
2anrB_M85.pdb     -180.494285 kBT
2anrB_M300.pdb     -134.944637 kBT
2anrB_M161.pdb     -150.446747 kBT
2anrB_M329.pdb     -153.772214 kBT
2anrB_M84.pdb     -187.554020 kBT
2anrB_M162.pdb     -161.711181 kBT
2anrB_M216.pdb     -141.651033 kBT
2anrB_M70.pdb     -174.671152 kBT
2anrB_M67.pdb     -161.642256 kBT
2anrB_M18.pdb     -207.805682 kBT
2anrB_M99.pdb     -160.278583 kBT
2anrB_M359.pdb     -133.423763 kBT
2anrB_M209.pdb     -160.505299 kBT
2anrB_M357.pdb     -164.651448 kBT
2anrB_M298.pdb     -141.371614 kBT
2anrB_M358.pdb     -127.615157 kBT
2anrB_M433.pdb     -139.425733 kBT
2anrB_M283.pdb     -142.340868 kBT
2anrB_M232.pdb     -177.532427 kBT
2anrB_M449.pdb     -143.355096 kBT
2anrB_M278.pdb     -155.779583 kBT
2anrB_M386.pdb     -165.052642 kBT
2anrB_M76.pdb     -178.422924 kBT
2anrB_M81.pdb     -178.316409 kBT
2anrB_M287.pdb     -136.616750 kBT
2anrB_M337.pdb     -141.335615 kBT
2anrB_M444.pdb     -153.547260 kBT
2anrB_M478.pdb     -143.306047 kBT
2anrB_M262.pdb     -137.537612 kBT
2anrB_M9.pdb     -232.423638 kBT
2anrB_M132.pdb     -177.887462 kBT
2anrB_M304.pdb     -127.471662 kBT
2anrB_M212.pdb     -183.862698 kBT
2anrB_M486.pdb     -115.233720 kBT
2anrB_M396.pdb     -140.132033 kBT
2anrB_M248.pdb     -132.528061 kBT
2anrB_M145.pdb     -173.959045 kBT
2anrB_M410.pdb     -139.696655 kBT
2anrB_M180.pdb     -166.210063 kBT
2anrB_M431.pdb     -133.281344 kBT
2anrB_M165.pdb     -172.297255 kBT
2anrB_M451.pdb     -97.110668 kBT
2anrB_M440.pdb     -127.271337 kBT
2anrB_M324.pdb     -144.140832 kBT
2anrB_M274.pdb     -140.815642 kBT
2anrB_M263.pdb     -153.216155 kBT
2anrB_M279.pdb     -143.156855 kBT
2anrB_M241.pdb     -148.479953 kBT
2anrB_M493.pdb     -137.082009 kBT
2anrB_M496.pdb     -137.935389 kBT
2anrB_M155.pdb     -142.302186 kBT
2anrB_M173.pdb     -179.952907 kBT
2anrB_M4.pdb     -227.178646 kBT
2anrB_M185.pdb     -173.220974 kBT
2anrB_M301.pdb     -149.090916 kBT
2anrB_M258.pdb     -175.696733 kBT
2anrB_M92.pdb     -175.720877 kBT
2anrB_M426.pdb     -144.658066 kBT
2anrB_M74.pdb     -168.924893 kBT
2anrB_M177.pdb     -140.277746 kBT
2anrB_M220.pdb     -179.917639 kBT
2anrB_M179.pdb     -172.619999 kBT
2anrB_M393.pdb     -118.649759 kBT
2anrB_M16.pdb     -204.291585 kBT
2anrB_M21.pdb     -219.822176 kBT
2anrB_M445.pdb     -97.723940 kBT
2anrB_M45.pdb     -176.557137 kBT
2anrB_M382.pdb     -134.078856 kBT
2anrB_M183.pdb     -164.712575 kBT
2anrB_M42.pdb     -175.104102 kBT
2anrB_M267.pdb     -143.521440 kBT
2anrB_M56.pdb     -201.176003 kBT
2anrB_M253.pdb     -159.741942 kBT
2anrB_M97.pdb     -174.206904 kBT
2anrB_M405.pdb     -148.312612 kBT
2anrB_M330.pdb     -149.823447 kBT
2anrB_M340.pdb     -120.938320 kBT
2anrB_M59.pdb     -183.956249 kBT
2anrB_M75.pdb     -182.096135 kBT
2anrB_M120.pdb     -185.165877 kBT
2anrB_M12.pdb     -215.644089 kBT
2anrB_M125.pdb     -136.474616 kBT
2anrB_M363.pdb     -120.239994 kBT
2anrB_M347.pdb     -128.892174 kBT
2anrB_M73.pdb     -169.185469 kBT
2anrB_M184.pdb     -177.586451 kBT
2anrB_M260.pdb     -167.749053 kBT
2anrB_M238.pdb     -140.983140 kBT
2anrB_M64.pdb     -202.118668 kBT
2anrB_M429.pdb     -101.099144 kBT
2anrB_M28.pdb     -202.606351 kBT
2anrB_M170.pdb     -166.901666 kBT
2anrB_M341.pdb     -154.030095 kBT
2anrB_M36.pdb     -189.095940 kBT
2anrB_M418.pdb     -114.713133 kBT
2anrB_M200.pdb     -174.603830 kBT
2anrB_M235.pdb     -126.718335 kBT
2anrB_M24.pdb     -215.722839 kBT
2anrB_M203.pdb     -158.491747 kBT
2anrB_M376.pdb     -159.234355 kBT
2anrB_M239.pdb     -159.013517 kBT
2anrB_M500.pdb     -143.118185 kBT
2anrB_M133.pdb     -183.011863 kBT
2anrB_M44.pdb     -189.721885 kBT
2anrB_M450.pdb     -155.556602 kBT
2anrB_M272.pdb     -165.777361 kBT
2anrB_M250.pdb     -187.550931 kBT
2anrB_M436.pdb     -146.524519 kBT
2anrB_M77.pdb     -143.320484 kBT
2anrB_M136.pdb     -153.030357 kBT
2anrB_M127.pdb     -166.895825 kBT
2anrB_M146.pdb     -151.266391 kBT
2anrB_M187.pdb     -172.428406 kBT
2anrB_M1.pdb     -218.364843 kBT
2anrB_M276.pdb     -154.324421 kBT
2anrB_M343.pdb     -142.206601 kBT
2anrB_M113.pdb     -161.369281 kBT
2anrB_M32.pdb     -211.216686 kBT
2anrB_M101.pdb     -171.945577 kBT
2anrB_M374.pdb     -141.138207 kBT
2anrB_M174.pdb     -137.987422 kBT
2anrB_M223.pdb     -153.853960 kBT
2anrB_M219.pdb     -160.671647 kBT
2anrB_M60.pdb     -181.290155 kBT
2anrB_M27.pdb     -186.294952 kBT
2anrB_M313.pdb     -133.206711 kBT
2anrB_M296.pdb     -176.068214 kBT
2anrB_M58.pdb     -154.443959 kBT
2anrB_M152.pdb     -158.137576 kBT
2anrB_M480.pdb     -187.310657 kBT
2anrB_M309.pdb     -143.198802 kBT
2anrB_M312.pdb     -138.614460 kBT
2anrB_M307.pdb     -152.616724 kBT
2anrB_M82.pdb     -170.022851 kBT
2anrB_M229.pdb     -150.508247 kBT
2anrB_M78.pdb     -173.376363 kBT
2anrB_M150.pdb     -163.682168 kBT
2anrB_M495.pdb     -146.370053 kBT
2anrB_M455.pdb     -133.464308 kBT
2anrB_M409.pdb     -109.014858 kBT
2anrB_M100.pdb     -177.834705 kBT
2anrB_M355.pdb     -164.968237 kBT
2anrB_M39.pdb     -193.734431 kBT
2anrB_M142.pdb     -173.800885 kBT
2anrB_M289.pdb     -133.514396 kBT
2anrB_M459.pdb     -130.890728 kBT
2anrB_M322.pdb     -109.606363 kBT
2anrB_M22.pdb     -207.355224 kBT
2anrB_M432.pdb     -138.780346 kBT
2anrB_M246.pdb     -167.319474 kBT
2anrB_M470.pdb     -137.848282 kBT
2anrB_M55.pdb     -201.452104 kBT
2anrB_M190.pdb     -134.156069 kBT
2anrB_M98.pdb     -177.391248 kBT
2anrB_M151.pdb     -130.190877 kBT
2anrB_M199.pdb     -141.726877 kBT
2anrB_M124.pdb     -178.373640 kBT
2anrB_M360.pdb     -144.585900 kBT
2anrB_M345.pdb     -153.808970 kBT
2anrB_M265.pdb     -142.328595 kBT
2anrB_M102.pdb     -174.691215 kBT
2anrB_M266.pdb     -155.687068 kBT
2anrB_M406.pdb     -131.827985 kBT
2anrB_M225.pdb     -139.975965 kBT
2anrB_M108.pdb     -171.272074 kBT
2anrB_M483.pdb     -132.693341 kBT
2anrB_M469.pdb     -144.604991 kBT
2anrB_M5.pdb     -226.865235 kBT
2anrB_M446.pdb     -131.880842 kBT
2anrB_M90.pdb     -156.190083 kBT
2anrB_M434.pdb     -139.217413 kBT
2anrB_M348.pdb     -146.028781 kBT
2anrB_M140.pdb     -136.165513 kBT
2anrB_M93.pdb     -167.011903 kBT
2anrB_M497.pdb     -157.924826 kBT
2anrB_M15.pdb     -227.546235 kBT
2anrB_M54.pdb     -159.550622 kBT
2anrB_M346.pdb     -172.877320 kBT
2anrB_M192.pdb     -178.118010 kBT
2anrB_M224.pdb     -160.593018 kBT
2anrB_M157.pdb     -165.781342 kBT
2anrB_M111.pdb     -163.894989 kBT
2anrB_M328.pdb     -147.620891 kBT
2anrB_M231.pdb     -166.740081 kBT
2anrB_M204.pdb     -163.145027 kBT
2anrB_M482.pdb     -126.463901 kBT
2anrB_M484.pdb     -141.639566 kBT
2anrB_M144.pdb     -156.403244 kBT
2anrB_M275.pdb     -156.425099 kBT
2anrB_M462.pdb     -128.957858 kBT
