2qusB_M208.pdb     -251.451192 kBT
2qusB_M338.pdb     -258.652040 kBT
2qusB_M324.pdb     -265.913089 kBT
2qusB_M40.pdb     -272.701465 kBT
2qusB_M242.pdb     -251.407757 kBT
2qusB_M84.pdb     -273.300082 kBT
2qusB_M234.pdb     -275.261237 kBT
2qusB_M127.pdb     -279.386756 kBT
2qusB_M33.pdb     -288.974933 kBT
2qusB_M308.pdb     -259.584135 kBT
2qusB_M104.pdb     -260.541827 kBT
2qusB_M66.pdb     -280.177238 kBT
2qusB_M229.pdb     -254.712184 kBT
2qusB_M89.pdb     -261.979808 kBT
2qusB_M466.pdb     -233.148917 kBT
2qusB_M4.pdb     -306.261878 kBT
2qusB_M398.pdb     -263.697962 kBT
2qusB_M476.pdb     -240.275445 kBT
2qusB_M139.pdb     -283.415115 kBT
2qusB_M463.pdb     -248.099556 kBT
2qusB_M218.pdb     -243.503429 kBT
2qusB_M219.pdb     -250.647446 kBT
2qusB_M191.pdb     -256.519770 kBT
2qusB_M332.pdb     -255.459683 kBT
2qusB_M408.pdb     -262.052091 kBT
2qusB_M157.pdb     -266.067626 kBT
2qusB_M65.pdb     -281.049568 kBT
2qusB_M275.pdb     -261.350727 kBT
2qusB_M280.pdb     -249.747946 kBT
2qusB_M145.pdb     -264.642039 kBT
2qusB_M207.pdb     -248.926537 kBT
2qusB_M415.pdb     -250.664116 kBT
2qusB_M103.pdb     -271.015808 kBT
2qusB_M369.pdb     -251.109405 kBT
2qusB_M414.pdb     -255.580197 kBT
2qusB_M370.pdb     -261.421852 kBT
2qusB_M488.pdb     -253.596363 kBT
2qusB_M364.pdb     -247.842389 kBT
2qusB_M298.pdb     -250.528556 kBT
2qusB_M98.pdb     -277.783931 kBT
2qusB_M159.pdb     -279.193433 kBT
2qusB_M402.pdb     -238.629644 kBT
2qusB_M499.pdb     -246.851079 kBT
2qusB_M421.pdb     -254.662805 kBT
2qusB_M37.pdb     -278.067404 kBT
2qusB_M106.pdb     -271.773631 kBT
2qusB_M162.pdb     -252.604137 kBT
2qusB_M165.pdb     -243.629620 kBT
2qusB_M492.pdb     -254.831484 kBT
2qusB_M469.pdb     -247.238239 kBT
2qusB_M85.pdb     -269.423858 kBT
2qusB_M170.pdb     -267.830082 kBT
2qusB_M428.pdb     -247.973471 kBT
2qusB_M199.pdb     -257.323449 kBT
2qusB_M261.pdb     -245.875562 kBT
2qusB_M326.pdb     -254.653264 kBT
2qusB_M250.pdb     -258.601725 kBT
2qusB_M304.pdb     -261.384590 kBT
2qusB_M345.pdb     -232.506206 kBT
2qusB_M195.pdb     -271.571294 kBT
2qusB_M14.pdb     -301.696995 kBT
2qusB_M200.pdb     -258.941940 kBT
2qusB_M303.pdb     -254.848746 kBT
2qusB_M243.pdb     -241.616990 kBT
2qusB_M340.pdb     -267.532968 kBT
2qusB_M344.pdb     -250.254856 kBT
2qusB_M387.pdb     -242.299810 kBT
2qusB_M169.pdb     -260.204780 kBT
2qusB_M203.pdb     -265.486783 kBT
2qusB_M102.pdb     -256.534957 kBT
2qusB_M286.pdb     -234.313474 kBT
2qusB_M430.pdb     -254.829680 kBT
