437dA_M418.pdb     -204.281646 kBT
437dA_M154.pdb     -242.436779 kBT
437dA_M73.pdb     -232.275788 kBT
437dA_M259.pdb     -199.163933 kBT
437dA_M165.pdb     -239.453048 kBT
437dA_M494.pdb     -145.528541 kBT
437dA_M478.pdb     -215.790873 kBT
437dA_M466.pdb     -186.908860 kBT
437dA_M172.pdb     -244.314985 kBT
437dA_M431.pdb     -236.224403 kBT
437dA_M256.pdb     -191.886424 kBT
437dA_M4.pdb     -300.598909 kBT
437dA_M377.pdb     -202.168224 kBT
437dA_M291.pdb     -209.211916 kBT
437dA_M234.pdb     -214.492059 kBT
437dA_M130.pdb     -256.079936 kBT
437dA_M288.pdb     -239.618637 kBT
437dA_M226.pdb     -241.767533 kBT
437dA_M412.pdb     -210.582618 kBT
437dA_M133.pdb     -248.105317 kBT
437dA_M145.pdb     -245.720731 kBT
437dA_M188.pdb     -243.228440 kBT
437dA_M428.pdb     -157.409197 kBT
437dA_M313.pdb     -218.410317 kBT
437dA_M265.pdb     -267.647563 kBT
437dA_M85.pdb     -253.967241 kBT
437dA_M498.pdb     -225.218768 kBT
437dA_M127.pdb     -230.679711 kBT
437dA_M273.pdb     -255.130777 kBT
437dA_M351.pdb     -153.046657 kBT
437dA_M218.pdb     -216.589369 kBT
437dA_M21.pdb     -285.463627 kBT
437dA_M287.pdb     -198.959979 kBT
437dA_M51.pdb     -273.963395 kBT
437dA_M223.pdb     -205.297912 kBT
437dA_M495.pdb     -214.191538 kBT
437dA_M355.pdb     -210.882278 kBT
437dA_M109.pdb     -228.628111 kBT
437dA_M104.pdb     -255.454200 kBT
437dA_M182.pdb     -253.418857 kBT
437dA_M38.pdb     -284.534812 kBT
437dA_M307.pdb     -222.255531 kBT
437dA_M449.pdb     -187.735300 kBT
437dA_M292.pdb     -236.053831 kBT
437dA_M354.pdb     -212.482902 kBT
437dA_M93.pdb     -253.479381 kBT
437dA_M240.pdb     -236.216807 kBT
437dA_M207.pdb     -228.626561 kBT
437dA_M374.pdb     -217.078632 kBT
437dA_M441.pdb     -192.103037 kBT
437dA_M417.pdb     -207.566478 kBT
437dA_M142.pdb     -247.340146 kBT
437dA_M52.pdb     -268.424088 kBT
437dA_M15.pdb     -266.105422 kBT
437dA_M32.pdb     -282.642209 kBT
437dA_M97.pdb     -235.292563 kBT
437dA_M297.pdb     -229.842420 kBT
437dA_M65.pdb     -255.449538 kBT
437dA_M39.pdb     -296.193638 kBT
437dA_M44.pdb     -260.523347 kBT
437dA_M194.pdb     -222.509101 kBT
437dA_M393.pdb     -185.234984 kBT
437dA_M121.pdb     -246.146360 kBT
437dA_M252.pdb     -257.183698 kBT
437dA_M342.pdb     -221.800944 kBT
437dA_M146.pdb     -255.181344 kBT
437dA_M55.pdb     -220.962521 kBT
437dA_M304.pdb     -213.898052 kBT
437dA_M134.pdb     -251.250483 kBT
437dA_M103.pdb     -242.307298 kBT
437dA_M80.pdb     -240.291544 kBT
437dA_M61.pdb     -257.901427 kBT
437dA_M470.pdb     -202.448146 kBT
437dA_M96.pdb     -217.137376 kBT
437dA_M425.pdb     -210.980687 kBT
437dA_M126.pdb     -218.439165 kBT
437dA_M70.pdb     -274.978249 kBT
437dA_M23.pdb     -313.107793 kBT
437dA_M400.pdb     -190.775360 kBT
437dA_M358.pdb     -210.853424 kBT
437dA_M101.pdb     -239.415123 kBT
437dA_M141.pdb     -201.484423 kBT
437dA_M27.pdb     -264.283508 kBT
437dA_M283.pdb     -211.743641 kBT
437dA_M43.pdb     -280.781932 kBT
437dA_M173.pdb     -242.132583 kBT
437dA_M435.pdb     -217.362927 kBT
437dA_M132.pdb     -235.276459 kBT
437dA_M433.pdb     -193.424377 kBT
437dA_M22.pdb     -319.718993 kBT
437dA_M487.pdb     -150.379365 kBT
437dA_M480.pdb     -227.840104 kBT
