2nz4S_M265.pdb     -364.150028 kBT
2nz4S_M441.pdb     -322.295720 kBT
2nz4S_M224.pdb     -334.496977 kBT
2nz4S_M399.pdb     -363.473677 kBT
2nz4S_M23.pdb     -457.044513 kBT
2nz4S_M348.pdb     -365.439918 kBT
2nz4S_M31.pdb     -448.221049 kBT
2nz4S_M246.pdb     -360.788195 kBT
2nz4S_M88.pdb     -400.785287 kBT
2nz4S_M117.pdb     -379.779196 kBT
2nz4S_M9.pdb     -461.022612 kBT
2nz4S_M471.pdb     -346.414062 kBT
2nz4S_M142.pdb     -385.667149 kBT
2nz4S_M468.pdb     -329.251820 kBT
2nz4S_M184.pdb     -375.187690 kBT
2nz4S_M415.pdb     -322.940035 kBT
2nz4S_M162.pdb     -374.096821 kBT
2nz4S_M335.pdb     -359.031321 kBT
2nz4S_M62.pdb     -419.730155 kBT
2nz4S_M188.pdb     -370.147683 kBT
2nz4S_M312.pdb     -339.849637 kBT
2nz4S_M388.pdb     -318.935341 kBT
2nz4S_M186.pdb     -347.055664 kBT
2nz4S_M457.pdb     -318.488733 kBT
2nz4S_M174.pdb     -361.185071 kBT
2nz4S_M103.pdb     -406.507281 kBT
2nz4S_M40.pdb     -399.744184 kBT
2nz4S_M215.pdb     -338.617069 kBT
2nz4S_M185.pdb     -380.645453 kBT
2nz4S_M76.pdb     -393.339142 kBT
2nz4S_M278.pdb     -346.184173 kBT
2nz4S_M237.pdb     -377.578806 kBT
2nz4S_M478.pdb     -335.877067 kBT
2nz4S_M355.pdb     -322.449527 kBT
2nz4S_M436.pdb     -318.253971 kBT
2nz4S_M101.pdb     -390.691315 kBT
2nz4S_M37.pdb     -395.745285 kBT
2nz4S_M445.pdb     -340.829688 kBT
2nz4S_M439.pdb     -320.567258 kBT
2nz4S_M207.pdb     -357.339399 kBT
2nz4S_M19.pdb     -430.066782 kBT
2nz4S_M394.pdb     -368.468073 kBT
2nz4S_M192.pdb     -391.946763 kBT
2nz4S_M14.pdb     -445.272161 kBT
2nz4S_M110.pdb     -391.901245 kBT
2nz4S_M459.pdb     -358.736595 kBT
2nz4S_M451.pdb     -359.468645 kBT
2nz4S_M64.pdb     -406.371976 kBT
