1e7kD_M392.pdb     -44.623004 kBT
1e7kD_M245.pdb     -58.477771 kBT
1e7kD_M23.pdb     -73.391148 kBT
1e7kD_M217.pdb     -40.117963 kBT
1e7kD_M301.pdb     -56.238107 kBT
1e7kD_M108.pdb     -66.372317 kBT
1e7kD_M273.pdb     -45.540834 kBT
1e7kD_M429.pdb     -45.134961 kBT
1e7kD_M482.pdb     -31.007706 kBT
1e7kD_M460.pdb     -54.750654 kBT
1e7kD_M351.pdb     -64.697802 kBT
1e7kD_M274.pdb     -76.795011 kBT
1e7kD_M200.pdb     -73.487390 kBT
1e7kD_M447.pdb     -38.773386 kBT
1e7kD_M96.pdb     -65.735118 kBT
1e7kD_M497.pdb     -58.411013 kBT
1e7kD_M242.pdb     -39.505170 kBT
1e7kD_M124.pdb     -63.821325 kBT
1e7kD_M293.pdb     -43.146921 kBT
1e7kD_M206.pdb     -46.687689 kBT
1e7kD_M495.pdb     -52.986533 kBT
1e7kD_M251.pdb     -44.813494 kBT
1e7kD_M399.pdb     -39.317886 kBT
1e7kD_M358.pdb     -77.598402 kBT
1e7kD_M161.pdb     -67.548158 kBT
1e7kD_M486.pdb     -25.961207 kBT
1e7kD_M123.pdb     -64.469608 kBT
1e7kD_M378.pdb     -47.009036 kBT
1e7kD_M146.pdb     -59.002710 kBT
1e7kD_M213.pdb     -60.981205 kBT
1e7kD_M186.pdb     -42.338164 kBT
1e7kD_M77.pdb     -73.357098 kBT
1e7kD_M189.pdb     -67.753340 kBT
1e7kD_M373.pdb     -56.386781 kBT
1e7kD_M44.pdb     -67.799194 kBT
1e7kD_M402.pdb     -28.398389 kBT
1e7kD_M272.pdb     -80.950700 kBT
1e7kD_M437.pdb     -25.863663 kBT
1e7kD_M91.pdb     -61.566120 kBT
1e7kD_M493.pdb     -27.959469 kBT
1e7kD_M172.pdb     -51.664890 kBT
1e7kD_M176.pdb     -61.550813 kBT
1e7kD_M235.pdb     -71.844635 kBT
1e7kD_M74.pdb     -80.211328 kBT
1e7kD_M184.pdb     -57.542856 kBT
1e7kD_M198.pdb     -56.484794 kBT
1e7kD_M388.pdb     -50.950225 kBT
1e7kD_M330.pdb     -49.820752 kBT
1e7kD_M327.pdb     -61.423943 kBT
1e7kD_M345.pdb     -37.618424 kBT
1e7kD_M412.pdb     -61.501719 kBT
1e7kD_M147.pdb     -54.071732 kBT
1e7kD.pdb     -125.124493 kBT
1e7kD_M106.pdb     -50.416577 kBT
1e7kD_M329.pdb     -31.740007 kBT
1e7kD_M474.pdb     -47.407504 kBT
1e7kD_M93.pdb     -56.446879 kBT
1e7kD_M134.pdb     -52.975850 kBT
1e7kD_M480.pdb     -49.832305 kBT
1e7kD_M365.pdb     -39.710053 kBT
1e7kD_M80.pdb     -60.479188 kBT
1e7kD_M318.pdb     -43.035352 kBT
1e7kD_M194.pdb     -29.733950 kBT
1e7kD_M321.pdb     -79.066846 kBT
1e7kD_M84.pdb     -55.533471 kBT
1e7kD_M10.pdb     -67.885158 kBT
1e7kD_M267.pdb     -35.052805 kBT
1e7kD_M149.pdb     -56.281593 kBT
1e7kD_M38.pdb     -67.402454 kBT
1e7kD_M162.pdb     -64.555976 kBT
1e7kD_M104.pdb     -59.261044 kBT
1e7kD_M214.pdb     -54.912150 kBT
1e7kD_M246.pdb     -59.390506 kBT
1e7kD_M43.pdb     -60.542662 kBT
1e7kD_M444.pdb     -63.719808 kBT
1e7kD_M276.pdb     -61.859585 kBT
1e7kD_M357.pdb     -63.127610 kBT
1e7kD_M110.pdb     -66.963386 kBT
1e7kD_M207.pdb     -48.157069 kBT
1e7kD_M385.pdb     -44.144987 kBT
1e7kD_M103.pdb     -61.265037 kBT
1e7kD_M252.pdb     -72.034430 kBT
1e7kD_M349.pdb     -57.211979 kBT
1e7kD_M25.pdb     -74.664875 kBT
1e7kD_M353.pdb     -53.325762 kBT
1e7kD_M125.pdb     -83.285659 kBT
1e7kD_M455.pdb     -19.001613 kBT
1e7kD_M285.pdb     -61.140346 kBT
1e7kD_M247.pdb     -57.663106 kBT
1e7kD_M239.pdb     -50.493211 kBT
1e7kD_M390.pdb     -51.201504 kBT
1e7kD_M325.pdb     -51.924947 kBT
1e7kD_M56.pdb     -81.407678 kBT
1e7kD_M46.pdb     -60.604354 kBT
1e7kD_M262.pdb     -68.383350 kBT
1e7kD_M407.pdb     -60.518755 kBT
1e7kD_M101.pdb     -59.569006 kBT
1e7kD_M435.pdb     -25.574939 kBT
1e7kD_M33.pdb     -61.301082 kBT
1e7kD_M197.pdb     -49.164112 kBT
1e7kD_M432.pdb     -44.779154 kBT
1e7kD_M118.pdb     -70.696365 kBT
1e7kD_M105.pdb     -71.568325 kBT
1e7kD_M34.pdb     -73.684897 kBT
1e7kD_M368.pdb     -54.108308 kBT
1e7kD_M5.pdb     -73.773484 kBT
1e7kD_M191.pdb     -68.090765 kBT
1e7kD_M7.pdb     -70.871899 kBT
1e7kD_M115.pdb     -50.970286 kBT
1e7kD_M416.pdb     -53.210163 kBT
1e7kD_M393.pdb     -38.926582 kBT
1e7kD_M240.pdb     -53.848855 kBT
1e7kD_M158.pdb     -54.333533 kBT
1e7kD_M410.pdb     -50.115570 kBT
1e7kD_M199.pdb     -43.595384 kBT
1e7kD_M258.pdb     -46.402503 kBT
1e7kD_M430.pdb     -60.812919 kBT
1e7kD_M403.pdb     -40.912029 kBT
1e7kD_M477.pdb     -42.795552 kBT
1e7kD_M257.pdb     -40.489621 kBT
1e7kD_M88.pdb     -71.461376 kBT
1e7kD_M229.pdb     -53.775449 kBT
1e7kD_M384.pdb     -51.117587 kBT
1e7kD_M48.pdb     -76.240763 kBT
1e7kD_M485.pdb     -59.780077 kBT
1e7kD_M324.pdb     -68.791746 kBT
1e7kD_M216.pdb     -48.068100 kBT
1e7kD_M215.pdb     -45.718199 kBT
1e7kD_M212.pdb     -62.017681 kBT
1e7kD_M139.pdb     -42.835583 kBT
1e7kD_M471.pdb     -57.732014 kBT
1e7kD_M222.pdb     -41.148987 kBT
1e7kD_M475.pdb     -49.912472 kBT
1e7kD_M208.pdb     -46.932749 kBT
1e7kD_M397.pdb     -58.482012 kBT
1e7kD_M380.pdb     -49.345018 kBT
1e7kD_M291.pdb     -45.086188 kBT
1e7kD_M182.pdb     -40.586217 kBT
1e7kD_M254.pdb     -41.834800 kBT
1e7kD_M376.pdb     -54.230677 kBT
1e7kD_M363.pdb     -54.337631 kBT
1e7kD_M53.pdb     -70.385299 kBT
1e7kD_M185.pdb     -74.153411 kBT
1e7kD_M277.pdb     -53.650335 kBT
1e7kD_M395.pdb     -52.508433 kBT
1e7kD_M225.pdb     -33.990710 kBT
1e7kD_M488.pdb     -43.225825 kBT
1e7kD_M12.pdb     -60.511950 kBT
1e7kD_M177.pdb     -48.106710 kBT
1e7kD_M230.pdb     -68.128049 kBT
1e7kD_M476.pdb     -68.070435 kBT
1e7kD_M483.pdb     -54.972348 kBT
1e7kD_M3.pdb     -71.302957 kBT
1e7kD_M39.pdb     -66.502220 kBT
1e7kD_M89.pdb     -40.100213 kBT
1e7kD_M59.pdb     -64.995386 kBT
1e7kD_M370.pdb     -30.400808 kBT
1e7kD_M350.pdb     -68.255226 kBT
1e7kD_M452.pdb     -61.956252 kBT
1e7kD_M264.pdb     -48.058394 kBT
1e7kD_M428.pdb     -51.367731 kBT
1e7kD_M374.pdb     -52.203093 kBT
1e7kD_M86.pdb     -69.543578 kBT
1e7kD_M304.pdb     -79.020511 kBT
1e7kD_M81.pdb     -67.019096 kBT
1e7kD_M489.pdb     -60.852336 kBT
1e7kD_M183.pdb     -42.649629 kBT
1e7kD_M398.pdb     -62.729575 kBT
1e7kD_M422.pdb     -64.208757 kBT
1e7kD_M498.pdb     -49.952582 kBT
1e7kD_M236.pdb     -71.654327 kBT
1e7kD_M289.pdb     -35.628042 kBT
1e7kD_M129.pdb     -67.786320 kBT
1e7kD_M461.pdb     -21.545730 kBT
1e7kD_M453.pdb     -48.633963 kBT
1e7kD_M297.pdb     -74.343070 kBT
