2zniD_M471.pdb     -226.032022 kBT
2zniD_M132.pdb     -204.538531 kBT
2zniD_M430.pdb     -221.972887 kBT
2zniD_M361.pdb     -234.357394 kBT
2zniD_M127.pdb     -236.422509 kBT
2zniD_M118.pdb     -233.959286 kBT
2zniD_M306.pdb     -237.747664 kBT
2zniD_M137.pdb     -259.215361 kBT
2zniD_M32.pdb     -246.778958 kBT
2zniD_M214.pdb     -236.548052 kBT
2zniD_M20.pdb     -265.194000 kBT
2zniD_M445.pdb     -226.673126 kBT
2zniD_M432.pdb     -186.208437 kBT
2zniD_M356.pdb     -189.678434 kBT
2zniD_M371.pdb     -206.650615 kBT
2zniD_M347.pdb     -229.580223 kBT
2zniD_M200.pdb     -243.211813 kBT
2zniD_M311.pdb     -217.159745 kBT
2zniD_M161.pdb     -277.867742 kBT
2zniD_M78.pdb     -255.700132 kBT
2zniD_M223.pdb     -199.937902 kBT
2zniD_M363.pdb     -243.500382 kBT
2zniD_M441.pdb     -216.040076 kBT
2zniD_M493.pdb     -221.064760 kBT
2zniD_M171.pdb     -242.907837 kBT
2zniD_M166.pdb     -229.074238 kBT
2zniD_M300.pdb     -229.617607 kBT
2zniD_M59.pdb     -234.207380 kBT
2zniD_M23.pdb     -277.544908 kBT
2zniD_M75.pdb     -243.461181 kBT
2zniD_M275.pdb     -194.395953 kBT
2zniD_M178.pdb     -210.742081 kBT
2zniD_M289.pdb     -239.535998 kBT
2zniD_M246.pdb     -217.615581 kBT
2zniD_M42.pdb     -258.491794 kBT
2zniD_M342.pdb     -210.534753 kBT
2zniD_M393.pdb     -217.656684 kBT
2zniD_M357.pdb     -244.878495 kBT
2zniD_M328.pdb     -191.012150 kBT
2zniD_M17.pdb     -265.303409 kBT
2zniD_M349.pdb     -221.886051 kBT
2zniD_M65.pdb     -259.426223 kBT
2zniD_M405.pdb     -222.669495 kBT
2zniD_M40.pdb     -263.675776 kBT
2zniD_M392.pdb     -199.805206 kBT
2zniD_M237.pdb     -226.724220 kBT
2zniD_M86.pdb     -270.141708 kBT
2zniD_M463.pdb     -228.123503 kBT
2zniD_M148.pdb     -225.589831 kBT
2zniD_M211.pdb     -226.019730 kBT
2zniD_M346.pdb     -214.335467 kBT
2zniD_M280.pdb     -223.585261 kBT
2zniD_M231.pdb     -232.466395 kBT
2zniD_M459.pdb     -235.750478 kBT
2zniD_M1.pdb     -273.001576 kBT
2zniD_M302.pdb     -232.747343 kBT
2zniD_M267.pdb     -194.942679 kBT
2zniD_M234.pdb     -259.539354 kBT
2zniD_M314.pdb     -217.020060 kBT
2zniD_M52.pdb     -282.983422 kBT
2zniD_M30.pdb     -274.120360 kBT
2zniD_M265.pdb     -222.378799 kBT
2zniD_M105.pdb     -253.895079 kBT
2zniD_M344.pdb     -224.664176 kBT
2zniD_M240.pdb     -231.048059 kBT
2zniD_M285.pdb     -227.986819 kBT
2zniD_M323.pdb     -205.780484 kBT
2zniD_M108.pdb     -235.501603 kBT
2zniD_M338.pdb     -230.503072 kBT
2zniD_M320.pdb     -219.863335 kBT
2zniD.pdb     -272.052849 kBT
2zniD_M228.pdb     -202.262493 kBT
2zniD_M337.pdb     -198.421739 kBT
2zniD_M179.pdb     -250.365322 kBT
2zniD_M8.pdb     -270.046317 kBT
2zniD_M286.pdb     -269.742526 kBT
2zniD_M79.pdb     -265.217223 kBT
2zniD_M419.pdb     -205.234872 kBT
2zniD_M355.pdb     -214.210372 kBT
2zniD_M13.pdb     -279.294376 kBT
2zniD_M266.pdb     -220.369984 kBT
2zniD_M458.pdb     -243.352374 kBT
2zniD_M422.pdb     -220.874829 kBT
2zniD_M457.pdb     -243.761982 kBT
2zniD_M269.pdb     -218.200593 kBT
2zniD_M473.pdb     -215.579115 kBT
2zniD_M362.pdb     -228.293118 kBT
2zniD_M488.pdb     -207.548524 kBT
2zniD_M438.pdb     -223.150680 kBT
2zniD_M58.pdb     -261.467625 kBT
2zniD_M173.pdb     -256.315932 kBT
2zniD_M290.pdb     -226.364355 kBT
2zniD_M193.pdb     -233.633560 kBT
2zniD_M271.pdb     -209.235620 kBT
2zniD_M64.pdb     -231.617281 kBT
2zniD_M61.pdb     -248.288097 kBT
2zniD_M313.pdb     -236.613390 kBT
2zniD_M316.pdb     -203.678475 kBT
2zniD_M321.pdb     -209.282467 kBT
2zniD_M317.pdb     -216.647471 kBT
2zniD_M478.pdb     -206.671724 kBT
2zniD_M188.pdb     -246.120470 kBT
2zniD_M450.pdb     -233.596688 kBT
2zniD_M51.pdb     -278.334561 kBT
2zniD_M305.pdb     -250.662690 kBT
2zniD_M139.pdb     -238.447322 kBT
2zniD_M318.pdb     -235.189011 kBT
2zniD_M109.pdb     -240.425149 kBT
2zniD_M410.pdb     -200.880193 kBT
2zniD_M46.pdb     -272.366662 kBT
2zniD_M152.pdb     -227.748515 kBT
2zniD_M434.pdb     -206.440448 kBT
2zniD_M351.pdb     -231.079900 kBT
2zniD_M374.pdb     -222.275677 kBT
2zniD_M181.pdb     -232.968584 kBT
2zniD_M325.pdb     -201.439185 kBT
2zniD_M125.pdb     -232.296759 kBT
2zniD_M281.pdb     -191.112164 kBT
2zniD_M141.pdb     -262.630931 kBT
2zniD_M304.pdb     -214.079422 kBT
2zniD_M140.pdb     -230.839669 kBT
2zniD_M129.pdb     -229.853985 kBT
2zniD_M194.pdb     -242.364107 kBT
2zniD_M386.pdb     -220.774536 kBT
2zniD_M33.pdb     -288.545145 kBT
2zniD_M111.pdb     -248.784422 kBT
2zniD_M409.pdb     -207.574455 kBT
2zniD_M497.pdb     -218.359150 kBT
2zniD_M176.pdb     -225.592993 kBT
2zniD_M93.pdb     -228.893588 kBT
2zniD_M448.pdb     -212.129345 kBT
2zniD_M287.pdb     -207.471614 kBT
2zniD_M227.pdb     -212.750844 kBT
2zniD_M257.pdb     -223.304751 kBT
2zniD_M168.pdb     -241.204082 kBT
2zniD_M213.pdb     -225.565804 kBT
2zniD_M333.pdb     -214.147694 kBT
2zniD_M236.pdb     -225.978450 kBT
2zniD_M498.pdb     -201.340335 kBT
2zniD_M487.pdb     -216.843886 kBT
2zniD_M277.pdb     -235.808602 kBT
2zniD_M106.pdb     -228.228275 kBT
2zniD_M24.pdb     -270.596829 kBT
2zniD_M84.pdb     -240.799723 kBT
2zniD_M414.pdb     -233.227009 kBT
2zniD_M467.pdb     -226.574170 kBT
2zniD_M157.pdb     -246.857415 kBT
2zniD_M49.pdb     -268.652323 kBT
2zniD_M138.pdb     -232.462002 kBT
2zniD_M130.pdb     -245.288107 kBT
2zniD_M66.pdb     -268.723153 kBT
2zniD_M147.pdb     -211.210225 kBT
2zniD_M460.pdb     -215.710083 kBT
2zniD_M144.pdb     -259.079476 kBT
2zniD_M135.pdb     -231.269833 kBT
2zniD_M494.pdb     -210.275803 kBT
2zniD_M54.pdb     -244.879198 kBT
2zniD_M60.pdb     -263.318803 kBT
2zniD_M219.pdb     -216.360430 kBT
2zniD_M470.pdb     -219.540935 kBT
2zniD_M354.pdb     -202.196817 kBT
2zniD_M366.pdb     -219.421795 kBT
2zniD_M348.pdb     -210.473862 kBT
2zniD_M278.pdb     -230.852051 kBT
2zniD_M303.pdb     -231.741826 kBT
2zniD_M122.pdb     -228.510975 kBT
2zniD_M343.pdb     -225.352638 kBT
2zniD_M238.pdb     -239.405097 kBT
2zniD_M413.pdb     -230.389389 kBT
2zniD_M21.pdb     -257.207364 kBT
2zniD_M468.pdb     -167.862104 kBT
2zniD_M255.pdb     -232.261783 kBT
2zniD_M247.pdb     -208.019174 kBT
2zniD_M379.pdb     -247.986746 kBT
2zniD_M104.pdb     -259.631195 kBT
2zniD_M396.pdb     -218.261942 kBT
2zniD_M76.pdb     -255.959407 kBT
2zniD_M43.pdb     -277.818437 kBT
2zniD_M472.pdb     -214.926473 kBT
2zniD_M332.pdb     -200.427722 kBT
2zniD_M433.pdb     -209.430607 kBT
2zniD_M417.pdb     -194.004145 kBT
2zniD_M296.pdb     -205.161736 kBT
2zniD_M134.pdb     -244.822239 kBT
2zniD_M322.pdb     -226.569864 kBT
2zniD_M55.pdb     -248.521712 kBT
2zniD_M369.pdb     -209.508593 kBT
2zniD_M70.pdb     -272.333689 kBT
2zniD_M365.pdb     -195.739617 kBT
2zniD_M329.pdb     -205.961532 kBT
2zniD_M182.pdb     -201.232812 kBT
2zniD_M62.pdb     -259.111267 kBT
2zniD_M69.pdb     -256.112429 kBT
2zniD_M163.pdb     -216.281492 kBT
2zniD_M270.pdb     -250.802694 kBT
2zniD_M291.pdb     -229.197123 kBT
2zniD_M439.pdb     -219.940815 kBT
2zniD_M98.pdb     -250.106358 kBT
2zniD_M180.pdb     -244.979027 kBT
2zniD_M360.pdb     -212.624203 kBT
2zniD_M447.pdb     -201.464946 kBT
2zniD_M336.pdb     -243.594238 kBT
2zniD_M263.pdb     -206.006867 kBT
2zniD_M82.pdb     -246.182900 kBT
2zniD_M368.pdb     -220.364761 kBT
2zniD_M186.pdb     -235.307995 kBT
2zniD_M199.pdb     -243.956978 kBT
2zniD_M10.pdb     -271.404816 kBT
2zniD_M282.pdb     -236.414051 kBT
2zniD_M169.pdb     -224.720662 kBT
2zniD_M406.pdb     -205.286833 kBT
2zniD_M335.pdb     -223.677007 kBT
2zniD_M352.pdb     -227.036742 kBT
2zniD_M341.pdb     -233.731969 kBT
2zniD_M327.pdb     -225.854380 kBT
2zniD_M162.pdb     -234.527792 kBT
2zniD_M308.pdb     -231.544825 kBT
2zniD_M428.pdb     -222.764116 kBT
2zniD_M481.pdb     -219.926885 kBT
2zniD_M189.pdb     -219.211974 kBT
2zniD_M444.pdb     -241.622441 kBT
2zniD_M373.pdb     -223.901627 kBT
2zniD_M89.pdb     -250.829004 kBT
2zniD_M453.pdb     -212.372802 kBT
2zniD_M191.pdb     -227.288260 kBT
2zniD_M221.pdb     -213.234739 kBT
2zniD_M136.pdb     -246.541231 kBT
2zniD_M103.pdb     -240.613274 kBT
2zniD_M427.pdb     -229.808612 kBT
2zniD_M395.pdb     -223.698962 kBT
2zniD_M175.pdb     -228.871368 kBT
2zniD_M68.pdb     -266.883991 kBT
2zniD_M97.pdb     -226.987859 kBT
2zniD_M464.pdb     -206.361962 kBT
2zniD_M73.pdb     -266.368100 kBT
2zniD_M350.pdb     -212.477090 kBT
2zniD_M38.pdb     -288.771226 kBT
2zniD_M187.pdb     -221.985905 kBT
2zniD_M67.pdb     -255.197578 kBT
2zniD_M5.pdb     -272.361209 kBT
2zniD_M274.pdb     -228.008697 kBT
2zniD_M39.pdb     -251.448794 kBT
2zniD_M367.pdb     -196.993925 kBT
2zniD_M177.pdb     -222.771869 kBT
2zniD_M115.pdb     -252.453892 kBT
2zniD_M164.pdb     -226.339930 kBT
2zniD_M268.pdb     -209.266709 kBT
2zniD_M4.pdb     -281.142661 kBT
2zniD_M172.pdb     -240.362208 kBT
2zniD_M242.pdb     -240.320249 kBT
2zniD_M420.pdb     -209.062057 kBT
2zniD_M80.pdb     -254.847074 kBT
2zniD_M495.pdb     -239.698954 kBT
2zniD_M159.pdb     -225.620025 kBT
2zniD_M85.pdb     -240.674217 kBT
2zniD_M63.pdb     -244.141917 kBT
2zniD_M37.pdb     -257.223544 kBT
2zniD_M53.pdb     -256.488708 kBT
2zniD_M131.pdb     -243.739775 kBT
2zniD_M496.pdb     -213.604740 kBT
2zniD_M403.pdb     -212.523725 kBT
2zniD_M259.pdb     -230.346256 kBT
2zniD_M480.pdb     -209.006901 kBT
2zniD_M455.pdb     -198.404305 kBT
2zniD_M408.pdb     -221.943699 kBT
2zniD_M273.pdb     -227.472002 kBT
2zniD_M87.pdb     -239.262767 kBT
2zniD_M479.pdb     -212.092477 kBT
2zniD_M15.pdb     -274.108681 kBT
2zniD_M167.pdb     -201.690623 kBT
2zniD_M243.pdb     -228.263546 kBT
2zniD_M500.pdb     -184.182578 kBT
2zniD_M207.pdb     -245.038456 kBT
2zniD_M195.pdb     -206.610777 kBT
2zniD_M436.pdb     -243.292548 kBT
2zniD_M423.pdb     -226.927086 kBT
2zniD_M276.pdb     -221.733671 kBT
2zniD_M110.pdb     -246.212798 kBT
2zniD_M146.pdb     -225.373821 kBT
2zniD_M315.pdb     -234.939058 kBT
2zniD_M437.pdb     -201.652517 kBT
2zniD_M154.pdb     -232.273867 kBT
2zniD_M114.pdb     -228.358866 kBT
2zniD_M27.pdb     -261.686935 kBT
2zniD_M451.pdb     -191.527861 kBT
2zniD_M133.pdb     -227.343345 kBT
2zniD_M424.pdb     -224.859013 kBT
2zniD_M36.pdb     -279.077568 kBT
2zniD_M358.pdb     -223.946897 kBT
2zniD_M258.pdb     -208.916273 kBT
2zniD_M112.pdb     -245.912218 kBT
2zniD_M250.pdb     -243.678988 kBT
2zniD_M298.pdb     -216.611600 kBT
2zniD_M256.pdb     -209.967652 kBT
2zniD_M128.pdb     -239.895169 kBT
2zniD_M149.pdb     -242.427229 kBT
2zniD_M482.pdb     -195.956648 kBT
2zniD_M224.pdb     -219.763515 kBT
2zniD_M92.pdb     -242.669678 kBT
2zniD_M359.pdb     -215.120415 kBT
2zniD_M28.pdb     -274.049912 kBT
2zniD_M232.pdb     -237.588870 kBT
2zniD_M279.pdb     -216.994388 kBT
2zniD_M390.pdb     -226.357783 kBT
2zniD_M174.pdb     -217.678891 kBT
2zniD_M416.pdb     -256.594947 kBT
2zniD_M184.pdb     -248.587014 kBT
2zniD_M442.pdb     -232.235605 kBT
2zniD_M435.pdb     -246.994705 kBT
2zniD_M91.pdb     -265.017225 kBT
2zniD_M324.pdb     -208.609952 kBT
2zniD_M398.pdb     -245.594536 kBT
2zniD_M391.pdb     -219.726384 kBT
2zniD_M312.pdb     -210.771615 kBT
2zniD_M499.pdb     -200.746182 kBT
2zniD_M202.pdb     -242.480938 kBT
2zniD_M251.pdb     -222.092580 kBT
2zniD_M239.pdb     -239.178055 kBT
2zniD_M88.pdb     -226.136007 kBT
2zniD_M209.pdb     -231.127777 kBT
2zniD_M183.pdb     -206.966508 kBT
2zniD_M116.pdb     -279.110700 kBT
2zniD_M201.pdb     -199.870409 kBT
2zniD_M47.pdb     -261.533571 kBT
2zniD_M426.pdb     -203.960459 kBT
2zniD_M440.pdb     -227.020802 kBT
2zniD_M71.pdb     -241.953794 kBT
2zniD_M381.pdb     -244.754006 kBT
2zniD_M217.pdb     -230.731758 kBT
2zniD_M454.pdb     -213.610581 kBT
2zniD_M77.pdb     -228.863864 kBT
2zniD_M34.pdb     -259.606716 kBT
2zniD_M401.pdb     -231.633561 kBT
2zniD_M301.pdb     -205.669172 kBT
2zniD_M6.pdb     -279.873466 kBT
2zniD_M490.pdb     -214.605015 kBT
2zniD_M264.pdb     -197.595360 kBT
2zniD_M192.pdb     -241.737699 kBT
2zniD_M196.pdb     -214.264114 kBT
2zniD_M235.pdb     -242.720211 kBT
2zniD_M83.pdb     -222.678942 kBT
