1rlgD_M374.pdb     -143.037374 kBT
1rlgD_M304.pdb     -111.525472 kBT
1rlgD_M275.pdb     -69.015753 kBT
1rlgD_M134.pdb     -110.860513 kBT
1rlgD.pdb     -259.613376 kBT
1rlgD_M126.pdb     -127.320203 kBT
1rlgD_M397.pdb     -130.983926 kBT
1rlgD_M495.pdb     -84.740505 kBT
1rlgD_M173.pdb     -120.411654 kBT
1rlgD_M204.pdb     -109.306692 kBT
1rlgD_M96.pdb     -108.666984 kBT
1rlgD_M365.pdb     -115.950727 kBT
1rlgD_M112.pdb     -115.955600 kBT
1rlgD_M407.pdb     -112.215814 kBT
1rlgD_M219.pdb     -112.438252 kBT
1rlgD_M190.pdb     -130.930166 kBT
1rlgD_M494.pdb     -109.796426 kBT
1rlgD_M427.pdb     -134.508989 kBT
1rlgD_M162.pdb     -131.873005 kBT
1rlgD_M121.pdb     -138.135637 kBT
1rlgD_M62.pdb     -144.603456 kBT
1rlgD_M246.pdb     -115.032470 kBT
1rlgD_M496.pdb     -129.844944 kBT
1rlgD_M203.pdb     -131.915990 kBT
1rlgD_M36.pdb     -164.053185 kBT
1rlgD_M37.pdb     -153.617391 kBT
1rlgD_M25.pdb     -157.615382 kBT
1rlgD_M43.pdb     -169.581405 kBT
1rlgD_M184.pdb     -148.943363 kBT
1rlgD_M466.pdb     -121.796878 kBT
1rlgD_M14.pdb     -186.488553 kBT
1rlgD_M235.pdb     -123.968746 kBT
1rlgD_M485.pdb     -76.682376 kBT
1rlgD_M200.pdb     -84.792526 kBT
1rlgD_M416.pdb     -100.601752 kBT
1rlgD_M3.pdb     -200.937584 kBT
1rlgD_M231.pdb     -125.934734 kBT
1rlgD_M320.pdb     -96.744600 kBT
1rlgD_M157.pdb     -144.240169 kBT
1rlgD_M136.pdb     -135.782589 kBT
1rlgD_M221.pdb     -101.385099 kBT
1rlgD_M73.pdb     -134.058491 kBT
1rlgD_M484.pdb     -136.996344 kBT
1rlgD_M414.pdb     -115.930177 kBT
1rlgD_M34.pdb     -132.701735 kBT
1rlgD_M439.pdb     -104.357688 kBT
1rlgD_M240.pdb     -123.743371 kBT
1rlgD_M472.pdb     -123.290523 kBT
1rlgD_M327.pdb     -109.800529 kBT
1rlgD_M467.pdb     -95.306190 kBT
1rlgD_M106.pdb     -121.386169 kBT
1rlgD_M152.pdb     -125.655289 kBT
1rlgD_M290.pdb     -140.125498 kBT
1rlgD_M131.pdb     -165.110933 kBT
1rlgD_M74.pdb     -135.575714 kBT
1rlgD_M420.pdb     -128.670836 kBT
1rlgD_M292.pdb     -148.895394 kBT
1rlgD_M383.pdb     -127.085558 kBT
1rlgD_M105.pdb     -143.975355 kBT
1rlgD_M151.pdb     -158.986709 kBT
1rlgD_M206.pdb     -132.510286 kBT
1rlgD_M148.pdb     -149.128442 kBT
1rlgD_M273.pdb     -99.452300 kBT
1rlgD_M211.pdb     -143.357982 kBT
1rlgD_M68.pdb     -152.233343 kBT
1rlgD_M440.pdb     -134.301278 kBT
1rlgD_M33.pdb     -153.737104 kBT
1rlgD_M347.pdb     -102.858820 kBT
1rlgD_M202.pdb     -123.366994 kBT
1rlgD_M161.pdb     -115.654829 kBT
1rlgD_M67.pdb     -100.201195 kBT
1rlgD_M338.pdb     -155.020426 kBT
1rlgD_M75.pdb     -145.981847 kBT
1rlgD_M22.pdb     -164.652198 kBT
1rlgD_M49.pdb     -121.422097 kBT
1rlgD_M223.pdb     -129.246635 kBT
1rlgD_M182.pdb     -118.691799 kBT
1rlgD_M98.pdb     -163.817110 kBT
1rlgD_M21.pdb     -163.539166 kBT
1rlgD_M23.pdb     -157.832156 kBT
1rlgD_M481.pdb     -108.351302 kBT
1rlgD_M425.pdb     -126.029879 kBT
1rlgD_M232.pdb     -108.809972 kBT
1rlgD_M382.pdb     -121.907725 kBT
1rlgD_M181.pdb     -116.997942 kBT
1rlgD_M276.pdb     -131.502658 kBT
1rlgD_M122.pdb     -103.550727 kBT
1rlgD_M257.pdb     -144.303071 kBT
1rlgD_M178.pdb     -132.080798 kBT
1rlgD_M255.pdb     -132.368162 kBT
1rlgD_M185.pdb     -122.464956 kBT
1rlgD_M379.pdb     -143.075546 kBT
1rlgD_M375.pdb     -110.333547 kBT
1rlgD_M482.pdb     -80.165193 kBT
1rlgD_M32.pdb     -151.216612 kBT
1rlgD_M306.pdb     -76.287688 kBT
1rlgD_M340.pdb     -130.139920 kBT
1rlgD_M478.pdb     -95.568895 kBT
1rlgD_M270.pdb     -124.981234 kBT
1rlgD_M396.pdb     -109.778666 kBT
1rlgD_M153.pdb     -94.416888 kBT
1rlgD_M433.pdb     -124.964062 kBT
1rlgD_M179.pdb     -131.284345 kBT
1rlgD_M187.pdb     -124.109089 kBT
1rlgD_M195.pdb     -94.032519 kBT
