2w2hS_M431.pdb     -45.397648 kBT
2w2hS_M308.pdb     -60.346532 kBT
2w2hS_M125.pdb     -71.938718 kBT
2w2hS_M154.pdb     -74.068819 kBT
2w2hS_M51.pdb     -68.875105 kBT
2w2hS_M65.pdb     -73.040725 kBT
2w2hS_M70.pdb     -73.387974 kBT
2w2hS_M10.pdb     -75.222005 kBT
2w2hS_M140.pdb     -67.079410 kBT
2w2hS_M267.pdb     -60.024485 kBT
2w2hS_M50.pdb     -73.186506 kBT
2w2hS_M407.pdb     -62.385396 kBT
2w2hS_M425.pdb     -58.953873 kBT
2w2hS_M105.pdb     -80.275763 kBT
2w2hS_M231.pdb     -52.856204 kBT
2w2hS_M328.pdb     -76.454430 kBT
2w2hS_M420.pdb     -64.410117 kBT
2w2hS_M299.pdb     -76.839361 kBT
2w2hS_M134.pdb     -59.331391 kBT
2w2hS_M352.pdb     -57.802605 kBT
2w2hS_M497.pdb     -58.979009 kBT
2w2hS_M370.pdb     -62.131177 kBT
2w2hS_M366.pdb     -55.440930 kBT
2w2hS_M132.pdb     -65.302733 kBT
2w2hS_M329.pdb     -54.934610 kBT
2w2hS_M481.pdb     -40.889328 kBT
2w2hS_M408.pdb     -46.594764 kBT
2w2hS_M94.pdb     -67.233260 kBT
2w2hS_M326.pdb     -61.072075 kBT
2w2hS_M58.pdb     -87.012029 kBT
2w2hS_M313.pdb     -62.726543 kBT
2w2hS_M103.pdb     -72.749736 kBT
2w2hS_M294.pdb     -66.670608 kBT
2w2hS_M160.pdb     -65.252785 kBT
2w2hS_M496.pdb     -75.446378 kBT
2w2hS_M489.pdb     -47.585404 kBT
2w2hS_M53.pdb     -77.960609 kBT
2w2hS_M208.pdb     -67.695524 kBT
2w2hS_M127.pdb     -77.115263 kBT
2w2hS_M459.pdb     -62.212710 kBT
2w2hS_M110.pdb     -67.961285 kBT
2w2hS_M405.pdb     -53.334153 kBT
2w2hS_M236.pdb     -67.302570 kBT
2w2hS_M499.pdb     -59.904427 kBT
2w2hS_M95.pdb     -66.946525 kBT
2w2hS_M98.pdb     -70.627097 kBT
2w2hS_M165.pdb     -67.649430 kBT
2w2hS_M466.pdb     -49.721374 kBT
2w2hS_M31.pdb     -75.562749 kBT
2w2hS_M392.pdb     -46.398165 kBT
2w2hS_M43.pdb     -68.709530 kBT
2w2hS_M305.pdb     -72.506700 kBT
2w2hS_M77.pdb     -80.624897 kBT
2w2hS_M479.pdb     -62.567563 kBT
2w2hS_M365.pdb     -63.535910 kBT
2w2hS_M27.pdb     -78.617851 kBT
2w2hS_M15.pdb     -78.850211 kBT
2w2hS_M339.pdb     -70.359366 kBT
2w2hS_M114.pdb     -72.088858 kBT
2w2hS_M223.pdb     -73.395909 kBT
2w2hS_M11.pdb     -73.104392 kBT
2w2hS_M111.pdb     -89.321477 kBT
2w2hS_M285.pdb     -51.459397 kBT
2w2hS_M29.pdb     -68.553888 kBT
2w2hS_M429.pdb     -67.613797 kBT
2w2hS_M38.pdb     -79.620988 kBT
2w2hS_M341.pdb     -68.654747 kBT
2w2hS_M67.pdb     -68.701576 kBT
2w2hS_M171.pdb     -74.721861 kBT
2w2hS_M90.pdb     -67.005148 kBT
2w2hS_M33.pdb     -83.121147 kBT
2w2hS_M184.pdb     -80.943088 kBT
2w2hS_M399.pdb     -63.810854 kBT
2w2hS_M100.pdb     -59.937546 kBT
2w2hS_M437.pdb     -31.553489 kBT
2w2hS_M291.pdb     -68.650455 kBT
2w2hS_M490.pdb     -53.272655 kBT
2w2hS_M161.pdb     -66.342326 kBT
2w2hS_M108.pdb     -70.346492 kBT
2w2hS_M84.pdb     -58.676968 kBT
2w2hS_M200.pdb     -61.744326 kBT
2w2hS_M290.pdb     -74.243316 kBT
2w2hS_M101.pdb     -74.322715 kBT
2w2hS_M448.pdb     -69.883236 kBT
2w2hS_M263.pdb     -78.895098 kBT
2w2hS_M99.pdb     -69.945049 kBT
2w2hS_M229.pdb     -62.101302 kBT
2w2hS_M348.pdb     -54.913444 kBT
2w2hS_M271.pdb     -61.949124 kBT
2w2hS_M346.pdb     -67.152828 kBT
2w2hS_M412.pdb     -71.080003 kBT
2w2hS_M413.pdb     -60.796532 kBT
2w2hS_M421.pdb     -71.410351 kBT
2w2hS_M325.pdb     -66.292277 kBT
2w2hS_M86.pdb     -72.936462 kBT
2w2hS_M202.pdb     -63.458538 kBT
2w2hS_M279.pdb     -72.595089 kBT
2w2hS_M338.pdb     -59.021700 kBT
2w2hS_M215.pdb     -78.214229 kBT
2w2hS_M373.pdb     -65.964188 kBT
2w2hS_M147.pdb     -60.853173 kBT
2w2hS_M397.pdb     -65.431198 kBT
2w2hS_M173.pdb     -70.578721 kBT
2w2hS_M49.pdb     -70.212850 kBT
2w2hS_M450.pdb     -69.078173 kBT
2w2hS_M196.pdb     -57.937542 kBT
2w2hS_M273.pdb     -70.341370 kBT
2w2hS_M91.pdb     -62.393615 kBT
2w2hS_M493.pdb     -69.123733 kBT
2w2hS_M96.pdb     -76.387554 kBT
2w2hS_M155.pdb     -80.100652 kBT
2w2hS_M447.pdb     -48.506538 kBT
2w2hS_M379.pdb     -64.789829 kBT
2w2hS.pdb     -76.869522 kBT
2w2hS_M225.pdb     -72.285784 kBT
2w2hS_M442.pdb     -51.031524 kBT
2w2hS_M312.pdb     -69.025897 kBT
2w2hS_M483.pdb     -55.575537 kBT
2w2hS_M201.pdb     -69.300897 kBT
2w2hS_M56.pdb     -73.943717 kBT
2w2hS_M309.pdb     -60.250755 kBT
2w2hS_M59.pdb     -66.253012 kBT
2w2hS_M278.pdb     -60.379995 kBT
2w2hS_M297.pdb     -71.106649 kBT
2w2hS_M349.pdb     -74.548740 kBT
2w2hS_M7.pdb     -70.910375 kBT
2w2hS_M18.pdb     -78.814668 kBT
2w2hS_M16.pdb     -72.817106 kBT
2w2hS_M427.pdb     -56.812239 kBT
2w2hS_M495.pdb     -51.227988 kBT
2w2hS_M149.pdb     -76.921880 kBT
2w2hS_M391.pdb     -65.583255 kBT
2w2hS_M9.pdb     -70.676228 kBT
2w2hS_M157.pdb     -73.115532 kBT
2w2hS_M446.pdb     -61.225592 kBT
2w2hS_M414.pdb     -53.525996 kBT
2w2hS_M217.pdb     -78.167574 kBT
2w2hS_M88.pdb     -69.005595 kBT
2w2hS_M484.pdb     -65.673027 kBT
2w2hS_M143.pdb     -64.695774 kBT
2w2hS_M472.pdb     -65.492419 kBT
2w2hS_M487.pdb     -60.647398 kBT
2w2hS_M117.pdb     -72.497535 kBT
2w2hS_M303.pdb     -63.992797 kBT
2w2hS_M151.pdb     -68.301609 kBT
2w2hS_M52.pdb     -67.915116 kBT
2w2hS_M390.pdb     -73.332432 kBT
2w2hS_M128.pdb     -79.559583 kBT
2w2hS_M402.pdb     -65.004257 kBT
2w2hS_M307.pdb     -74.445234 kBT
2w2hS_M260.pdb     -63.436783 kBT
2w2hS_M480.pdb     -58.033207 kBT
2w2hS_M235.pdb     -77.134624 kBT
2w2hS_M324.pdb     -55.348349 kBT
2w2hS_M232.pdb     -70.519857 kBT
2w2hS_M288.pdb     -47.085877 kBT
2w2hS_M259.pdb     -71.680730 kBT
2w2hS_M432.pdb     -66.207304 kBT
2w2hS_M109.pdb     -74.642988 kBT
2w2hS_M3.pdb     -74.533175 kBT
2w2hS_M159.pdb     -77.492329 kBT
2w2hS_M233.pdb     -62.673080 kBT
2w2hS_M178.pdb     -81.977851 kBT
2w2hS_M435.pdb     -78.723932 kBT
2w2hS_M207.pdb     -64.858578 kBT
2w2hS_M162.pdb     -75.323072 kBT
2w2hS_M403.pdb     -37.919596 kBT
2w2hS_M242.pdb     -74.218058 kBT
2w2hS_M30.pdb     -73.294987 kBT
2w2hS_M34.pdb     -74.937172 kBT
