3eogA_M64.pdb     -5065.941955 kBT
3eogA_M92.pdb     -5055.194306 kBT
3eogA_M88.pdb     -4996.227401 kBT
3eogA_M237.pdb     -4588.238988 kBT
3eogA_M457.pdb     -4253.817115 kBT
3eogA_M380.pdb     -4477.279160 kBT
3eogA_M78.pdb     -5029.862121 kBT
3eogA_M270.pdb     -4528.854170 kBT
3eogA_M245.pdb     -4538.406667 kBT
3eogA_M48.pdb     -5310.503111 kBT
3eogA_M440.pdb     -4401.664002 kBT
3eogA_M74.pdb     -5120.630072 kBT
3eogA_M207.pdb     -4596.997416 kBT
3eogA_M219.pdb     -4625.369064 kBT
3eogA_M255.pdb     -4624.892621 kBT
3eogA_M43.pdb     -5319.945759 kBT
3eogA_M467.pdb     -4440.995718 kBT
3eogA_M100.pdb     -5007.757011 kBT
3eogA_M403.pdb     -4261.292707 kBT
3eogA_M433.pdb     -4417.575105 kBT
3eogA_M108.pdb     -5000.216437 kBT
3eogA_M337.pdb     -4384.043645 kBT
3eogA_M50.pdb     -5218.317808 kBT
3eogA_M428.pdb     -4477.315653 kBT
3eogA_M147.pdb     -4579.502151 kBT
3eogA_M184.pdb     -4664.160710 kBT
3eogA_M264.pdb     -4558.733455 kBT
3eogA_M338.pdb     -4403.147040 kBT
3eogA_M297.pdb     -4422.210433 kBT
3eogA_M324.pdb     -4478.946300 kBT
3eogA_M193.pdb     -4417.563913 kBT
3eogA_M434.pdb     -4434.010362 kBT
3eogA_M425.pdb     -4496.893108 kBT
3eogA_M268.pdb     -4591.826369 kBT
3eogA_M197.pdb     -4627.534960 kBT
3eogA_M60.pdb     -5340.775146 kBT
3eogA_M171.pdb     -4779.280358 kBT
3eogA_M307.pdb     -4503.197270 kBT
3eogA_M319.pdb     -4537.231063 kBT
3eogA_M123.pdb     -4800.038699 kBT
3eogA_M441.pdb     -4344.999003 kBT
3eogA_M216.pdb     -4705.410376 kBT
3eogA_M298.pdb     -4569.948532 kBT
3eogA_M210.pdb     -4610.178264 kBT
3eogA_M131.pdb     -4877.755119 kBT
3eogA_M295.pdb     -4441.555048 kBT
3eogA_M369.pdb     -4506.986936 kBT
3eogA_M208.pdb     -4480.814558 kBT
3eogA_M44.pdb     -5289.563693 kBT
3eogA_M54.pdb     -5307.815282 kBT
3eogA_M97.pdb     -4943.722484 kBT
3eogA_M211.pdb     -4584.382850 kBT
3eogA_M172.pdb     -4737.317515 kBT
3eogA_M366.pdb     -4300.315475 kBT
3eogA_M252.pdb     -4671.200069 kBT
3eogA_M136.pdb     -4737.473938 kBT
3eogA_M320.pdb     -4424.165421 kBT
3eogA_M253.pdb     -4462.417712 kBT
3eogA_M168.pdb     -4897.912152 kBT
3eogA_M12.pdb     -5570.649621 kBT
3eogA_M361.pdb     -4470.119042 kBT
3eogA_M204.pdb     -4567.770596 kBT
3eogA_M160.pdb     -4762.468771 kBT
3eogA_M132.pdb     -4953.364160 kBT
3eogA_M289.pdb     -4523.044593 kBT
3eogA_M363.pdb     -4303.317420 kBT
3eogA_M449.pdb     -4303.132389 kBT
3eogA_M49.pdb     -5265.346160 kBT
3eogA_M424.pdb     -4370.178388 kBT
3eogA_M452.pdb     -4345.012800 kBT
3eogA_M406.pdb     -4515.428721 kBT
3eogA_M332.pdb     -4491.863297 kBT
3eogA_M138.pdb     -4729.762199 kBT
3eogA_M163.pdb     -4703.475793 kBT
3eogA_M374.pdb     -4388.737469 kBT
3eogA_M478.pdb     -4348.004718 kBT
3eogA_M466.pdb     -4282.888314 kBT
3eogA_M436.pdb     -4408.975635 kBT
3eogA_M251.pdb     -4624.490204 kBT
3eogA_M55.pdb     -5159.965690 kBT
3eogA_M333.pdb     -4638.227839 kBT
3eogA_M257.pdb     -4391.960557 kBT
3eogA_M10.pdb     -5567.170789 kBT
3eogA_M383.pdb     -4402.663436 kBT
3eogA_M190.pdb     -4604.007553 kBT
3eogA_M238.pdb     -4662.135991 kBT
3eogA_M234.pdb     -4572.403338 kBT
3eogA_M476.pdb     -4446.493717 kBT
3eogA_M130.pdb     -4898.722400 kBT
3eogA_M143.pdb     -4909.751487 kBT
3eogA_M309.pdb     -4546.500099 kBT
3eogA_M117.pdb     -4809.984476 kBT
3eogA_M105.pdb     -4866.977328 kBT
3eogA_M152.pdb     -4819.722643 kBT
3eogA_M175.pdb     -4702.774735 kBT
3eogA_M387.pdb     -4319.101042 kBT
3eogA_M334.pdb     -4372.528093 kBT
3eogA_M401.pdb     -4383.037223 kBT
3eogA_M85.pdb     -4986.333642 kBT
3eogA_M315.pdb     -4458.867513 kBT
3eogA_M402.pdb     -4388.112766 kBT
3eogA_M177.pdb     -4613.820989 kBT
3eogA_M346.pdb     -4483.677736 kBT
3eogA_M495.pdb     -4378.424524 kBT
3eogA_M395.pdb     -4545.375824 kBT
3eogA_M133.pdb     -4755.228400 kBT
3eogA_M33.pdb     -5368.382262 kBT
3eogA_M224.pdb     -4581.177906 kBT
3eogA_M316.pdb     -4574.731381 kBT
3eogA_M73.pdb     -5046.125557 kBT
3eogA_M244.pdb     -4524.923328 kBT
3eogA_M155.pdb     -4783.723402 kBT
3eogA_M239.pdb     -4608.001655 kBT
3eogA_M353.pdb     -4635.446265 kBT
3eogA_M409.pdb     -4293.049761 kBT
3eogA_M354.pdb     -4542.282407 kBT
3eogA_M488.pdb     -4645.910773 kBT
3eogA_M221.pdb     -4640.576074 kBT
3eogA_M57.pdb     -5351.933044 kBT
3eogA_M86.pdb     -4959.657791 kBT
3eogA_M317.pdb     -4508.985417 kBT
3eogA_M23.pdb     -5488.082607 kBT
3eogA_M266.pdb     -4527.915850 kBT
3eogA_M90.pdb     -5057.776089 kBT
3eogA_M1.pdb     -5502.794138 kBT
3eogA_M314.pdb     -4539.095729 kBT
3eogA_M408.pdb     -4387.398181 kBT
3eogA_M63.pdb     -5153.909483 kBT
3eogA_M140.pdb     -4701.610016 kBT
3eogA_M188.pdb     -4586.796488 kBT
3eogA_M485.pdb     -4412.211683 kBT
3eogA_M454.pdb     -4318.742927 kBT
3eogA_M414.pdb     -4551.785799 kBT
3eogA_M178.pdb     -4894.393422 kBT
3eogA_M302.pdb     -4553.098977 kBT
3eogA_M343.pdb     -4633.719601 kBT
3eogA_M18.pdb     -5483.606280 kBT
3eogA_M482.pdb     -4417.596955 kBT
3eogA_M348.pdb     -4288.930403 kBT
3eogA_M205.pdb     -4612.934980 kBT
3eogA_M351.pdb     -4417.750163 kBT
3eogA_M435.pdb     -4542.393923 kBT
3eogA_M16.pdb     -5535.624727 kBT
3eogA_M31.pdb     -5394.724462 kBT
3eogA_M419.pdb     -4510.395448 kBT
3eogA_M93.pdb     -5094.267018 kBT
3eogA_M299.pdb     -4470.514843 kBT
3eogA_M127.pdb     -4909.716428 kBT
3eogA_M166.pdb     -4687.505079 kBT
3eogA_M129.pdb     -4886.538494 kBT
3eogA_M156.pdb     -4706.836128 kBT
3eogA_M67.pdb     -5090.307934 kBT
3eogA_M418.pdb     -4438.189546 kBT
3eogA_M290.pdb     -4557.900008 kBT
3eogA_M28.pdb     -5495.961532 kBT
3eogA_M331.pdb     -4431.405363 kBT
3eogA_M311.pdb     -4499.384449 kBT
3eogA_M4.pdb     -5539.984863 kBT
3eogA_M281.pdb     -4415.635166 kBT
3eogA_M94.pdb     -5031.382937 kBT
3eogA_M128.pdb     -4829.033757 kBT
3eogA_M169.pdb     -4792.535547 kBT
3eogA_M445.pdb     -4578.910841 kBT
3eogA_M203.pdb     -4618.613209 kBT
3eogA_M15.pdb     -5683.707621 kBT
3eogA_M444.pdb     -4330.976387 kBT
3eogA_M134.pdb     -4955.001570 kBT
3eogA_M275.pdb     -4590.020048 kBT
3eogA_M25.pdb     -5447.461881 kBT
3eogA_M213.pdb     -4561.018956 kBT
3eogA_M327.pdb     -4493.798370 kBT
3eogA_M492.pdb     -4307.037345 kBT
3eogA_M370.pdb     -4344.516608 kBT
3eogA_M283.pdb     -4550.003420 kBT
3eogA_M146.pdb     -4897.729063 kBT
3eogA_M360.pdb     -4597.474573 kBT
3eogA_M14.pdb     -5511.242648 kBT
3eogA_M29.pdb     -5426.725958 kBT
3eogA_M180.pdb     -4596.868651 kBT
3eogA_M80.pdb     -5120.946141 kBT
3eogA_M256.pdb     -4549.912980 kBT
3eogA_M498.pdb     -4421.720797 kBT
3eogA_M322.pdb     -4383.784256 kBT
3eogA_M368.pdb     -4596.763303 kBT
3eogA_M126.pdb     -4877.940644 kBT
