2drbB_M335.pdb     -215.022958 kBT
2drbB_M88.pdb     -278.738136 kBT
2drbB_M301.pdb     -244.786884 kBT
2drbB_M311.pdb     -266.223768 kBT
2drbB_M9.pdb     -340.494784 kBT
2drbB_M140.pdb     -298.971781 kBT
2drbB_M460.pdb     -230.610911 kBT
2drbB_M77.pdb     -286.964433 kBT
2drbB_M474.pdb     -237.882505 kBT
2drbB_M312.pdb     -250.589987 kBT
2drbB_M375.pdb     -228.875958 kBT
2drbB_M97.pdb     -262.990591 kBT
2drbB_M80.pdb     -224.358467 kBT
2drbB_M76.pdb     -284.649400 kBT
2drbB_M93.pdb     -245.283536 kBT
2drbB_M261.pdb     -252.217279 kBT
2drbB_M124.pdb     -235.901904 kBT
2drbB_M181.pdb     -245.662475 kBT
2drbB_M457.pdb     -208.345788 kBT
2drbB_M230.pdb     -268.073548 kBT
2drbB_M306.pdb     -254.105049 kBT
2drbB_M114.pdb     -247.469772 kBT
2drbB_M153.pdb     -247.037609 kBT
2drbB_M260.pdb     -242.132036 kBT
2drbB_M352.pdb     -250.092490 kBT
2drbB_M157.pdb     -282.714963 kBT
2drbB_M319.pdb     -226.275269 kBT
2drbB_M156.pdb     -287.635213 kBT
2drbB_M496.pdb     -213.617544 kBT
2drbB_M426.pdb     -226.852885 kBT
2drbB_M442.pdb     -248.294108 kBT
2drbB_M423.pdb     -228.978613 kBT
2drbB_M393.pdb     -187.604669 kBT
2drbB_M294.pdb     -212.560654 kBT
2drbB_M463.pdb     -228.708265 kBT
2drbB_M296.pdb     -258.229835 kBT
2drbB_M445.pdb     -181.105697 kBT
2drbB_M238.pdb     -261.790597 kBT
2drbB_M482.pdb     -235.607885 kBT
2drbB_M96.pdb     -278.902007 kBT
2drbB_M125.pdb     -304.120121 kBT
2drbB_M417.pdb     -219.720210 kBT
2drbB_M490.pdb     -197.623269 kBT
2drbB_M14.pdb     -340.762539 kBT
2drbB_M214.pdb     -239.843748 kBT
2drbB_M83.pdb     -257.627143 kBT
2drbB_M387.pdb     -214.233106 kBT
2drbB_M368.pdb     -249.906780 kBT
2drbB_M196.pdb     -233.767826 kBT
2drbB_M169.pdb     -245.101664 kBT
2drbB_M329.pdb     -244.416938 kBT
2drbB_M396.pdb     -255.455657 kBT
