1et4E_M280.pdb     -119.168623 kBT
1et4E_M461.pdb     -108.986700 kBT
1et4E_M388.pdb     -105.851520 kBT
1et4E_M311.pdb     -104.051449 kBT
1et4E_M163.pdb     -124.743320 kBT
1et4E_M293.pdb     -110.544564 kBT
1et4E_M329.pdb     -103.544849 kBT
1et4E_M45.pdb     -114.785660 kBT
1et4E_M147.pdb     -109.100148 kBT
1et4E_M62.pdb     -130.855254 kBT
1et4E_M179.pdb     -116.654481 kBT
1et4E_M256.pdb     -117.236251 kBT
1et4E_M90.pdb     -107.794078 kBT
1et4E_M331.pdb     -122.419064 kBT
1et4E_M399.pdb     -134.788716 kBT
1et4E_M94.pdb     -113.673437 kBT
1et4E_M98.pdb     -114.546665 kBT
1et4E_M322.pdb     -121.907912 kBT
1et4E_M88.pdb     -117.949653 kBT
1et4E_M493.pdb     -96.122892 kBT
1et4E_M25.pdb     -139.732177 kBT
1et4E_M491.pdb     -115.292813 kBT
1et4E_M389.pdb     -118.631005 kBT
1et4E_M218.pdb     -100.445988 kBT
1et4E_M124.pdb     -115.128093 kBT
1et4E_M253.pdb     -128.202984 kBT
1et4E_M226.pdb     -89.563897 kBT
1et4E_M188.pdb     -100.581661 kBT
1et4E_M291.pdb     -107.246946 kBT
1et4E_M378.pdb     -85.772609 kBT
1et4E_M182.pdb     -137.290371 kBT
1et4E_M422.pdb     -118.931845 kBT
1et4E_M85.pdb     -126.561176 kBT
1et4E_M53.pdb     -107.894110 kBT
1et4E_M270.pdb     -114.760566 kBT
1et4E_M397.pdb     -106.224571 kBT
1et4E_M211.pdb     -107.850286 kBT
1et4E_M173.pdb     -115.279371 kBT
1et4E_M440.pdb     -101.829786 kBT
1et4E_M386.pdb     -119.376442 kBT
1et4E_M198.pdb     -121.830923 kBT
1et4E_M117.pdb     -116.246469 kBT
1et4E_M434.pdb     -85.416198 kBT
1et4E_M33.pdb     -111.472960 kBT
1et4E_M448.pdb     -136.244426 kBT
1et4E_M325.pdb     -127.592729 kBT
1et4E_M166.pdb     -132.544041 kBT
1et4E_M478.pdb     -129.463895 kBT
1et4E_M145.pdb     -100.859744 kBT
1et4E_M431.pdb     -120.665535 kBT
1et4E_M149.pdb     -116.486431 kBT
1et4E_M35.pdb     -130.582986 kBT
1et4E_M155.pdb     -110.201053 kBT
1et4E_M15.pdb     -128.223349 kBT
1et4E_M437.pdb     -124.677609 kBT
1et4E_M177.pdb     -111.922102 kBT
1et4E_M9.pdb     -141.504061 kBT
1et4E_M340.pdb     -121.005374 kBT
1et4E_M296.pdb     -111.815565 kBT
1et4E_M307.pdb     -110.344373 kBT
1et4E_M465.pdb     -95.625007 kBT
1et4E_M181.pdb     -99.517170 kBT
1et4E_M129.pdb     -103.137369 kBT
1et4E_M209.pdb     -116.149456 kBT
1et4E_M187.pdb     -113.302838 kBT
1et4E_M376.pdb     -114.470121 kBT
1et4E_M445.pdb     -102.002836 kBT
1et4E_M446.pdb     -120.147926 kBT
1et4E_M131.pdb     -101.518048 kBT
1et4E_M302.pdb     -109.316418 kBT
1et4E_M167.pdb     -103.090573 kBT
1et4E_M283.pdb     -101.937748 kBT
1et4E_M52.pdb     -127.897159 kBT
1et4E_M415.pdb     -104.309051 kBT
1et4E_M66.pdb     -123.114876 kBT
1et4E_M432.pdb     -110.746526 kBT
1et4E_M409.pdb     -107.681018 kBT
1et4E_M156.pdb     -127.630481 kBT
1et4E_M159.pdb     -106.577933 kBT
1et4E_M92.pdb     -100.900367 kBT
1et4E_M412.pdb     -98.410387 kBT
1et4E_M16.pdb     -133.646470 kBT
1et4E_M1.pdb     -143.017689 kBT
1et4E_M199.pdb     -100.429078 kBT
1et4E_M417.pdb     -117.017529 kBT
1et4E_M257.pdb     -121.462560 kBT
1et4E_M424.pdb     -122.630863 kBT
1et4E_M42.pdb     -90.292024 kBT
1et4E_M56.pdb     -102.169540 kBT
1et4E_M139.pdb     -122.178269 kBT
1et4E_M116.pdb     -111.123824 kBT
1et4E_M410.pdb     -116.859163 kBT
1et4E_M32.pdb     -143.225050 kBT
1et4E_M411.pdb     -117.855553 kBT
1et4E_M158.pdb     -106.354349 kBT
1et4E_M246.pdb     -125.144722 kBT
1et4E_M11.pdb     -147.130749 kBT
1et4E_M83.pdb     -111.665069 kBT
1et4E_M115.pdb     -117.228294 kBT
1et4E_M414.pdb     -92.696639 kBT
