1ooaD_M413.pdb     -88.690822 kBT
1ooaD_M478.pdb     -109.521213 kBT
1ooaD_M362.pdb     -102.964495 kBT
1ooaD_M30.pdb     -171.663083 kBT
1ooaD_M320.pdb     -103.968672 kBT
1ooaD_M249.pdb     -101.804397 kBT
1ooaD_M437.pdb     -90.676342 kBT
1ooaD_M380.pdb     -105.646133 kBT
1ooaD_M169.pdb     -136.325604 kBT
1ooaD_M370.pdb     -110.949789 kBT
1ooaD_M71.pdb     -174.999272 kBT
1ooaD_M61.pdb     -131.448805 kBT
1ooaD_M312.pdb     -109.903845 kBT
1ooaD_M212.pdb     -77.566768 kBT
1ooaD_M319.pdb     -121.748357 kBT
1ooaD_M6.pdb     -190.388154 kBT
1ooaD_M121.pdb     -128.610873 kBT
1ooaD_M218.pdb     -121.892108 kBT
1ooaD_M52.pdb     -160.633344 kBT
1ooaD_M83.pdb     -130.976870 kBT
1ooaD_M200.pdb     -101.381831 kBT
1ooaD_M450.pdb     -126.791183 kBT
1ooaD_M311.pdb     -114.348079 kBT
1ooaD_M51.pdb     -153.582445 kBT
1ooaD_M340.pdb     -104.667822 kBT
1ooaD_M136.pdb     -85.641114 kBT
1ooaD_M46.pdb     -148.285900 kBT
1ooaD_M308.pdb     -117.005594 kBT
1ooaD_M473.pdb     -120.862800 kBT
1ooaD_M119.pdb     -124.335127 kBT
1ooaD_M271.pdb     -99.691563 kBT
1ooaD_M92.pdb     -118.071325 kBT
1ooaD_M54.pdb     -151.448590 kBT
1ooaD_M38.pdb     -169.862866 kBT
1ooaD_M165.pdb     -130.934620 kBT
1ooaD_M185.pdb     -118.902388 kBT
1ooaD_M395.pdb     -129.158372 kBT
1ooaD_M440.pdb     -104.196608 kBT
1ooaD_M144.pdb     -117.320763 kBT
1ooaD_M433.pdb     -115.988020 kBT
1ooaD_M287.pdb     -108.346653 kBT
1ooaD_M397.pdb     -80.992066 kBT
1ooaD_M272.pdb     -84.579201 kBT
1ooaD_M29.pdb     -189.895106 kBT
1ooaD_M252.pdb     -135.681394 kBT
1ooaD_M356.pdb     -116.504396 kBT
1ooaD_M367.pdb     -110.624464 kBT
1ooaD_M187.pdb     -115.576194 kBT
1ooaD_M409.pdb     -92.775599 kBT
1ooaD_M197.pdb     -102.448828 kBT
1ooaD_M408.pdb     -76.467407 kBT
1ooaD_M60.pdb     -134.680383 kBT
1ooaD_M143.pdb     -107.622514 kBT
1ooaD_M246.pdb     -128.181266 kBT
1ooaD_M486.pdb     -103.312175 kBT
1ooaD_M167.pdb     -134.532704 kBT
1ooaD_M459.pdb     -107.811003 kBT
1ooaD_M225.pdb     -124.538256 kBT
1ooaD_M461.pdb     -81.299792 kBT
1ooaD_M281.pdb     -130.606959 kBT
1ooaD_M374.pdb     -122.069741 kBT
1ooaD_M155.pdb     -122.010469 kBT
1ooaD_M239.pdb     -108.339064 kBT
1ooaD_M98.pdb     -157.309832 kBT
1ooaD_M456.pdb     -103.963276 kBT
1ooaD_M170.pdb     -133.046403 kBT
1ooaD_M483.pdb     -96.045529 kBT
1ooaD_M404.pdb     -87.352962 kBT
1ooaD_M190.pdb     -123.670991 kBT
1ooaD_M184.pdb     -117.373494 kBT
1ooaD_M498.pdb     -141.222551 kBT
1ooaD_M422.pdb     -105.016247 kBT
1ooaD_M208.pdb     -118.695060 kBT
1ooaD_M159.pdb     -117.625611 kBT
1ooaD_M115.pdb     -112.165057 kBT
1ooaD_M265.pdb     -111.329175 kBT
1ooaD_M394.pdb     -100.780113 kBT
1ooaD_M154.pdb     -91.203504 kBT
1ooaD_M466.pdb     -104.646465 kBT
1ooaD_M297.pdb     -119.404512 kBT
1ooaD_M195.pdb     -126.856062 kBT
1ooaD_M475.pdb     -123.139531 kBT
1ooaD_M343.pdb     -103.316795 kBT
1ooaD_M388.pdb     -121.369360 kBT
1ooaD_M59.pdb     -151.665754 kBT
1ooaD_M432.pdb     -108.894786 kBT
1ooaD_M214.pdb     -131.914998 kBT
1ooaD_M183.pdb     -108.104359 kBT
1ooaD_M31.pdb     -131.539262 kBT
1ooaD_M211.pdb     -146.135012 kBT
1ooaD_M267.pdb     -97.086451 kBT
1ooaD_M278.pdb     -123.371912 kBT
1ooaD_M268.pdb     -100.563272 kBT
1ooaD_M378.pdb     -138.016861 kBT
1ooaD_M234.pdb     -111.468089 kBT
1ooaD_M189.pdb     -111.548692 kBT
1ooaD_M84.pdb     -144.228414 kBT
1ooaD_M484.pdb     -131.083420 kBT
1ooaD_M161.pdb     -140.554777 kBT
1ooaD_M201.pdb     -133.396152 kBT
1ooaD_M347.pdb     -118.757535 kBT
1ooaD_M419.pdb     -107.884218 kBT
1ooaD_M111.pdb     -121.356988 kBT
1ooaD_M174.pdb     -133.589118 kBT
1ooaD_M39.pdb     -170.520180 kBT
1ooaD_M10.pdb     -189.388802 kBT
1ooaD_M492.pdb     -136.956087 kBT
1ooaD_M158.pdb     -121.220347 kBT
1ooaD_M85.pdb     -153.317423 kBT
1ooaD_M352.pdb     -88.844580 kBT
1ooaD_M288.pdb     -109.935643 kBT
1ooaD_M299.pdb     -143.001023 kBT
1ooaD_M233.pdb     -108.567276 kBT
1ooaD_M302.pdb     -107.745360 kBT
1ooaD_M224.pdb     -90.655013 kBT
1ooaD_M258.pdb     -120.305448 kBT
1ooaD_M351.pdb     -135.446635 kBT
1ooaD_M441.pdb     -120.198865 kBT
1ooaD_M3.pdb     -198.125539 kBT
1ooaD_M235.pdb     -112.036388 kBT
1ooaD_M349.pdb     -113.030650 kBT
1ooaD_M342.pdb     -131.777407 kBT
1ooaD_M139.pdb     -119.717953 kBT
1ooaD_M116.pdb     -108.818374 kBT
1ooaD_M381.pdb     -111.250318 kBT
1ooaD_M431.pdb     -118.798247 kBT
1ooaD_M257.pdb     -109.547957 kBT
1ooaD_M290.pdb     -113.928786 kBT
1ooaD_M149.pdb     -104.489290 kBT
1ooaD_M58.pdb     -153.379240 kBT
1ooaD_M493.pdb     -109.859498 kBT
1ooaD_M113.pdb     -116.981110 kBT
1ooaD_M240.pdb     -103.787238 kBT
1ooaD_M315.pdb     -117.523319 kBT
1ooaD_M45.pdb     -141.585400 kBT
1ooaD_M304.pdb     -94.199541 kBT
1ooaD_M110.pdb     -124.732561 kBT
1ooaD_M191.pdb     -103.161078 kBT
1ooaD_M341.pdb     -105.027612 kBT
1ooaD_M222.pdb     -87.854359 kBT
1ooaD_M449.pdb     -129.902867 kBT
1ooaD_M172.pdb     -128.238065 kBT
1ooaD_M325.pdb     -99.385945 kBT
1ooaD_M241.pdb     -79.085841 kBT
1ooaD_M259.pdb     -130.930238 kBT
1ooaD_M147.pdb     -124.437144 kBT
1ooaD_M223.pdb     -94.207184 kBT
1ooaD_M292.pdb     -118.005663 kBT
1ooaD_M447.pdb     -124.036440 kBT
1ooaD_M18.pdb     -175.009494 kBT
1ooaD_M70.pdb     -150.655681 kBT
1ooaD_M385.pdb     -125.668678 kBT
1ooaD_M125.pdb     -129.884218 kBT
1ooaD_M424.pdb     -124.272964 kBT
1ooaD_M251.pdb     -108.857162 kBT
1ooaD_M1.pdb     -195.157613 kBT
1ooaD_M421.pdb     -119.555410 kBT
1ooaD_M411.pdb     -88.775012 kBT
1ooaD_M176.pdb     -132.890616 kBT
1ooaD_M109.pdb     -142.029331 kBT
1ooaD_M130.pdb     -99.215099 kBT
1ooaD_M66.pdb     -128.837820 kBT
1ooaD_M321.pdb     -120.407487 kBT
1ooaD_M499.pdb     -109.985366 kBT
1ooaD_M250.pdb     -103.288770 kBT
1ooaD_M262.pdb     -124.711490 kBT
1ooaD_M313.pdb     -97.778461 kBT
1ooaD_M179.pdb     -136.742555 kBT
1ooaD_M22.pdb     -192.738757 kBT
1ooaD_M479.pdb     -106.233649 kBT
1ooaD_M415.pdb     -127.245877 kBT
1ooaD_M132.pdb     -105.119713 kBT
1ooaD_M284.pdb     -106.519294 kBT
1ooaD_M264.pdb     -111.621453 kBT
1ooaD_M173.pdb     -131.939453 kBT
1ooaD_M248.pdb     -112.506783 kBT
1ooaD_M76.pdb     -132.016907 kBT
1ooaD_M467.pdb     -119.618042 kBT
1ooaD_M372.pdb     -124.475201 kBT
1ooaD_M426.pdb     -110.787989 kBT
1ooaD_M344.pdb     -113.971750 kBT
1ooaD_M105.pdb     -116.760888 kBT
1ooaD_M245.pdb     -95.333366 kBT
1ooaD_M407.pdb     -98.122079 kBT
1ooaD_M237.pdb     -123.147592 kBT
1ooaD_M141.pdb     -122.309244 kBT
1ooaD_M93.pdb     -119.785591 kBT
1ooaD_M391.pdb     -105.084391 kBT
1ooaD_M365.pdb     -104.835433 kBT
1ooaD_M11.pdb     -188.987399 kBT
1ooaD_M2.pdb     -192.016479 kBT
1ooaD_M32.pdb     -155.800431 kBT
1ooaD_M412.pdb     -96.757851 kBT
1ooaD_M178.pdb     -123.121728 kBT
1ooaD_M118.pdb     -124.113071 kBT
1ooaD_M261.pdb     -117.585538 kBT
1ooaD_M12.pdb     -184.786084 kBT
1ooaD_M145.pdb     -142.740163 kBT
1ooaD_M410.pdb     -107.967749 kBT
1ooaD_M403.pdb     -103.777876 kBT
1ooaD_M244.pdb     -98.497687 kBT
1ooaD_M330.pdb     -112.549504 kBT
1ooaD_M474.pdb     -131.027814 kBT
1ooaD_M293.pdb     -88.369287 kBT
1ooaD_M14.pdb     -188.613745 kBT
1ooaD_M254.pdb     -104.042834 kBT
1ooaD_M490.pdb     -119.807028 kBT
1ooaD_M386.pdb     -106.658333 kBT
1ooaD_M482.pdb     -100.139265 kBT
1ooaD_M335.pdb     -110.619640 kBT
1ooaD_M353.pdb     -114.606200 kBT
1ooaD_M42.pdb     -147.562249 kBT
1ooaD_M164.pdb     -146.201785 kBT
1ooaD_M400.pdb     -92.585803 kBT
1ooaD_M255.pdb     -118.209010 kBT
1ooaD_M20.pdb     -197.341361 kBT
1ooaD_M266.pdb     -125.441661 kBT
1ooaD_M436.pdb     -109.866092 kBT
1ooaD_M323.pdb     -75.824794 kBT
1ooaD_M317.pdb     -77.847750 kBT
1ooaD_M88.pdb     -92.898791 kBT
1ooaD_M142.pdb     -134.591607 kBT
1ooaD_M453.pdb     -94.331083 kBT
1ooaD_M438.pdb     -120.886438 kBT
1ooaD_M134.pdb     -126.225475 kBT
1ooaD_M306.pdb     -87.771893 kBT
1ooaD_M80.pdb     -134.858474 kBT
1ooaD_M47.pdb     -162.616461 kBT
1ooaD_M485.pdb     -116.889661 kBT
1ooaD_M117.pdb     -144.589029 kBT
1ooaD_M392.pdb     -105.701973 kBT
1ooaD_M338.pdb     -112.956213 kBT
1ooaD_M153.pdb     -91.739105 kBT
1ooaD_M50.pdb     -143.480127 kBT
1ooaD_M182.pdb     -124.977737 kBT
1ooaD_M120.pdb     -131.810550 kBT
1ooaD_M238.pdb     -126.617949 kBT
1ooaD_M425.pdb     -106.352829 kBT
1ooaD_M82.pdb     -125.699504 kBT
1ooaD_M69.pdb     -122.301170 kBT
1ooaD_M275.pdb     -102.594654 kBT
1ooaD_M495.pdb     -98.509192 kBT
1ooaD_M53.pdb     -160.120982 kBT
1ooaD_M363.pdb     -92.299477 kBT
1ooaD_M112.pdb     -130.978816 kBT
1ooaD_M28.pdb     -191.269367 kBT
1ooaD_M263.pdb     -82.910766 kBT
1ooaD_M496.pdb     -124.365494 kBT
1ooaD_M140.pdb     -126.473277 kBT
1ooaD_M345.pdb     -102.653693 kBT
1ooaD_M416.pdb     -124.826702 kBT
1ooaD_M429.pdb     -94.868616 kBT
1ooaD_M260.pdb     -100.298733 kBT
1ooaD_M360.pdb     -105.170249 kBT
1ooaD_M25.pdb     -186.380937 kBT
1ooaD_M131.pdb     -143.741224 kBT
1ooaD_M106.pdb     -112.910960 kBT
1ooaD_M455.pdb     -93.151196 kBT
1ooaD_M494.pdb     -104.450706 kBT
1ooaD_M152.pdb     -119.244644 kBT
1ooaD_M464.pdb     -109.232951 kBT
1ooaD_M186.pdb     -109.242960 kBT
1ooaD_M382.pdb     -89.756303 kBT
1ooaD_M217.pdb     -106.863618 kBT
1ooaD_M87.pdb     -112.057028 kBT
1ooaD_M476.pdb     -122.100024 kBT
1ooaD_M220.pdb     -133.114838 kBT
1ooaD_M295.pdb     -93.702804 kBT
1ooaD_M491.pdb     -115.000989 kBT
1ooaD_M231.pdb     -121.576279 kBT
1ooaD_M216.pdb     -134.722684 kBT
1ooaD_M489.pdb     -132.746940 kBT
1ooaD_M203.pdb     -125.387350 kBT
1ooaD_M137.pdb     -120.893896 kBT
1ooaD_M232.pdb     -109.586178 kBT
1ooaD_M291.pdb     -115.453716 kBT
1ooaD_M435.pdb     -99.849882 kBT
1ooaD_M371.pdb     -111.897964 kBT
1ooaD_M230.pdb     -105.740326 kBT
1ooaD_M364.pdb     -110.688381 kBT
1ooaD_M127.pdb     -109.839078 kBT
1ooaD_M427.pdb     -95.726733 kBT
1ooaD_M97.pdb     -134.456637 kBT
1ooaD_M72.pdb     -129.825962 kBT
1ooaD_M150.pdb     -114.964278 kBT
1ooaD_M198.pdb     -132.641268 kBT
1ooaD_M210.pdb     -82.796166 kBT
1ooaD_M480.pdb     -102.641674 kBT
1ooaD_M8.pdb     -179.760867 kBT
1ooaD_M213.pdb     -120.941802 kBT
1ooaD_M443.pdb     -138.667490 kBT
1ooaD.pdb     -183.467167 kBT
1ooaD_M469.pdb     -83.814864 kBT
1ooaD_M354.pdb     -108.324036 kBT
1ooaD_M448.pdb     -107.900424 kBT
1ooaD_M497.pdb     -118.231336 kBT
1ooaD_M33.pdb     -198.947256 kBT
1ooaD_M280.pdb     -105.475138 kBT
1ooaD_M57.pdb     -121.141906 kBT
1ooaD_M396.pdb     -91.427435 kBT
1ooaD_M108.pdb     -135.534168 kBT
1ooaD_M192.pdb     -94.599482 kBT
1ooaD_M156.pdb     -129.787664 kBT
1ooaD_M24.pdb     -177.503053 kBT
1ooaD_M229.pdb     -119.724368 kBT
1ooaD_M274.pdb     -113.369022 kBT
1ooaD_M296.pdb     -129.651469 kBT
1ooaD_M462.pdb     -120.670196 kBT
1ooaD_M27.pdb     -181.359421 kBT
1ooaD_M318.pdb     -84.269498 kBT
1ooaD_M434.pdb     -94.326268 kBT
1ooaD_M310.pdb     -121.028449 kBT
1ooaD_M227.pdb     -104.401791 kBT
1ooaD_M423.pdb     -101.363902 kBT
1ooaD_M327.pdb     -112.678754 kBT
1ooaD_M62.pdb     -145.914532 kBT
1ooaD_M5.pdb     -190.588940 kBT
1ooaD_M138.pdb     -138.681574 kBT
1ooaD_M487.pdb     -109.495569 kBT
1ooaD_M405.pdb     -111.908432 kBT
1ooaD_M4.pdb     -196.258646 kBT
1ooaD_M276.pdb     -114.322699 kBT
1ooaD_M326.pdb     -110.440975 kBT
1ooaD_M454.pdb     -115.134230 kBT
1ooaD_M355.pdb     -107.208179 kBT
1ooaD_M180.pdb     -128.017707 kBT
1ooaD_M471.pdb     -115.796571 kBT
1ooaD_M128.pdb     -121.985823 kBT
1ooaD_M103.pdb     -144.572958 kBT
1ooaD_M171.pdb     -116.522475 kBT
1ooaD_M55.pdb     -150.926010 kBT
1ooaD_M41.pdb     -156.775356 kBT
1ooaD_M463.pdb     -117.835157 kBT
1ooaD_M379.pdb     -126.731868 kBT
1ooaD_M79.pdb     -112.631827 kBT
1ooaD_M148.pdb     -104.630470 kBT
1ooaD_M23.pdb     -197.061563 kBT
1ooaD_M402.pdb     -109.610901 kBT
1ooaD_M269.pdb     -114.217827 kBT
1ooaD_M346.pdb     -114.491446 kBT
1ooaD_M390.pdb     -100.316048 kBT
1ooaD_M428.pdb     -105.633283 kBT
1ooaD_M334.pdb     -114.254410 kBT
1ooaD_M205.pdb     -118.310968 kBT
1ooaD_M301.pdb     -93.083545 kBT
1ooaD_M91.pdb     -133.718682 kBT
1ooaD_M219.pdb     -95.878304 kBT
1ooaD_M457.pdb     -118.976736 kBT
1ooaD_M67.pdb     -151.153644 kBT
1ooaD_M56.pdb     -157.128473 kBT
1ooaD_M146.pdb     -140.606913 kBT
1ooaD_M468.pdb     -103.254947 kBT
1ooaD_M316.pdb     -103.988325 kBT
1ooaD_M444.pdb     -95.996237 kBT
1ooaD_M221.pdb     -126.471719 kBT
1ooaD_M166.pdb     -135.005042 kBT
1ooaD_M207.pdb     -94.170766 kBT
1ooaD_M270.pdb     -99.598313 kBT
1ooaD_M102.pdb     -126.671781 kBT
1ooaD_M383.pdb     -97.855144 kBT
1ooaD_M314.pdb     -117.742314 kBT
1ooaD_M90.pdb     -136.039031 kBT
1ooaD_M99.pdb     -107.362372 kBT
1ooaD_M430.pdb     -123.255946 kBT
1ooaD_M357.pdb     -123.324794 kBT
1ooaD_M101.pdb     -99.863954 kBT
1ooaD_M401.pdb     -114.570317 kBT
1ooaD_M68.pdb     -153.362431 kBT
1ooaD_M389.pdb     -106.323421 kBT
1ooaD_M375.pdb     -113.225203 kBT
1ooaD_M242.pdb     -123.401441 kBT
1ooaD_M157.pdb     -130.798735 kBT
1ooaD_M333.pdb     -104.090592 kBT
1ooaD_M135.pdb     -82.715818 kBT
1ooaD_M209.pdb     -123.597382 kBT
1ooaD_M228.pdb     -97.448402 kBT
1ooaD_M133.pdb     -109.955986 kBT
1ooaD_M151.pdb     -131.692435 kBT
1ooaD_M243.pdb     -108.505607 kBT
1ooaD_M9.pdb     -193.435517 kBT
1ooaD_M253.pdb     -109.466977 kBT
1ooaD_M329.pdb     -111.024663 kBT
1ooaD_M104.pdb     -147.989495 kBT
1ooaD_M194.pdb     -125.388575 kBT
1ooaD_M48.pdb     -151.603735 kBT
1ooaD_M481.pdb     -108.359777 kBT
1ooaD_M307.pdb     -95.867291 kBT
1ooaD_M123.pdb     -120.030620 kBT
1ooaD_M65.pdb     -146.610819 kBT
1ooaD_M122.pdb     -117.542026 kBT
1ooaD_M285.pdb     -122.919244 kBT
1ooaD_M49.pdb     -170.400221 kBT
1ooaD_M303.pdb     -99.512417 kBT
1ooaD_M328.pdb     -115.267228 kBT
1ooaD_M406.pdb     -113.573305 kBT
1ooaD_M124.pdb     -120.826606 kBT
1ooaD_M439.pdb     -133.817759 kBT
1ooaD_M283.pdb     -100.406175 kBT
1ooaD_M337.pdb     -125.149237 kBT
1ooaD_M196.pdb     -127.456778 kBT
1ooaD_M86.pdb     -118.350162 kBT
1ooaD_M324.pdb     -137.915201 kBT
1ooaD_M226.pdb     -114.849699 kBT
1ooaD_M236.pdb     -128.221176 kBT
1ooaD_M126.pdb     -141.167685 kBT
1ooaD_M418.pdb     -106.593410 kBT
1ooaD_M373.pdb     -121.357952 kBT
1ooaD_M366.pdb     -92.995678 kBT
1ooaD_M26.pdb     -168.635850 kBT
1ooaD_M350.pdb     -110.137383 kBT
1ooaD_M16.pdb     -197.232710 kBT
1ooaD_M44.pdb     -165.452626 kBT
1ooaD_M445.pdb     -109.735914 kBT
1ooaD_M309.pdb     -96.316483 kBT
1ooaD_M452.pdb     -111.956558 kBT
1ooaD_M107.pdb     -132.299671 kBT
1ooaD_M376.pdb     -95.177848 kBT
1ooaD_M175.pdb     -118.673199 kBT
1ooaD_M160.pdb     -133.201129 kBT
1ooaD_M417.pdb     -101.496955 kBT
1ooaD_M162.pdb     -126.204825 kBT
1ooaD_M19.pdb     -192.295373 kBT
1ooaD_M369.pdb     -104.945807 kBT
1ooaD_M77.pdb     -143.254254 kBT
1ooaD_M188.pdb     -129.882554 kBT
1ooaD_M393.pdb     -131.016025 kBT
1ooaD_M256.pdb     -89.571544 kBT
1ooaD_M359.pdb     -116.379071 kBT
1ooaD_M181.pdb     -108.706774 kBT
1ooaD_M277.pdb     -128.604010 kBT
1ooaD_M358.pdb     -92.696621 kBT
1ooaD_M465.pdb     -122.474793 kBT
1ooaD_M204.pdb     -125.923709 kBT
1ooaD_M75.pdb     -127.351856 kBT
1ooaD_M420.pdb     -75.811549 kBT
1ooaD_M368.pdb     -102.898702 kBT
1ooaD_M446.pdb     -101.519993 kBT
1ooaD_M472.pdb     -91.156029 kBT
1ooaD_M206.pdb     -128.771731 kBT
1ooaD_M78.pdb     -116.184688 kBT
1ooaD_M199.pdb     -125.773655 kBT
1ooaD_M282.pdb     -116.247879 kBT
1ooaD_M17.pdb     -194.433929 kBT
1ooaD_M40.pdb     -165.216492 kBT
1ooaD_M7.pdb     -189.079272 kBT
1ooaD_M114.pdb     -112.862656 kBT
1ooaD_M286.pdb     -111.964293 kBT
1ooaD_M177.pdb     -101.449279 kBT
1ooaD_M458.pdb     -113.876729 kBT
1ooaD_M36.pdb     -178.425733 kBT
1ooaD_M279.pdb     -116.860827 kBT
1ooaD_M63.pdb     -148.943730 kBT
1ooaD_M96.pdb     -117.927772 kBT
1ooaD_M81.pdb     -130.628722 kBT
1ooaD_M442.pdb     -112.612065 kBT
1ooaD_M460.pdb     -112.317118 kBT
1ooaD_M37.pdb     -170.772792 kBT
1ooaD_M43.pdb     -167.364744 kBT
1ooaD_M168.pdb     -127.049978 kBT
1ooaD_M298.pdb     -123.893610 kBT
1ooaD_M384.pdb     -120.402166 kBT
1ooaD_M21.pdb     -185.794059 kBT
1ooaD_M451.pdb     -124.664790 kBT
1ooaD_M300.pdb     -132.463592 kBT
1ooaD_M387.pdb     -137.751642 kBT
1ooaD_M247.pdb     -83.666791 kBT
1ooaD_M377.pdb     -112.520547 kBT
1ooaD_M95.pdb     -153.839988 kBT
1ooaD_M129.pdb     -125.195907 kBT
1ooaD_M322.pdb     -126.662560 kBT
1ooaD_M202.pdb     -102.846367 kBT
1ooaD_M399.pdb     -131.970087 kBT
1ooaD_M89.pdb     -147.283646 kBT
1ooaD_M35.pdb     -151.143599 kBT
1ooaD_M94.pdb     -121.405177 kBT
1ooaD_M332.pdb     -109.881653 kBT
1ooaD_M470.pdb     -96.432845 kBT
1ooaD_M348.pdb     -109.809441 kBT
1ooaD_M398.pdb     -119.633705 kBT
1ooaD_M488.pdb     -95.334229 kBT
1ooaD_M13.pdb     -194.398854 kBT
1ooaD_M500.pdb     -102.766209 kBT
1ooaD_M414.pdb     -120.560166 kBT
1ooaD_M361.pdb     -85.494398 kBT
1ooaD_M336.pdb     -98.372350 kBT
1ooaD_M215.pdb     -120.332116 kBT
1ooaD_M73.pdb     -148.840568 kBT
1ooaD_M34.pdb     -200.795481 kBT
1ooaD_M289.pdb     -99.521335 kBT
1ooaD_M100.pdb     -142.697454 kBT
1ooaD_M193.pdb     -111.717231 kBT
1ooaD_M64.pdb     -110.666235 kBT
1ooaD_M339.pdb     -92.016955 kBT
1ooaD_M163.pdb     -137.490800 kBT
1ooaD_M331.pdb     -91.152163 kBT
1ooaD_M477.pdb     -127.644572 kBT
1ooaD_M273.pdb     -113.076538 kBT
1ooaD_M74.pdb     -161.677409 kBT
1ooaD_M294.pdb     -75.638551 kBT
1ooaD_M305.pdb     -132.686337 kBT
1ooaD_M15.pdb     -195.567309 kBT
