1a9nR_M422.pdb     -104.087213 kBT
1a9nR_M176.pdb     -94.011087 kBT
1a9nR_M247.pdb     -120.440670 kBT
1a9nR_M294.pdb     -115.619008 kBT
1a9nR_M134.pdb     -97.661653 kBT
1a9nR_M106.pdb     -82.184524 kBT
1a9nR_M90.pdb     -94.327723 kBT
1a9nR_M136.pdb     -95.381404 kBT
1a9nR_M338.pdb     -81.975025 kBT
1a9nR_M205.pdb     -97.045576 kBT
1a9nR_M183.pdb     -90.226210 kBT
1a9nR_M173.pdb     -81.107334 kBT
1a9nR_M500.pdb     -94.528375 kBT
1a9nR_M334.pdb     -88.935893 kBT
1a9nR_M393.pdb     -87.703558 kBT
1a9nR_M25.pdb     -87.623639 kBT
1a9nR_M196.pdb     -72.142234 kBT
1a9nR_M43.pdb     -98.692898 kBT
1a9nR_M65.pdb     -102.762991 kBT
1a9nR_M92.pdb     -81.235304 kBT
1a9nR_M265.pdb     -107.746296 kBT
1a9nR_M394.pdb     -81.709998 kBT
1a9nR_M492.pdb     -106.978162 kBT
1a9nR_M418.pdb     -90.302603 kBT
1a9nR_M114.pdb     -88.267951 kBT
1a9nR_M498.pdb     -80.872275 kBT
1a9nR_M200.pdb     -90.153510 kBT
1a9nR_M164.pdb     -110.756223 kBT
1a9nR_M291.pdb     -93.853053 kBT
1a9nR_M482.pdb     -99.487241 kBT
1a9nR_M96.pdb     -81.437832 kBT
1a9nR_M262.pdb     -100.986233 kBT
1a9nR_M450.pdb     -96.945261 kBT
1a9nR_M440.pdb     -113.640813 kBT
1a9nR_M315.pdb     -100.994001 kBT
1a9nR_M210.pdb     -95.070770 kBT
1a9nR_M446.pdb     -95.175337 kBT
1a9nR_M71.pdb     -82.505468 kBT
1a9nR_M366.pdb     -70.424090 kBT
1a9nR_M298.pdb     -84.253245 kBT
1a9nR_M47.pdb     -91.561728 kBT
1a9nR_M426.pdb     -94.628339 kBT
1a9nR_M91.pdb     -96.299039 kBT
1a9nR_M154.pdb     -82.008723 kBT
1a9nR_M445.pdb     -105.368982 kBT
1a9nR_M360.pdb     -99.168133 kBT
1a9nR_M496.pdb     -81.117374 kBT
1a9nR_M293.pdb     -100.902693 kBT
1a9nR_M474.pdb     -99.864103 kBT
1a9nR_M480.pdb     -93.067343 kBT
1a9nR_M290.pdb     -98.178744 kBT
1a9nR_M68.pdb     -83.791374 kBT
1a9nR_M437.pdb     -115.585644 kBT
1a9nR_M382.pdb     -107.016355 kBT
1a9nR_M99.pdb     -84.028512 kBT
1a9nR_M388.pdb     -85.232324 kBT
1a9nR_M270.pdb     -99.752716 kBT
1a9nR_M225.pdb     -81.535399 kBT
1a9nR_M386.pdb     -85.622561 kBT
1a9nR_M115.pdb     -79.215258 kBT
1a9nR_M152.pdb     -95.044413 kBT
1a9nR_M153.pdb     -86.046335 kBT
1a9nR_M80.pdb     -80.718683 kBT
1a9nR_M208.pdb     -81.679233 kBT
1a9nR_M404.pdb     -79.045175 kBT
1a9nR_M72.pdb     -83.752863 kBT
1a9nR_M287.pdb     -102.832051 kBT
1a9nR_M167.pdb     -97.411149 kBT
1a9nR_M56.pdb     -73.964885 kBT
1a9nR_M119.pdb     -99.424713 kBT
1a9nR_M194.pdb     -85.482949 kBT
1a9nR_M413.pdb     -96.143428 kBT
1a9nR_M117.pdb     -92.774322 kBT
1a9nR_M469.pdb     -93.519828 kBT
1a9nR_M358.pdb     -75.170344 kBT
1a9nR_M26.pdb     -92.733202 kBT
1a9nR_M18.pdb     -95.612074 kBT
1a9nR_M423.pdb     -104.499200 kBT
1a9nR_M326.pdb     -46.009120 kBT
1a9nR_M168.pdb     -105.469334 kBT
1a9nR_M141.pdb     -81.923160 kBT
1a9nR_M456.pdb     -99.140514 kBT
1a9nR_M322.pdb     -101.303318 kBT
1a9nR_M218.pdb     -89.867192 kBT
1a9nR_M113.pdb     -86.078072 kBT
1a9nR_M155.pdb     -120.420765 kBT
1a9nR_M61.pdb     -98.829480 kBT
1a9nR_M415.pdb     -107.690935 kBT
1a9nR_M348.pdb     -83.318085 kBT
1a9nR_M444.pdb     -107.378008 kBT
1a9nR_M234.pdb     -79.686712 kBT
