1kogP_M377.pdb     -566.621211 kBT
1kogP_M405.pdb     -536.190641 kBT
1kogP_M202.pdb     -556.733328 kBT
1kogP_M453.pdb     -519.152982 kBT
1kogP_M343.pdb     -555.211771 kBT
1kogP_M320.pdb     -560.986213 kBT
1kogP_M120.pdb     -605.935620 kBT
1kogP_M422.pdb     -583.504128 kBT
1kogP_M270.pdb     -609.893077 kBT
1kogP_M280.pdb     -510.496136 kBT
1kogP_M473.pdb     -577.679815 kBT
1kogP_M294.pdb     -544.779119 kBT
1kogP_M89.pdb     -580.102965 kBT
1kogP_M104.pdb     -645.917046 kBT
1kogP_M58.pdb     -632.227652 kBT
1kogP_M313.pdb     -583.460191 kBT
1kogP_M468.pdb     -575.467817 kBT
1kogP_M76.pdb     -648.235810 kBT
1kogP_M165.pdb     -635.986191 kBT
1kogP_M414.pdb     -593.227271 kBT
1kogP_M85.pdb     -681.309262 kBT
1kogP_M210.pdb     -604.363835 kBT
1kogP_M309.pdb     -594.987138 kBT
1kogP_M307.pdb     -519.309673 kBT
1kogP_M257.pdb     -555.949200 kBT
1kogP_M217.pdb     -559.771117 kBT
1kogP_M33.pdb     -692.036051 kBT
1kogP_M450.pdb     -561.168515 kBT
1kogP_M486.pdb     -480.694528 kBT
1kogP_M195.pdb     -575.153983 kBT
1kogP_M184.pdb     -523.519458 kBT
1kogP_M23.pdb     -714.217670 kBT
1kogP_M336.pdb     -494.208098 kBT
1kogP_M160.pdb     -541.361109 kBT
1kogP_M180.pdb     -555.040523 kBT
1kogP_M362.pdb     -500.467115 kBT
1kogP_M347.pdb     -561.187797 kBT
1kogP_M488.pdb     -552.202898 kBT
1kogP_M334.pdb     -484.872528 kBT
1kogP_M101.pdb     -586.058027 kBT
1kogP_M73.pdb     -624.057186 kBT
1kogP_M260.pdb     -562.032575 kBT
1kogP_M41.pdb     -696.962794 kBT
1kogP_M305.pdb     -665.724240 kBT
1kogP_M404.pdb     -480.485033 kBT
1kogP_M292.pdb     -552.711231 kBT
1kogP_M381.pdb     -480.015535 kBT
1kogP_M409.pdb     -530.334985 kBT
1kogP_M326.pdb     -567.705613 kBT
1kogP.pdb     -716.093662 kBT
1kogP_M262.pdb     -588.563114 kBT
1kogP_M333.pdb     -532.364443 kBT
1kogP_M447.pdb     -448.825555 kBT
1kogP_M135.pdb     -562.052481 kBT
1kogP_M464.pdb     -586.881698 kBT
1kogP_M49.pdb     -597.561433 kBT
1kogP_M436.pdb     -443.870561 kBT
1kogP_M380.pdb     -554.440067 kBT
1kogP_M166.pdb     -550.318152 kBT
1kogP_M91.pdb     -612.613997 kBT
1kogP_M427.pdb     -537.972096 kBT
1kogP_M45.pdb     -641.293178 kBT
1kogP_M208.pdb     -544.887716 kBT
1kogP_M59.pdb     -607.972561 kBT
1kogP_M324.pdb     -600.966513 kBT
1kogP_M66.pdb     -609.061616 kBT
1kogP_M439.pdb     -639.552170 kBT
1kogP_M141.pdb     -585.618081 kBT
1kogP_M32.pdb     -710.081775 kBT
1kogP_M264.pdb     -515.888526 kBT
1kogP_M349.pdb     -548.331249 kBT
1kogP_M203.pdb     -489.171711 kBT
1kogP_M209.pdb     -556.306188 kBT
1kogP_M389.pdb     -490.700476 kBT
1kogP_M19.pdb     -677.372661 kBT
1kogP_M27.pdb     -693.445756 kBT
1kogP_M459.pdb     -504.991571 kBT
1kogP_M74.pdb     -587.965681 kBT
1kogP_M493.pdb     -520.871347 kBT
1kogP_M460.pdb     -481.565399 kBT
1kogP_M393.pdb     -524.290856 kBT
1kogP_M48.pdb     -634.777588 kBT
1kogP_M478.pdb     -532.233884 kBT
1kogP_M466.pdb     -514.841396 kBT
1kogP_M323.pdb     -494.989384 kBT
1kogP_M454.pdb     -522.917977 kBT
1kogP_M429.pdb     -519.444157 kBT
1kogP_M162.pdb     -610.123968 kBT
1kogP_M115.pdb     -613.227914 kBT
1kogP_M303.pdb     -512.370616 kBT
1kogP_M128.pdb     -598.180761 kBT
1kogP_M431.pdb     -468.080951 kBT
1kogP_M161.pdb     -570.633451 kBT
1kogP_M79.pdb     -648.036853 kBT
1kogP_M182.pdb     -611.395441 kBT
1kogP_M490.pdb     -535.705154 kBT
1kogP_M330.pdb     -501.867189 kBT
1kogP_M233.pdb     -539.371601 kBT
1kogP_M396.pdb     -562.052301 kBT
1kogP_M17.pdb     -704.398021 kBT
1kogP_M224.pdb     -619.316105 kBT
1kogP_M46.pdb     -659.256682 kBT
1kogP_M397.pdb     -503.003823 kBT
1kogP_M97.pdb     -600.276065 kBT
1kogP_M311.pdb     -558.356504 kBT
1kogP_M318.pdb     -501.227292 kBT
1kogP_M194.pdb     -598.491486 kBT
1kogP_M366.pdb     -632.680257 kBT
1kogP_M139.pdb     -586.601144 kBT
1kogP_M38.pdb     -636.913080 kBT
1kogP_M204.pdb     -570.245111 kBT
1kogP_M80.pdb     -634.547128 kBT
1kogP_M67.pdb     -614.622025 kBT
1kogP_M6.pdb     -720.386820 kBT
1kogP_M432.pdb     -512.617941 kBT
1kogP_M494.pdb     -576.013954 kBT
1kogP_M144.pdb     -577.535398 kBT
1kogP_M213.pdb     -551.789499 kBT
1kogP_M399.pdb     -577.132692 kBT
1kogP_M72.pdb     -689.508608 kBT
1kogP_M496.pdb     -609.405517 kBT
1kogP_M492.pdb     -509.557506 kBT
1kogP_M22.pdb     -709.328275 kBT
1kogP_M360.pdb     -515.047200 kBT
1kogP_M245.pdb     -529.873805 kBT
1kogP_M61.pdb     -632.766204 kBT
1kogP_M325.pdb     -504.617821 kBT
1kogP_M44.pdb     -672.303862 kBT
1kogP_M358.pdb     -571.369756 kBT
1kogP_M418.pdb     -480.746739 kBT
1kogP_M407.pdb     -510.196382 kBT
1kogP_M321.pdb     -501.533238 kBT
1kogP_M472.pdb     -440.910187 kBT
1kogP_M342.pdb     -547.195183 kBT
1kogP_M376.pdb     -551.604906 kBT
1kogP_M444.pdb     -576.754964 kBT
1kogP_M31.pdb     -625.119285 kBT
1kogP_M237.pdb     -506.673587 kBT
1kogP_M348.pdb     -531.333925 kBT
