2bh2D_M43.pdb     -182.265921 kBT
2bh2D_M488.pdb     -135.953949 kBT
2bh2D_M486.pdb     -170.674997 kBT
2bh2D_M302.pdb     -159.506460 kBT
2bh2D_M139.pdb     -192.680256 kBT
2bh2D_M191.pdb     -131.676668 kBT
2bh2D_M230.pdb     -142.718071 kBT
2bh2D_M334.pdb     -144.907122 kBT
2bh2D_M70.pdb     -186.950614 kBT
2bh2D_M141.pdb     -165.734625 kBT
2bh2D_M457.pdb     -147.241553 kBT
2bh2D_M370.pdb     -168.693551 kBT
2bh2D_M345.pdb     -145.638240 kBT
2bh2D_M364.pdb     -141.643661 kBT
2bh2D_M95.pdb     -154.121669 kBT
2bh2D_M269.pdb     -205.305420 kBT
2bh2D_M239.pdb     -139.682464 kBT
2bh2D_M159.pdb     -169.517648 kBT
2bh2D_M146.pdb     -174.988833 kBT
2bh2D_M400.pdb     -143.248692 kBT
2bh2D_M466.pdb     -159.762430 kBT
2bh2D_M236.pdb     -180.320656 kBT
2bh2D_M412.pdb     -121.843222 kBT
2bh2D_M484.pdb     -165.784513 kBT
2bh2D_M64.pdb     -168.692991 kBT
2bh2D_M262.pdb     -180.430231 kBT
2bh2D_M404.pdb     -149.286954 kBT
2bh2D_M395.pdb     -160.177911 kBT
2bh2D_M300.pdb     -120.245688 kBT
2bh2D_M366.pdb     -194.075748 kBT
2bh2D_M265.pdb     -168.881646 kBT
2bh2D_M61.pdb     -205.650081 kBT
2bh2D_M386.pdb     -212.907151 kBT
2bh2D_M163.pdb     -178.550441 kBT
2bh2D_M203.pdb     -146.035063 kBT
2bh2D_M135.pdb     -169.326038 kBT
2bh2D_M79.pdb     -185.838654 kBT
2bh2D_M358.pdb     -140.992903 kBT
2bh2D_M264.pdb     -166.145923 kBT
2bh2D_M42.pdb     -176.938985 kBT
2bh2D_M436.pdb     -132.404220 kBT
2bh2D_M73.pdb     -181.685987 kBT
2bh2D_M385.pdb     -152.102267 kBT
2bh2D_M211.pdb     -189.117022 kBT
2bh2D_M116.pdb     -194.659898 kBT
2bh2D_M333.pdb     -163.402373 kBT
2bh2D_M305.pdb     -172.325820 kBT
2bh2D_M500.pdb     -172.151378 kBT
2bh2D_M365.pdb     -159.827057 kBT
2bh2D_M301.pdb     -174.134200 kBT
2bh2D_M102.pdb     -192.265525 kBT
2bh2D_M214.pdb     -187.016185 kBT
2bh2D_M196.pdb     -176.091178 kBT
2bh2D_M287.pdb     -149.302032 kBT
2bh2D_M215.pdb     -183.644322 kBT
2bh2D_M19.pdb     -209.197874 kBT
2bh2D_M472.pdb     -142.878237 kBT
2bh2D_M283.pdb     -191.564232 kBT
2bh2D_M82.pdb     -184.914960 kBT
2bh2D_M234.pdb     -160.468608 kBT
2bh2D_M132.pdb     -175.159730 kBT
2bh2D_M88.pdb     -169.406876 kBT
2bh2D_M10.pdb     -208.986594 kBT
2bh2D_M194.pdb     -173.294402 kBT
2bh2D_M177.pdb     -145.179254 kBT
2bh2D_M137.pdb     -146.508095 kBT
2bh2D_M285.pdb     -192.864323 kBT
2bh2D_M297.pdb     -175.408353 kBT
2bh2D_M12.pdb     -224.520423 kBT
2bh2D_M352.pdb     -189.645600 kBT
2bh2D_M274.pdb     -139.459956 kBT
2bh2D_M105.pdb     -198.471963 kBT
2bh2D_M68.pdb     -198.617336 kBT
2bh2D_M193.pdb     -173.267699 kBT
2bh2D_M347.pdb     -143.030542 kBT
2bh2D_M273.pdb     -157.740143 kBT
