2qusB_M208.pdb     -405.506450 kBT
2qusB_M338.pdb     -408.693546 kBT
2qusB_M324.pdb     -461.271690 kBT
2qusB_M40.pdb     -520.073099 kBT
2qusB_M242.pdb     -425.822414 kBT
2qusB_M84.pdb     -491.748675 kBT
2qusB_M234.pdb     -453.056046 kBT
2qusB_M127.pdb     -481.834095 kBT
2qusB_M33.pdb     -554.969253 kBT
2qusB_M308.pdb     -449.172726 kBT
2qusB_M104.pdb     -479.556081 kBT
2qusB_M66.pdb     -496.793674 kBT
2qusB_M229.pdb     -444.633826 kBT
2qusB_M89.pdb     -458.800373 kBT
2qusB_M466.pdb     -409.873947 kBT
2qusB_M4.pdb     -616.705185 kBT
2qusB_M398.pdb     -438.096346 kBT
2qusB_M476.pdb     -356.606661 kBT
2qusB_M139.pdb     -478.514865 kBT
2qusB_M463.pdb     -400.170880 kBT
2qusB_M218.pdb     -409.716066 kBT
2qusB_M219.pdb     -416.902283 kBT
2qusB_M191.pdb     -429.671838 kBT
2qusB_M332.pdb     -432.062377 kBT
2qusB_M408.pdb     -409.282283 kBT
2qusB_M157.pdb     -400.461241 kBT
2qusB_M65.pdb     -523.067544 kBT
2qusB_M275.pdb     -447.771333 kBT
2qusB_M280.pdb     -464.092331 kBT
2qusB_M145.pdb     -462.530280 kBT
2qusB_M207.pdb     -370.747481 kBT
2qusB_M415.pdb     -410.337705 kBT
2qusB_M103.pdb     -454.404895 kBT
2qusB_M369.pdb     -399.102849 kBT
2qusB_M414.pdb     -427.968749 kBT
2qusB_M370.pdb     -396.254788 kBT
2qusB_M488.pdb     -412.161267 kBT
2qusB_M364.pdb     -435.183057 kBT
2qusB_M298.pdb     -402.932519 kBT
2qusB_M98.pdb     -459.977330 kBT
2qusB_M159.pdb     -481.227982 kBT
2qusB_M402.pdb     -377.630113 kBT
2qusB_M499.pdb     -412.066061 kBT
2qusB_M421.pdb     -421.494225 kBT
2qusB_M37.pdb     -512.392734 kBT
2qusB_M106.pdb     -505.938687 kBT
2qusB_M162.pdb     -435.804566 kBT
2qusB_M165.pdb     -388.749844 kBT
2qusB_M492.pdb     -397.929173 kBT
2qusB_M469.pdb     -360.051790 kBT
2qusB_M85.pdb     -477.686883 kBT
2qusB_M170.pdb     -446.628071 kBT
2qusB_M428.pdb     -419.610246 kBT
2qusB_M199.pdb     -464.856756 kBT
2qusB_M261.pdb     -413.933629 kBT
2qusB_M326.pdb     -435.140072 kBT
2qusB_M250.pdb     -415.988587 kBT
2qusB_M304.pdb     -412.111824 kBT
2qusB_M345.pdb     -331.429365 kBT
2qusB_M195.pdb     -458.396714 kBT
2qusB_M14.pdb     -576.169644 kBT
2qusB_M200.pdb     -427.100872 kBT
2qusB_M303.pdb     -388.042614 kBT
2qusB_M243.pdb     -393.009191 kBT
2qusB_M340.pdb     -424.071084 kBT
2qusB_M344.pdb     -397.397291 kBT
2qusB_M387.pdb     -402.661534 kBT
2qusB_M169.pdb     -425.044162 kBT
2qusB_M203.pdb     -454.947314 kBT
2qusB_M102.pdb     -480.703448 kBT
2qusB_M286.pdb     -395.303461 kBT
2qusB_M430.pdb     -415.951163 kBT
2qusB_M42.pdb     -505.970162 kBT
2qusB_M374.pdb     -430.088673 kBT
2qusB_M8.pdb     -609.626779 kBT
2qusB_M491.pdb     -410.260852 kBT
2qusB_M288.pdb     -429.685027 kBT
2qusB_M88.pdb     -493.793943 kBT
2qusB_M150.pdb     -401.229768 kBT
2qusB_M424.pdb     -405.043595 kBT
2qusB_M313.pdb     -392.307066 kBT
2qusB_M358.pdb     -414.216066 kBT
2qusB_M211.pdb     -437.803278 kBT
2qusB_M473.pdb     -402.554847 kBT
2qusB_M390.pdb     -399.629655 kBT
2qusB_M15.pdb     -580.476898 kBT
2qusB_M314.pdb     -432.539640 kBT
2qusB_M180.pdb     -453.725653 kBT
