1fg0A_M208.pdb     -1756.334965 kBT
1fg0A_M44.pdb     -2117.852752 kBT
1fg0A_M255.pdb     -1789.363091 kBT
1fg0A_M131.pdb     -1968.881651 kBT
1fg0A_M397.pdb     -1699.106947 kBT
1fg0A_M438.pdb     -1694.312001 kBT
1fg0A_M337.pdb     -1760.060001 kBT
1fg0A_M52.pdb     -2020.620738 kBT
1fg0A_M168.pdb     -1777.956927 kBT
1fg0A_M268.pdb     -1666.777576 kBT
1fg0A_M380.pdb     -1797.676417 kBT
1fg0A_M450.pdb     -1663.934105 kBT
1fg0A_M189.pdb     -1872.264875 kBT
1fg0A_M167.pdb     -1825.623599 kBT
1fg0A_M413.pdb     -1710.841265 kBT
1fg0A_M183.pdb     -1849.787842 kBT
1fg0A_M279.pdb     -1855.081072 kBT
1fg0A_M139.pdb     -1824.473211 kBT
1fg0A_M117.pdb     -1822.789296 kBT
1fg0A_M257.pdb     -1787.606375 kBT
1fg0A_M209.pdb     -1805.104292 kBT
1fg0A_M192.pdb     -1860.658214 kBT
1fg0A_M426.pdb     -1732.833507 kBT
1fg0A_M98.pdb     -1937.260651 kBT
1fg0A_M492.pdb     -1714.727684 kBT
1fg0A_M138.pdb     -1810.438658 kBT
1fg0A_M261.pdb     -1784.511723 kBT
1fg0A_M245.pdb     -1699.020059 kBT
1fg0A_M425.pdb     -1752.287870 kBT
1fg0A_M126.pdb     -1825.906130 kBT
1fg0A_M4.pdb     -2243.411207 kBT
1fg0A_M50.pdb     -2037.282525 kBT
1fg0A_M187.pdb     -1780.740802 kBT
1fg0A_M326.pdb     -1844.729975 kBT
1fg0A_M434.pdb     -1741.853032 kBT
1fg0A_M410.pdb     -1757.925498 kBT
1fg0A_M104.pdb     -1890.802161 kBT
1fg0A_M8.pdb     -2241.264902 kBT
1fg0A_M227.pdb     -1794.349503 kBT
1fg0A_M113.pdb     -1880.837487 kBT
1fg0A_M359.pdb     -1814.817827 kBT
1fg0A_M463.pdb     -1709.947697 kBT
1fg0A_M115.pdb     -1932.887496 kBT
1fg0A_M282.pdb     -1797.831945 kBT
1fg0A_M343.pdb     -1720.151306 kBT
1fg0A_M216.pdb     -1735.998615 kBT
1fg0A_M444.pdb     -1664.818231 kBT
1fg0A_M156.pdb     -1884.598361 kBT
1fg0A_M61.pdb     -2013.593911 kBT
1fg0A_M236.pdb     -1785.420550 kBT
1fg0A_M69.pdb     -2003.769553 kBT
1fg0A_M375.pdb     -1775.171150 kBT
1fg0A_M242.pdb     -1901.233794 kBT
1fg0A_M31.pdb     -2128.611234 kBT
1fg0A_M162.pdb     -1806.818211 kBT
1fg0A_M461.pdb     -1613.333239 kBT
1fg0A_M355.pdb     -1790.666852 kBT
1fg0A_M13.pdb     -2258.289332 kBT
1fg0A_M194.pdb     -1765.629059 kBT
1fg0A_M34.pdb     -2160.163023 kBT
1fg0A_M226.pdb     -1759.422369 kBT
1fg0A_M190.pdb     -1785.856782 kBT
1fg0A_M408.pdb     -1682.102943 kBT
1fg0A_M198.pdb     -1881.105247 kBT
1fg0A_M471.pdb     -1733.203423 kBT
1fg0A_M7.pdb     -2239.076932 kBT
1fg0A_M224.pdb     -1844.851868 kBT
1fg0A_M1.pdb     -2242.496607 kBT
1fg0A_M373.pdb     -1690.953162 kBT
1fg0A_M145.pdb     -1746.297691 kBT
1fg0A_M348.pdb     -1701.390548 kBT
1fg0A_M281.pdb     -1760.943489 kBT
1fg0A_M12.pdb     -2265.272647 kBT
1fg0A_M377.pdb     -1700.184880 kBT
1fg0A_M107.pdb     -1908.593721 kBT
1fg0A_M422.pdb     -1574.341938 kBT
1fg0A_M170.pdb     -1803.875150 kBT
1fg0A_M427.pdb     -1720.077250 kBT
1fg0A_M199.pdb     -1781.818099 kBT
1fg0A_M112.pdb     -1719.840493 kBT
1fg0A_M483.pdb     -1638.359967 kBT
1fg0A_M66.pdb     -1819.349231 kBT
1fg0A_M197.pdb     -1714.603932 kBT
1fg0A_M351.pdb     -1738.390887 kBT
1fg0A_M364.pdb     -1739.903891 kBT
1fg0A_M240.pdb     -1701.477027 kBT
1fg0A_M54.pdb     -2039.884500 kBT
1fg0A_M230.pdb     -1868.138703 kBT
1fg0A_M89.pdb     -1888.993053 kBT
1fg0A_M320.pdb     -1798.078432 kBT
1fg0A_M405.pdb     -1725.674013 kBT
1fg0A_M394.pdb     -1804.496913 kBT
1fg0A_M63.pdb     -1997.525280 kBT
1fg0A_M349.pdb     -1730.086716 kBT
1fg0A_M49.pdb     -2035.744296 kBT
1fg0A_M57.pdb     -1974.725736 kBT
1fg0A_M258.pdb     -1721.999060 kBT
1fg0A_M381.pdb     -1735.712382 kBT
1fg0A_M241.pdb     -1785.395083 kBT
1fg0A_M184.pdb     -1735.966539 kBT
1fg0A_M441.pdb     -1652.085175 kBT
1fg0A_M154.pdb     -1859.598183 kBT
1fg0A_M174.pdb     -1833.658420 kBT
1fg0A_M452.pdb     -1773.319089 kBT
1fg0A_M48.pdb     -2059.917915 kBT
1fg0A_M409.pdb     -1833.741734 kBT
1fg0A_M260.pdb     -1779.386349 kBT
1fg0A_M249.pdb     -1772.972432 kBT
1fg0A_M497.pdb     -1696.615865 kBT
1fg0A_M213.pdb     -1799.836974 kBT
1fg0A_M498.pdb     -1667.928178 kBT
1fg0A_M129.pdb     -1960.147042 kBT
1fg0A_M372.pdb     -1796.330075 kBT
1fg0A_M228.pdb     -1857.240297 kBT
1fg0A_M485.pdb     -1732.811410 kBT
1fg0A_M352.pdb     -1803.887448 kBT
1fg0A_M142.pdb     -1757.585954 kBT
1fg0A_M390.pdb     -1706.851481 kBT
1fg0A_M191.pdb     -1730.462723 kBT
1fg0A_M469.pdb     -1674.446172 kBT
1fg0A_M215.pdb     -1834.949961 kBT
1fg0A_M433.pdb     -1660.121426 kBT
1fg0A_M137.pdb     -1884.236244 kBT
1fg0A_M33.pdb     -2149.510716 kBT
1fg0A_M143.pdb     -1843.989706 kBT
1fg0A_M14.pdb     -2264.448438 kBT
1fg0A_M389.pdb     -1779.065890 kBT
1fg0A_M94.pdb     -1925.914056 kBT
1fg0A_M152.pdb     -1880.065616 kBT
1fg0A_M120.pdb     -1822.645171 kBT
1fg0A_M432.pdb     -1684.374231 kBT
1fg0A_M366.pdb     -1714.593817 kBT
1fg0A_M259.pdb     -1773.848148 kBT
1fg0A_M163.pdb     -1868.962999 kBT
1fg0A_M210.pdb     -1840.678440 kBT
1fg0A_M82.pdb     -1992.128339 kBT
1fg0A_M350.pdb     -1749.402051 kBT
1fg0A_M499.pdb     -1801.753891 kBT
1fg0A_M292.pdb     -1844.810640 kBT
1fg0A_M217.pdb     -1821.529775 kBT
1fg0A_M400.pdb     -1716.116766 kBT
1fg0A_M284.pdb     -1817.278114 kBT
1fg0A_M401.pdb     -1638.645850 kBT
1fg0A_M420.pdb     -1819.352030 kBT
1fg0A_M285.pdb     -1841.856598 kBT
1fg0A_M341.pdb     -1668.008613 kBT
1fg0A_M108.pdb     -1881.449262 kBT
1fg0A_M73.pdb     -2043.754190 kBT
1fg0A_M446.pdb     -1798.907890 kBT
1fg0A_M460.pdb     -1738.122177 kBT
1fg0A_M363.pdb     -1660.628615 kBT
1fg0A_M99.pdb     -1891.355789 kBT
1fg0A_M430.pdb     -1720.431164 kBT
1fg0A_M59.pdb     -1964.100085 kBT
1fg0A_M367.pdb     -1751.093010 kBT
1fg0A_M270.pdb     -1820.437326 kBT
1fg0A_M164.pdb     -1861.825082 kBT
1fg0A_M396.pdb     -1724.365673 kBT
1fg0A_M65.pdb     -2025.289786 kBT
1fg0A_M445.pdb     -1705.182446 kBT
1fg0A_M124.pdb     -1826.671838 kBT
1fg0A_M175.pdb     -1787.412320 kBT
1fg0A_M484.pdb     -1785.246935 kBT
1fg0A_M468.pdb     -1565.059079 kBT
1fg0A_M360.pdb     -1819.948234 kBT
1fg0A_M486.pdb     -1767.823652 kBT
1fg0A_M500.pdb     -1736.581670 kBT
1fg0A_M64.pdb     -1915.438198 kBT
1fg0A_M288.pdb     -1798.912047 kBT
1fg0A_M165.pdb     -1896.841349 kBT
1fg0A_M157.pdb     -1811.153593 kBT
1fg0A_M324.pdb     -1771.726089 kBT
1fg0A_M92.pdb     -1946.475143 kBT
1fg0A_M262.pdb     -1794.944272 kBT
1fg0A_M254.pdb     -1627.615003 kBT
1fg0A_M277.pdb     -1823.271862 kBT
1fg0A_M80.pdb     -1932.012804 kBT
1fg0A_M250.pdb     -1780.691125 kBT
1fg0A_M428.pdb     -1728.248947 kBT
1fg0A_M3.pdb     -2239.822487 kBT
1fg0A_M311.pdb     -1682.487098 kBT
1fg0A_M386.pdb     -1721.506547 kBT
1fg0A_M302.pdb     -1787.149238 kBT
1fg0A_M146.pdb     -1916.128396 kBT
1fg0A_M496.pdb     -1639.939589 kBT
1fg0A_M219.pdb     -1773.302636 kBT
1fg0A_M424.pdb     -1653.850402 kBT
1fg0A_M455.pdb     -1727.345202 kBT
1fg0A_M361.pdb     -1709.749647 kBT
1fg0A_M459.pdb     -1677.067565 kBT
1fg0A_M328.pdb     -1710.432830 kBT
1fg0A_M423.pdb     -1609.785274 kBT
1fg0A_M487.pdb     -1706.328932 kBT
1fg0A_M144.pdb     -1876.916220 kBT
1fg0A_M276.pdb     -1824.644252 kBT
1fg0A_M87.pdb     -1956.071097 kBT
1fg0A_M368.pdb     -1747.009369 kBT
1fg0A_M265.pdb     -1793.852165 kBT
1fg0A_M41.pdb     -2069.748290 kBT
1fg0A_M239.pdb     -1816.464155 kBT
1fg0A_M283.pdb     -1783.938366 kBT
1fg0A_M443.pdb     -1704.099011 kBT
1fg0A_M193.pdb     -1838.827333 kBT
1fg0A_M431.pdb     -1791.498914 kBT
1fg0A_M269.pdb     -1798.405616 kBT
1fg0A.pdb     -3152.120994 kBT
1fg0A_M275.pdb     -1793.005998 kBT
1fg0A_M294.pdb     -1741.793860 kBT
1fg0A_M56.pdb     -2011.160422 kBT
1fg0A_M100.pdb     -1939.282321 kBT
1fg0A_M412.pdb     -1666.502677 kBT
1fg0A_M393.pdb     -1734.298047 kBT
1fg0A_M340.pdb     -1725.137983 kBT
1fg0A_M10.pdb     -2255.840646 kBT
1fg0A_M298.pdb     -1710.506777 kBT
1fg0A_M280.pdb     -1841.145074 kBT
1fg0A_M398.pdb     -1670.895115 kBT
1fg0A_M436.pdb     -1671.144761 kBT
1fg0A_M169.pdb     -1724.244987 kBT
1fg0A_M495.pdb     -1778.877859 kBT
1fg0A_M83.pdb     -1904.064854 kBT
1fg0A_M442.pdb     -1677.714314 kBT
1fg0A_M233.pdb     -1777.384056 kBT
1fg0A_M448.pdb     -1813.625826 kBT
1fg0A_M357.pdb     -1760.509358 kBT
1fg0A_M247.pdb     -1742.138795 kBT
1fg0A_M476.pdb     -1740.114767 kBT
1fg0A_M244.pdb     -1814.922690 kBT
1fg0A_M354.pdb     -1643.267539 kBT
1fg0A_M309.pdb     -1806.137352 kBT
1fg0A_M252.pdb     -1746.459832 kBT
1fg0A_M338.pdb     -1736.993124 kBT
1fg0A_M475.pdb     -1754.783129 kBT
1fg0A_M203.pdb     -1853.069816 kBT
1fg0A_M235.pdb     -1670.646401 kBT
1fg0A_M51.pdb     -1970.274714 kBT
1fg0A_M415.pdb     -1780.531178 kBT
1fg0A_M188.pdb     -1769.203793 kBT
1fg0A_M491.pdb     -1687.457736 kBT
1fg0A_M472.pdb     -1756.566383 kBT
1fg0A_M435.pdb     -1692.018547 kBT
1fg0A_M304.pdb     -1799.218572 kBT
1fg0A_M15.pdb     -2225.681238 kBT
1fg0A_M181.pdb     -1813.402938 kBT
1fg0A_M75.pdb     -1901.276899 kBT
1fg0A_M253.pdb     -1731.695613 kBT
1fg0A_M109.pdb     -1886.755798 kBT
1fg0A_M220.pdb     -1770.222154 kBT
