1un6F_M336.pdb     -307.101016 kBT
1un6F_M271.pdb     -359.086831 kBT
1un6F_M420.pdb     -288.589795 kBT
1un6F_M226.pdb     -276.516789 kBT
1un6F_M474.pdb     -318.914836 kBT
1un6F_M408.pdb     -328.848331 kBT
1un6F_M287.pdb     -309.020656 kBT
1un6F_M363.pdb     -290.005665 kBT
1un6F_M200.pdb     -345.365132 kBT
1un6F_M401.pdb     -314.307381 kBT
1un6F_M141.pdb     -389.488073 kBT
1un6F_M375.pdb     -281.387346 kBT
1un6F_M118.pdb     -368.996188 kBT
1un6F_M41.pdb     -401.969993 kBT
1un6F_M458.pdb     -312.069456 kBT
1un6F_M487.pdb     -300.118309 kBT
1un6F_M193.pdb     -343.601973 kBT
1un6F_M369.pdb     -291.373854 kBT
1un6F_M443.pdb     -303.032247 kBT
1un6F_M286.pdb     -331.103717 kBT
1un6F_M34.pdb     -428.567107 kBT
1un6F_M88.pdb     -384.403657 kBT
1un6F_M302.pdb     -298.347407 kBT
1un6F_M368.pdb     -306.595008 kBT
1un6F_M160.pdb     -337.927792 kBT
1un6F_M69.pdb     -394.815353 kBT
1un6F_M304.pdb     -325.101451 kBT
1un6F_M7.pdb     -473.894526 kBT
1un6F_M265.pdb     -323.225492 kBT
1un6F_M258.pdb     -360.606245 kBT
1un6F_M121.pdb     -355.619494 kBT
1un6F_M33.pdb     -397.769609 kBT
1un6F_M281.pdb     -355.287509 kBT
1un6F_M80.pdb     -411.669973 kBT
1un6F_M186.pdb     -352.747109 kBT
1un6F_M198.pdb     -361.091456 kBT
1un6F_M98.pdb     -379.599930 kBT
1un6F_M127.pdb     -354.198215 kBT
1un6F_M224.pdb     -319.350895 kBT
1un6F_M424.pdb     -287.335118 kBT
1un6F_M325.pdb     -331.116293 kBT
1un6F_M22.pdb     -434.814694 kBT
1un6F_M405.pdb     -295.446437 kBT
1un6F_M338.pdb     -331.166995 kBT
1un6F_M83.pdb     -402.442531 kBT
1un6F_M377.pdb     -369.728361 kBT
1un6F_M78.pdb     -409.134329 kBT
1un6F_M278.pdb     -316.454784 kBT
1un6F_M158.pdb     -360.588534 kBT
1un6F_M257.pdb     -325.695702 kBT
1un6F_M277.pdb     -325.439380 kBT
1un6F_M113.pdb     -366.523904 kBT
1un6F_M222.pdb     -344.073337 kBT
1un6F_M412.pdb     -328.365400 kBT
1un6F_M489.pdb     -255.035112 kBT
1un6F_M418.pdb     -296.462949 kBT
1un6F_M428.pdb     -305.470201 kBT
1un6F_M172.pdb     -317.773712 kBT
1un6F_M353.pdb     -291.406067 kBT
1un6F_M482.pdb     -281.692229 kBT
1un6F_M322.pdb     -299.798241 kBT
1un6F_M259.pdb     -355.213738 kBT
1un6F_M416.pdb     -290.917857 kBT
1un6F_M361.pdb     -251.582223 kBT
1un6F_M9.pdb     -469.052260 kBT
1un6F_M10.pdb     -459.904974 kBT
1un6F_M234.pdb     -338.040151 kBT
1un6F_M388.pdb     -266.428211 kBT
1un6F_M25.pdb     -430.323771 kBT
1un6F_M65.pdb     -383.194395 kBT
1un6F_M314.pdb     -333.929401 kBT
1un6F_M403.pdb     -321.090849 kBT
1un6F_M42.pdb     -452.142699 kBT
1un6F_M87.pdb     -382.907698 kBT
1un6F_M307.pdb     -297.480856 kBT
1un6F_M441.pdb     -327.567860 kBT
1un6F_M176.pdb     -392.684454 kBT
1un6F_M71.pdb     -387.740077 kBT
1un6F_M448.pdb     -325.213345 kBT
1un6F_M102.pdb     -409.983776 kBT
1un6F_M468.pdb     -295.587068 kBT
1un6F_M311.pdb     -338.373584 kBT
1un6F_M422.pdb     -344.017500 kBT
1un6F_M28.pdb     -441.666830 kBT
1un6F_M387.pdb     -330.070550 kBT
1un6F_M229.pdb     -350.747644 kBT
1un6F_M40.pdb     -423.974495 kBT
1un6F_M488.pdb     -297.291082 kBT
1un6F_M384.pdb     -335.786325 kBT
1un6F_M331.pdb     -313.063546 kBT
1un6F_M397.pdb     -345.200783 kBT
1un6F_M210.pdb     -318.973441 kBT
1un6F_M157.pdb     -354.199645 kBT
1un6F_M138.pdb     -339.328722 kBT
1un6F_M159.pdb     -358.919143 kBT
1un6F_M209.pdb     -348.784983 kBT
1un6F_M47.pdb     -431.805050 kBT
1un6F_M313.pdb     -287.445196 kBT
1un6F_M64.pdb     -381.934682 kBT
1un6F_M410.pdb     -308.853970 kBT
1un6F_M140.pdb     -431.728280 kBT
1un6F_M402.pdb     -330.537088 kBT
1un6F_M380.pdb     -280.276616 kBT
1un6F_M243.pdb     -302.735417 kBT
