1e7kD_M392.pdb     -49.916345 kBT
1e7kD_M245.pdb     -46.376644 kBT
1e7kD_M23.pdb     -53.541034 kBT
1e7kD_M217.pdb     -43.550556 kBT
1e7kD_M301.pdb     -47.339087 kBT
1e7kD_M108.pdb     -52.122661 kBT
1e7kD_M273.pdb     -7.230920 kBT
1e7kD_M429.pdb     -47.483217 kBT
1e7kD_M482.pdb     -43.668967 kBT
1e7kD_M460.pdb     -29.562293 kBT
1e7kD_M351.pdb     -58.445716 kBT
1e7kD_M274.pdb     -47.477858 kBT
1e7kD_M200.pdb     -51.276902 kBT
1e7kD_M447.pdb     -35.953853 kBT
1e7kD_M96.pdb     -43.283189 kBT
1e7kD_M497.pdb     -44.429671 kBT
1e7kD_M242.pdb     -42.861813 kBT
1e7kD_M124.pdb     -52.456043 kBT
1e7kD_M293.pdb     -46.129691 kBT
1e7kD_M206.pdb     -43.056453 kBT
1e7kD_M495.pdb     -34.085788 kBT
1e7kD_M251.pdb     -53.121709 kBT
1e7kD_M399.pdb     -40.749351 kBT
1e7kD_M358.pdb     -58.084211 kBT
1e7kD_M161.pdb     -59.557371 kBT
1e7kD_M486.pdb     -34.581706 kBT
1e7kD_M123.pdb     -50.860721 kBT
1e7kD_M378.pdb     -20.078898 kBT
1e7kD_M146.pdb     -40.896510 kBT
1e7kD_M213.pdb     -48.983797 kBT
1e7kD_M186.pdb     -19.838856 kBT
1e7kD_M77.pdb     -59.355200 kBT
1e7kD_M189.pdb     -43.003187 kBT
1e7kD_M373.pdb     -41.772067 kBT
1e7kD_M44.pdb     -62.437651 kBT
1e7kD_M402.pdb     -20.897548 kBT
1e7kD_M272.pdb     -30.788425 kBT
1e7kD_M437.pdb     -37.006268 kBT
1e7kD_M91.pdb     -44.840251 kBT
1e7kD_M493.pdb     -57.164121 kBT
1e7kD_M172.pdb     -49.241654 kBT
1e7kD_M176.pdb     -52.666046 kBT
1e7kD_M235.pdb     -44.342482 kBT
1e7kD_M74.pdb     -48.257779 kBT
1e7kD_M184.pdb     -59.136874 kBT
1e7kD_M198.pdb     -51.005423 kBT
1e7kD_M388.pdb     -37.605224 kBT
1e7kD_M330.pdb     -49.404656 kBT
1e7kD_M327.pdb     -46.369827 kBT
1e7kD_M345.pdb     -24.337587 kBT
1e7kD_M412.pdb     -57.279719 kBT
1e7kD_M147.pdb     -42.047715 kBT
1e7kD.pdb     -96.455509 kBT
1e7kD_M106.pdb     -33.704512 kBT
1e7kD_M329.pdb     -41.684722 kBT
1e7kD_M474.pdb     -10.101240 kBT
1e7kD_M93.pdb     -52.793776 kBT
1e7kD_M134.pdb     -49.221746 kBT
1e7kD_M480.pdb     -26.511054 kBT
1e7kD_M365.pdb     -47.115397 kBT
1e7kD_M80.pdb     -40.281657 kBT
1e7kD_M318.pdb     -38.446537 kBT
1e7kD_M194.pdb     -53.056324 kBT
1e7kD_M321.pdb     -38.835729 kBT
1e7kD_M84.pdb     -53.565111 kBT
1e7kD_M10.pdb     -50.872054 kBT
1e7kD_M267.pdb     -56.773928 kBT
