3eogA_M64.pdb     -1274.987362 kBT
3eogA_M92.pdb     -1316.860595 kBT
3eogA_M88.pdb     -1241.810116 kBT
3eogA_M237.pdb     -1231.809730 kBT
3eogA_M457.pdb     -1112.586437 kBT
3eogA_M380.pdb     -1178.280547 kBT
3eogA_M78.pdb     -1305.256977 kBT
3eogA_M270.pdb     -1210.416760 kBT
3eogA_M245.pdb     -1139.015049 kBT
3eogA_M48.pdb     -1335.678012 kBT
3eogA_M440.pdb     -1142.616507 kBT
3eogA_M74.pdb     -1300.237256 kBT
3eogA_M207.pdb     -1150.975507 kBT
3eogA_M219.pdb     -1221.364651 kBT
3eogA_M255.pdb     -1203.129672 kBT
3eogA_M43.pdb     -1330.273551 kBT
3eogA_M467.pdb     -1137.249580 kBT
3eogA_M100.pdb     -1281.856597 kBT
3eogA_M403.pdb     -1096.548615 kBT
3eogA_M433.pdb     -1105.769346 kBT
3eogA_M108.pdb     -1240.995172 kBT
3eogA_M337.pdb     -1155.112028 kBT
3eogA_M50.pdb     -1330.574881 kBT
3eogA_M428.pdb     -1136.860334 kBT
3eogA_M147.pdb     -1237.887412 kBT
3eogA_M184.pdb     -1225.067096 kBT
3eogA_M264.pdb     -1144.618073 kBT
3eogA_M338.pdb     -1141.440176 kBT
3eogA_M297.pdb     -1132.568938 kBT
3eogA_M324.pdb     -1176.298933 kBT
3eogA_M193.pdb     -1149.761839 kBT
3eogA_M434.pdb     -1148.614030 kBT
3eogA_M425.pdb     -1177.420027 kBT
3eogA_M268.pdb     -1200.495201 kBT
3eogA_M197.pdb     -1203.784482 kBT
3eogA_M60.pdb     -1276.631477 kBT
3eogA_M171.pdb     -1191.880967 kBT
3eogA_M307.pdb     -1125.257902 kBT
3eogA_M319.pdb     -1175.255595 kBT
3eogA_M123.pdb     -1216.474672 kBT
3eogA_M441.pdb     -1157.787900 kBT
3eogA_M216.pdb     -1180.690211 kBT
3eogA_M298.pdb     -1093.848307 kBT
3eogA_M210.pdb     -1203.564600 kBT
3eogA_M131.pdb     -1212.493353 kBT
3eogA_M295.pdb     -1142.554276 kBT
3eogA_M369.pdb     -1146.536214 kBT
3eogA_M208.pdb     -1156.604421 kBT
3eogA_M44.pdb     -1311.541570 kBT
3eogA_M54.pdb     -1275.024981 kBT
3eogA_M97.pdb     -1218.128700 kBT
3eogA_M211.pdb     -1234.744714 kBT
3eogA_M172.pdb     -1221.975882 kBT
3eogA_M366.pdb     -1106.949857 kBT
3eogA_M252.pdb     -1178.385699 kBT
3eogA_M136.pdb     -1190.469544 kBT
3eogA_M320.pdb     -1091.603315 kBT
