3eogA_M64.pdb     -2616.936368 kBT
3eogA_M92.pdb     -2568.975257 kBT
3eogA_M88.pdb     -2630.786189 kBT
3eogA_M237.pdb     -2400.251658 kBT
3eogA_M457.pdb     -2147.175079 kBT
3eogA_M380.pdb     -2225.698009 kBT
3eogA_M78.pdb     -2550.741272 kBT
3eogA_M270.pdb     -2363.289951 kBT
3eogA_M245.pdb     -2260.508461 kBT
3eogA_M48.pdb     -2751.849483 kBT
3eogA_M440.pdb     -2218.423055 kBT
3eogA_M74.pdb     -2641.529822 kBT
3eogA_M207.pdb     -2328.596198 kBT
3eogA_M219.pdb     -2324.808567 kBT
3eogA_M255.pdb     -2442.927039 kBT
3eogA_M43.pdb     -2717.911362 kBT
3eogA_M467.pdb     -2251.735127 kBT
3eogA_M100.pdb     -2599.651992 kBT
3eogA_M403.pdb     -2136.492548 kBT
3eogA_M433.pdb     -2234.252705 kBT
3eogA_M108.pdb     -2410.885863 kBT
3eogA_M337.pdb     -2314.912416 kBT
3eogA_M50.pdb     -2683.212136 kBT
3eogA_M428.pdb     -2196.994749 kBT
3eogA_M147.pdb     -2530.496765 kBT
3eogA_M184.pdb     -2331.079670 kBT
3eogA_M264.pdb     -2291.625392 kBT
3eogA_M338.pdb     -2234.522584 kBT
3eogA_M297.pdb     -2315.266136 kBT
3eogA_M324.pdb     -2326.752414 kBT
3eogA_M193.pdb     -2283.655992 kBT
3eogA_M434.pdb     -2306.592127 kBT
3eogA_M425.pdb     -2338.072399 kBT
3eogA_M268.pdb     -2352.889829 kBT
3eogA_M197.pdb     -2332.516956 kBT
3eogA_M60.pdb     -2610.157312 kBT
3eogA_M171.pdb     -2438.406528 kBT
3eogA_M307.pdb     -2213.394162 kBT
3eogA_M319.pdb     -2289.680618 kBT
3eogA_M123.pdb     -2412.931511 kBT
3eogA_M441.pdb     -2227.350438 kBT
3eogA_M216.pdb     -2356.678012 kBT
3eogA_M298.pdb     -2245.626371 kBT
3eogA_M210.pdb     -2411.905638 kBT
3eogA_M131.pdb     -2467.194009 kBT
3eogA_M295.pdb     -2228.799086 kBT
3eogA_M369.pdb     -2195.988376 kBT
3eogA_M208.pdb     -2353.029524 kBT
3eogA_M44.pdb     -2740.409925 kBT
3eogA_M54.pdb     -2630.547985 kBT
3eogA_M97.pdb     -2443.010349 kBT
3eogA_M211.pdb     -2354.681686 kBT
3eogA_M172.pdb     -2420.139832 kBT
3eogA_M366.pdb     -2273.774943 kBT
3eogA_M252.pdb     -2312.571627 kBT
3eogA_M136.pdb     -2412.421318 kBT
3eogA_M320.pdb     -2253.963409 kBT
3eogA_M253.pdb     -2342.898753 kBT
3eogA_M168.pdb     -2372.080255 kBT
3eogA_M12.pdb     -2926.417082 kBT
3eogA_M361.pdb     -2307.434849 kBT
3eogA_M204.pdb     -2405.594092 kBT
3eogA_M160.pdb     -2424.805305 kBT
3eogA_M132.pdb     -2482.746686 kBT
3eogA_M289.pdb     -2337.102104 kBT
3eogA_M363.pdb     -2222.547128 kBT
3eogA_M449.pdb     -2292.722951 kBT
3eogA_M49.pdb     -2711.149723 kBT
3eogA_M424.pdb     -2269.897087 kBT
3eogA_M452.pdb     -2261.388919 kBT
3eogA_M406.pdb     -2271.114280 kBT
3eogA_M332.pdb     -2241.977492 kBT
3eogA_M138.pdb     -2330.945989 kBT
3eogA_M163.pdb     -2351.505400 kBT
3eogA_M374.pdb     -2360.170449 kBT
3eogA_M478.pdb     -2210.946443 kBT
3eogA_M466.pdb     -2241.336156 kBT
