1zhoH_M39.pdb     -299.845522 kBT
1zhoH_M95.pdb     -291.442351 kBT
1zhoH_M367.pdb     -265.822942 kBT
1zhoH_M121.pdb     -285.394714 kBT
1zhoH_M445.pdb     -217.376299 kBT
1zhoH_M369.pdb     -277.270801 kBT
1zhoH_M442.pdb     -283.239888 kBT
1zhoH_M470.pdb     -239.369741 kBT
1zhoH_M187.pdb     -264.584800 kBT
1zhoH_M278.pdb     -282.373550 kBT
1zhoH_M157.pdb     -272.805416 kBT
1zhoH_M29.pdb     -338.335135 kBT
1zhoH_M79.pdb     -265.603140 kBT
1zhoH_M459.pdb     -254.664892 kBT
1zhoH_M169.pdb     -306.107184 kBT
1zhoH_M211.pdb     -273.176724 kBT
1zhoH_M116.pdb     -243.963626 kBT
1zhoH_M81.pdb     -307.718204 kBT
1zhoH_M333.pdb     -243.553576 kBT
1zhoH_M195.pdb     -295.749484 kBT
1zhoH_M431.pdb     -272.762444 kBT
1zhoH_M481.pdb     -223.764973 kBT
1zhoH_M144.pdb     -264.002555 kBT
1zhoH_M142.pdb     -299.163663 kBT
1zhoH_M365.pdb     -272.237411 kBT
1zhoH_M464.pdb     -254.593329 kBT
1zhoH_M476.pdb     -222.159945 kBT
1zhoH_M412.pdb     -250.895854 kBT
1zhoH_M321.pdb     -245.565942 kBT
1zhoH_M252.pdb     -255.975972 kBT
1zhoH_M193.pdb     -267.394631 kBT
1zhoH_M419.pdb     -247.084335 kBT
1zhoH_M216.pdb     -296.109638 kBT
1zhoH_M353.pdb     -232.038227 kBT
1zhoH_M401.pdb     -265.877351 kBT
1zhoH_M109.pdb     -287.018619 kBT
1zhoH_M398.pdb     -231.033840 kBT
1zhoH_M272.pdb     -274.933049 kBT
1zhoH_M119.pdb     -277.668969 kBT
1zhoH_M50.pdb     -321.699816 kBT
1zhoH_M41.pdb     -304.305293 kBT
1zhoH_M346.pdb     -204.816585 kBT
1zhoH_M475.pdb     -242.366727 kBT
1zhoH_M347.pdb     -269.091171 kBT
1zhoH_M56.pdb     -275.616853 kBT
1zhoH_M390.pdb     -299.853434 kBT
1zhoH_M111.pdb     -287.116847 kBT
1zhoH_M351.pdb     -225.066126 kBT
1zhoH_M3.pdb     -352.382051 kBT
1zhoH_M334.pdb     -242.475732 kBT
1zhoH_M199.pdb     -297.958776 kBT
1zhoH_M361.pdb     -205.731826 kBT
1zhoH_M65.pdb     -292.363747 kBT
1zhoH_M460.pdb     -247.408308 kBT
1zhoH_M294.pdb     -233.293067 kBT
1zhoH_M221.pdb     -269.902325 kBT
1zhoH_M200.pdb     -276.985213 kBT
1zhoH_M240.pdb     -271.267882 kBT
1zhoH_M245.pdb     -296.763074 kBT
1zhoH_M376.pdb     -225.120974 kBT
1zhoH_M162.pdb     -277.512640 kBT
1zhoH_M87.pdb     -305.088840 kBT
1zhoH_M88.pdb     -276.531770 kBT
1zhoH_M91.pdb     -279.113225 kBT
1zhoH_M299.pdb     -265.440214 kBT
