R1136TS416_5.pdb     -4118.145166 kBT
R1136TS054_5.pdb     -4304.896191 kBT
R1136TS227_2.pdb     -3894.674544 kBT
R1136TS035_5.pdb     -2988.938597 kBT
R1136TS029_4.pdb     -3551.882029 kBT
R1136TS248_4.pdb     -2822.654564 kBT
R1136TS287_4.pdb     -3513.386589 kBT
R1136TS239_1.pdb     -4967.518520 kBT
R1136TS081_3.pdb     -4862.334187 kBT
R1136TS232_5.pdb     -5497.266720 kBT
R1136TS392_1.pdb     -4053.178408 kBT
R1136TS287_2.pdb     -3579.250835 kBT
R1136TS444_1.pdb     -4644.253517 kBT
R1136TS035_4.pdb     -2959.705691 kBT
R1136TS119_5.pdb     -4674.975919 kBT
R1136TS131_5.pdb     -1867.108323 kBT
R1136TS248_5.pdb     -2920.875574 kBT
R1136TS245_3.pdb     -3397.076625 kBT
R1136TS131_2.pdb     -2018.128262 kBT
R1136TS434_1.pdb     -3925.956458 kBT
R1136TS287_3.pdb     -3598.281712 kBT
R1136TS076_4.pdb     -4594.765040 kBT
R1136TS347_5.pdb     -5571.824614 kBT
R1136TS076_2.pdb     -4799.280350 kBT
R1136TS097_3.pdb     -1136.644025 kBT
R1136TS110_2.pdb     -5378.503585 kBT
R1136TS238_1.pdb     -2666.730932 kBT
R1136TS076_5.pdb     -4644.253517 kBT
R1136TS489_3.pdb     -3306.419404 kBT
R1136TS238_2.pdb     -3714.569538 kBT
R1136TS235_2.pdb     -4290.968574 kBT
R1136TS229_3.pdb     -5020.388439 kBT
R1136TS287_5.pdb     -3551.578902 kBT
R1136TS035_3.pdb     -2972.249149 kBT
R1136TS245_1.pdb     -3608.997092 kBT
R1136TS245_2.pdb     -3423.776728 kBT
R1136TS287_1.pdb     -3710.661454 kBT
R1136TS444_4.pdb     -5155.167802 kBT
R1136TS444_5.pdb     -3397.076625 kBT
R1136TS054_3.pdb     -4520.985722 kBT
R1136TS416_1.pdb     -4967.518520 kBT
R1136TS416_3.pdb     -5254.367930 kBT
R1136TS239_2.pdb     -4827.967688 kBT
R1136TS229_5.pdb     -5177.944345 kBT
R1136TS239_5.pdb     -5155.167802 kBT
R1136TS325_5.pdb     -5571.824614 kBT
R1136TS110_3.pdb     -5349.485390 kBT
R1136TS235_4.pdb     -3900.999877 kBT
R1136TS119_1.pdb     -4457.198306 kBT
R1136TS392_3.pdb     -4114.928694 kBT
R1136TS097_2.pdb     -1136.644025 kBT
R1136TS147_3.pdb     -4021.901792 kBT
R1136TS248_2.pdb     -2970.860619 kBT
R1136TS110_1.pdb     -5731.602233 kBT
R1136TS147_4.pdb     -4053.053289 kBT
R1136TS416_2.pdb     -4361.163431 kBT
R1136TS227_3.pdb     -3786.413407 kBT
R1136TS470_3.pdb     -3306.419404 kBT
R1136TS347_2.pdb     -5571.824614 kBT
R1136TS081_1.pdb     -4944.367661 kBT
R1136TS489_4.pdb     -4030.680253 kBT
R1136TS470_5.pdb     -4220.930815 kBT
R1136TS232_2.pdb     -5521.971052 kBT
R1136TS456_4.pdb     -5571.824614 kBT
R1136TS325_1.pdb     -5571.824614 kBT
R1136TS232_4.pdb     -5562.801248 kBT
R1136TS147_5.pdb     -3932.462635 kBT
R1136TS128_3.pdb     -3951.181236 kBT
R1136TS110_4.pdb     -4868.926394 kBT
R1136TS489_2.pdb     -4947.049930 kBT
R1136TS434_3.pdb     -4173.465457 kBT
R1136TS456_3.pdb     -5571.824614 kBT
R1136TS081_4.pdb     -4852.767831 kBT
R1136TS029_5.pdb     -3457.827751 kBT
R1136TS227_1.pdb     -3757.229450 kBT
R1136TS456_2.pdb     -5571.824614 kBT
R1136TS325_2.pdb     -5571.824614 kBT
R1136TS235_1.pdb     -4262.767217 kBT
R1136TS470_1.pdb     -3964.198699 kBT
R1136TS128_1.pdb     -4003.125334 kBT
R1136TS434_5.pdb     -3869.929897 kBT
R1136TS456_1.pdb     -5571.824614 kBT
R1136TS439_3.pdb     -5020.388439 kBT
R1136TS439_2.pdb     -4921.292519 kBT
R1136TS239_4.pdb     -5020.388439 kBT
R1136TS347_3.pdb     -5571.824614 kBT
R1136TS131_1.pdb     -2071.064758 kBT
R1136TS125_2.pdb     -4361.163431 kBT
R1136TS238_3.pdb     -5731.261373 kBT
R1136TS232_3.pdb     -5682.327216 kBT
R1136TS229_4.pdb     -5251.844823 kBT
R1136TS081_2.pdb     -4842.898758 kBT
R1136TS239_3.pdb     -5254.367930 kBT
R1136TS054_2.pdb     -4440.010592 kBT
R1136TS489_5.pdb     -4220.930815 kBT
R1136TS392_2.pdb     -3951.636174 kBT
R1136TS147_2.pdb     -3898.796455 kBT
R1136TS235_5.pdb     -4051.380234 kBT
R1136TS416_4.pdb     -4351.369193 kBT
R1136TS119_4.pdb     -4463.321420 kBT
R1136TS131_3.pdb     -1846.271252 kBT
R1136TS434_4.pdb     -4002.900319 kBT
R1136TS125_4.pdb     -4351.369193 kBT
R1136TS147_1.pdb     -3896.711581 kBT
R1136TS097_1.pdb     -1136.644025 kBT
R1136TS076_3.pdb     -4809.235721 kBT
R1136TS125_1.pdb     -4644.253517 kBT
R1136TS097_5.pdb     -1136.644025 kBT
R1136TS245_4.pdb     -3331.236470 kBT
R1136TS444_3.pdb     -3964.198699 kBT
R1136TS248_3.pdb     -2919.392766 kBT
R1136TS131_4.pdb     -2116.023741 kBT
R1136TS177_1.pdb     -3359.271358 kBT
R1136TS470_2.pdb     -4947.049930 kBT
R1136TS128_4.pdb     -4531.382350 kBT
R1136TS227_4.pdb     -3817.287832 kBT
R1136TS347_4.pdb     -5571.824614 kBT
R1136TS229_1.pdb     -4967.518520 kBT
R1136TS227_5.pdb     -4021.932844 kBT
R1136TS456_5.pdb     -5571.824614 kBT
R1136TS439_5.pdb     -5177.944345 kBT
R1136TS054_4.pdb     -4202.597746 kBT
R1136TS029_2.pdb     -4113.127971 kBT
R1136TS470_4.pdb     -4030.680253 kBT
R1136TS125_5.pdb     -4118.145166 kBT
R1136TS035_2.pdb     -2894.390542 kBT
R1136TS128_5.pdb     -4441.590453 kBT
R1136TS444_2.pdb     -3608.997092 kBT
R1136TS229_2.pdb     -4921.292519 kBT
R1136TS119_3.pdb     -4406.314680 kBT
R1136TS128_2.pdb     -3741.238991 kBT
R1136TS434_2.pdb     -3946.466608 kBT
R1136TS232_1.pdb     -5571.824614 kBT
R1136TS110_5.pdb     -4571.527886 kBT
R1136TS347_1.pdb     -5571.824614 kBT
R1136TS439_4.pdb     -4351.369193 kBT
R1136TS245_5.pdb     -3557.791212 kBT
R1136TS235_3.pdb     -4380.614845 kBT
R1136TS439_1.pdb     -4967.518520 kBT
R1136TS054_1.pdb     -4095.129331 kBT
R1136TS076_1.pdb     -4793.451571 kBT
R1136TS119_2.pdb     -4528.479680 kBT
R1136TS097_4.pdb     -1136.644025 kBT
R1136TS325_3.pdb     -5571.824614 kBT
R1136TS029_1.pdb     -3315.090988 kBT
R1136TS125_3.pdb     -4219.920219 kBT
R1136TS248_1.pdb     -2894.984895 kBT
R1136TS081_5.pdb     -4865.933208 kBT
R1136TS489_1.pdb     -3964.198699 kBT
R1136TS029_3.pdb     -3401.267324 kBT
R1136TS035_1.pdb     -2893.430031 kBT
R1136TS385_1.pdb     -3608.997092 kBT
R1136TS325_4.pdb     -5571.824614 kBT
