1xokA_M269.pdb     -158.831326 kBT
1xokA_M354.pdb     -117.484275 kBT
1xokA_M478.pdb     -140.880315 kBT
1xokA_M433.pdb     -147.095404 kBT
1xokA_M318.pdb     -163.532537 kBT
1xokA_M225.pdb     -185.498666 kBT
1xokA_M78.pdb     -187.202015 kBT
1xokA_M329.pdb     -164.669167 kBT
1xokA_M385.pdb     -167.203340 kBT
1xokA_M237.pdb     -177.525262 kBT
1xokA_M319.pdb     -177.856511 kBT
1xokA_M23.pdb     -201.931693 kBT
1xokA_M165.pdb     -194.752183 kBT
1xokA_M93.pdb     -175.200579 kBT
1xokA_M483.pdb     -136.924022 kBT
1xokA_M6.pdb     -189.328932 kBT
1xokA_M372.pdb     -192.458510 kBT
1xokA_M84.pdb     -184.363284 kBT
1xokA_M302.pdb     -145.118574 kBT
1xokA_M246.pdb     -179.820092 kBT
1xokA_M128.pdb     -166.580406 kBT
1xokA_M129.pdb     -171.757351 kBT
1xokA_M31.pdb     -195.750662 kBT
1xokA_M55.pdb     -178.799684 kBT
1xokA_M158.pdb     -154.193608 kBT
1xokA_M121.pdb     -154.642629 kBT
1xokA_M398.pdb     -167.252175 kBT
1xokA_M172.pdb     -166.393255 kBT
1xokA_M422.pdb     -164.764386 kBT
1xokA_M28.pdb     -179.260025 kBT
1xokA_M231.pdb     -174.933014 kBT
1xokA_M442.pdb     -175.272256 kBT
1xokA_M11.pdb     -193.784509 kBT
1xokA_M44.pdb     -164.032770 kBT
1xokA_M40.pdb     -194.322007 kBT
1xokA_M351.pdb     -163.306389 kBT
1xokA_M280.pdb     -176.687968 kBT
1xokA_M179.pdb     -183.641916 kBT
1xokA_M299.pdb     -187.082440 kBT
1xokA_M161.pdb     -167.254509 kBT
1xokA_M337.pdb     -155.609236 kBT
1xokA_M180.pdb     -166.538364 kBT
1xokA_M226.pdb     -156.498757 kBT
1xokA_M434.pdb     -170.557300 kBT
1xokA_M375.pdb     -180.021720 kBT
1xokA_M193.pdb     -168.677263 kBT
1xokA_M257.pdb     -172.807805 kBT
1xokA_M476.pdb     -152.698576 kBT
1xokA_M87.pdb     -189.841652 kBT
1xokA_M456.pdb     -151.027485 kBT
1xokA_M321.pdb     -163.925913 kBT
1xokA_M5.pdb     -201.317647 kBT
1xokA_M328.pdb     -182.165795 kBT
1xokA_M243.pdb     -162.171257 kBT
1xokA_M339.pdb     -174.674836 kBT
1xokA_M184.pdb     -165.743268 kBT
1xokA_M421.pdb     -186.526514 kBT
1xokA_M217.pdb     -187.069545 kBT
1xokA_M49.pdb     -217.088859 kBT
1xokA_M462.pdb     -165.055589 kBT
1xokA_M142.pdb     -157.740199 kBT
1xokA_M471.pdb     -164.183380 kBT
1xokA_M259.pdb     -178.947616 kBT
1xokA_M411.pdb     -158.073489 kBT
1xokA_M303.pdb     -181.985689 kBT
1xokA_M51.pdb     -170.515491 kBT
1xokA_M448.pdb     -166.341553 kBT
1xokA_M349.pdb     -116.077159 kBT
1xokA_M412.pdb     -169.865894 kBT
1xokA_M188.pdb     -166.718704 kBT
1xokA_M222.pdb     -162.556817 kBT
1xokA_M418.pdb     -174.646353 kBT
1xokA_M96.pdb     -194.692437 kBT
