2dr2B_M381.pdb     -277.732116 kBT
2dr2B_M478.pdb     -259.880478 kBT
2dr2B_M112.pdb     -298.171295 kBT
2dr2B_M305.pdb     -281.427145 kBT
2dr2B_M325.pdb     -283.788397 kBT
2dr2B_M102.pdb     -288.023009 kBT
2dr2B_M343.pdb     -274.508048 kBT
2dr2B_M40.pdb     -295.838077 kBT
2dr2B_M224.pdb     -282.289223 kBT
2dr2B_M356.pdb     -262.451979 kBT
2dr2B_M333.pdb     -242.534206 kBT
2dr2B_M400.pdb     -259.349558 kBT
2dr2B_M48.pdb     -289.655750 kBT
2dr2B_M163.pdb     -259.812511 kBT
2dr2B_M16.pdb     -292.225927 kBT
2dr2B_M85.pdb     -275.855567 kBT
2dr2B_M385.pdb     -260.798731 kBT
2dr2B_M276.pdb     -263.550126 kBT
2dr2B_M246.pdb     -269.369327 kBT
2dr2B_M363.pdb     -270.925288 kBT
2dr2B_M465.pdb     -251.675986 kBT
2dr2B_M68.pdb     -291.697184 kBT
2dr2B_M474.pdb     -231.206697 kBT
2dr2B_M458.pdb     -258.433570 kBT
2dr2B_M373.pdb     -270.401678 kBT
2dr2B_M168.pdb     -269.533475 kBT
2dr2B_M330.pdb     -263.423966 kBT
2dr2B_M272.pdb     -259.453948 kBT
2dr2B_M192.pdb     -262.355692 kBT
2dr2B_M447.pdb     -240.504769 kBT
2dr2B_M97.pdb     -291.286253 kBT
2dr2B_M317.pdb     -266.936030 kBT
2dr2B_M167.pdb     -256.922020 kBT
2dr2B_M268.pdb     -269.130273 kBT
2dr2B_M484.pdb     -249.688901 kBT
2dr2B_M379.pdb     -255.568215 kBT
2dr2B_M252.pdb     -281.047469 kBT
2dr2B_M170.pdb     -288.981707 kBT
2dr2B_M334.pdb     -267.788054 kBT
2dr2B_M449.pdb     -278.232948 kBT
2dr2B_M281.pdb     -249.527997 kBT
2dr2B_M327.pdb     -256.722350 kBT
2dr2B.pdb     -313.020860 kBT
2dr2B_M4.pdb     -305.313086 kBT
2dr2B_M263.pdb     -257.252204 kBT
2dr2B_M344.pdb     -271.426207 kBT
2dr2B_M231.pdb     -263.225690 kBT
2dr2B_M51.pdb     -295.144767 kBT
2dr2B_M77.pdb     -278.128814 kBT
2dr2B_M67.pdb     -283.095176 kBT
2dr2B_M23.pdb     -299.773925 kBT
2dr2B_M452.pdb     -257.426938 kBT
2dr2B_M402.pdb     -244.439345 kBT
2dr2B_M500.pdb     -271.592265 kBT
2dr2B_M319.pdb     -258.190291 kBT
2dr2B_M144.pdb     -271.827350 kBT
2dr2B_M410.pdb     -264.116433 kBT
2dr2B_M149.pdb     -276.003783 kBT
2dr2B_M433.pdb     -255.341070 kBT
2dr2B_M103.pdb     -293.547917 kBT
2dr2B_M223.pdb     -268.943584 kBT
2dr2B_M233.pdb     -263.670325 kBT
2dr2B_M283.pdb     -268.040125 kBT
2dr2B_M459.pdb     -250.787181 kBT
2dr2B_M9.pdb     -306.345895 kBT
2dr2B_M347.pdb     -258.569260 kBT
2dr2B_M218.pdb     -271.836138 kBT
2dr2B_M338.pdb     -249.399699 kBT
2dr2B_M225.pdb     -272.714049 kBT
2dr2B_M404.pdb     -253.828900 kBT
2dr2B_M238.pdb     -267.195182 kBT
2dr2B_M63.pdb     -281.007199 kBT
2dr2B_M18.pdb     -298.549405 kBT
2dr2B_M159.pdb     -290.649541 kBT
2dr2B_M160.pdb     -281.112272 kBT
2dr2B_M172.pdb     -277.707368 kBT
2dr2B_M473.pdb     -246.398758 kBT
2dr2B_M260.pdb     -273.766206 kBT
2dr2B_M270.pdb     -273.950581 kBT
2dr2B_M245.pdb     -257.225742 kBT
2dr2B_M365.pdb     -261.903765 kBT
2dr2B_M303.pdb     -276.154212 kBT
2dr2B_M152.pdb     -286.619305 kBT
2dr2B_M308.pdb     -265.737338 kBT
2dr2B_M59.pdb     -293.783321 kBT
2dr2B_M371.pdb     -271.499448 kBT
2dr2B_M150.pdb     -278.480631 kBT
2dr2B_M436.pdb     -255.493119 kBT
2dr2B_M296.pdb     -277.037758 kBT
2dr2B_M288.pdb     -273.774471 kBT
2dr2B_M11.pdb     -307.791119 kBT
2dr2B_M490.pdb     -258.757115 kBT
2dr2B_M407.pdb     -269.299762 kBT
2dr2B_M251.pdb     -263.104868 kBT
2dr2B_M2.pdb     -305.385648 kBT
2dr2B_M98.pdb     -285.294823 kBT
2dr2B_M236.pdb     -268.808429 kBT
2dr2B_M205.pdb     -253.823459 kBT
2dr2B_M157.pdb     -262.775897 kBT
2dr2B_M306.pdb     -261.720111 kBT
2dr2B_M358.pdb     -264.794724 kBT
2dr2B_M99.pdb     -285.624838 kBT
2dr2B_M357.pdb     -245.370668 kBT
2dr2B_M451.pdb     -249.574229 kBT
2dr2B_M74.pdb     -288.350440 kBT
2dr2B_M219.pdb     -258.763175 kBT
2dr2B_M129.pdb     -255.533741 kBT
2dr2B_M299.pdb     -263.830202 kBT
2dr2B_M141.pdb     -271.180643 kBT
2dr2B_M392.pdb     -246.027363 kBT
2dr2B_M164.pdb     -272.917189 kBT
2dr2B_M107.pdb     -291.663489 kBT
2dr2B_M301.pdb     -250.986759 kBT
2dr2B_M148.pdb     -270.801355 kBT
2dr2B_M351.pdb     -239.505845 kBT
2dr2B_M472.pdb     -259.976150 kBT
2dr2B_M259.pdb     -262.425719 kBT
2dr2B_M488.pdb     -257.761619 kBT
2dr2B_M455.pdb     -268.361754 kBT
2dr2B_M342.pdb     -273.414946 kBT
2dr2B_M116.pdb     -259.033729 kBT
2dr2B_M438.pdb     -259.276996 kBT
2dr2B_M422.pdb     -264.911625 kBT
2dr2B_M73.pdb     -278.763272 kBT
2dr2B_M307.pdb     -270.171959 kBT
2dr2B_M101.pdb     -278.991052 kBT
2dr2B_M242.pdb     -274.933201 kBT
2dr2B_M482.pdb     -252.929155 kBT
2dr2B_M374.pdb     -257.795178 kBT
2dr2B_M57.pdb     -282.656692 kBT
2dr2B_M469.pdb     -263.606312 kBT
2dr2B_M249.pdb     -275.185304 kBT
2dr2B_M203.pdb     -267.253917 kBT
2dr2B_M108.pdb     -276.606952 kBT
2dr2B_M199.pdb     -273.653347 kBT
2dr2B_M55.pdb     -287.370893 kBT
2dr2B_M429.pdb     -254.694053 kBT
2dr2B_M158.pdb     -272.182440 kBT
2dr2B_M84.pdb     -281.002623 kBT
