1jidB_M410.pdb     -73.335276 kBT
1jidB_M57.pdb     -100.725860 kBT
1jidB_M54.pdb     -107.565345 kBT
1jidB_M406.pdb     -59.035358 kBT
1jidB_M387.pdb     -59.891256 kBT
1jidB_M365.pdb     -99.601531 kBT
1jidB_M296.pdb     -74.033697 kBT
1jidB_M181.pdb     -80.249581 kBT
1jidB_M492.pdb     -41.621097 kBT
1jidB_M147.pdb     -85.223183 kBT
1jidB_M101.pdb     -112.915545 kBT
1jidB_M66.pdb     -87.171555 kBT
1jidB_M378.pdb     -51.353467 kBT
1jidB_M289.pdb     -79.123587 kBT
1jidB_M419.pdb     -64.724423 kBT
1jidB_M245.pdb     -98.965622 kBT
1jidB_M178.pdb     -72.149061 kBT
1jidB_M138.pdb     -97.274581 kBT
1jidB_M20.pdb     -104.100778 kBT
1jidB_M326.pdb     -75.901180 kBT
1jidB_M351.pdb     -73.938520 kBT
1jidB_M456.pdb     -84.679743 kBT
1jidB_M12.pdb     -114.107223 kBT
1jidB_M244.pdb     -69.261094 kBT
1jidB_M33.pdb     -111.750738 kBT
1jidB_M78.pdb     -80.311073 kBT
1jidB_M173.pdb     -98.564228 kBT
1jidB_M432.pdb     -70.482855 kBT
1jidB_M251.pdb     -64.992655 kBT
1jidB_M195.pdb     -106.288223 kBT
1jidB_M186.pdb     -95.087420 kBT
1jidB_M182.pdb     -90.880101 kBT
1jidB_M319.pdb     -81.105040 kBT
1jidB_M318.pdb     -61.549345 kBT
1jidB_M469.pdb     -73.454361 kBT
1jidB_M269.pdb     -81.895672 kBT
1jidB_M485.pdb     -50.600374 kBT
1jidB_M24.pdb     -117.003798 kBT
1jidB_M82.pdb     -99.748198 kBT
1jidB_M337.pdb     -68.591064 kBT
1jidB_M253.pdb     -78.015738 kBT
1jidB_M177.pdb     -83.749567 kBT
1jidB_M243.pdb     -76.455061 kBT
1jidB_M389.pdb     -45.114650 kBT
1jidB_M150.pdb     -71.998553 kBT
1jidB_M162.pdb     -67.645524 kBT
1jidB_M131.pdb     -79.149753 kBT
