2pjpB_M115.pdb     -469.122887 kBT
2pjpB_M154.pdb     -392.682989 kBT
2pjpB_M449.pdb     -296.624714 kBT
2pjpB_M212.pdb     -455.335021 kBT
2pjpB_M286.pdb     -312.654235 kBT
2pjpB_M235.pdb     -415.570409 kBT
2pjpB_M462.pdb     -396.441114 kBT
2pjpB_M130.pdb     -382.731861 kBT
2pjpB_M272.pdb     -417.642875 kBT
2pjpB_M315.pdb     -360.961222 kBT
2pjpB_M217.pdb     -382.021327 kBT
2pjpB_M290.pdb     -404.688909 kBT
2pjpB_M293.pdb     -350.733033 kBT
2pjpB_M68.pdb     -466.542603 kBT
2pjpB_M255.pdb     -364.832946 kBT
2pjpB_M371.pdb     -372.323408 kBT
2pjpB_M446.pdb     -335.288671 kBT
2pjpB_M482.pdb     -289.518008 kBT
2pjpB_M52.pdb     -452.133382 kBT
2pjpB_M422.pdb     -366.708341 kBT
2pjpB_M230.pdb     -418.218351 kBT
2pjpB_M1.pdb     -581.337144 kBT
2pjpB_M170.pdb     -396.827312 kBT
2pjpB_M412.pdb     -360.501786 kBT
2pjpB_M127.pdb     -472.074283 kBT
2pjpB_M489.pdb     -272.877826 kBT
2pjpB_M241.pdb     -357.159969 kBT
2pjpB_M71.pdb     -440.870424 kBT
2pjpB_M347.pdb     -341.470890 kBT
2pjpB_M351.pdb     -377.676214 kBT
2pjpB_M251.pdb     -395.957646 kBT
2pjpB_M280.pdb     -367.803217 kBT
2pjpB_M444.pdb     -334.829173 kBT
2pjpB_M200.pdb     -281.469926 kBT
2pjpB_M140.pdb     -362.767636 kBT
2pjpB_M375.pdb     -345.631753 kBT
2pjpB_M40.pdb     -484.434546 kBT
2pjpB_M432.pdb     -351.912704 kBT
2pjpB_M317.pdb     -348.076045 kBT
2pjpB_M137.pdb     -407.742094 kBT
2pjpB_M294.pdb     -376.800067 kBT
2pjpB_M259.pdb     -328.989981 kBT
2pjpB_M397.pdb     -327.969154 kBT
2pjpB_M388.pdb     -379.970860 kBT
