3gcaA_M473.pdb     -281.711274 kBT
3gcaA_M325.pdb     -299.328402 kBT
3gcaA_M66.pdb     -314.535743 kBT
3gcaA_M366.pdb     -271.586108 kBT
3gcaA_M199.pdb     -315.599747 kBT
3gcaA_M362.pdb     -286.451684 kBT
3gcaA_M426.pdb     -273.526461 kBT
3gcaA_M81.pdb     -338.984479 kBT
3gcaA_M421.pdb     -319.401094 kBT
3gcaA_M100.pdb     -350.240493 kBT
3gcaA_M173.pdb     -315.058419 kBT
3gcaA.pdb     -380.120836 kBT
3gcaA_M73.pdb     -332.658016 kBT
3gcaA_M367.pdb     -285.468904 kBT
3gcaA_M440.pdb     -268.060955 kBT
3gcaA_M415.pdb     -298.448582 kBT
3gcaA_M479.pdb     -273.986752 kBT
3gcaA_M373.pdb     -284.907419 kBT
3gcaA_M84.pdb     -342.609298 kBT
3gcaA_M321.pdb     -283.456124 kBT
3gcaA_M463.pdb     -260.060162 kBT
3gcaA_M99.pdb     -328.205742 kBT
3gcaA_M307.pdb     -316.749500 kBT
3gcaA_M17.pdb     -361.110180 kBT
3gcaA_M193.pdb     -301.454313 kBT
3gcaA_M78.pdb     -367.449672 kBT
3gcaA_M455.pdb     -287.087849 kBT
3gcaA_M222.pdb     -283.374731 kBT
3gcaA_M169.pdb     -325.086624 kBT
3gcaA_M354.pdb     -281.473256 kBT
3gcaA_M179.pdb     -289.378761 kBT
3gcaA_M300.pdb     -331.119785 kBT
3gcaA_M46.pdb     -340.490475 kBT
3gcaA_M19.pdb     -372.448759 kBT
3gcaA_M184.pdb     -280.193700 kBT
3gcaA_M363.pdb     -266.216442 kBT
3gcaA_M217.pdb     -280.925536 kBT
3gcaA_M3.pdb     -379.101230 kBT
3gcaA_M444.pdb     -280.774515 kBT
3gcaA_M104.pdb     -305.269700 kBT
3gcaA_M460.pdb     -244.377588 kBT
3gcaA_M320.pdb     -285.566250 kBT
3gcaA_M12.pdb     -358.722611 kBT
3gcaA_M417.pdb     -281.427251 kBT
3gcaA_M428.pdb     -262.688881 kBT
3gcaA_M83.pdb     -347.138896 kBT
3gcaA_M111.pdb     -327.152383 kBT
3gcaA_M392.pdb     -311.620787 kBT
3gcaA_M243.pdb     -296.197087 kBT
3gcaA_M136.pdb     -340.905334 kBT
3gcaA_M38.pdb     -350.382269 kBT
3gcaA_M283.pdb     -300.473739 kBT
3gcaA_M412.pdb     -271.387108 kBT
3gcaA_M144.pdb     -329.476451 kBT
3gcaA_M90.pdb     -322.700354 kBT
3gcaA_M287.pdb     -298.696796 kBT
3gcaA_M93.pdb     -342.096556 kBT
3gcaA_M448.pdb     -272.974761 kBT
3gcaA_M313.pdb     -312.636594 kBT
3gcaA_M498.pdb     -278.613274 kBT
3gcaA_M340.pdb     -276.599512 kBT
3gcaA_M109.pdb     -341.369918 kBT
3gcaA_M268.pdb     -272.861432 kBT
3gcaA_M339.pdb     -296.226802 kBT
3gcaA_M14.pdb     -380.573107 kBT
3gcaA_M152.pdb     -326.529226 kBT
3gcaA_M403.pdb     -256.056802 kBT
3gcaA_M301.pdb     -320.394816 kBT
3gcaA_M232.pdb     -319.657782 kBT
3gcaA_M94.pdb     -326.574886 kBT
3gcaA_M337.pdb     -298.839062 kBT
3gcaA_M57.pdb     -316.166321 kBT
3gcaA_M75.pdb     -306.431602 kBT
3gcaA_M133.pdb     -302.403536 kBT
3gcaA_M427.pdb     -285.836822 kBT
3gcaA_M291.pdb     -275.554699 kBT
3gcaA_M462.pdb     -289.766201 kBT
3gcaA_M351.pdb     -306.353168 kBT
3gcaA_M194.pdb     -283.238833 kBT
3gcaA_M124.pdb     -304.465015 kBT
3gcaA_M264.pdb     -324.611975 kBT
3gcaA_M345.pdb     -282.121007 kBT
3gcaA_M244.pdb     -291.789882 kBT
3gcaA_M235.pdb     -310.308331 kBT
3gcaA_M322.pdb     -332.021359 kBT
3gcaA_M399.pdb     -279.618646 kBT
3gcaA_M400.pdb     -275.062782 kBT
3gcaA_M352.pdb     -296.611396 kBT
3gcaA_M5.pdb     -378.196402 kBT
3gcaA_M318.pdb     -261.217710 kBT
3gcaA_M154.pdb     -317.119642 kBT
