2hvyE_M269.pdb     -672.655910 kBT
2hvyE_M73.pdb     -763.885182 kBT
2hvyE_M255.pdb     -661.687565 kBT
2hvyE_M145.pdb     -675.080109 kBT
2hvyE_M49.pdb     -817.761833 kBT
2hvyE_M399.pdb     -637.871548 kBT
2hvyE_M23.pdb     -811.524029 kBT
2hvyE_M66.pdb     -793.609775 kBT
2hvyE_M398.pdb     -621.899006 kBT
2hvyE_M409.pdb     -619.053729 kBT
2hvyE_M352.pdb     -717.378970 kBT
2hvyE_M218.pdb     -738.201371 kBT
2hvyE_M136.pdb     -703.709750 kBT
2hvyE_M411.pdb     -629.285561 kBT
2hvyE_M440.pdb     -568.504527 kBT
2hvyE_M206.pdb     -752.699215 kBT
2hvyE_M153.pdb     -691.232489 kBT
2hvyE_M456.pdb     -656.338889 kBT
2hvyE_M83.pdb     -828.886525 kBT
2hvyE_M346.pdb     -604.570141 kBT
2hvyE_M290.pdb     -580.648029 kBT
2hvyE_M316.pdb     -713.152666 kBT
2hvyE_M439.pdb     -620.167464 kBT
2hvyE_M21.pdb     -826.346109 kBT
2hvyE_M265.pdb     -657.103135 kBT
2hvyE_M7.pdb     -912.427557 kBT
2hvyE_M216.pdb     -700.899474 kBT
2hvyE_M76.pdb     -732.241230 kBT
2hvyE_M410.pdb     -574.647894 kBT
2hvyE_M362.pdb     -625.328226 kBT
2hvyE_M121.pdb     -772.665504 kBT
2hvyE_M86.pdb     -734.070763 kBT
2hvyE_M358.pdb     -587.780367 kBT
2hvyE_M483.pdb     -611.944709 kBT
2hvyE_M319.pdb     -569.404434 kBT
2hvyE_M124.pdb     -665.030570 kBT
2hvyE_M275.pdb     -590.674317 kBT
2hvyE_M102.pdb     -800.051045 kBT
2hvyE_M104.pdb     -701.823370 kBT
2hvyE_M261.pdb     -582.255076 kBT
2hvyE_M128.pdb     -768.483735 kBT
2hvyE_M259.pdb     -692.748415 kBT
2hvyE_M220.pdb     -704.354339 kBT
2hvyE_M20.pdb     -848.952749 kBT
2hvyE_M337.pdb     -639.339586 kBT
2hvyE_M96.pdb     -704.502074 kBT
