3f30X_M33.pdb     -420.023906 kBT
3f30X_M368.pdb     -367.891287 kBT
3f30X_M421.pdb     -379.484265 kBT
3f30X_M53.pdb     -412.847303 kBT
3f30X_M265.pdb     -371.470897 kBT
3f30X_M12.pdb     -450.200361 kBT
3f30X_M35.pdb     -409.094302 kBT
3f30X_M184.pdb     -385.997300 kBT
3f30X_M361.pdb     -394.123841 kBT
3f30X_M360.pdb     -374.785901 kBT
3f30X_M246.pdb     -369.252781 kBT
3f30X.pdb     -494.935486 kBT
3f30X_M19.pdb     -431.739904 kBT
3f30X_M196.pdb     -386.904105 kBT
3f30X_M406.pdb     -377.937507 kBT
3f30X_M157.pdb     -361.478154 kBT
3f30X_M469.pdb     -375.352455 kBT
3f30X_M374.pdb     -388.733010 kBT
3f30X_M1.pdb     -446.476427 kBT
3f30X_M20.pdb     -441.306192 kBT
3f30X_M474.pdb     -383.119491 kBT
3f30X_M482.pdb     -364.582602 kBT
3f30X_M15.pdb     -462.940884 kBT
3f30X_M11.pdb     -455.472715 kBT
3f30X_M430.pdb     -374.892548 kBT
3f30X_M39.pdb     -438.730081 kBT
3f30X_M126.pdb     -394.174402 kBT
3f30X_M32.pdb     -414.154600 kBT
3f30X_M301.pdb     -382.677962 kBT
3f30X_M38.pdb     -415.380181 kBT
3f30X_M302.pdb     -376.380729 kBT
3f30X_M27.pdb     -440.281443 kBT
3f30X_M411.pdb     -397.131111 kBT
3f30X_M111.pdb     -386.810353 kBT
3f30X_M109.pdb     -389.675747 kBT
3f30X_M342.pdb     -400.364984 kBT
3f30X_M146.pdb     -416.343034 kBT
3f30X_M45.pdb     -414.125610 kBT
3f30X_M409.pdb     -397.992358 kBT
3f30X_M267.pdb     -378.772204 kBT
3f30X_M4.pdb     -454.262291 kBT
3f30X_M314.pdb     -381.671915 kBT
3f30X_M393.pdb     -357.687964 kBT
3f30X_M388.pdb     -385.316631 kBT
3f30X_M100.pdb     -396.264552 kBT
3f30X_M273.pdb     -382.961057 kBT
3f30X_M90.pdb     -403.795893 kBT
3f30X_M89.pdb     -388.093522 kBT
3f30X_M287.pdb     -375.129425 kBT
3f30X_M105.pdb     -384.615196 kBT
3f30X_M150.pdb     -394.796564 kBT
3f30X_M203.pdb     -354.315722 kBT
3f30X_M164.pdb     -393.963052 kBT
3f30X_M114.pdb     -389.556464 kBT
3f30X_M215.pdb     -399.880451 kBT
3f30X_M260.pdb     -389.274020 kBT
3f30X_M328.pdb     -368.839913 kBT
3f30X_M22.pdb     -440.357559 kBT
3f30X_M194.pdb     -383.963528 kBT
3f30X_M130.pdb     -367.307752 kBT
3f30X_M320.pdb     -402.646604 kBT
3f30X_M432.pdb     -381.226631 kBT
3f30X_M200.pdb     -367.887628 kBT
3f30X_M336.pdb     -359.493020 kBT
3f30X_M334.pdb     -360.384511 kBT
3f30X_M319.pdb     -364.478809 kBT
3f30X_M240.pdb     -374.397364 kBT
3f30X_M102.pdb     -386.750636 kBT
3f30X_M339.pdb     -368.019075 kBT
3f30X_M257.pdb     -382.535184 kBT
3f30X_M453.pdb     -351.963249 kBT
3f30X_M209.pdb     -385.509045 kBT
3f30X_M221.pdb     -368.621543 kBT
3f30X_M386.pdb     -382.715794 kBT
3f30X_M258.pdb     -369.092838 kBT
3f30X_M331.pdb     -375.963564 kBT
3f30X_M433.pdb     -385.009441 kBT
3f30X_M312.pdb     -364.944458 kBT
3f30X_M410.pdb     -379.836288 kBT
3f30X_M369.pdb     -416.617411 kBT
3f30X_M458.pdb     -369.025863 kBT
3f30X_M133.pdb     -379.348465 kBT
3f30X_M272.pdb     -383.885995 kBT
3f30X_M125.pdb     -361.490511 kBT
3f30X_M347.pdb     -379.911403 kBT
3f30X_M414.pdb     -382.451751 kBT
3f30X_M108.pdb     -353.260984 kBT
3f30X_M42.pdb     -426.602124 kBT
3f30X_M407.pdb     -372.500048 kBT
3f30X_M162.pdb     -375.553091 kBT
3f30X_M161.pdb     -367.765579 kBT
3f30X_M325.pdb     -377.851423 kBT
3f30X_M324.pdb     -384.082776 kBT
3f30X_M41.pdb     -404.638816 kBT
3f30X_M456.pdb     -372.384368 kBT
3f30X_M116.pdb     -396.912316 kBT
3f30X_M185.pdb     -382.826061 kBT
3f30X_M332.pdb     -388.583141 kBT
3f30X_M129.pdb     -398.977452 kBT
3f30X_M355.pdb     -367.230749 kBT
3f30X_M296.pdb     -360.230712 kBT
3f30X_M239.pdb     -375.885054 kBT
3f30X_M285.pdb     -378.480766 kBT
3f30X_M445.pdb     -376.722524 kBT
3f30X_M117.pdb     -386.943544 kBT
3f30X_M304.pdb     -366.377128 kBT
3f30X_M256.pdb     -380.837072 kBT
3f30X_M234.pdb     -367.599900 kBT
3f30X_M202.pdb     -397.195951 kBT
3f30X_M76.pdb     -401.088214 kBT
3f30X_M307.pdb     -391.885726 kBT
3f30X_M66.pdb     -401.489099 kBT
3f30X_M144.pdb     -377.745048 kBT
3f30X_M110.pdb     -386.653358 kBT
3f30X_M44.pdb     -415.947403 kBT
3f30X_M63.pdb     -397.972772 kBT
3f30X_M92.pdb     -396.314082 kBT
3f30X_M189.pdb     -385.901982 kBT
3f30X_M13.pdb     -458.301844 kBT
3f30X_M10.pdb     -445.614817 kBT
3f30X_M48.pdb     -413.288025 kBT
3f30X_M480.pdb     -363.507752 kBT
3f30X_M282.pdb     -379.887471 kBT
3f30X_M231.pdb     -398.808951 kBT
3f30X_M266.pdb     -382.852308 kBT
3f30X_M293.pdb     -376.373078 kBT
3f30X_M212.pdb     -388.504563 kBT
3f30X_M292.pdb     -373.066836 kBT
3f30X_M396.pdb     -376.400031 kBT
3f30X_M247.pdb     -382.423874 kBT
3f30X_M465.pdb     -386.625863 kBT
3f30X_M46.pdb     -402.486838 kBT
3f30X_M64.pdb     -381.581494 kBT
3f30X_M119.pdb     -386.902601 kBT
3f30X_M401.pdb     -375.664675 kBT
3f30X_M275.pdb     -370.991712 kBT
3f30X_M357.pdb     -368.007462 kBT
3f30X_M300.pdb     -362.011120 kBT
3f30X_M431.pdb     -372.908028 kBT
3f30X_M382.pdb     -398.273668 kBT
