1h4sT_M51.pdb     -232.422177 kBT
1h4sT_M320.pdb     -228.779152 kBT
1h4sT_M179.pdb     -225.454618 kBT
1h4sT_M306.pdb     -222.962390 kBT
1h4sT_M188.pdb     -237.177643 kBT
1h4sT_M355.pdb     -204.443616 kBT
1h4sT_M143.pdb     -215.734065 kBT
1h4sT_M451.pdb     -230.110539 kBT
1h4sT_M192.pdb     -225.934354 kBT
1h4sT_M267.pdb     -225.918463 kBT
1h4sT_M167.pdb     -214.742699 kBT
1h4sT_M486.pdb     -217.834251 kBT
1h4sT_M214.pdb     -210.213999 kBT
1h4sT_M396.pdb     -226.931062 kBT
1h4sT_M473.pdb     -217.709256 kBT
1h4sT_M392.pdb     -203.725312 kBT
1h4sT_M87.pdb     -227.635396 kBT
1h4sT_M481.pdb     -233.830082 kBT
1h4sT_M393.pdb     -212.790434 kBT
1h4sT_M161.pdb     -215.673898 kBT
1h4sT_M414.pdb     -228.577129 kBT
1h4sT_M81.pdb     -234.543498 kBT
1h4sT_M6.pdb     -228.336269 kBT
1h4sT_M208.pdb     -206.029579 kBT
1h4sT_M277.pdb     -224.943819 kBT
1h4sT_M334.pdb     -214.604141 kBT
1h4sT_M431.pdb     -221.990527 kBT
1h4sT_M426.pdb     -223.472160 kBT
1h4sT_M53.pdb     -229.819858 kBT
1h4sT_M262.pdb     -198.931331 kBT
1h4sT_M164.pdb     -210.369766 kBT
1h4sT_M246.pdb     -201.335913 kBT
1h4sT_M495.pdb     -204.770801 kBT
1h4sT_M100.pdb     -218.021813 kBT
1h4sT_M429.pdb     -200.558411 kBT
1h4sT_M422.pdb     -218.477325 kBT
1h4sT_M229.pdb     -221.654851 kBT
1h4sT_M109.pdb     -230.801159 kBT
1h4sT_M472.pdb     -235.915153 kBT
1h4sT_M380.pdb     -207.885718 kBT
1h4sT_M470.pdb     -220.388507 kBT
1h4sT_M30.pdb     -227.496120 kBT
1h4sT_M333.pdb     -212.143999 kBT
1h4sT_M232.pdb     -222.887489 kBT
1h4sT_M234.pdb     -225.729887 kBT
1h4sT_M228.pdb     -216.286165 kBT
1h4sT_M121.pdb     -229.092782 kBT
1h4sT_M213.pdb     -224.676482 kBT
1h4sT_M110.pdb     -218.468343 kBT
1h4sT_M499.pdb     -220.150097 kBT
1h4sT_M327.pdb     -203.223452 kBT
1h4sT_M138.pdb     -218.894324 kBT
1h4sT_M289.pdb     -209.808570 kBT
1h4sT_M424.pdb     -224.379960 kBT
1h4sT_M74.pdb     -221.886459 kBT
1h4sT_M156.pdb     -211.696655 kBT
1h4sT_M187.pdb     -225.791975 kBT
1h4sT_M403.pdb     -214.004639 kBT
1h4sT_M14.pdb     -238.162306 kBT
1h4sT_M153.pdb     -235.766630 kBT
1h4sT_M421.pdb     -209.077244 kBT
1h4sT_M411.pdb     -223.304435 kBT
1h4sT_M405.pdb     -202.120745 kBT
1h4sT_M173.pdb     -223.301700 kBT
1h4sT_M285.pdb     -191.206568 kBT
1h4sT_M367.pdb     -226.690094 kBT
1h4sT_M245.pdb     -217.166445 kBT
1h4sT_M416.pdb     -229.519701 kBT
1h4sT_M439.pdb     -220.344047 kBT
1h4sT_M468.pdb     -223.992406 kBT
1h4sT_M278.pdb     -207.217502 kBT
1h4sT_M360.pdb     -205.206670 kBT
1h4sT_M63.pdb     -230.094260 kBT
1h4sT_M185.pdb     -230.730585 kBT
1h4sT_M387.pdb     -196.976116 kBT
1h4sT_M459.pdb     -194.382114 kBT
1h4sT_M151.pdb     -229.770634 kBT
1h4sT_M25.pdb     -238.828337 kBT
1h4sT_M10.pdb     -239.253738 kBT
1h4sT_M15.pdb     -233.522603 kBT
1h4sT_M224.pdb     -200.919254 kBT
1h4sT_M276.pdb     -204.865390 kBT
1h4sT_M183.pdb     -214.316279 kBT
1h4sT_M317.pdb     -213.416669 kBT
1h4sT_M194.pdb     -222.637895 kBT
1h4sT_M272.pdb     -220.378804 kBT
1h4sT_M189.pdb     -219.015579 kBT
1h4sT_M166.pdb     -216.202846 kBT
1h4sT_M236.pdb     -207.212526 kBT
1h4sT_M116.pdb     -209.611146 kBT
1h4sT_M485.pdb     -195.813565 kBT
1h4sT_M222.pdb     -195.600813 kBT
1h4sT_M198.pdb     -233.461398 kBT
1h4sT_M435.pdb     -223.093717 kBT
1h4sT_M4.pdb     -228.542525 kBT
1h4sT_M211.pdb     -221.353525 kBT
1h4sT_M353.pdb     -218.153972 kBT
1h4sT_M328.pdb     -217.751413 kBT
1h4sT_M165.pdb     -227.840230 kBT
1h4sT_M256.pdb     -214.400925 kBT
1h4sT_M201.pdb     -218.398847 kBT
1h4sT_M284.pdb     -221.003125 kBT
1h4sT_M268.pdb     -210.348145 kBT
1h4sT_M21.pdb     -235.521113 kBT
1h4sT_M280.pdb     -243.478136 kBT
1h4sT_M16.pdb     -239.634039 kBT
1h4sT_M330.pdb     -235.937497 kBT
1h4sT_M204.pdb     -235.113251 kBT
1h4sT_M391.pdb     -225.656614 kBT
1h4sT_M129.pdb     -238.846094 kBT
1h4sT_M66.pdb     -238.162452 kBT
1h4sT_M154.pdb     -222.595597 kBT
