3traA_M408.pdb     -801.471495 kBT
3traA_M110.pdb     -887.446633 kBT
3traA_M43.pdb     -937.164245 kBT
3traA_M394.pdb     -883.870414 kBT
3traA_M37.pdb     -966.669130 kBT
3traA_M221.pdb     -765.878243 kBT
3traA_M157.pdb     -868.180664 kBT
3traA_M127.pdb     -816.257674 kBT
3traA_M129.pdb     -853.110792 kBT
3traA_M55.pdb     -920.958128 kBT
3traA_M5.pdb     -1029.809752 kBT
3traA_M360.pdb     -778.868127 kBT
3traA_M14.pdb     -1019.840244 kBT
3traA_M64.pdb     -932.825407 kBT
3traA_M324.pdb     -792.061317 kBT
3traA_M166.pdb     -843.637192 kBT
3traA_M386.pdb     -804.186187 kBT
3traA_M69.pdb     -972.562799 kBT
3traA_M415.pdb     -703.609898 kBT
3traA_M482.pdb     -770.375563 kBT
3traA_M154.pdb     -868.336454 kBT
3traA_M410.pdb     -729.347270 kBT
3traA_M185.pdb     -900.359577 kBT
3traA_M214.pdb     -859.670187 kBT
3traA_M120.pdb     -860.235616 kBT
3traA_M136.pdb     -866.412855 kBT
3traA_M343.pdb     -776.193827 kBT
3traA_M500.pdb     -820.551444 kBT
3traA_M244.pdb     -878.985093 kBT
3traA_M294.pdb     -809.797653 kBT
3traA_M338.pdb     -841.110964 kBT
3traA_M442.pdb     -717.385096 kBT
3traA_M242.pdb     -845.898292 kBT
3traA_M259.pdb     -813.470019 kBT
3traA_M86.pdb     -875.081348 kBT
3traA_M198.pdb     -809.969568 kBT
3traA_M230.pdb     -888.870253 kBT
3traA_M2.pdb     -1021.164459 kBT
3traA_M167.pdb     -836.186797 kBT
3traA_M272.pdb     -816.011686 kBT
3traA_M224.pdb     -861.308840 kBT
3traA_M358.pdb     -873.778597 kBT
3traA_M329.pdb     -749.303800 kBT
3traA_M121.pdb     -899.656390 kBT
3traA_M490.pdb     -747.588789 kBT
3traA_M331.pdb     -834.929203 kBT
3traA_M465.pdb     -692.011785 kBT
3traA_M209.pdb     -816.344953 kBT
3traA_M52.pdb     -919.362384 kBT
3traA_M312.pdb     -837.906633 kBT
3traA_M131.pdb     -919.189309 kBT
3traA_M472.pdb     -810.224460 kBT
3traA_M62.pdb     -853.556425 kBT
3traA_M291.pdb     -820.747342 kBT
3traA_M215.pdb     -875.113526 kBT
3traA_M371.pdb     -890.389804 kBT
