1mzpB_M396.pdb     -217.403205 kBT
1mzpB_M175.pdb     -220.694526 kBT
1mzpB_M110.pdb     -231.014360 kBT
1mzpB_M301.pdb     -241.301455 kBT
1mzpB_M300.pdb     -215.101480 kBT
1mzpB_M12.pdb     -248.854130 kBT
1mzpB_M145.pdb     -205.026394 kBT
1mzpB_M416.pdb     -218.795373 kBT
1mzpB_M137.pdb     -219.610718 kBT
1mzpB_M330.pdb     -214.214417 kBT
1mzpB_M125.pdb     -203.846584 kBT
1mzpB_M30.pdb     -247.658363 kBT
1mzpB_M115.pdb     -231.145483 kBT
1mzpB_M473.pdb     -208.165692 kBT
1mzpB_M240.pdb     -208.356780 kBT
1mzpB_M447.pdb     -218.929425 kBT
1mzpB_M375.pdb     -199.777223 kBT
1mzpB_M62.pdb     -223.775450 kBT
1mzpB_M139.pdb     -238.302711 kBT
1mzpB_M483.pdb     -211.392190 kBT
1mzpB_M90.pdb     -210.698135 kBT
1mzpB_M214.pdb     -210.115180 kBT
1mzpB_M407.pdb     -224.434421 kBT
1mzpB_M426.pdb     -205.004878 kBT
1mzpB_M166.pdb     -229.275219 kBT
1mzpB_M109.pdb     -235.249025 kBT
1mzpB_M433.pdb     -224.956463 kBT
1mzpB_M184.pdb     -222.509038 kBT
1mzpB_M338.pdb     -206.589369 kBT
1mzpB_M340.pdb     -195.751066 kBT
1mzpB_M82.pdb     -244.338491 kBT
1mzpB_M332.pdb     -206.979999 kBT
1mzpB_M103.pdb     -237.998140 kBT
1mzpB_M19.pdb     -242.739966 kBT
1mzpB_M288.pdb     -221.993949 kBT
1mzpB_M140.pdb     -219.408591 kBT
1mzpB_M226.pdb     -217.335193 kBT
1mzpB_M443.pdb     -216.285875 kBT
1mzpB_M5.pdb     -253.179693 kBT
1mzpB_M231.pdb     -217.999889 kBT
1mzpB_M16.pdb     -254.131331 kBT
1mzpB_M72.pdb     -220.919482 kBT
1mzpB_M61.pdb     -238.912122 kBT
1mzpB_M171.pdb     -219.079115 kBT
1mzpB_M478.pdb     -197.520763 kBT
1mzpB_M333.pdb     -223.004252 kBT
1mzpB_M444.pdb     -238.629338 kBT
1mzpB_M310.pdb     -242.728068 kBT
1mzpB_M241.pdb     -216.555701 kBT
1mzpB_M168.pdb     -225.309068 kBT
1mzpB_M334.pdb     -206.464165 kBT
1mzpB_M133.pdb     -219.842496 kBT
1mzpB_M458.pdb     -221.728132 kBT
1mzpB_M263.pdb     -222.377995 kBT
1mzpB.pdb     -255.294766 kBT
