1kuqB_M289.pdb     -607.610957 kBT
1kuqB_M469.pdb     -577.754911 kBT
1kuqB_M197.pdb     -596.635859 kBT
1kuqB_M45.pdb     -745.022910 kBT
1kuqB_M99.pdb     -609.657777 kBT
1kuqB_M12.pdb     -758.457268 kBT
1kuqB_M489.pdb     -540.766767 kBT
1kuqB_M478.pdb     -553.860984 kBT
1kuqB_M482.pdb     -462.354484 kBT
1kuqB_M369.pdb     -563.152076 kBT
1kuqB_M82.pdb     -701.255369 kBT
1kuqB_M189.pdb     -596.129278 kBT
1kuqB_M221.pdb     -566.729034 kBT
1kuqB_M468.pdb     -601.690722 kBT
1kuqB_M435.pdb     -549.660025 kBT
1kuqB_M324.pdb     -521.334583 kBT
1kuqB_M27.pdb     -766.323691 kBT
1kuqB_M136.pdb     -534.989428 kBT
1kuqB_M342.pdb     -605.623653 kBT
1kuqB_M232.pdb     -551.802540 kBT
1kuqB_M279.pdb     -507.837511 kBT
1kuqB_M83.pdb     -643.144502 kBT
1kuqB_M220.pdb     -649.883245 kBT
1kuqB_M480.pdb     -446.150055 kBT
1kuqB_M39.pdb     -706.526067 kBT
1kuqB_M198.pdb     -549.897345 kBT
1kuqB_M377.pdb     -591.440931 kBT
1kuqB_M388.pdb     -563.212859 kBT
1kuqB_M91.pdb     -730.548425 kBT
1kuqB_M240.pdb     -653.846885 kBT
1kuqB_M79.pdb     -674.269348 kBT
1kuqB_M46.pdb     -674.908808 kBT
1kuqB_M113.pdb     -658.068020 kBT
1kuqB_M466.pdb     -568.486126 kBT
1kuqB_M2.pdb     -730.932629 kBT
1kuqB_M451.pdb     -456.775273 kBT
1kuqB_M418.pdb     -665.055707 kBT
1kuqB_M426.pdb     -499.842433 kBT
1kuqB_M167.pdb     -562.081187 kBT
1kuqB_M271.pdb     -552.780736 kBT
1kuqB_M362.pdb     -518.821302 kBT
1kuqB_M163.pdb     -666.547085 kBT
1kuqB_M323.pdb     -497.295218 kBT
1kuqB_M282.pdb     -647.264873 kBT
1kuqB_M273.pdb     -572.539074 kBT
1kuqB_M339.pdb     -572.486138 kBT
1kuqB_M135.pdb     -660.212498 kBT
1kuqB_M281.pdb     -591.369754 kBT
1kuqB_M401.pdb     -484.258011 kBT
1kuqB_M8.pdb     -748.639339 kBT
1kuqB_M65.pdb     -731.573733 kBT
1kuqB_M120.pdb     -634.601117 kBT
1kuqB_M291.pdb     -609.639895 kBT
1kuqB_M250.pdb     -612.695709 kBT
1kuqB_M383.pdb     -562.331009 kBT
1kuqB_M88.pdb     -706.856870 kBT
1kuqB_M259.pdb     -544.614465 kBT
1kuqB_M304.pdb     -515.167517 kBT
1kuqB_M317.pdb     -573.528155 kBT
1kuqB_M203.pdb     -603.898834 kBT
1kuqB_M319.pdb     -592.787072 kBT
1kuqB_M446.pdb     -537.845454 kBT
1kuqB_M227.pdb     -627.798355 kBT
