2pxvB_M65.pdb     -321.008932 kBT
2pxvB_M424.pdb     -303.196047 kBT
2pxvB_M448.pdb     -281.714212 kBT
2pxvB_M231.pdb     -284.091181 kBT
2pxvB_M499.pdb     -279.189512 kBT
2pxvB_M193.pdb     -296.946641 kBT
2pxvB_M272.pdb     -299.336805 kBT
2pxvB_M280.pdb     -318.169429 kBT
2pxvB_M493.pdb     -326.625142 kBT
2pxvB_M491.pdb     -254.926815 kBT
2pxvB_M234.pdb     -302.480436 kBT
2pxvB_M10.pdb     -469.777090 kBT
2pxvB_M174.pdb     -274.667820 kBT
2pxvB_M269.pdb     -284.516962 kBT
2pxvB_M185.pdb     -312.067196 kBT
2pxvB_M336.pdb     -289.400905 kBT
2pxvB_M116.pdb     -299.800738 kBT
2pxvB_M224.pdb     -303.178963 kBT
2pxvB_M165.pdb     -286.433076 kBT
2pxvB_M324.pdb     -289.785057 kBT
2pxvB_M245.pdb     -305.418943 kBT
2pxvB_M126.pdb     -322.883160 kBT
2pxvB_M369.pdb     -293.167612 kBT
2pxvB_M287.pdb     -240.424915 kBT
2pxvB_M364.pdb     -265.184232 kBT
2pxvB_M221.pdb     -299.028889 kBT
2pxvB_M202.pdb     -309.423747 kBT
2pxvB_M118.pdb     -316.138332 kBT
2pxvB_M284.pdb     -311.648041 kBT
2pxvB_M5.pdb     -473.597830 kBT
2pxvB_M136.pdb     -316.124932 kBT
2pxvB_M70.pdb     -371.758107 kBT
2pxvB_M285.pdb     -257.985126 kBT
2pxvB_M135.pdb     -302.448214 kBT
2pxvB_M27.pdb     -412.361585 kBT
2pxvB_M217.pdb     -300.118522 kBT
2pxvB_M481.pdb     -266.611370 kBT
2pxvB_M478.pdb     -267.223891 kBT
2pxvB_M9.pdb     -457.000296 kBT
2pxvB_M476.pdb     -242.142546 kBT
2pxvB_M307.pdb     -298.398836 kBT
2pxvB_M351.pdb     -266.574904 kBT
2pxvB_M415.pdb     -282.585675 kBT
2pxvB_M96.pdb     -380.857053 kBT
2pxvB_M362.pdb     -317.436622 kBT
2pxvB_M82.pdb     -354.862847 kBT
