1u9sA_M46.pdb     -532.189231 kBT
1u9sA_M263.pdb     -458.461490 kBT
1u9sA_M219.pdb     -517.952893 kBT
1u9sA_M6.pdb     -660.812848 kBT
1u9sA_M465.pdb     -481.789405 kBT
1u9sA_M292.pdb     -473.903763 kBT
1u9sA_M444.pdb     -427.762552 kBT
1u9sA_M264.pdb     -475.688359 kBT
1u9sA_M375.pdb     -469.835985 kBT
1u9sA_M209.pdb     -482.934983 kBT
1u9sA_M306.pdb     -501.063392 kBT
1u9sA_M351.pdb     -455.941686 kBT
1u9sA_M57.pdb     -558.766912 kBT
1u9sA_M153.pdb     -489.681734 kBT
1u9sA_M156.pdb     -493.340704 kBT
1u9sA_M119.pdb     -504.603026 kBT
1u9sA_M241.pdb     -486.673159 kBT
1u9sA_M471.pdb     -458.554057 kBT
1u9sA_M220.pdb     -539.302952 kBT
1u9sA_M426.pdb     -463.695083 kBT
1u9sA_M27.pdb     -606.353049 kBT
1u9sA_M286.pdb     -448.464146 kBT
1u9sA_M339.pdb     -506.027196 kBT
1u9sA_M301.pdb     -471.940950 kBT
1u9sA_M118.pdb     -535.847866 kBT
1u9sA_M139.pdb     -527.358927 kBT
1u9sA_M143.pdb     -520.186726 kBT
1u9sA_M287.pdb     -435.929428 kBT
1u9sA_M442.pdb     -433.894309 kBT
1u9sA_M455.pdb     -477.195410 kBT
1u9sA_M231.pdb     -454.058534 kBT
1u9sA_M30.pdb     -607.903616 kBT
1u9sA_M144.pdb     -529.896542 kBT
1u9sA_M84.pdb     -533.674253 kBT
1u9sA_M170.pdb     -525.489585 kBT
1u9sA_M74.pdb     -547.658480 kBT
1u9sA_M79.pdb     -540.495620 kBT
1u9sA_M373.pdb     -493.387945 kBT
1u9sA_M276.pdb     -457.844778 kBT
1u9sA_M360.pdb     -421.254425 kBT
1u9sA_M16.pdb     -617.439748 kBT
1u9sA_M476.pdb     -494.024177 kBT
1u9sA_M103.pdb     -550.992415 kBT
1u9sA_M385.pdb     -425.415323 kBT
1u9sA_M201.pdb     -497.817364 kBT
1u9sA_M227.pdb     -508.184191 kBT
1u9sA_M431.pdb     -457.327288 kBT
1u9sA_M383.pdb     -487.076758 kBT
1u9sA_M448.pdb     -462.096061 kBT
1u9sA_M484.pdb     -502.639939 kBT
1u9sA_M100.pdb     -576.258017 kBT
