1ze2D_M196.pdb     -283.561153 kBT
1ze2D_M205.pdb     -341.482790 kBT
1ze2D_M212.pdb     -372.269754 kBT
1ze2D_M121.pdb     -428.936047 kBT
1ze2D_M244.pdb     -348.092205 kBT
1ze2D_M199.pdb     -422.059004 kBT
1ze2D_M327.pdb     -374.184294 kBT
1ze2D_M278.pdb     -375.674334 kBT
1ze2D_M429.pdb     -442.559631 kBT
1ze2D_M319.pdb     -294.277189 kBT
1ze2D_M444.pdb     -429.689404 kBT
1ze2D_M31.pdb     -447.675418 kBT
1ze2D_M151.pdb     -365.369694 kBT
1ze2D_M275.pdb     -346.941940 kBT
1ze2D_M100.pdb     -382.028403 kBT
1ze2D_M365.pdb     -353.947029 kBT
1ze2D_M133.pdb     -407.850142 kBT
1ze2D_M401.pdb     -341.829227 kBT
1ze2D_M74.pdb     -379.068908 kBT
1ze2D_M349.pdb     -335.507394 kBT
1ze2D_M207.pdb     -348.683125 kBT
1ze2D_M357.pdb     -314.832626 kBT
1ze2D_M206.pdb     -392.601878 kBT
1ze2D_M128.pdb     -364.236347 kBT
1ze2D_M77.pdb     -451.092323 kBT
1ze2D_M407.pdb     -358.784571 kBT
1ze2D_M488.pdb     -318.660520 kBT
1ze2D_M493.pdb     -299.649332 kBT
1ze2D_M447.pdb     -375.542021 kBT
1ze2D_M135.pdb     -434.705690 kBT
1ze2D_M107.pdb     -420.872916 kBT
1ze2D_M171.pdb     -467.714753 kBT
1ze2D_M484.pdb     -303.110646 kBT
1ze2D_M451.pdb     -394.570657 kBT
1ze2D_M353.pdb     -338.292631 kBT
1ze2D_M390.pdb     -298.718646 kBT
1ze2D_M440.pdb     -392.303973 kBT
1ze2D_M262.pdb     -366.423357 kBT
1ze2D_M492.pdb     -273.896419 kBT
1ze2D_M318.pdb     -257.824274 kBT
1ze2D_M356.pdb     -376.812346 kBT
1ze2D_M99.pdb     -387.400136 kBT
1ze2D_M21.pdb     -468.753453 kBT
1ze2D_M91.pdb     -430.730384 kBT
1ze2D_M383.pdb     -413.065793 kBT
1ze2D_M297.pdb     -294.562842 kBT
1ze2D_M385.pdb     -329.788129 kBT
1ze2D_M143.pdb     -412.902569 kBT
1ze2D_M166.pdb     -368.907538 kBT
1ze2D_M114.pdb     -391.873372 kBT
1ze2D_M379.pdb     -428.278568 kBT
1ze2D_M146.pdb     -417.918736 kBT
1ze2D_M3.pdb     -512.832493 kBT
1ze2D_M232.pdb     -418.066475 kBT
1ze2D_M41.pdb     -458.006045 kBT
1ze2D_M325.pdb     -360.037120 kBT
1ze2D_M311.pdb     -370.190366 kBT
1ze2D_M233.pdb     -355.916575 kBT
1ze2D_M283.pdb     -408.385758 kBT
1ze2D_M89.pdb     -394.607165 kBT
1ze2D_M393.pdb     -340.221566 kBT
1ze2D_M29.pdb     -423.575485 kBT
1ze2D_M359.pdb     -300.002091 kBT
1ze2D_M86.pdb     -393.665534 kBT
1ze2D_M462.pdb     -345.606761 kBT
1ze2D_M312.pdb     -404.408475 kBT
1ze2D_M453.pdb     -428.282343 kBT
1ze2D_M94.pdb     -420.252522 kBT
1ze2D_M142.pdb     -349.443451 kBT
1ze2D_M496.pdb     -275.408566 kBT
1ze2D_M93.pdb     -532.279953 kBT
1ze2D_M432.pdb     -347.619726 kBT
1ze2D_M241.pdb     -364.102257 kBT
1ze2D_M380.pdb     -350.015618 kBT
1ze2D_M293.pdb     -340.438488 kBT
1ze2D_M411.pdb     -374.907151 kBT
1ze2D_M194.pdb     -354.708729 kBT
1ze2D_M425.pdb     -413.657533 kBT
1ze2D_M243.pdb     -406.181098 kBT
1ze2D_M361.pdb     -286.696569 kBT
1ze2D_M195.pdb     -405.789242 kBT
1ze2D_M490.pdb     -367.538559 kBT
1ze2D_M480.pdb     -364.239682 kBT
1ze2D_M324.pdb     -362.274381 kBT
1ze2D_M58.pdb     -469.144785 kBT
1ze2D_M289.pdb     -411.954657 kBT
1ze2D_M427.pdb     -357.615427 kBT
1ze2D_M59.pdb     -494.256025 kBT
1ze2D_M336.pdb     -329.587403 kBT
1ze2D_M340.pdb     -332.457646 kBT
