1msyA_M53.pdb     -124.157840 kBT
1msyA_M257.pdb     -139.992749 kBT
1msyA_M177.pdb     -120.505871 kBT
1msyA_M225.pdb     -95.102704 kBT
1msyA_M388.pdb     -101.250197 kBT
1msyA_M442.pdb     -110.451845 kBT
1msyA_M448.pdb     -100.794811 kBT
1msyA_M373.pdb     -89.156717 kBT
1msyA_M181.pdb     -137.743273 kBT
1msyA_M287.pdb     -133.341035 kBT
1msyA_M126.pdb     -117.672287 kBT
1msyA_M337.pdb     -114.582237 kBT
1msyA_M420.pdb     -83.889595 kBT
1msyA_M393.pdb     -110.885239 kBT
1msyA_M192.pdb     -130.957692 kBT
1msyA_M270.pdb     -120.773816 kBT
1msyA_M118.pdb     -106.792309 kBT
1msyA_M332.pdb     -122.812089 kBT
1msyA_M191.pdb     -120.856342 kBT
1msyA_M366.pdb     -109.141304 kBT
1msyA_M483.pdb     -94.593070 kBT
1msyA_M232.pdb     -121.366675 kBT
1msyA_M29.pdb     -136.610380 kBT
1msyA_M347.pdb     -95.209712 kBT
1msyA_M460.pdb     -104.981968 kBT
1msyA_M56.pdb     -158.080981 kBT
1msyA_M203.pdb     -115.540697 kBT
1msyA_M145.pdb     -127.852618 kBT
1msyA_M331.pdb     -94.988976 kBT
1msyA_M365.pdb     -113.344180 kBT
1msyA_M255.pdb     -117.058703 kBT
1msyA_M233.pdb     -116.696595 kBT
1msyA_M112.pdb     -112.341682 kBT
1msyA_M403.pdb     -103.873080 kBT
1msyA_M254.pdb     -113.693469 kBT
1msyA_M312.pdb     -110.044652 kBT
1msyA_M411.pdb     -114.150955 kBT
1msyA_M205.pdb     -127.010477 kBT
1msyA_M422.pdb     -116.553969 kBT
1msyA_M326.pdb     -98.839262 kBT
1msyA_M429.pdb     -98.738655 kBT
1msyA_M276.pdb     -121.227237 kBT
1msyA_M389.pdb     -120.600608 kBT
1msyA_M138.pdb     -123.750800 kBT
1msyA_M47.pdb     -137.919145 kBT
1msyA_M381.pdb     -101.354090 kBT
1msyA_M184.pdb     -136.763644 kBT
1msyA_M242.pdb     -105.110775 kBT
1msyA_M288.pdb     -126.214057 kBT
1msyA_M77.pdb     -143.427923 kBT
1msyA_M38.pdb     -145.406488 kBT
1msyA_M454.pdb     -101.196662 kBT
1msyA_M494.pdb     -95.048846 kBT
1msyA_M268.pdb     -125.894582 kBT
1msyA_M417.pdb     -100.292537 kBT
1msyA_M151.pdb     -127.373611 kBT
1msyA_M301.pdb     -102.661845 kBT
1msyA_M302.pdb     -92.297188 kBT
1msyA_M1.pdb     -166.376733 kBT
1msyA_M377.pdb     -103.048928 kBT
1msyA_M424.pdb     -110.741473 kBT
1msyA_M376.pdb     -92.304035 kBT
1msyA_M93.pdb     -103.653335 kBT
1msyA_M49.pdb     -126.700673 kBT
1msyA_M70.pdb     -122.736373 kBT
1msyA_M496.pdb     -120.562753 kBT
1msyA_M449.pdb     -104.972868 kBT
1msyA_M351.pdb     -112.202898 kBT
