3eogA_M64.pdb     -1453.914582 kBT
3eogA_M92.pdb     -1456.490272 kBT
3eogA_M88.pdb     -1454.804831 kBT
3eogA_M237.pdb     -1414.320272 kBT
3eogA_M457.pdb     -1350.887085 kBT
3eogA_M380.pdb     -1385.810743 kBT
3eogA_M78.pdb     -1448.325714 kBT
3eogA_M270.pdb     -1398.465940 kBT
3eogA_M245.pdb     -1394.200017 kBT
3eogA_M48.pdb     -1495.738198 kBT
3eogA_M440.pdb     -1362.130046 kBT
3eogA_M74.pdb     -1460.193574 kBT
3eogA_M207.pdb     -1412.957593 kBT
3eogA_M219.pdb     -1385.771171 kBT
3eogA_M255.pdb     -1434.719044 kBT
3eogA_M43.pdb     -1482.486019 kBT
3eogA_M467.pdb     -1373.643518 kBT
3eogA_M100.pdb     -1460.221622 kBT
3eogA_M403.pdb     -1345.689442 kBT
3eogA_M433.pdb     -1359.258566 kBT
3eogA_M108.pdb     -1407.939991 kBT
3eogA_M337.pdb     -1370.417966 kBT
3eogA_M50.pdb     -1488.813646 kBT
3eogA_M428.pdb     -1379.572718 kBT
3eogA_M147.pdb     -1433.280627 kBT
3eogA_M184.pdb     -1381.462171 kBT
3eogA_M264.pdb     -1421.877904 kBT
3eogA_M338.pdb     -1396.652643 kBT
3eogA_M297.pdb     -1402.191227 kBT
3eogA_M324.pdb     -1414.061599 kBT
3eogA_M193.pdb     -1404.766342 kBT
3eogA_M434.pdb     -1411.181072 kBT
3eogA_M425.pdb     -1387.182339 kBT
3eogA_M268.pdb     -1383.365789 kBT
3eogA_M197.pdb     -1415.044626 kBT
3eogA_M60.pdb     -1453.032789 kBT
3eogA_M171.pdb     -1404.489986 kBT
3eogA_M307.pdb     -1375.890904 kBT
3eogA_M319.pdb     -1379.746205 kBT
3eogA_M123.pdb     -1428.186827 kBT
3eogA_M441.pdb     -1387.964489 kBT
3eogA_M216.pdb     -1413.275701 kBT
3eogA_M298.pdb     -1364.121122 kBT
3eogA_M210.pdb     -1419.677091 kBT
3eogA_M131.pdb     -1420.136087 kBT
3eogA_M295.pdb     -1355.061462 kBT
3eogA_M369.pdb     -1381.572751 kBT
3eogA_M208.pdb     -1412.424585 kBT
3eogA_M44.pdb     -1505.001699 kBT
3eogA_M54.pdb     -1470.705961 kBT
3eogA_M97.pdb     -1397.981084 kBT
3eogA_M211.pdb     -1413.587804 kBT
3eogA_M172.pdb     -1428.254539 kBT
3eogA_M366.pdb     -1366.729962 kBT
3eogA_M252.pdb     -1396.471501 kBT
3eogA_M136.pdb     -1425.921637 kBT
3eogA_M320.pdb     -1374.758742 kBT
3eogA_M253.pdb     -1416.631926 kBT
3eogA_M168.pdb     -1419.669161 kBT
3eogA_M12.pdb     -1571.201630 kBT
3eogA_M361.pdb     -1387.584665 kBT
3eogA_M204.pdb     -1417.043856 kBT
3eogA_M160.pdb     -1418.074898 kBT
3eogA_M132.pdb     -1438.001733 kBT
3eogA_M289.pdb     -1390.867656 kBT
3eogA_M363.pdb     -1337.166546 kBT
3eogA_M449.pdb     -1371.823684 kBT
3eogA_M49.pdb     -1468.592645 kBT
3eogA_M424.pdb     -1381.833620 kBT
3eogA_M452.pdb     -1367.178664 kBT
3eogA_M406.pdb     -1418.343672 kBT
3eogA_M332.pdb     -1371.148230 kBT
3eogA_M138.pdb     -1405.129524 kBT
3eogA_M163.pdb     -1401.170630 kBT
3eogA_M374.pdb     -1418.959040 kBT
3eogA_M478.pdb     -1351.082293 kBT
3eogA_M466.pdb     -1404.604693 kBT
3eogA_M436.pdb     -1347.252030 kBT
3eogA_M251.pdb     -1399.345312 kBT
3eogA_M55.pdb     -1444.009023 kBT
3eogA_M333.pdb     -1371.080134 kBT
3eogA_M257.pdb     -1396.878648 kBT
3eogA_M10.pdb     -1592.989469 kBT
3eogA_M383.pdb     -1370.365667 kBT
3eogA_M190.pdb     -1444.382195 kBT
3eogA_M238.pdb     -1387.197509 kBT
3eogA_M234.pdb     -1400.148586 kBT
3eogA_M476.pdb     -1371.470798 kBT
3eogA_M130.pdb     -1407.931809 kBT
3eogA_M143.pdb     -1446.426123 kBT
3eogA_M309.pdb     -1385.379822 kBT
3eogA_M117.pdb     -1430.963005 kBT
3eogA_M105.pdb     -1461.713867 kBT
3eogA_M152.pdb     -1413.032567 kBT
3eogA_M175.pdb     -1429.375898 kBT
3eogA_M387.pdb     -1376.979617 kBT
3eogA_M334.pdb     -1367.434149 kBT
3eogA_M401.pdb     -1391.494730 kBT
3eogA_M85.pdb     -1425.828482 kBT
3eogA_M315.pdb     -1393.534691 kBT
3eogA_M402.pdb     -1349.889552 kBT
3eogA_M177.pdb     -1412.422378 kBT
3eogA_M346.pdb     -1402.797053 kBT
3eogA_M495.pdb     -1359.433637 kBT
3eogA_M395.pdb     -1356.179646 kBT
3eogA_M133.pdb     -1422.574695 kBT
3eogA_M33.pdb     -1525.222274 kBT
3eogA_M224.pdb     -1381.383367 kBT
3eogA_M316.pdb     -1390.233073 kBT
3eogA_M73.pdb     -1439.914670 kBT
3eogA_M244.pdb     -1418.026888 kBT
3eogA_M155.pdb     -1424.967649 kBT
3eogA_M239.pdb     -1398.321638 kBT
3eogA_M353.pdb     -1397.863797 kBT
3eogA_M409.pdb     -1379.418512 kBT
3eogA_M354.pdb     -1418.665844 kBT
3eogA_M488.pdb     -1406.354133 kBT
3eogA_M221.pdb     -1378.883068 kBT
3eogA_M57.pdb     -1479.788096 kBT
3eogA_M86.pdb     -1414.060120 kBT
3eogA_M317.pdb     -1400.279004 kBT
3eogA_M23.pdb     -1556.633511 kBT
3eogA_M266.pdb     -1429.047866 kBT
3eogA_M90.pdb     -1469.381566 kBT
3eogA_M1.pdb     -1584.452133 kBT
3eogA_M314.pdb     -1370.664245 kBT
3eogA_M408.pdb     -1389.387457 kBT
3eogA_M63.pdb     -1465.659125 kBT
3eogA_M140.pdb     -1480.005021 kBT
3eogA_M188.pdb     -1431.192374 kBT
3eogA_M485.pdb     -1360.304364 kBT
3eogA_M454.pdb     -1354.823049 kBT
3eogA_M414.pdb     -1393.238814 kBT
3eogA_M178.pdb     -1432.732963 kBT
3eogA_M302.pdb     -1399.092637 kBT
3eogA_M343.pdb     -1403.239479 kBT
3eogA_M18.pdb     -1548.795664 kBT
3eogA_M482.pdb     -1304.471655 kBT
3eogA_M348.pdb     -1407.775858 kBT
3eogA_M205.pdb     -1430.660466 kBT
3eogA_M351.pdb     -1346.811257 kBT
